Sosorsaba	id=g:6703302
Sosortompak	id=g:6703303
Tuipangbagasan	id=g:6703304
Lumbanior Satu	id=g:6703305
Aek Bang	id=g:6703306
Aek Naumon	id=g:6703307
Aek Sinaromput	id=g:6703308
Panabianri	id=g:6703309
Lumbanpolia	id=g:6703310
Sosorgadu	id=g:6703311
Tulpangdolok	id=g:6703312
Lobu Sonakbaoasan	id=g:6703313
Lobusonaktongatonga	id=g:6703314
Lobu Sonak Taruan	id=g:6703315
Lumbansimangambit	id=g:6703316
Lumban Gambiri	id=g:6703317
Sosorrihit	id=g:6703318
Lumbanrobean	id=g:6703319
Sosorbinanga	id=g:6703320
Boltok Nihuta	id=g:6703321
Lumbanjungjungan	id=g:6703322
Pongkalan Satu	id=g:6703323
Lumbantaguru	id=g:6703324
Sosorsidupang	id=g:6703325
Siraitholbung	id=g:6703326
Sosorlintong	id=g:6703327
Pasaronan	id=g:6703328
Hampir	id=g:6703329
Nagori Singkam	id=g:6703330
Gala Gala	id=g:6703331
Tumuan holbung	id=g:6703332
Aek Tatun	id=g:6703333
Aek Sipuibuh	id=g:6703334
Aek Sibio	id=g:6703335
Aek Sinatriat	id=g:6703336
Dolok Turmatutung	id=g:6703337
Sijongjongi	id=g:6703338
Dolok Sigulatti	id=g:6703339
Salabat	id=g:6703340
Aek Habako	id=g:6703341
Aek Tualang	id=g:6703342
Dolok Haboko	id=g:6703343
Dolok Bagotnapitu	id=g:6703344
Aektalun	id=g:6703345
Dolok Sibaulangit	id=g:6703346
Dolok Sibubungan	id=g:6703347
Tumuonkalbungtiga	id=g:6703348
Aekgorak	id=g:6703349
Sampuran	id=g:6703350
Parsunian	id=g:6703351
Karbane	id=g:6703352
Golattindang	id=g:6703353
Tumuondolok	id=g:6703354
Lumban Ginjang	id=g:6703355
Lumbanbatu	id=g:6703356
Maranti Satu	id=g:6703357
Jatitug	id=g:6703358
Hutabagasan Satu	id=g:6703359
Jumahbulu	id=g:6703360
Sidempuan Dua	id=g:6703361
Lumbantonga	id=g:6703362
Utebolon	id=g:6703363
Sitahoan	id=g:6703364
Bonabondar	id=g:6703365
Lumbantongahtongah	id=g:6703366
Perbuttatan Dua	id=g:6703367
Lumbanrang	id=g:6703368
Napultak	id=g:6703369
Rondang	id=g:6703370
Panduduan	id=g:6703371
Sapator	id=g:6703372
Barung-barung	id=g:6703373
Kedai Sianam	id=g:6703374
Guntung	id=g:6703375
Pasisir	id=g:6703376
Daharisilebar	id=g:6703377
Simpang	id=g:6703378
Kubah	id=g:6703379
Landas	id=g:6703380
Ahad	id=g:6703381
Airbebau	id=g:6703382
Pangkalan	id=g:6703383
Pesisir	id=g:6703384
Simpang Empat	id=g:6703385
Kampung Lalang	id=g:6703386
Suka Maju	id=g:6703387
Bogak	id=g:6703388
Sungai Kanan	id=g:6703389
Bagan Baru	id=g:6703390
Bagan Luar	id=g:6703391
Bagan Dalam	id=g:6703392
Sungai Bagan Batak	id=g:6703393
Guntung	id=g:6703394
Nipah	id=g:6703395
Sungai Kuala Gunung	id=g:6703396
Sungai Kalubi	id=g:6703397
Kalubi	id=g:6703398
Kampung Panjang	id=g:6703399
Sontang	id=g:6703400
Cahaya Pardomuan	id=g:6703401
Simpang Tiga	id=g:6703402
Terusan	id=g:6703403
Pandi	id=g:6703404
Gunung Santi	id=g:6703405
Pahang	id=g:6703406
Tanjung Putus	id=g:6703407
Kedah	id=g:6703408
Pariuk	id=g:6703409
Sentang	id=g:6703410
Sungai Lalang	id=g:6703411
Lima Laras	id=g:6703412
Ujung Kubu	id=g:6703413
Sungai Balai	id=g:6703414
Sungai Bunut	id=g:6703415
Kayu Ara Benteng	id=g:6703416
Kayu Ara Satu	id=g:6703417
Simpang Pasar Kacang	id=g:6703418
Asam	id=g:6703419
Membacang	id=g:6703420
Raja	id=g:6703421
Tanjung	id=g:6703422
Pardomuan	id=g:6703423
Sibisa Motung	id=g:6703424
Tiga Dolok	id=g:6703425
Pondo Mayo	id=g:6703426
Pondok Delapan	id=g:6703427
Kampung Kandang Satu	id=g:6703428
Kampung Kandang Dua	id=g:6703429
Gunung Rante Rante	id=g:6703430
Buluhcina	id=g:6703431
Pondok Sembilan	id=g:6703432
Emplasmen Petatal	id=g:6703433
Pasarkacang Satu	id=g:6703434
Pasarkacang Dua	id=g:6703435
Pasar Lembu	id=g:6703436
Parulian Satu	id=g:6703437
Sungai Muka	id=g:6703438
Sidorejo	id=g:6703439
Sahata	id=g:6703440
Sungai Mentaram	id=g:6703441
Rawa	id=g:6703442
Poyot	id=g:6703443
Telukgandu	id=g:6703444
Sungai Mentaram	id=g:6703445
Pematang Nibung	id=g:6703446
Sipira	id=g:6703447
Lontungbaru	id=g:6703448
Air Hitam	id=g:6703449
Kwalasikasim Tiga	id=g:6703450
Kwalasikasim Dua	id=g:6703451
Kwalasikasim Satu	id=g:6703452
Sungai Sikasim	id=g:6703453
Simpang Sungai Balai	id=g:6703454
Pondok Nongko	id=g:6703455
Dusun	id=g:6703456
Sungai Marbau	id=g:6703457
Sungai Muka	id=g:6703458
Lorong Cinta Damai	id=g:6703459
Pondok Stasion	id=g:6703460
Pondok Seng	id=g:6703461
Pondok Baru	id=g:6703462
Sungai Dusun	id=g:6703463
Pondok Lidah Tanah	id=g:6703464
Lorong Lidah Tanah	id=g:6703465
Lorong Sedemana	id=g:6703466
Lorong Ilir	id=g:6703467
Lorong Tempe	id=g:6703468
Emplasmen Sungaibajangkar	id=g:6703469
Pondok Sungai Bajangkar	id=g:6703470
Perhentian Sungaibejangkar	id=g:6703471
Pondok Kodampasar Satu	id=g:6703472
Pondok Kodam	id=g:6703473
Pondok Kodampasar Empat	id=g:6703474
Desa Gajah	id=g:6703475
Pematang Ramlie	id=g:6703476
Desa Pancaarga	id=g:6703477
Rawang Lama	id=g:6703478
Penggantungantawaktawak	id=g:6703479
Sungai Beluru	id=g:6703480
Sumber Makmur	id=g:6703481
Kampung Benteng	id=g:6703482
Siajam	id=g:6703483
Siajam Lorong Tujuh	id=g:6703484
Pondok Teratak	id=g:6703485
Kampung Banten	id=g:6703486
Salam Satu	id=g:6703487
Salam Dua	id=g:6703488
Pondok Salam	id=g:6703489
Kampung Lalang	id=g:6703490
Kampung Lalang Satu	id=g:6703491
Sungai Bejangkar	id=g:6703492
Sungai Ujung Padang	id=g:6703493
Sukarame Satu	id=g:6703494
Sukarame Dua	id=g:6703495
Sukarame Tiga	id=g:6703496
Sukarame Empat	id=g:6703497
Sukarame Lima	id=g:6703498
Sukarame Enam	id=g:6703499
Sungaibalai	id=g:6703500
Sungai Samsu	id=g:6703501
Perkampungan Syekh Ismail Abdul Wahab	id=g:6703502
Durian	id=g:6703503
Tanah Rendah	id=g:6703504
Kampung Jati	id=g:6703505
Simpang Desa Gajah	id=g:6703506
Siluar	id=g:6703507
Air Putih	id=g:6703508
Rawanglama Satu	id=g:6703509
Rawanglama Dua	id=g:6703510
Rawanglama Tiga	id=g:6703511
Rawang Lama	id=g:6703512
Rawanglama Empat	id=g:6703513
Rawanglama Lima	id=g:6703514
Rawang Baru	id=g:6703515
Silau Bonto	id=g:6703516
Sungai Kanal Silaubonto	id=g:6703517
Lubuk Gajah	id=g:6703518
Lubuk Amat	id=g:6703519
Banjar Sari	id=g:6703520
Silau Lama	id=g:6703521
Barisan Dua	id=g:6703522
Rawangbaru Barisan Dua	id=g:6703523
Pekan Minggu	id=g:6703524
Barisan Satu A	id=g:6703525
Sungai Siraminan	id=g:6703526
Meranti	id=g:6703527
Tebing-tinggi	id=g:6703528
Pondok Bukit Rejo	id=g:6703529
Emplasmen Sungaibaleh	id=g:6703530
Pondok Rejo Sari	id=g:6703531
Sungai Sikasat	id=g:6703532
Pondok Afdeling Dua A	id=g:6703533
Cintajadi	id=g:6703534
Teladan	id=g:6703535
Ujung Padang	id=g:6703536
Sungai Rejo	id=g:6703537
Pondok Afdeling Empat A	id=g:6703538
Emplasmen Tinjowan	id=g:6703539
Petani	id=g:6703540
Kampung Lalang Dua	id=g:6703541
Pondok Afdeling Empat B	id=g:6703542
Kampung Melayu	id=g:6703543
Pondok Afdeling Dua B	id=g:6703544
Pondok Sumber Rejo	id=g:6703545
Pondok Penaton	id=g:6703546
Kampung Tempel	id=g:6703547
Rawangpasar Empat	id=g:6703548
Pasar Kebon	id=g:6703549
Rawangbaru Barisan Satu	id=g:6703550
Barisan Satu	id=g:6703551
Airputih Satu	id=g:6703552
Airputih Dua	id=g:6703553
Pekan Rabu	id=g:6703554
Lubuk Palas	id=g:6703555
Bandar Minggu	id=g:6703556
Batupikir Satu	id=g:6703557
Batupikir Dua	id=g:6703558
Rawangbarupasar Sepuluh	id=g:6703559
Pondok Jagung	id=g:6703560
Pondok Pasar	id=g:6703561
Pondok Sungai Antio	id=g:6703562
Pondok Gesuri	id=g:6703563
Kampung Bunga	id=g:6703564
Pondokbungur	id=g:6703565
Pondok Karang Aman	id=g:6703566
Pondok Sungai Ramai	id=g:6703567
Pondok Bakaran Batu	id=g:6703568
Pondok Langen Sari	id=g:6703569
Pondok Tanjung Selamat	id=g:6703570
Suko Rejo	id=g:6703571
Pondok Tanjung Rejo	id=g:6703572
Lima Puluh Meter	id=g:6703573
Pondok Afdeling Tiga	id=g:6703574
Pondok Afdeling Tujuh	id=g:6703575
Tinjoan	id=g:6703576
Kotaparit	id=g:6703577
Rapuan-ilir	id=g:6703578
Teluklapian	id=g:6703579
Taluntanjung	id=g:6703580
Pondok Tanjung Pinang	id=g:6703581
Sungai Silau Tua	id=g:6703582
Pondok Tanjung Mulyo	id=g:6703583
Pondok Banjar Sari	id=g:6703584
Sidomulyo Empat	id=g:6703585
Sidomulyo Tiga	id=g:6703586
Sidomulyo Dua	id=g:6703587
Sidomulyo Satu	id=g:6703588
Bunut Seberang	id=g:6703589
Pondok Karang Anyar	id=g:6703590
Pondok Panjang	id=g:6703591
Punggulanpasar Sepuluh	id=g:6703592
Punggulanpasar Sebelas	id=g:6703593
Pasar Lembu	id=g:6703594
Sungai Serdang	id=g:6703595
Pondok Siti Melati	id=g:6703596
Kampung Suburpasar Sembilan	id=g:6703597
Pondok Teladan	id=g:6703598
Pondok Sidoluwah	id=g:6703599
Pondok Karang Rejo	id=g:6703600
Pondok Sibogat	id=g:6703601
