Bukitpaya	id=g:6713002
Bukit Topah	id=g:6713003
Sirihhutan	id=g:6713004
Luhkbutil	id=g:6713005
Sigamanik	id=g:6713006
Rantau-panjang	id=g:6713007
Tualang Satu	id=g:6713008
Matangsentang	id=g:6713009
Airmasin Dua	id=g:6713010
Alur Memani	id=g:6713011
Rantau-panjang	id=g:6713012
Tamiang	id=g:6713013
Kampungbundar	id=g:6713014
Pantaitinjau	id=g:6713015
Durianlapan	id=g:6713016
Pantaiperlak	id=g:6713017
Belangridun	id=g:6713018
Tanah-merah	id=g:6713019
Paal-merah	id=g:6713020
Tualangpindah Satu	id=g:6713021
Pondokserangjaya Satu	id=g:6713022
Buluhregen	id=g:6713131
Gunungsinembah	id=g:6713132
Karanda	id=g:6713133
Karangbatu	id=g:6713134
Kerapat Dua	id=g:6713135
Kerapat Satu	id=g:6713136
Lao Kidupen	id=g:6713137
Kutabukit	id=g:6713138
Kutaklentong	id=g:6713139
Kutam-baru	id=g:6713140
Kutatuala	id=g:6713141
Laumelos	id=g:6713142
Dolok Nigoh	id=g:6713143
Rawa Payalahlah	id=g:6713144
Penggugung	id=g:6713145
Pertumbuken	id=g:6713146
Pulukembiri	id=g:6713147
Rajabernih	id=g:6713148
Rambahpanungsang	id=g:6713149
Rimaukapas	id=g:6713150
Sampuran	id=g:6713151
Serpang	id=g:6713152
Arimas	id=g:6713153
Lao Baluran Pergadungan	id=g:6713154
Lao Bangao	id=g:6713155
Lao Banjelar	id=g:6713156
Uruk Batu Gajah	id=g:6713157
Batumamak	id=g:6713158
Uruk Batumerdang	id=g:6713159
Deleng Batumilmil	id=g:6713160
Uruk Baturambat	id=g:6713161
Baturongkam	id=g:6713162
Lao Besangkal	id=g:6713163
Buahraya	id=g:6713164
Lao Buluh Laga	id=g:6713165
Buluh Pancur	id=g:6713166
Lao Buluh Pancur	id=g:6713167
Butar	id=g:6713168
Dolok Cengkeh	id=g:6713169
Dolok Cengkeh-barat	id=g:6713170
Cerumbu	id=g:6713171
Durinrugun	id=g:6713172
Deleng Gamber	id=g:6713173
Uruk Gerat	id=g:6713174
Dolok Giring	id=g:6713175
Gunung	id=g:6713176
Lau Gunung	id=g:6713177
Gunungmerlah	id=g:6713178
Gunung Pamah	id=g:6713179
Lao Jandi	id=g:6713180
Kampung Jawa	id=g:6713181
Lao Kapur	id=g:6713182
Lao Kembin	id=g:6713183
Kemkem	id=g:6713184
Kempawa	id=g:6713185
Deleng Kempawa	id=g:6713186
Lao Kermok	id=g:6713187
Kidupen	id=g:6713188
Kinangkong	id=g:6713189
Lao Kireurn	id=g:6713190
Lao Kitelangkate	id=g:6713191
Kuala	id=g:6713192
Kutabangun	id=g:6713193
Kutabuara	id=g:6713194
Kutabuluh Berteng	id=g:6713195
Kutabuluh Pasar	id=g:6713196
Kuta Gamber	id=g:6713197
Kutagerat	id=g:6713198
Kutamalu	id=g:6713199
Kutambarupunti	id=g:6713200
Kutambelin	id=g:6713201
Kutanangka	id=g:6713202
Kutapengkih	id=g:6713203
Kutarih	id=g:6713204
Lao Langkat	id=g:6713205
Laugunung	id=g:6713206
Laujuhar Dua	id=g:6713207
Laujuhar Satu	id=g:6713208
Laukapor	id=g:6713209
Laukesumpat	id=g:6713210
Laumbelin	id=g:6713211
Laumulgap	id=g:6713212
Lauperandep	id=g:6713213
Lau Peske	id=g:6713214
Lau Petundal	id=g:6713215
Laupranggunen	id=g:6713216
Lauriman	id=g:6713217
Liangmerdeka	id=g:6713218
Limang	id=g:6713219
Lingga Muda	id=g:6713220
Liren	id=g:6713221
Lao Lisang	id=g:6713222
Deleng Macik	id=g:6713223
Mangan Molih	id=g:6713224
Mbalmbalpetarum	id=g:6713225
Lao Mbelin	id=g:6713226
Loa Mbulin	id=g:6713227
Lao Mburidi	id=g:6713228
Mertelu	id=g:6713229
Lao Mertelu	id=g:6713230
Lao Metiah	id=g:6713231
Lao Ndarong	id=g:6713232
Negerijahe	id=g:6713233
Lao Ngyalam	id=g:6713234
Pamah	id=g:6713235
Lao Pangi	id=g:6713236
Lao Paradap	id=g:6713237
Parimbalang	id=g:6713238
Pasar Baru	id=g:6713239
Pasirmbelang	id=g:6713240
Pasirtengah	id=g:6713241
Payambelang	id=g:6713242
Lao Pecunda	id=g:6713243
Perbulan	id=g:6713244
Lao Perbulan	id=g:6713245
Pergendangen	id=g:6713246
Lao Perkah	id=g:6713247
Perlamben	id=g:6713248
Lao Permetten	id=g:6713249
Deleng Petunggur	id=g:6713250
Deleng Pintudayang	id=g:6713251
Deleng Pintu Kerabangen	id=g:6713252
Polatebu	id=g:6713253
Lao Primbar	id=g:6713254
Rambahtampu	id=g:6713255
Lao Rambong	id=g:6713256
Renun	id=g:6713257
Rihtengah	id=g:6713258
Lao Riman	id=g:6713259
Uruk Salit	id=g:6713260
Samperaya	id=g:6713261
Simolap	id=g:6713262
Lao Sisin	id=g:6713263
Lao Solak	id=g:6713264
Lao Solu	id=g:6713265
Sukajulu	id=g:6713266
Tanjungbale	id=g:6713267
Tanjung Gunung	id=g:6713268
Tanjung Merahe	id=g:6713269
Tanjung Pamah	id=g:6713270
Lao Taraka	id=g:6713271
Deleng Tinaruh	id=g:6713272
Deleng Tungkis	id=g:6713273
Ujung Deleng	id=g:6713274
Deleng Umang	id=g:6713275
Lao Umang	id=g:6713276
Krueng Ramasan	id=g:6713281
Wenih Rongka	id=g:6713282
Alue Segwiye	id=g:6713283
Gunung Hlulutualang	id=g:6713284
Alue Balebuja	id=g:6713285
Alue Gregah	id=g:6713286
Alue Longlah	id=g:6713287
