Bendung Pamarayan Baru	id=g:6764258
Bedeng	id=g:6764259
Tegal	id=g:6764260
Panyabrangan	id=g:6764261
Kampungsawah	id=g:6764262
Kali Anyar	id=g:6764263
Pasirranji	id=g:6764264
Gasalipasir	id=g:6764265
Catangstasion	id=g:6764266
Terusan Ciujung Kanal	id=g:6764267
Umbuljaya	id=g:6764268
Tanjungsari	id=g:6764269
Cinde	id=g:6764270
Ajag	id=g:6764271
Ranjengmasjid	id=g:6764272
Kramatkole	id=g:6764273
Pasirkadu	id=g:6764274
Warungkole	id=g:6764275
Solokan	id=g:6764276
Pasirkudak	id=g:6764277
Umbul	id=g:6764278
Hanjuang	id=g:6764279
Cinangereng	id=g:6764280
Nyampun Kidul	id=g:6764281
Sindanglaya	id=g:6764282
Gardu	id=g:6764283
Panenjoan	id=g:6764284
Ci Joro	id=g:6764285
Pulaulenang	id=g:6764286
Nusasabrang	id=g:6764287
Bojongpasir	id=g:6764288
Pasirbuyut	id=g:6764289
Cibadak	id=g:6764290
Mundu Kaler	id=g:6764291
Ciawetlebak	id=g:6764292
Kalapadua	id=g:6764293
Deper	id=g:6764294
Ranji	id=g:6764295
Gedong	id=g:6764296
Harendongpondok	id=g:6764297
Harendong	id=g:6764298
Pasirkembang	id=g:6764299
Ci Sasak	id=g:6764300
Ciseke Kidul	id=g:6764301
Poponcol	id=g:6764302
Babakancimesir	id=g:6764303
Bojongsentul	id=g:6764304
Pamonggor	id=g:6764305
Cimesir	id=g:6764306
Eulor	id=g:6764307
Pabuaran	id=g:6764308
Kamuningmasjid	id=g:6764309
Gunungleutik	id=g:6764310
Phokpand	id=g:6764311
Pasirbulu	id=g:6764312
Masjidlebak	id=g:6764313
Berani	id=g:6764314
Ciheulang Hilir	id=g:6764315
Leuwibantengpasir	id=g:6764316
Bedeng	id=g:6764317
Pasirmuncang	id=g:6764318
Jaha	id=g:6764319
Pasirkalapa	id=g:6764320
Pasirgebang	id=g:6764321
Sasakmaja	id=g:6764322
Pasirwaru	id=g:6764323
Harendongtegal	id=g:6764324
Pabuarantegal	id=g:6764325
Phokpand	id=g:6764326
Jaha	id=g:6764327
