Gadog Tengah	id=g:6774169
Gadog Lebak	id=g:6774170
Singkup	id=g:6774171
Babakanloa	id=g:6774172
Ciwedang Wetan	id=g:6774173
Nangklak	id=g:6774174
Panyaweuyan	id=g:6774175
Gununggoong	id=g:6774176
Sangati	id=g:6774177
Gunungucing	id=g:6774178
Cewenekoneng	id=g:6774179
Pamoyanan	id=g:6774180
Panyingkiran	id=g:6774181
Baros Lebak	id=g:6774182
Pataruman	id=g:6774183
Rancbeet Kulon	id=g:6774184
Rancabeet Tonggoh	id=g:6774185
Lebak	id=g:6774186
Cikiara	id=g:6774187
Samarangawi	id=g:6774188
Bongkor	id=g:6774189
Rancagede	id=g:6774190
Sanding	id=g:6774191
Lengkong Tongoh	id=g:6774192
Sirnamulya	id=g:6774193
Nenggang	id=g:6774194
Lengkong Kaler	id=g:6774195
Lengkong Kidul	id=g:6774196
Pamulihan	id=g:6774197
Cijugul	id=g:6774198
Tanjakan	id=g:6774199
Panyingkiran	id=g:6774200
Jati	id=g:6774201
Cijugul Kaler	id=g:6774202
Situ Cisanca	id=g:6774203
Ciroyom	id=g:6774204
Cisanca Kaler	id=g:6774205
Cisanca Kidul	id=g:6774206
Melayuhotel	id=g:6774207
Melayukaca	id=g:6774208
Melayupeuntas	id=g:6774209
Pasirnyalindung	id=g:6774210
Pasir	id=g:6774211
Janggol	id=g:6774212
Babakanpalah	id=g:6774213
Sangkali	id=g:6774214
Siseke Kaler	id=g:6774215
Siseke Legok	id=g:6774216
Lingga	id=g:6774217
Sirnagalih	id=g:6774218
Genteng	id=g:6774219
Nenggang	id=g:6774220
Cipangsor	id=g:6774221
Leuceun	id=g:6774222
Sungai Mainah	id=g:6774223
Sangkan	id=g:6774224
Babakankiara	id=g:6774225
Munjul	id=g:6774226
Bongkor	id=g:6774227
Pasirmuncang	id=g:6774228
Situgirang	id=g:6774229
Situgirang Lebak	id=g:6774230
Lengkong Hilir	id=g:6774231
Cilemah	id=g:6774232
Pasirucing	id=g:6774233
Sukahaji	id=g:6774234
Nangkelan	id=g:6774235
Cimeuncek	id=g:6774236
Pajangan	id=g:6774237
Bojongsari	id=g:6774238
Barusari	id=g:6774239
Sinarasih	id=g:6774240
Cicau	id=g:6774241
Barujati	id=g:6774242
Sinarrasa	id=g:6774243
Ciguna	id=g:6774244
Ci Mulangcimaling	id=g:6774245
Pangsar Kulon	id=g:6774246
Barospaseh	id=g:6774247
Sampireun	id=g:6774248
Pojok	id=g:6774249
