Kali Kempong	id=g:6791402
Dukuh Kidul	id=g:6791403
Kasogunung	id=g:6791404
Kasotengah	id=g:6791405
Dorogunung	id=g:6791406
Desa Dororejo	id=g:6791407
Dorotekisan	id=g:6791408
Doromantek	id=g:6791409
Randukuning Utara	id=g:6791410
Larikan Timur	id=g:6791411
Larikan Barat	id=g:6791412
Randukuning Barat	id=g:6791413
Randukuning Timur	id=g:6791414
Kali Rengos	id=g:6791415
Pedawang Barat	id=g:6791416
Wonorejo	id=g:6791417
Dukuhsari	id=g:6791418
Krajan Satu	id=g:6791419
Krajan Dua	id=g:6791420
Padurekso	id=g:6791421
Kali Secowet	id=g:6791422
Secowet	id=g:6791423
Sontel	id=g:6791424
Desa Legokkalong	id=g:6791425
Pedawang Timur	id=g:6791426
Jatisandong	id=g:6791427
Tembelang Kulon	id=g:6791428
Kali Sorosido	id=g:6791429
Desa Harjosari	id=g:6791430
Kali Selumpang	id=g:6791431
Kadempel	id=g:6791432
Kadempelgedong	id=g:6791433
Rondongungak	id=g:6791434
Wero	id=g:6791435
Gendayur	id=g:6791436
Bamban	id=g:6791437
Suroloyo	id=g:6791438
Winoyo	id=g:6791439
Seletong	id=g:6791440
Mesoyi	id=g:6791441
Gumanti	id=g:6791442
Desa Mesoyi	id=g:6791443
Buntu	id=g:6791444
Plumutan	id=g:6791445
Kali Sentul	id=g:6791446
Desa Sengare	id=g:6791447
Beji	id=g:6791448
Sengarekrajan	id=g:6791449
Kali Kebonmati	id=g:6791450
Cokrah	id=g:6791451
Condong	id=g:6791452
Bremi	id=g:6791453
Keprok	id=g:6791454
Bremi Kulon	id=g:6791455
Sibantal	id=g:6791456
Dampit	id=g:6791457
Makamdowo	id=g:6791458
Kali Daeng	id=g:6791459
Kroyakan	id=g:6791460
Cijeruk	id=g:6791461
Bagol	id=g:6791462
Desa Lemahabang	id=g:6791463
Cokrah	id=g:6791464
Kali Sarak	id=g:6791465
Sorosido	id=g:6791466
Surangan	id=g:6791467
Sawahansari	id=g:6791468
Desa Rogoselo	id=g:6791469
Plumutan	id=g:6791470
Tembelang Wetan	id=g:6791471
Blimbing	id=g:6791472
Temiang Wetan	id=g:6791473
Temiang	id=g:6791474
Sengkarang	id=g:6791475
Tembogo	id=g:6791476
Sampel	id=g:6791477
Lolong	id=g:6791478
Karangrejo	id=g:6791479
Sirukun	id=g:6791480
Desa Pedawang	id=g:6791481
Bandung	id=g:6791482
Bangunrejo	id=g:6791483
Rogoselokaum	id=g:6791484
Cekdam Girimulyo	id=g:6791485
Duagang	id=g:6791486
Genjah	id=g:6791487
Lemahabang Lor	id=g:6791488
Maranti	id=g:6791489
Lemahabang Kidul	id=g:6791490
Cinanas	id=g:6791491
Bremidukuh	id=g:6791492
Bremi Kidul	id=g:6791493
Bembem	id=g:6791494
Sengare Kidul	id=g:6791495
Karyamukti	id=g:6791496
Krasak	id=g:6791497
Simbar	id=g:6791498
Jolotigodesa	id=g:6791499
Desa Jolotigo	id=g:6791500
Jatitigopabrik	id=g:6791501
Rokom	id=g:6791502
Rancah	id=g:6791503
Kopeng	id=g:6791504
Pungangan	id=g:6791505
Sinang	id=g:6791506
Sento	id=g:6791507
Wonomulyo	id=g:6791508
Prumpang	id=g:6791509
Sawangan	id=g:6791510
Desa Lolong	id=g:6791511
Sinutug	id=g:6791512
Desa Pungangan	id=g:6791513
Gunung Silangit	id=g:6791514
Desa Sidoharjo	id=g:6791515
Kebonmanis	id=g:6791516
Gunung Gruda	id=g:6791517
Kayupuring	id=g:6791518
Gunung Gundul	id=g:6791519
Desa Kayupuring	id=g:6791520
Gunung Sirandu	id=g:6791521
Sokokembang	id=g:6791522
Teluk	id=g:6791523
Pakuluran	id=g:6791524
Gunung Beser	id=g:6791525
Gunung Mronggo	id=g:6791526
Gunung Grebeg	id=g:6791527
Desa Kapundutan	id=g:6791528
Gunung Kemuning	id=g:6791529
Peliken	id=g:6791530
Gunung Ketir	id=g:6791531
Desa Bantar Kulon	id=g:6791532
Gunung Kelir	id=g:6791533
Traje	id=g:6791534
Kali Toso	id=g:6791535
Bantar Kulon	id=g:6791536
Kromong	id=g:6791537
Kali Kapundutan	id=g:6791538
Cilengak	id=g:6791539
Kali Pucung	id=g:6791540
Desa Lebakbarang	id=g:6791541
Kali Guci	id=g:6791542
Karanggondang	id=g:6791543
Tropong	id=g:6791544
Desa Kutorembet	id=g:6791545
Mendolo	id=g:6791546
Kali Pole	id=g:6791547
Kradegan	id=g:6791548
Gunung Tawon	id=g:6791549
Kali Wisnu	id=g:6791550
Desa Mendolo	id=g:6791551
Kali Sekung	id=g:6791552
Keduweng	id=g:6791553
Siwunut	id=g:6791557
Kecamatan Wonotunggal	id=g:6791558
Tegalsari	id=g:6791559
Sendangampel	id=g:6791560
Sendang Lor	id=g:6791561
Desa Sendang	id=g:6791562
Sengkonan	id=g:6791563
Sanggeran	id=g:6791564
Jatisari	id=g:6791565
Pucanggading Lor	id=g:6791566
Pucanggading Wetan	id=g:6791567
Desa Pucanggading	id=g:6791568
Trembyak	id=g:6791569
Kemamang	id=g:6791570
Desa Candi	id=g:6791571
Begal	id=g:6791572
Durensari	id=g:6791573
Desa Pecalungan	id=g:6791574
Krajan	id=g:6791575
Silambang	id=g:6791576
Munggangsari	id=g:6791577
Desa Gombong	id=g:6791578
Sumber	id=g:6791579
Bludru	id=g:6791580
Sendang Kidul	id=g:6791581
Sidodot	id=g:6791582
Siresung	id=g:6791583
Jamberoso	id=g:6791584
Desa Tambakrejo	id=g:6791585
Pucanggading Tengah	id=g:6791586
Krajan	id=g:6791587
Gondang	id=g:6791588
Druensari	id=g:6791589
Krajan Dua	id=g:6791590
Desa Kluwih	id=g:6791591
Jlegong	id=g:6791592
Plenden	id=g:6791593
Kedungdowo	id=g:6791594
Bojosari	id=g:6791595
Kempyungan	id=g:6791596
Tinandu	id=g:6791597
Kauman	id=g:6791598
Kali Jamban	id=g:6791599
Kali Atis	id=g:6791600
Rajengan Dua	id=g:6791601
Rajengan Satu	id=g:6791602
Gondangan	id=g:6791603
Desa Randu	id=g:6791604
Kedungmalang	id=g:6791605
Karanggondang	id=g:6791606
Wrage	id=g:6791607
Sidokerso	id=g:6791608
Condong	id=g:6791609
Bahgoran	id=g:6791610
Klegon	id=g:6791611
Sikidang	id=g:6791612
Sikuntul	id=g:6791613
Krajan	id=g:6791614
Silumbu	id=g:6791615
Kali Terju	id=g:6791616
Krajan Satu	id=g:6791617
Gerdu	id=g:6791618
Kemuning	id=g:6791619
Delisen	id=g:6791620
Kebonsari	id=g:6791621
Kali Jumlang	id=g:6791622
Desa Pretek	id=g:6791623
Pretek	id=g:6791624
Bulurejo	id=g:6791625
Kali Klulip	id=g:6791626
Siguci	id=g:6791627
Kali Curuk	id=g:6791628
Karangjati	id=g:6791629
Pecalungan	id=g:6791630
Randu Tengah	id=g:6791631
Bandon	id=g:6791632
Saren	id=g:6791633
Manggeran	id=g:6791634
Kali Wadas	id=g:6791635
Piois	id=g:6791636
Maron Barat	id=g:6791637
Kali Sebeleber	id=g:6791638
Guci	id=g:6791639
Proto	id=g:6791640
Cinde	id=g:6791641
Kali Situlung	id=g:6791642
Kali Siwarak	id=g:6791643
Krangrang	id=g:6791644
Sikendil	id=g:6791645
Sidomulyo	id=g:6791646
Kali Kecepak	id=g:6791647
Desa Bandar	id=g:6791648
Wonoyoso	id=g:6791649
Desa Wonokerto	id=g:6791650
Siayam	id=g:6791651
Sipule	id=g:6791652
Salam	id=g:6791653
Ngroto	id=g:6791654
Gerdu	id=g:6791655
Manggungan	id=g:6791656
Sideleg Lor	id=g:6791657
Wadas	id=g:6791658
Kesruk	id=g:6791659
Langsean	id=g:6791660
Sumilir	id=g:6791661
Kali Sumilir	id=g:6791662
Tawangsari	id=g:6791663
Kali Winong	id=g:6791664
Desa Gringgingsari	id=g:6791665
Cokrah	id=g:6791666
Desa Pesalakan	id=g:6791667
Sirobyong	id=g:6791668
Desa Binangun	id=g:6791669
Binangun	id=g:6791670
Kecamatan Bandar	id=g:6791671
Karetan	id=g:6791672
Kampir	id=g:6791673
Toso	id=g:6791674
Margosari	id=g:6791675
Margoyoso	id=g:6791676
Desa Toso	id=g:6791677
Kali Granggang	id=g:6791678
Plosorejo	id=g:6791679
Kalipancur Satu	id=g:6791680
Desa Kalipancur	id=g:6791681
Niram	id=g:6791682
Desa Selokarto	id=g:6791683
Sideleg Kidul	id=g:6791684
Gringgingsari	id=g:6791685
Kali Warono	id=g:6791686
Ujungsari	id=g:6791687
Kali Ujung	id=g:6791688
Situmpeng	id=g:6791689
Sidokeno	id=g:6791690
Sidorejo	id=g:6791691
Sidodadi	id=g:6791692
Cendono	id=g:6791693
Sipari	id=g:6791694
Sidayu	id=g:6791695
Kali Jelegong	id=g:6791696
Jetis	id=g:6791697
Desa Sidayu	id=g:6791698
Trimas	id=g:6791699
Bulurejo	id=g:6791700
Kalipancur Dua	id=g:6791701
Siwarak	id=g:6791702
Keblek	id=g:6791703
Ampelgading	id=g:6791704
Banjaran	id=g:6791705
Kali Ces	id=g:6791706
Wonodadi	id=g:6791707
Wonosido	id=g:6791708
Sidomulyo	id=g:6791709
Kali Sekuwung	id=g:6791710
Desa Wonodadi	id=g:6791711
Kemejing	id=g:6791712
Cepoko	id=g:6791713
Tembelang	id=g:6791714
Tumbrep	id=g:6791715
Buntit	id=g:6791716
Desa Tumbrep	id=g:6791717
Kali Sibancet	id=g:6791718
Wonosari	id=g:6791719
Rembul	id=g:6791720
Kaliseneng	id=g:6791721
Bendobungkus	id=g:6791722
Banaran	id=g:6791723
