Bukii Tikup	id=g:6971345
Botakna Tikup	id=g:6971346
Bukii Bendera	id=g:6971347
Botakna Paradak Satu	id=g:6971348
Botakna Paradak Dua	id=g:6971349
Takudan	id=g:6971350
Bukii Karamat	id=g:6971351
Botakna Yamanbodi	id=g:6971352
Botakna Pajontenan	id=g:6971353
Botakna Benuang	id=g:6971354
Botakna Diule	id=g:6971355
Bukii Yamanbodi	id=g:6971356
Bukii Palapat	id=g:6971357
Bukii Bei	id=g:6971358
Botakna Bei	id=g:6971359
Botakna Matop	id=g:6971360
Lakuan Buol	id=g:6971361
Botakna Rawa	id=g:6971362
Botakna Lakuan	id=g:6971363
Botakna Morloitom	id=g:6971364
Muara Lakuan	id=g:6971365
Tunggilio Paulyang	id=g:6971366
Tunggilio Monulipo	id=g:6971367
Botakna Monulipo	id=g:6971368
Tunggilio Barabatu	id=g:6971369
Lamakan	id=g:6971370
Louyok Barabatu	id=g:6971371
Kano	id=g:6971372
Botakna Kano	id=g:6971373
Botakna Malolok	id=g:6971374
Bukii Ondor	id=g:6971375
Tunggilio Malolok	id=g:6971376
Kineke	id=g:6971377
Baruga	id=g:6971378
Botakna Boyay	id=g:6971379
Mokupo Baru	id=g:6971380
Bukii Mendaan	id=g:6971381
Tunggilio Titiku	id=g:6971382
Tunggilio Jin	id=g:6971383
Bukii Pomadokan	id=g:6971384
Tunggilio Bobonaton	id=g:6971385
Tunggilio Buyu	id=g:6971386
Tunggilio Ngune	id=g:6971387
Mendaanbesar	id=g:6971388
Tunggilio Lagandele	id=g:6971389
Tunggilio Butun	id=g:6971390
Bukii Poongan	id=g:6971391
Bukii Papad	id=g:6971392
Tunggilio Kaidung	id=g:6971393
Botakna Lamakan	id=g:6971394
Botakna Paulyang	id=g:6971395
Kecamatan Batauga	id=g:6971396
Kecamatan Sampolawa	id=g:6971397
Pulau Liwutonkidi	id=g:6971398
Sulaa	id=g:6971399
Banabungi	id=g:6971400
Kapoa	id=g:6971401
Tanjung Masinggaro	id=g:6971402
Topa	id=g:6971403
Tanjung Lombe	id=g:6971404
Labalawa	id=g:6971405
Lawela	id=g:6971406
Labusa	id=g:6971407
Wurugana	id=g:6971408
Wasambua	id=g:6971409
Laompo	id=g:6971410
Burukene	id=g:6971411
Kambekambero	id=g:6971412
Lakulepa	id=g:6971413
Tanjung Lianawanti	id=g:6971414
Kakenauwe	id=g:6971415
Rano	id=g:6971416
Poogalampa	id=g:6971417
Ndauli	id=g:6971418
Kampidi	id=g:6971419
Nambotoowa	id=g:6971420
Buku	id=g:6971421
Laguali	id=g:6971422
Kangkele	id=g:6971423
Wawulaka	id=g:6971424
Katilombu	id=g:6971425
Kaulele	id=g:6971426
Pagala	id=g:6971427
Makolona	id=g:6971428
Uwebonto	id=g:6971429
Lapola	id=g:6971430
Tampalas	id=g:6971431
Laporoworu	id=g:6971432
Kodamanu	id=g:6971433
Katolemando	id=g:6971434
Benteng	id=g:6971435
Lapara	id=g:6971436
Banabungitongali	id=g:6971437
Lontoi	id=g:6971438
Banawa	id=g:6971439
Kaimbulawa	id=g:6971440
Jalanlapara	id=g:6971441
Gunu Lipu	id=g:6971442
Tanjung Wamburuburu	id=g:6971443
Tanjung Wakantofi	id=g:6971444
Gunu Ombo	id=g:6971445
Tanjung Wacumondawu	id=g:6971446
Bahari	id=g:6971447
Gunu Wamose	id=g:6971448
Tira	id=g:6971449
Gunu Baruci	id=g:6971450
Gunu Kantungara	id=g:6971451
Gunu Kalangana	id=g:6971452
Gunu Wakoropua	id=g:6971453
Umala Wandoke	id=g:6971454
Umala Wolengke	id=g:6971455
Raha Koloha	id=g:6971456
Raha Wabanca	id=g:6971457
Raha Uwemagari	id=g:6971458
Raha Cida	id=g:6971459
Tanjung Labuki	id=g:6971460
Lakaliba	id=g:6971461
Lande	id=g:6971462
Sempasempa	id=g:6971463
Tandea	id=g:6971464
Tambunaloko	id=g:6971465
Asa	id=g:6971466
Banabungi	id=g:6971467
Laburunci	id=g:6971468
Lapanda	id=g:6971469
Wagola	id=g:6971470
