Wae Cia	id=g:7058141
Wae Hedang	id=g:7058142
Wae Wangkung	id=g:7058143
Wae Naling	id=g:7058144
Wae Tiba	id=g:7058145
Wae Wau	id=g:7058146
Racang	id=g:7058147
Weri	id=g:7058148
Nggola	id=g:7058149
Werak	id=g:7058150
Rengka	id=g:7058151
Poka	id=g:7058152
Podong	id=g:7058153
Kolong	id=g:7058154
Nara	id=g:7058155
Pasat	id=g:7058156
Dempol	id=g:7058157
Rangga	id=g:7058158
Sarong	id=g:7058159
Langkesiku	id=g:7058160
Buru	id=g:7058161
Dumar	id=g:7058162
Modo	id=g:7058163
Tebang	id=g:7058164
Peranglau	id=g:7058165
Gololajar	id=g:7058166
Ledang	id=g:7058167
Tanda	id=g:7058168
Jong	id=g:7058169
Maras	id=g:7058170
Lale	id=g:7058171
Rempo	id=g:7058172
Mangas	id=g:7058173
Rehak	id=g:7058174
Gonggong	id=g:7058175
Urang	id=g:7058176
Gencor	id=g:7058177
Poreng	id=g:7058178
Redo	id=g:7058179
Werak	id=g:7058180
Kondeng	id=g:7058181
Nderu	id=g:7058182
Wakas	id=g:7058183
Manga	id=g:7058184
Pontopepak	id=g:7058185
Lota	id=g:7058186
Tungal	id=g:7058187
Torok	id=g:7058188
Beci	id=g:7058189
Deket	id=g:7058190
Pana	id=g:7058191
Perangle	id=g:7058192
Golo Pontoara	id=g:7058193
Ndoso	id=g:7058194
Tuwa	id=g:7058195
Kilor	id=g:7058196
Damar	id=g:7058197
Panglembor	id=g:7058198
Waebangka	id=g:7058199
Benteng	id=g:7058200
Poco Tano	id=g:7058201
Golo Nocot	id=g:7058202
Sepe	id=g:7058204
Golo Dede	id=g:7058205
Golo Puntu	id=g:7058206
Golo Lenteng	id=g:7058207
Raong	id=g:7058208
Ketang	id=g:7058209
Lentang	id=g:7058210
Watuweri	id=g:7058211
Gololando	id=g:7058212
Pelus	id=g:7058213
Kalo	id=g:7058214
Cireng	id=g:7058215
Nampe	id=g:7058216
Ruang	id=g:7058217
Bola	id=g:7058218
Norang	id=g:7058219
Rhokoe	id=g:7058220
Nteer	id=g:7058221
Poco Wai	id=g:7058222
Poco Rongkong	id=g:7058223
Poco Desu	id=g:7058224
Poco Lukup	id=g:7058225
Repok	id=g:7058226
Poco Cuing	id=g:7058227
Rato	id=g:7058228
Ruwat	id=g:7058229
Gejar	id=g:7058230
Pongwakar	id=g:7058231
Poco Ngkerok	id=g:7058232
Perang	id=g:7058233
Kenggu	id=g:7058234
Raka	id=g:7058235
Golorondong	id=g:7058236
Golosatar	id=g:7058237
Waelelang	id=g:7058238
Tango	id=g:7058239
Lamba	id=g:7058240
Golo Wakel	id=g:7058241
Wakel	id=g:7058242
Manu	id=g:7058243
Koter	id=g:7058244
Anam	id=g:7058245
Nangka	id=g:7058246
Bung	id=g:7058247
Pela	id=g:7058248
Pedang	id=g:7058249
Dantar	id=g:7058250
Joeng	id=g:7058251
Langkemajok	id=g:7058252
Tengger	id=g:7058253
Bangkaranda	id=g:7058254
Lala	id=g:7058255
Waning	id=g:7058256
Moak	id=g:7058257
Paka	id=g:7058258
Tuweng	id=g:7058259
Kole	id=g:7058260
Mukang	id=g:7058261
Ling	id=g:7058262
Matawae	id=g:7058263
Lela	id=g:7058264
Ndajang	id=g:7058265
Bumbek	id=g:7058266
Golo Lawis	id=g:7058267
Rengka	id=g:7058268
Lia	id=g:7058269
Wudi	id=g:7058270
Daper	id=g:7058271
Ntaur	id=g:7058272
Desu	id=g:7058273
Welo	id=g:7058274
Ago	id=g:7058275
Tunga	id=g:7058276
Roang	id=g:7058277
Hawut	id=g:7058278
Golopurang	id=g:7058279
Lukup	id=g:7058280
Ledang	id=g:7058281
Lancang	id=g:7058282
Kembur	id=g:7058283
Bocak	id=g:7058284
Ranging	id=g:7058285
Tampar	id=g:7058286
Uluwae	id=g:7058287
Gulung	id=g:7058288
Sita	id=g:7058289
Wangkung	id=g:7058290
Popo	id=g:7058291
Nireng	id=g:7058292
Wesa	id=g:7058293
Golomeze	id=g:7058294
Jaong	id=g:7058295
Laing	id=g:7058296
Gepis	id=g:7058297
Sekok	id=g:7058298
Golo Wusul	id=g:7058299
Golonderu	id=g:7058300
Wae Meti	id=g:7058301
Wae Nangker	id=g:7058302
Wae Muntele	id=g:7058303
Wae Tenga	id=g:7058304
Desa Pontoara	id=g:7058305
Buas	id=g:7058306
Kecamatan Pocoranaka	id=g:7058482
Tengker	id=g:7058483
Lokot	id=g:7058484
Pandang	id=g:7058485
Masing	id=g:7058486
Welik	id=g:7058487
Wol	id=g:7058488
Lait	id=g:7058489
Wajur	id=g:7058490
Hawe	id=g:7058491
Nao	id=g:7058492
Lenga	id=g:7058493
Kolang	id=g:7058494
Bentang	id=g:7058495
Redek	id=g:7058496
Ndaung	id=g:7058497
Jewong	id=g:7058498
Koet	id=g:7058499
Tado	id=g:7058500
Ranggu	id=g:7058501
Beakalo	id=g:7058502
Lamas	id=g:7058503
Bilas	id=g:7058504
Ker	id=g:7058505
Pata	id=g:7058506
Golopau	id=g:7058507
Kotok	id=g:7058508
Rejing	id=g:7058509
Dengko	id=g:7058510
Lambur	id=g:7058511
Beanggorong	id=g:7058512
Leda	id=g:7058513
Runa	id=g:7058514
Sukabangka	id=g:7058515
Buse	id=g:7058516
Sukakiong	id=g:7058517
Tebang	id=g:7058518
Tangar	id=g:7058519
Teno	id=g:7058520
Dadar	id=g:7058521
Lasang	id=g:7058522
Waedangka	id=g:7058523
Waenara	id=g:7058524
Rebak	id=g:7058525
Rawuk	id=g:7058526
Balo	id=g:7058527
Damu	id=g:7058528
Dahang	id=g:7058529
Subu	id=g:7058530
Lenteng	id=g:7058531
Ndiwar	id=g:7058532
Lehot	id=g:7058533
Momol	id=g:7058534
Watumotang	id=g:7058535
Golowelu	id=g:7058536
Satarara	id=g:7058537
Gulang	id=g:7058538
Pering	id=g:7058539
Nati	id=g:7058540
Pahar	id=g:7058541
Rohak	id=g:7058542
Tonggur	id=g:7058543
Pajo	id=g:7058544
Sano	id=g:7058545
Belangta	id=g:7058546
Kasong	id=g:7058547
Lando	id=g:7058548
Lareng	id=g:7058549
Sama	id=g:7058550
Ntalung	id=g:7058551
Lenggo	id=g:7058552
Coal	id=g:7058553
Porongtedeng	id=g:7058554
Lida	id=g:7058555
Wela	id=g:7058556
Mbohang	id=g:7058557
Werong	id=g:7058558
Puntu	id=g:7058559
Tentang	id=g:7058560
Lingkonderu	id=g:7058561
Raka	id=g:7058562
Welu	id=g:7058563
Senda Barat	id=g:7058564
Senda Timur	id=g:7058565
Lewur	id=g:7058566
Lewurbangka	id=g:7058567
Goloworok	id=g:7058568
Lawangpuni	id=g:7058569
Gulung	id=g:7058570
Welu	id=g:7058571
Todo	id=g:7058572
Tengar	id=g:7058573
Pora	id=g:7058574
Lingkosarang	id=g:7058575
Rembong	id=g:7058576
Dimpong	id=g:7058577
Nggawut	id=g:7058578
Tengka	id=g:7058579
Lujang	id=g:7058580
Lawi	id=g:7058581
Galang	id=g:7058582
Golotebo	id=g:7058583
Lewat Satu	id=g:7058584
Lewat Dua	id=g:7058585
Sampar	id=g:7058586
Nggawang	id=g:7058587
Rentung	id=g:7058588
Maras	id=g:7058589
Manggaluwa	id=g:7058590
Longko	id=g:7058591
Loi	id=g:7058592
Lengor	id=g:7058593
Laja	id=g:7058594
Mangge	id=g:7058595
Meler	id=g:7058596
Cobol	id=g:7058597
Pinggong	id=g:7058598
Lagor	id=g:7058599
Bobohucu	id=g:7058600
Bea Belang	id=g:7058601
Golo Ranggo	id=g:7058602
Golo Riwu	id=g:7058603
Golo Lolo	id=g:7058604
Golo Ngelu	id=g:7058605
Golo Wohe	id=g:7058606
Golo Mese	id=g:7058607
Golo Wunga	id=g:7058608
Golo Wulang	id=g:7058609
Golo Buru	id=g:7058610
Golo Rincang	id=g:7058611
Golo Ruu	id=g:7058612
Golo Ngantok	id=g:7058613
Golo Lompong	id=g:7058614
Golo Bobowoe	id=g:7058615
Golo Seng	id=g:7058616
Golo Moal	id=g:7058617
Golo Pau	id=g:7058618
Golo Pengang	id=g:7058619
Golo Lingga	id=g:7058620
Poco Wuler	id=g:7058621
Poco Dangka	id=g:7058622
Golo Lesu	id=g:7058623
Golo Rimang	id=g:7058624
Golo Gonsa	id=g:7058625
Golo Sago	id=g:7058626
Golo Pateng	id=g:7058627
Golo Lasang	id=g:7058628
Golo Rongkong	id=g:7058629
Watu Runget	id=g:7058630
Poco Ntalung	id=g:7058631
Poco Pimpi	id=g:7058632
Golo Soso	id=g:7058633
Golo Rai	id=g:7058634
Golo Watumbulung	id=g:7058635
Golo Lohot	id=g:7058636
Golo Sombang	id=g:7058637
Golo Liangruju	id=g:7058638
Golo Taila	id=g:7058639
Golo Nggilat	id=g:7058640
Golo Ambang	id=g:7058641
Golo Reti	id=g:7058642
Golo Wua	id=g:7058643
Golo Woni	id=g:7058644
Poco Seger	id=g:7058645
Golo Reti	id=g:7058646
Golo Ida	id=g:7058647
Golo Mawu	id=g:7058648
Golo Sano	id=g:7058649
Golo Puarlewe	id=g:7058650
Golo Cerocie	id=g:7058651
Golo Gego	id=g:7058652
Golo Nderu	id=g:7058653
Golo Tengkulawa	id=g:7058654
Golo Rii	id=g:7058655
Golo Tando	id=g:7058656
Watu Pengkot	id=g:7058657
Poco Teong	id=g:7058658
Golo Suung	id=g:7058659
Golo Tando	id=g:7058660
Golo Putuk	id=g:7058661
Golo Tebo	id=g:7058662
Golo Rak	id=g:7058663
Golo Cenge	id=g:7058664
Golo Nawang	id=g:7058665
Bendung Waeracang	id=g:7058666
Bendung Waetaiang	id=g:7058667
Bendung Waeka	id=g:7058668
Bendung Waerentang	id=g:7058669
Wae Til	id=g:7058670
Wae Ruang	id=g:7058671
Wae Rangat	id=g:7058672
Wae Mulu	id=g:7058673
Wae Dolor	id=g:7058674
Wae Matas	id=g:7058675
Bendung Waekor	id=g:7058676
Wae Aur	id=g:7058677
Wae Rangat	id=g:7058678
Wae Muwu	id=g:7058679
Wae Tai	id=g:7058680
Wae Lus	id=g:7058681
