Tonduff South	id=g:3315156
Tonduff North	id=g:3315157
Coffin Stone	id=g:3315158
Deer Park	id=g:3315159
Maulin	id=g:3315160
Killough	id=g:3315161
Kilmacanoge	id=g:3315162
Long Hill	id=g:3315163
Bahana	id=g:3315164
Hollybrook	id=g:3315165
Wingfield	id=g:3315166
Ballyorney	id=g:3315167
Bushy Park	id=g:3315168
Charleville House	id=g:3315169
Tinnehinch House	id=g:3315170
Killbride	id=g:3315171
Newtown Vevay	id=g:3315172
Rannock House	id=g:3315173
Knockree	id=g:3315174
Ballyreagh Wood	id=g:3315175
Ballycoyle	id=g:3315176
Aurora	id=g:3315177
Barnamire	id=g:3315178
Curtlestown	id=g:3315179
Lough Bray Lower	id=g:3315180
Lough Bray Upper	id=g:3315181
Ravens Rock	id=g:3315182
Ballybrew	id=g:3315183
Killegar House	id=g:3315184
Kilmallin	id=g:3315185
Oldboleys	id=g:3315186
Glencree	id=g:3315187
Athdown	id=g:3315188
Shankill River	id=g:3315189
Shankill	id=g:3315190
Cloghleagh	id=g:3315191
Ballyfolan	id=g:3315192
Dowry	id=g:3315193
Hempstown	id=g:3315194
Cross Chapel	id=g:3315195
Golden Hill	id=g:3315196
Butter Mountain	id=g:3315197
Brittas River	id=g:3315198
Tinode House	id=g:3315199
Eadestown	id=g:3315200
Punchestown House	id=g:3315201
Hillsborough Hall	id=g:3315202
Punchestown House	id=g:3315203
Little Bray	id=g:3315204
Old Connaught	id=g:3315205
Phrompstown House	id=g:3315206
Wilfort House	id=g:3315207
Old Conna Hill	id=g:3315208
Woodbrook	id=g:3315209
Cork Abbey	id=g:3315210
Ballycorus	id=g:3315211
Glencullen	id=g:3315212
Rockville	id=g:3315213
Kiltiernan	id=g:3315214
Golden Ball	id=g:3315215
Jamestown House	id=g:3315216
Three Rock Mountain	id=g:3315217
Fern Hill	id=g:3315218
Boranaraltry	id=g:3315219
Tibradden Mountain	id=g:3315220
Cruagh Mountain	id=g:3315221
Kilmashogue Mountain	id=g:3315222
Killakee Mountain	id=g:3315223
Larch Hill	id=g:3315224
Cot Brook	id=g:3315225
Slade Brook	id=g:3315226
Glenasmole Lodge	id=g:3315227
Cunard	id=g:3315228
Ballymorefinn Hill	id=g:3315229
Friarstown House	id=g:3315230
Ballinascorney House	id=g:3315231
Arthurstown	id=g:3315232
Porterstown	id=g:3315233
Fodeens	id=g:3315234
Furryhill	id=g:3315235
Cupidstownhill	id=g:3315236
Farmersvale	id=g:3315237
Castlewarden House	id=g:3315238
Oughterard	id=g:3315239
Boston House	id=g:3315240
Skeagh House	id=g:3315241
Newcastle House	id=g:3315242
Athgoe	id=g:3315243
Johnstown House	id=g:3315244
Badgerhill	id=g:3315245
Saggart Hill	id=g:3315246
Brittas	id=g:3315247
Redgap	id=g:3315248
Raheen	id=g:3315249
Mount Seskin	id=g:3315250
Knockannavea	id=g:3315251
Verschoyles Hill	id=g:3315252
Slievenabawnoge	id=g:3315253
Tallaght Hill	id=g:3315254
Fort Bridge	id=g:3315255
Marlfield	id=g:3315256
Fern Vale	id=g:3315257
Tassaggart	id=g:3315258
Woodtown	id=g:3315259
Oldcourt House	id=g:3315260
Ellenborough House	id=g:3315261
Rockbrook	id=g:3315262
Owendoher River	id=g:3315263
Whitechurch	id=g:3315264
Fettercairn House	id=g:3315265
Kilmateed House	id=g:3315266
Kingswood	id=g:3315267
Belgard	id=g:3315268
Kilnamanagh House	id=g:3315269
Ballymount	id=g:3315270
Corkagh House	id=g:3315271
Castle Bagot	id=g:3315272
Nangor Castle	id=g:3315273
Moyle Park	id=g:3315274
Cappagh House	id=g:3315275
Firhouse	id=g:3315276
Sandyford	id=g:3315278
Leopardstown	id=g:3315279
Foxrock	id=g:3315280
Ballybrack	id=g:3315281
Sallynoggin	id=g:3315282
Kill of the Grange	id=g:3315283
Deans Grange	id=g:3315284
Galloping Green	id=g:3315285
Dargle River	id=g:3315286
Rathgar	id=g:3315287
Milltown	id=g:3315288
Peamount	id=g:3315289
