Upla	id=g:1253739
Uphula	id=g:1253740
Uperro	id=g:1253741
Uparwāra	id=g:1253742
Ūpalvai	id=g:1253743
Uppal Kalan	id=g:1253744
Unurāla	id=g:1253745
Untāla	id=g:1253746
Unnāo	id=g:1253747
Unnāo	id=g:1253748
Unmaru	id=g:1253749
Unjha	id=g:1253750
Uniāra	id=g:1253751
Uniāra	id=g:1253752
Unhel	id=g:1253753
Unhel	id=g:1253754
Ungr	id=g:1253755
Ungma	id=g:1253756
Undu	id=g:1253757
Und River	id=g:1253758
Undragedda	id=g:1253759
Undithal	id=g:1253760
Undīrgaon	id=g:1253761
Undiāl	id=g:1253762
Undi	id=g:1253763
Underi Island	id=g:1253764
Undavalle	id=g:1253765
Undangaon	id=g:1253766
Unchod	id=g:1253767
Unchibali	id=g:1253768
Unchdih	id=g:1253769
Unchāwad	id=g:1253770
Unchaulia	id=g:1253771
Unchahra	id=g:1253772
Ūnchāhar	id=g:1253773
Unchagao	id=g:1253774
Unawal	id=g:1253775
Unārsi	id=g:1253776
Unārsi	id=g:1253777
Unao Branch	id=g:1253778
Unao	id=g:1253779
Unanda River	id=g:1253780
Unāi and Bānsda Road	id=g:1253781
Una	id=g:1253782
Una	id=g:1253783
Una	id=g:1253784
Ūn	id=g:1253785
Un	id=g:1253786
Un	id=g:1253787
Umunur	id=g:1253788
Umta	id=g:1253789
Umswai	id=g:1253790
Umsning	id=g:1253791
Um Siang	id=g:1253792
Umshem	id=g:1253793
Umria	id=g:1253794
Umrī	id=g:1253795
Umri	id=g:1253796
Umrī	id=g:1253797
Umri	id=g:1253798
Umri	id=g:1253799
Umri	id=g:1253800
Umri	id=g:1253801
Umri	id=g:1253802
Umri	id=g:1253803
Umri	id=g:1253804
Umreth	id=g:1253805
Umreth	id=g:1253806
Umred	id=g:1253807
Umrat	id=g:1253808
Umrāoganj	id=g:1253809
Umran Tāl	id=g:1253810
Umran Lake	id=g:1253811
Umra Nāl	id=g:1253812
Umra Nadī	id=g:1253813
Umran	id=g:1253814
Umrāla	id=g:1253815
Umra	id=g:1253816
Umra	id=g:1253817
Umpura	id=g:1253818
Umphyrphra	id=g:1253819
Umpanai Christian	id=g:1253820
Ummawblei	id=g:1253821
Ummattūr	id=g:1253822
Umlympung	id=g:1253823
Umlung	id=g:1253824
Umlaiteng	id=g:1253825
Umla	id=g:1253826
Umko	id=g:1253827
Umiam River	id=g:1253828
Umia	id=g:1253829
Umeta	id=g:1253830
Umele	id=g:1253831
Umed Sāgar	id=g:1253832
Umed Sāgar	id=g:1253833
Umedpur Bhutāh	id=g:1253834
Umedpura	id=g:1253835
Umednagar	id=g:1253836
Umednagar	id=g:1253837
Umed	id=g:1253838
Umdung	id=g:1253839
Umdi Khurd	id=g:1253840
Umdi Buzurg	id=g:1253841
Umdi	id=g:1253842
Umbrane	id=g:1253843
Umbraj	id=g:1253844
Umbra	id=g:1253845
Umbra	id=g:1253846
Umblibail	id=g:1253847
Umberpāda	id=g:1253848
Umbarkoi	id=g:1253849
Umba La	id=g:1253850
Umba	id=g:1253851
Umāsi La	id=g:1253852
Umarsādi Creek	id=g:1253853
Umarsādi	id=g:1253854
Umarpur	id=g:1253855
Umarpāda	id=g:1253856
Umarlāi	id=g:1253857
Umarkot	id=g:1253858
Umarkot	id=g:1253859
Umarkot	id=g:1253860
Umarkhed	id=g:1253861
Umariā	id=g:1253862
Umariā	id=g:1253863
Umaria	id=g:1253864
Umaria	id=g:1253865
Umaria	id=g:1253866
Umari	id=g:1253867
Umargām	id=g:1253868
Umargām	id=g:1253869
Umarga	id=g:1253870
Umardeshi	id=g:1253871
Umarde	id=g:1253872
Umarband	id=g:1253873
Umar	id=g:1253874
Umapur	id=g:1253875
Umāla	id=g:1253876
Ulvi	id=g:1253877
Ulvi	id=g:1253878
Ulundūrpettai	id=g:1253879
Uluberiya	id=g:1253880
Ulubāri	id=g:1253881
Ulubāri	id=g:1253882
Ulubāri	id=g:1253883
Ulubāri	id=g:1253884
Ulubām	id=g:1253885
Ul River	id=g:1253886
Ullapālem	id=g:1253887
Ullāl	id=g:1253888
Ullah	id=g:1253889
Ulkanda	id=g:1253890
Ulindakonda	id=g:1253891
Ulh River	id=g:1253892
Ulhās River	id=g:1253893
Ulhāsnagar	id=g:1253894
Ulela	id=g:1253895
Ulavapād	id=g:1253896
Ulāns	id=g:1253897
Ukwa	id=g:1253898
Ukshi	id=g:1253899
Ukme Nadī	id=g:1253900
Uklāna	id=g:1253901
Ukkamba	id=g:1253902
Ukkali	id=g:1253903
Ukhrul	id=g:1253904
Ukhimath	id=g:1253905
Uker	id=g:1253906
Ukdungle	id=g:1253907
Ukāwad	id=g:1253908
Ūkāwad	id=g:1253909
Ukāi Reservoir	id=g:1253910
Vir	id=g:1253911
Ūjlān	id=g:1253912
Ujjini	id=g:1253913
Ujjain	id=g:1253914
Ujjain	id=g:1253915
Ujiārpur	id=g:1253916
ravi River	id=g:1253917
Ujhāni	id=g:1253918
Ujhāna	id=g:1253919
Ujar Nadī	id=g:1253920
Ujalvāv	id=g:1253921
Ujalpur	id=g:1253922
Ujalbas	id=g:1253923
Uiphum Tlāng	id=g:1253924
Uiphum	id=g:1253925
Ūhjalūr	id=g:1253926
Uguem	id=g:1253927
Uguem	id=g:1253928
Ugu	id=g:1253929
Ugu	id=g:1253930
Ugta	id=g:1253931
Ugriāwās	id=g:1253932
Ugli	id=g:1253933
Ughi	id=g:1253934
Ugarpur	id=g:1253935
Ugar Khurd	id=g:1253936
Ugargol	id=g:1253937
