Pakuria	id=g:1260809
Pakri Tāl	id=g:1260810
Pakribarāwān	id=g:1260811
Pākni	id=g:1260812
Paklānggaon	id=g:1260813
Pakki Tibbi	id=g:1260814
Pākkam	id=g:1260815
Pākkam	id=g:1260816
Pakka Kalān	id=g:1260817
Pakka	id=g:1260818
Pakhyong	id=g:1260819
Pākhriāpura	id=g:1260820
Pākhar	id=g:1260821
Pakhājan	id=g:1260822
Pākhāi Lake	id=g:1260823
Pākaur	id=g:1260824
Paka Sarnoka	id=g:1260825
Pakaryār Nadī	id=g:1260826
Pakaria Road	id=g:1260827
Pakariāmukh	id=g:1260828
Pakari	id=g:1260829
Pākāla	id=g:1260830
Pajiān	id=g:1260831
Pajena	id=g:1260832
Paithan	id=g:1260833
Paisunī Nadī	id=g:1260834
Pairi River	id=g:1260835
Paira Rock	id=g:1260836
Paira Nadī	id=g:1260837
Paintepur	id=g:1260838
Painsira Buru	id=g:1260839
Painlon Pass	id=g:1260840
Pāīn Kūfar	id=g:1260841
Paina	id=g:1260842
Paimār Nadī	id=g:1260843
Pailāni	id=g:1260844
Pail	id=g:1260845
Paikmāl	id=g:1260846
Pāikhāi	id=g:1260847
Paikbara	id=g:1260848
Pāikauliā	id=g:1260849
Paikat Bay	id=g:1260850
Pāikamāl	id=g:1260851
Paigaon	id=g:1260852
Pāidhi	id=g:1260853
Paidegal Point	id=g:1260854
Pāi Bigha	id=g:1260855
Pāi	id=g:1260856
Pahur	id=g:1260857
Pahumāra Nadī	id=g:1260858
Pahūj Reservoir	id=g:1260859
Pahūj River	id=g:1260860
Pahua	id=g:1260861
Pahra	id=g:1260862
Pahlāgaon	id=g:1260863
Pahlādpur	id=g:1260864
Pahlā	id=g:1260865
Pahla	id=g:1260866
Pahīreju	id=g:1260867
Pahāsu	id=g:1260868
Paharpur	id=g:1260869
Pahāri ki Mandi	id=g:1260870
Paharikhera	id=g:1260871
Pahāri Buzurg	id=g:1260872
Pahāri	id=g:1260873
Pahārī	id=g:1260874
Pahārī	id=g:1260875
Pahārgarh	id=g:1260876
Pahārganj	id=g:1260877
Pahārbula	id=g:1260878
Pahāpal	id=g:1260879
Pahalgām	id=g:1260880
Pah	id=g:1260881
Pāgla River	id=g:1260882
Pāgla Nadī	id=g:1260883
Pagidyāla	id=g:1260885
Paget Island	id=g:1260886
Pagdhāl	id=g:1260887
Pagaria Hāt	id=g:1260888
Pagāria	id=g:1260889
Pagāra	id=g:1260890
Pagāra	id=g:1260891
Pagāra	id=g:1260892
Pagāra	id=g:1260893
Pāganeri	id=g:1260894
Padwār	id=g:1260895
Pādwa	id=g:1260896
Padwa	id=g:1260897
Paduna	id=g:1260898
Pādu Khurd	id=g:1260899
Pādu Kalān	id=g:1260900
Padugupādu	id=g:1260901
Pādua	id=g:1260902
Pādu	id=g:1260903
Padsāli	id=g:1260904
Pādsa	id=g:1260905
