Rāmjori Pahār	id=g:1462595
Dalki Pahār	id=g:1462596
Brindaban	id=g:1462597
Āmjhori	id=g:1462598
Damodar Pahār	id=g:1462599
Kusumbani	id=g:1462600
Bāiā Buru	id=g:1462601
Dumuri Pahār	id=g:1462602
Payekuchu Buru	id=g:1462603
Kharimātiā Pahār	id=g:1462604
Bisāl Danda	id=g:1462605
Chatā Danda	id=g:1462606
Simlipal Massif	id=g:1462607
Baidyanāth Parbat	id=g:1462608
Betjharana Parbat	id=g:1462609
Chattam Buru	id=g:1462610
Champāgarh Pahār	id=g:1462611
Rāngāmātia Pahār	id=g:1462612
Gurusādar Pahār	id=g:1462613
Kanthāl Huli	id=g:1462614
Meghuri Pahār	id=g:1462615
Mahabir Pahār	id=g:1462616
Mākarmundi Parbat	id=g:1462617
Namo Parbat	id=g:1462618
Ghorābindha Parbat	id=g:1462619
Ganpati Pahār	id=g:1462620
Dhāngaji Pahār	id=g:1462621
Burhāburhi Huli	id=g:1462622
Belrajhari Huli	id=g:1462623
Sankhachuā Huli	id=g:1462624
Bhairmundi Huli	id=g:1462625
Debigarh Pahār	id=g:1462626
Lāoburhā Huli	id=g:1462627
Burhāgarā Huli	id=g:1462628
Noto Pahār	id=g:1462629
Sundramundi Huli	id=g:1462630
Machhua Pahār	id=g:1462631
Baniājori Pahār	id=g:1462632
Rusimath Pahār	id=g:1462633
Santoshpur Pahār	id=g:1462634
Satkosia Pahār	id=g:1462635
Tiribeni Huli	id=g:1462636
Kundipāl Huli	id=g:1462637
Dhanāi Huli	id=g:1462638
Mālkuro Pahār	id=g:1462639
Bāgmāra Pahār	id=g:1462640
Phuljhora Pahār	id=g:1462641
Childhāri Huli	id=g:1462642
Pursangiri	id=g:1462643
Kuspada Huli	id=g:1462644
Dhani Huli	id=g:1462645
Kajabi Huli	id=g:1462646
Tenda Huli	id=g:1462647
Phuljhora Huli	id=g:1462648
Jaymal Huli	id=g:1462649
Kalia Buru	id=g:1462650
Bolpāl	id=g:1462651
Chera Huli	id=g:1462652
Rāngāmātiā Pahār	id=g:1462653
Ketiliā Parbat	id=g:1462654
Jugjuri Pahār	id=g:1462655
Mundiā Huli	id=g:1462656
Bamani Huli	id=g:1462657
Debigiri Pahār	id=g:1462658
Jhānuādi Pahār	id=g:1462659
Baita Huli	id=g:1462660
Sunchut Parbat	id=g:1462661
Dhobasilā Pahār	id=g:1462662
Sone Nadī	id=g:1462665
Bageshapura	id=g:1462683
Mudodi	id=g:1462684
Borankanave	id=g:1462685
Nāryasandra	id=g:1462692
Gudemaranhalli	id=g:1462694
Madhudi	id=g:1462704
Govindapuram	id=g:1462706
Chālakūru	id=g:1462708
Vijayapura	id=g:1462711
Kodūr	id=g:1462722
Bhimpura	id=g:1462726
Murera	id=g:1462727
Barampur	id=g:1462728
Rāmpur	id=g:1462729
Dumri	id=g:1462730
Beās	id=g:1462731
Sasan	id=g:1462732
Ādampur	id=g:1462733
Jandu Singha	id=g:1462734
Mallānwāla	id=g:1462735
Rairu	id=g:1462736
Phūp Kalān	id=g:1462737
Khera	id=g:1462738
Aithar	id=g:1462739
Aino	id=g:1462740
Arnota	id=g:1462741
Jītpur	id=g:1462742
Jori Kotwāl	id=g:1462743
Kohār	id=g:1462744
Diroli	id=g:1462745
Mau	id=g:1462746
Lāwan Sītārām	id=g:1462747
Sheva Nhava	id=g:1463369
Ghārāpuri	id=g:1463370
Shot Bandar	id=g:1463371
Mulakhandpāda	id=g:1463372
Chanaje	id=g:1463373
Funde	id=g:1463374
Bokadvira	id=g:1463375
Bhendkhal	id=g:1463376
Naoghar	id=g:1463377
Sonari	id=g:1463378
Karania	id=g:1463379
Danda	id=g:1463380
Kolgaon	id=g:1463381
Sasaune	id=g:1463382
Surekhār	id=g:1463383
Navedar	id=g:1463384
Matralipāda	id=g:1463385
Kavāde	id=g:1463386
Sātirje	id=g:1463387
Chorondpāda	id=g:1463388
Munavli	id=g:1463389
Longhar	id=g:1463390
Khidkikhār	id=g:1463391
Phoperikhār	id=g:1463392
Dherankhār	id=g:1463393
Bhairipāda	id=g:1463394
Vāghrankhār	id=g:1463395
Vādi	id=g:1463396
Kopar	id=g:1463397
Vāgholi	id=g:1463398
Nāgzan	id=g:1463399
Pezarikhar	id=g:1463400
Nanāgar	id=g:1463401
Pet	id=g:1463402
Veshvi	id=g:1463403
Tādvāgle	id=g:1463404
Dalvikharoshi	id=g:1463405
Bāmangaon	id=g:1463406
Belkāde	id=g:1463407
Sāhān	id=g:1463408
Khandāle	id=g:1463409
Mān	id=g:1463410
Nāgaonkhar	id=g:1463411
Dāvāle	id=g:1463412
Bagmala	id=g:1463413
Ambepur	id=g:1463414
Velavli	id=g:1463415
Kūne	id=g:1463416
Ghotavde	id=g:1463417
Valavli	id=g:1463418
Bāple	id=g:1463419
Bhonang	id=g:1463420
Nidi	id=g:1463421
Shirgaon	id=g:1463422
Tadgaon	id=g:1463423
Christpāda	id=g:1463424
Surai	id=g:1463425
Bārsiv	id=g:1463426
Mahālunge	id=g:1463427
Vāndell	id=g:1463428
Bhāweghar	id=g:1463429
Pārgān	id=g:1463430
Chikhalgān	id=g:1463431
Adi	id=g:1463432
Adi	id=g:1463433
Kāsīd	id=g:1463434
Supegān	id=g:1463435
Dānde	id=g:1463436
Phoplivādi	id=g:1463437
Vāndre	id=g:1463438
Adād	id=g:1463439
Talekhār	id=g:1463440
Velāst	id=g:1463441
Josrānjān	id=g:1463442
Amboli	id=g:1463443
More	id=g:1463444
Sarne	id=g:1463445
Nānwell	id=g:1463446
Sarve	id=g:1463447
Adgaon	id=g:1463448
Vādi	id=g:1463449
Velās	id=g:1463450
Musalmāndi	id=g:1463451
Kārle	id=g:1463452
Vākalghar	id=g:1463453
Kondivli	id=g:1463454
Arath	id=g:1463455
Zīrad	id=g:1463456
Navkhār	id=g:1463457
Oyster Rock	id=g:1463458
Nawab’s Palace	id=g:1463459
Sāgargarh Fort	id=g:1463461
Vāudunai Nadī	id=g:1463464
Mettuppalaiyam	id=g:1465571
Venkatapuram	id=g:1465572
Korattur	id=g:1465574
Villivakkam	id=g:1465575
Agaram	id=g:1465576
Konnur	id=g:1465577
Mullam	id=g:1465578
Periyakudal	id=g:1465579
Ayanavaram	id=g:1465580
Thirumangalam	id=g:1465581
Naduvankarai	id=g:1465582
Arumbakkam	id=g:1465583
Chinnakudal	id=g:1465584
Shenoy Nagar	id=g:1465585
Aminjikarai	id=g:1465586
Peravallur	id=g:1465587
Siruvallur	id=g:1465588
Erukkancheri	id=g:1465589
Vyasarpadi	id=g:1465590
Kodangiyur	id=g:1465591
Jambuli	id=g:1465592
Kuppam	id=g:1465593
Madhavaram	id=g:1465594
Chinnasekkadu	id=g:1465595
Pudu Vannarpet	id=g:1465596
Arunachaleswaranpet	id=g:1465597
Varadancheri	id=g:1465598
Sanjivarayanpet	id=g:1465599
Korukkupet	id=g:1465600
Tondiarpet	id=g:1465601
Korukkupet	id=g:1465602
Washermanpet	id=g:1465603
Kusapet	id=g:1465604
Meenakshiammanpet	id=g:1465605
Salt Cotaurs	id=g:1465606
Periamet	id=g:1465607
Chintadripet	id=g:1465608
Fort	id=g:1465609
