Shīv-ā Hiskt	id=g:446063
Āshānk	id=g:446064
Nāv Āshān	id=g:446065
Sarāvkī	id=g:446066
Wādī Umm al Fārāq	id=g:446067
Ūzmānah	id=g:446068
Jabal Kilāsh	id=g:446069
Dīrawnk	id=g:446070
Khīlāfkī	id=g:446072
‘Umar Āghā	id=g:446075
Tērik Ḩasan	id=g:446076
Bīshilk	id=g:446077
Muslmah	id=g:446078
Sarkū	id=g:446079
Zūrāwah as Suflá	id=g:446080
Zūrāwah al ‘Ulyā	id=g:446081
Bāsk-e Sarkō	id=g:446082
Jamlī Jalāl	id=g:446083
Wādī Kul Kafū	id=g:446084
Bāsāghah	id=g:446085
Wādī Dūlah	id=g:446086
Chamtar	id=g:446087
Bārkīvrī	id=g:446088
Tūkah	id=g:446089
Bāgūlākah	id=g:446090
Sipīn Dārūk	id=g:446091
Kharkhabkah	id=g:446092
Sindārūk al Qadīm	id=g:446093
Kūnd Kūsah	id=g:446094
Karbat Taymūr	id=g:446095
Shīv-ā Malā	id=g:446096
Kaprūk	id=g:446097
Gīrīk	id=g:446098
Hīzāwah	id=g:446099
Shīv-ā Alūlā	id=g:446100
Bahrāwah	id=g:446101
Tērik Zhērī	id=g:446102
Sarsūlāf	id=g:446103
Mīrgah Sūr	id=g:446104
Nāv Kandālah	id=g:446105
Wādī Difrū	id=g:446106
Shīv-ā Dahlink	id=g:446107
Līvū	id=g:446108
Khūdkah	id=g:446109
Grī Baqshū	id=g:446110
Kārā	id=g:446111
Bīfbār	id=g:446112
Wādī Nabag	id=g:446113
Āf Ganī	id=g:446114
Wādī Shīrbīsh	id=g:446115
Wādī Balbaq	id=g:446116
Dāsik	id=g:446117
Ziyūkī	id=g:446118
Buşil	id=g:446119
Hīzāwah	id=g:446120
Khūdkah	id=g:446121
Cham Kūrak	id=g:446122
Gūndik	id=g:446124
Dahlik Kūndik	id=g:446125
Dārkār Shibli	id=g:446126
Mīrkī	id=g:446127
Nūrahdīnah	id=g:446128
Wādī Istablān	id=g:446129
Māmīs	id=g:446130
Gūndik	id=g:446131
Jabal Bīrsīfī	id=g:446132
Galī Kalsha	id=g:446133
Sharānīsh Fala	id=g:446134
Wādī Karīn	id=g:446135
Wādī Kānī Biyārah	id=g:446137
Bāndarū	id=g:446138
Manīn	id=g:446139
Bānik al ‘Ulyā	id=g:446140
Chiyā-i Kokhorash	id=g:446141
Nizār-i Haliz	id=g:446142
Daḩlik	id=g:446144
Bāskī Sarī Ţalkhī	id=g:446145
