Nahr al Braghūthīyat	id=g:6763876
Nahr al Aţbūr	id=g:6763877
Aţ Ţafīlīyah	id=g:6763878
Nahr al ‘Ajīlīyah	id=g:6763879
Shamāl Bāshā Āghā	id=g:6763880
‘Abd al Farhūd	id=g:6763881
Qaşr Muḩammad ‘Abd Allāh al Yāsīn	id=g:6763882
Maqbarat al ‘Awdah	id=g:6763883
Nahr Jarīb	id=g:6763884
‘Abd Allāh al Yasīn	id=g:6763885
Al Jamīlīyah	id=g:6763886
Al Muwafaqīyah	id=g:6763887
Maqbarat Sa‘īd Bin Jabīr	id=g:6763888
Maqbarat Imām Sayyid ‘Abbās	id=g:6763889
Ar Rashīdīyah	id=g:6763890
Nahr al Abyaḑ	id=g:6763891
Imām Hamd Allāh	id=g:6763892
Al Kasrah	id=g:6763893
Sayyid Ḩaşūb	id=g:6763894
Sa‘dūn	id=g:6763895
Tuwīn ‘Abd	id=g:6763896
‘Abd Allāh al Yāsīn	id=g:6763897
Nahr Umm al Yābis	id=g:6763898
Nahr ash Shīb	id=g:6763899
Nahr al ‘Āşmīyah	id=g:6763900
Nahr al Abyaḑ	id=g:6763901
‘Alī al Ḩamd aţ Ţarfah	id=g:6763902
Sayyid ‘Alī ad Dalfī	id=g:6763903
Nahr aş Şanāşil	id=g:6763904
Nahr Abū Farās	id=g:6763905
Rūfat Asmāk	id=g:6763906
Nahr ‘Awbah	id=g:6763907
Nahr Jarjarah	id=g:6763908
Maftūl ‘Abd al Ma‘āl	id=g:6763909
Kuwām Bilāsm	id=g:6763910
Nahr al Faţuwah	id=g:6763911
Nahr ash Shīsh	id=g:6763912
Tall Abū ‘Ajl	id=g:6763913
Nahr al Mīthar	id=g:6763914
Shākhat Karīm	id=g:6763915
Hasan as Sāchit	id=g:6763916
Hamīd Was·hīl	id=g:6763917
Nahr ash Shalā‘	id=g:6763918
Nahr al Aḩaynath	id=g:6763919
Maftūl ‘Abd Allāh	id=g:6763920
Arāḑī ‘Ajimī as Sa‘dūn	id=g:6763921
Nahr Da‘īblah	id=g:6763922
Nahr Z̧alīmah	id=g:6763923
Al Qāwib	id=g:6763924
