‘Arab Sārī ‘Inād	id=g:6871851
Khiţāb ‘Abd Allāh	id=g:6871852
Dulaymī Mur‘īd	id=g:6871853
‘Arab Ālbū Salīm	id=g:6871854
Nadá ‘Abd Allāh	id=g:6871855
Muḩammad ‘Aftān	id=g:6871856
Qaryat al Karī‘āt	id=g:6871857
‘Alī Baţţāḩ	id=g:6871858
Qaryat Şāliḩ Ḩamīd	id=g:6871859
Ḩamdūn al Bāysh	id=g:6871860
‘Alī Nazāl	id=g:6871861
Nahīr ‘Adhāb	id=g:6871862
Ghaḑab Aḩmad	id=g:6871863
Ţāys ‘Alī	id=g:6871864
‘Abd Jawwād	id=g:6871865
Maḩmūd at Tikrītī	id=g:6871866
‘Arab Ālbū Mahdī	id=g:6871867
Ḩayy aş Şinā‘ah	id=g:6871868
Nashmī ‘Afrī	id=g:6871869
Qaryat as Sādah	id=g:6871870
‘Abbās Ţārish	id=g:6871871
‘Abd Allāh Nuşayf	id=g:6871872
Marfū‘ Masīr	id=g:6871873
Thānawīyat al Ḩaḑārah	id=g:6871874
Rashīd Jafīl	id=g:6871875
Qaryat as Sayyid Aḩmad	id=g:6871876
Qaryat al A‘aywij	id=g:6871877
‘Arab ‘Abd Ḩamīd	id=g:6871878
Sawādī ‘Askar	id=g:6871879
‘Amāsh Nīsh	id=g:6871880
Muz‘al Manwār	id=g:6871881
Tall ar Rajīyah	id=g:6871882
Muz‘il Budaywī	id=g:6871883
Qaryat Ālbū Hayāri‘	id=g:6871884
Aḩmad Khiḑr Ḩasan	id=g:6871885
Zaydān ‘Izāl	id=g:6871886
‘Arab ‘Alī Şāliḩ	id=g:6871887
‘Iyādat al ‘Amār	id=g:6871888
‘Āyd Muḩammad	id=g:6871889
Muḩammad Raḩīl	id=g:6871890
‘Abd Shukr	id=g:6871891
Aswad Faz‘	id=g:6871892
‘Alī Muşţafá	id=g:6871893
‘Arab Ḩusayn Hūsh	id=g:6871894
Hīlān Jadīd	id=g:6871895
Jāsim Khiḑr	id=g:6871896
Ḩayy al Qādisīyah	id=g:6871897
Ḩamīd Khiḑr Ḩasan	id=g:6871898
Ḩawwās aţ Ţa‘mah	id=g:6871899
‘Uraybī Hazzā‘	id=g:6871900
‘Abd Muḩammad ‘Antar	id=g:6871901
‘Arab Khalaf ad Dulyān	id=g:6871902
Mūsá Jāsim	id=g:6871903
‘Arab Ghanam Maḩal	id=g:6871904
Turkī Hāshim	id=g:6871905
Khalīf ‘Awwād	id=g:6871906
Ḩusayn Maḩmūd Maḩal	id=g:6871907
Suway‘id Şāliḩ al ‘Abd	id=g:6871908
‘Abd ‘Asāf	id=g:6871909
Aḩmad Ḩassūn	id=g:6871910
Dahām Mur‘ī	id=g:6871911
Muḩammad al Muḩsin	id=g:6871912
Darīḩ Ḩaḑīr	id=g:6871913
Aswad al Jīr	id=g:6871914
Nāyif Ghānim	id=g:6871915
Hāshim Aḩmad	id=g:6871916
Qaryat Ālbū ‘Alī al Burjah	id=g:6871917
Muḩammad Ghānim	id=g:6871918
‘Arab Ḩawwāsh Hāshim	id=g:6871919
Khalaf ‘Uwayn	id=g:6871920
Aḩmad al Yāsīn	id=g:6871921
Wādī Abū Şaīḩ	id=g:6871922
Jamīl Khalīf al Ḩasan	id=g:6871923
Jazā‘ Salīm	id=g:6871924
Dawāmin Hāshim	id=g:6871925
Nāḩiyat al ‘Alam	id=g:6871926
Rashīd al Yāsīn	id=g:6871927
Ḩayy al ‘Askarī	id=g:6871928
‘Arab ‘Āyd ‘Uwayd	id=g:6871929
Hādī Salmān	id=g:6871930
Ḩayy Ḑubbāţ	id=g:6871931
Ḩayy ash Shahīd Ḩamād Shihāb	id=g:6871932
