Sarāb-e Gīlān	id=g:25369
Sarā’ī	id=g:25371
Sar Qal‘eh-ye Tāzehābād	id=g:25372
Kūh-e Sar Pahn	id=g:25373
Sar Pahn	id=g:25374
Kūh-e Sar Malekshāh	id=g:25375
Sanjāb	id=g:25377
Sagān	id=g:25378
Sīrāvlā	id=g:25379
Sīān	id=g:25380
Sīāh Vaneh	id=g:25381
Kūh-e Sīāhdān	id=g:25382
Kūh-e Sīāh	id=g:25383
Kūh-e Sīāh Khvor	id=g:25384
Ravīleh-ye Bālā	id=g:25385
Kūh-e Rāshīn	id=g:25386
Rashīd	id=g:25387
Kūh-e Rāgh	id=g:25388
Kūh-e Rāgā	id=g:25389
Rīveh	id=g:25391
Falkhānjak-e Soflá	id=g:25392
Falkhānjak-e ‘Olyā	id=g:25393
Qeshlāq-e Kolāh Derāz	id=g:25396
Qeshlāq-e ‘Alī Shāh	id=g:25398
Kūh-e Qarāvīz	id=g:25399
Qarāvīz	id=g:25400
Qalkhānī	id=g:25402
Qalānī-ye Pā'īn	id=g:25403
Qalānī-ye Bālā	id=g:25404
Qalameh	id=g:25405
Kūh-e Qalālān	id=g:25406
Kūh-e Qalājeh	id=g:25407
Qal‘eh Parvar	id=g:25409
Kūh-e Qal‘eh Nāzī	id=g:25410
Qal‘eh Chegeh	id=g:25411
Qal‘eh Badrī	id=g:25412
Qāderābād	id=g:25413
Qāderī	id=g:25414
Posht-e Hanār	id=g:25415
Posht Tang-e Ezhdehā	id=g:25416
Poshtang-e Ābdālān	id=g:25417
Posht Tang	id=g:25418
Posht Kar	id=g:25419
Posht Tang-e Zahāb	id=g:25420
Pol-e Tūt	id=g:25421
Kūh-e Bāres	id=g:25422
Pāplī	id=g:25423
Kūh-e Pālān	id=g:25424
Kūh-e Pīsh Tang-e Kūrak	id=g:25426
Kūh-e Pīkolā	id=g:25427
Ūlībak	id=g:25428
Kūh-e Nesār	id=g:25429
Kūh-e Nesār Balāleh	id=g:25430
Navārgah Zīn	id=g:25431
Nārū	id=g:25433
Narmūl	id=g:25434
Naqdeh-ye Pā’īn	id=g:25435
Kūh-e Nahang	id=g:25436
Naşrābād-e Veys Morād	id=g:25437
Naşrābād-e Seyyed Khalīl	id=g:25438
Na‘lband Garjī	id=g:25439
Nīārūq	id=g:25440
Malāchīyeh	id=g:25442
Mollā Kabū	id=g:25443
Mūlīnī	id=g:25444
Mojāhedeh	id=g:25445
Māsendar	id=g:25446
Manţaqeh-ye Choqāzard	id=g:25447
Māngaleh Rāh	id=g:25448
Manāvālān	id=g:25449
Kūh-e Māmūkarān	id=g:25450
Māmanān	id=g:25451
Maleh Dazgeh	id=g:25452
Maleh Amīrkhān	id=g:25453
Kūh-e Malāchīyeh	id=g:25454
Kūh-e Mākū Ān	id=g:25455
Kūh-e Mākvān	id=g:25457
Majrūlān	id=g:25458
Mīzdeh	id=g:25461
Mīrmīrū	id=g:25463
Mīrābād	id=g:25464
Mareh Mīv	id=g:25465
Mīleh Lūgeh	id=g:25466
Kūh-e Mīleh Harkūt	id=g:25467
Mīāndasht	id=g:25468
Mīān Choqā	id=g:25469
Kūh-e Mīkhal	id=g:25470
Lāy-e Tappeh Kūh	id=g:25471
Āb-e Laran	id=g:25472
Lāāsīāb	id=g:25473
Kūzeh Rūd	id=g:25475
Kūyakī-ye Majīd	id=g:25476
Kūreh'ī	id=g:25478
Kūh-e Kūr Zangūl	id=g:25479
Kūh-e Galāvand	id=g:25482
Kolārah Mīrkī	id=g:25483
Kūh	id=g:25484
Kūh-e Kofr Āvar	id=g:25485
Ḩūr Now Gabān	id=g:25488
Kheylī Marā	id=g:25489
Tappeh-ye Khers	id=g:25490
Khazal Karr-e Kahrak	id=g:25491
Kūh-e Khargīneh	id=g:25492
Nājjār Khān Jān	id=g:25493
Khamgar-e Kūsheh	id=g:25494
Āb-e Khalīfeh	id=g:25495
Kelīneh	id=g:25496
Kazreh	id=g:25497
Kātan	id=g:25499
Kasheh Kūh	id=g:25500
Karmadreh Āq Dāgh	id=g:25501
Rūdkhāneh-ye Karand	id=g:25502
Karīmābād	id=g:25503
Karīmābād	id=g:25504
Karīm Nīlakī	id=g:25505
Kūh-e Kar Talaj	id=g:25506
Kapnak Sefīd	id=g:25507
Kānī Sorkheh	id=g:25508
Kānī Rash	id=g:25510
Kānī ‘Azīz	id=g:25511
Kūh-e Kānī Kan	id=g:25512
Kūh-e Kamkū	id=g:25513
Kūh-e Zard Kamar	id=g:25514
Kūh-e Kaleh Khānī	id=g:25515
Kūh-e Kaleh Amīr	id=g:25516
Kalāshī	id=g:25517
Kalāmbar-e Bālā	id=g:25518
Tappeh Kalīk	id=g:25519
Kāk Mīrkī	id=g:25520
Kāhanī	id=g:25521
Kadkhodā Moşţafá	id=g:25522
Kachalābād	id=g:25523
Kūh-e Kabūtarlān	id=g:25524
Kabāb	id=g:25525
Barfī Gūshkarrī	id=g:25527
Jegarlū Āqā Barār	id=g:25528
Jegarlū ‘Abbāsī	id=g:25529
Jegarlū	id=g:25530
Chakīrān	id=g:25531
Jalālvand	id=g:25532
Jāberī	id=g:25533
Halūgāh	id=g:25534
Hash	id=g:25535
Hamrū Pārā	id=g:25536
Hamah Yaz	id=g:25537
Kūh-e Gūvarā	id=g:25539
Gūrān	id=g:25540
Gūrān	id=g:25541
Gomrok-e Kohneh	id=g:25542
Marjān Gomār	id=g:25543
Kūh-e Golbān	id=g:25544
Golīneh	id=g:25545
Gol-e Khāţū	id=g:25546
Kūh-e Gol Anjīr	id=g:25547
Gāv Kharī-ye Pā’īn	id=g:25548
Mīrābeh	id=g:25550
Kūh-e Gardeh Bargīr	id=g:25551
Kardeh Now	id=g:25552
Gardī Vazn	id=g:25553
Garālakeh	id=g:25555
Kūh-e Gāreh	id=g:25556
Kūh-e Garmaznāv	id=g:25557
Kūh-e Gach	id=g:25558
Fatḩābād	id=g:25559
Esmā`īlābād	id=g:25560
Emāmīyeh	id=g:25562
Qadamgāh-e Emām Reẕā	id=g:25563
Emām Ḩasan	id=g:25565
Elyāsī-ye Maḩmūd	id=g:25566
Elyāsī-ye Khalīfeh Ḩoseyn	id=g:25567
Deh-e Morān	id=g:25570
Deh-e ‘Abbās	id=g:25571
Deh Sorkh	id=g:25572
Deh-e Loţfī	id=g:25573
Davānī	id=g:25574
Dastak-e ‘Olyā	id=g:25575
Dasht-e Jar	id=g:25576
Darband-e Zard	id=g:25577
Kūh-e Dārvān	id=g:25578
Darreh-ye Boţālgah	id=g:25579
Darreh Zhāleh-ye Pā'īn	id=g:25580
Darreh Zhāleh-ye Bālā	id=g:25581
Dār-e Alārad	id=g:25582
Dārkheyzar-e Zendeh	id=g:25583
Darkeh	id=g:25584
Kūh-e Dābāleh	id=g:25585
Dārūshīyeh	id=g:25586
Tappeh-ye Dārākhār	id=g:25587
Dārādār	id=g:25588
Darāb Gelal	id=g:25589
Kūh-e Darī	id=g:25590
Dār Zanganeh-ye Pā'īn	id=g:25591
Dār Balūţ	id=g:25592
Kūh-e Dārbādām	id=g:25593
Dameh Dāmī	id=g:25594
Kūh-e Dālāhū	id=g:25596
Kūh-e Dāleh Hū	id=g:25597
Dālāhū	id=g:25598
Dahreh	id=g:25599
Dabgeh	id=g:25600
Kūh-e Dīvāngāh	id=g:25601
Kūh-e Choqāzard	id=g:25602
Kūh-e Cheshmeh Mīl	id=g:25603
Kūh-e Cheshmeh Kīrzavāreh	id=g:25604
Kūh-e Chenār	id=g:25605
Cham-e Naft Tūlak	id=g:25606
Cham Garān	id=g:25607
