Zardū’īyeh	id=g:111332
Kūh-e Zardū'ī	id=g:111333
Ḩowz-e Zardān	id=g:111334
Kūh-e Zardsang	id=g:111335
Kūh-e Zar Āvord	id=g:111336
Zard Rūd	id=g:111337
Zowrdān	id=g:111338
Kūh-e Zardof	id=g:111340
Z̄arrof	id=g:111341
Zard-e Narak	id=g:111342
Kūh-e Zard Mozhgān	id=g:111343
Kūh-e Qarāgūnī	id=g:111344
Zard Kūh	id=g:111345
Kūh-e Zard	id=g:111346
Zard Kūh	id=g:111347
Kūh-e Zardeh	id=g:111348
Zardeyn	id=g:111349
Kūh-e Zard Halqeh	id=g:111350
Zard-e Golī	id=g:111351
Kūh-e Zardgel	id=g:111352
Kūh-e Zardgeh	id=g:111353
Zard Fahreh	id=g:111354
Zardkhāneh	id=g:111356
Zardeh Kamar	id=g:111357
Kūh-e Zardeh Boland	id=g:111358
Zardeh	id=g:111359
Zardeh	id=g:111360
Zardeh	id=g:111361
Zardeh	id=g:111362
Zardeh	id=g:111363
Kūh-e Zard-e Āb Bīd	id=g:111364
Kūh-e Zard Dangeh	id=g:111365
Tappeh-ye Zard-e Chāh Jamāl	id=g:111366
Kūh-e Zard Boland	id=g:111367
Zardband	id=g:111368
Rūdkhāneh-ye Zardasht	id=g:111369
Zar Dasht	id=g:111370
Kotal-e Zardāneh	id=g:111371
Zardālū	id=g:111372
Zardālū	id=g:111373
Zard Ālū	id=g:111374
Zardakī-ye Soflá	id=g:111375
Zardabīyeh	id=g:111376
Zardābād	id=g:111377
Zardāb-e Moḩebb	id=g:111378
Zārdā	id=g:111379
Tall-e Zard	id=g:111380
Tall-e Zard	id=g:111381
Tall-e Zard	id=g:111382
Rūd-e Zard	id=g:111383
Kūh-e Zard	id=g:111384
Kūh-e Pāshūreh	id=g:111385
Kūh-e Zard	id=g:111386
Kūh-e Zard	id=g:111387
Kūh-e Zard	id=g:111388
Kūh-e Zard	id=g:111389
Kūh-e Zard	id=g:111390
Kūh-e Zārad	id=g:111391
Kūh-e Zard	id=g:111392
Kūh-e Zard	id=g:111393
Kūh-e Zard	id=g:111394
Kūh-e Bī Kheyr	id=g:111395
Kamar-e Zard	id=g:111396
Chāh-e Zard	id=g:111397
Chāh-e Zard	id=g:111398
Zard	id=g:111399
Zārd	id=g:111400
Zarjān	id=g:111401
Godār-e Zārchū’īyeh	id=g:111402
Zārchū’īyeh	id=g:111403
Zārchū’īyeh	id=g:111404
Zārchestān	id=g:111405
Zar Cheshmeh	id=g:111406
Zārch	id=g:111407
Kūh-e Zārīn	id=g:111408
Zarbījār	id=g:111409
Mazra‘eh-ye Zarband	id=g:111410
Zarāt	id=g:111411
Zīārat	id=g:111412
Zarās	id=g:111413
Zeraq	id=g:111414
Rūdkhāneh-ye Zarānī	id=g:111415
Zarāngūsh	id=g:111416
Zarandū’īyeh	id=g:111417
Zarand-e Kohneh	id=g:111418
Zarand	id=g:111419
Zarand	id=g:111420
Zarand	id=g:111421
Zarm Kūh	id=g:111422
Zarāmīn-e Pā’īn	id=g:111423
Zarāmīn-e Bālā	id=g:111424
Zarākhovīd	id=g:111425
Zarakh	id=g:111426
Zarrū Kān	id=g:111427
Kūh-e Zarāgh	id=g:111428
Zarābād	id=g:111429
Zarābād	id=g:111430
Zarābād	id=g:111431
Zar Āb	id=g:111432
Z̄ar Āb	id=g:111433
Kūh-e Zar	id=g:111434
Kūh-e Zar	id=g:111435
Zar	id=g:111437
Kūh-e Zan va Mard	id=g:111438
Zānūs	id=g:111439
Zanūrī	id=g:111440
Zenyūk	id=g:111441
Zanūghān	id=g:111442
Zanqāh	id=g:111443
Āb-e Zan Mordeh	id=g:111444
Zanjīreh	id=g:111445
Zanjīreh-ye ‘Olyā	id=g:111446
Tang-e Zanjīrān	id=g:111447
Shahrak-e Zanjīrān	id=g:111448
Zanjīrābād	id=g:111449
Rūdkhāneh-ye Zanjān Chāy	id=g:111450
Zanjānbar	id=g:111451
Ostān-e Zanjān	id=g:111452
Zanjān	id=g:111453
Zānīān-e Pā’īn	id=g:111454
Zanhī	id=g:111455
Zangūyeh	id=g:111456
Kūh-e Zangūn	id=g:111457
Kūh-e Zangū’ī	id=g:111458
Zangū'ī	id=g:111459
Kāl-e Zanakū	id=g:111460
Zangūyeh	id=g:111461
Rangolābād	id=g:111462
Zang Molk	id=g:111463
Zangīn	id=g:111465
Rangī	id=g:111466
Zangī Chāh	id=g:111467
Kūh-e Zankīān	id=g:111468
Zangīān	id=g:111469
Zangīān	id=g:111470
Zangīān	id=g:111472
Kūh-e Gerow	id=g:111473
Zangī Aḩmad	id=g:111474
Zangīābād	id=g:111475
Zangīābād	id=g:111476
Kūh-e Zangī	id=g:111477
Khvor-e Zangī	id=g:111478
Zangī	id=g:111479
Zangī	id=g:111480
Rūdkhāneh-ye Āb-e Zangāvan	id=g:111481
Zangeneh-ye Soflá	id=g:111482
Zangeneh-ye ‘Olyā	id=g:111483
Zanganeh	id=g:111484
Zangeneh-ye Bon Rūd	id=g:111485
Zangeneh	id=g:111486
Zangī Bolāgh	id=g:111487
Zangī Dar	id=g:111488
Zangebār	id=g:111489
Zangārd	id=g:111490
Zangārak	id=g:111491
Zanganeh	id=g:111492
Zanganeh	id=g:111493
Rūdkhāneh-ye Zangī	id=g:111494
Zangelānlū	id=g:111495
Kūh-e Zangel Āb	id=g:111496
Zangābād	id=g:111497
Zangābād	id=g:111498
Zandīān	id=g:111499
Zandelīj	id=g:111500
Zendevān	id=g:111501
Zandābād	id=g:111502
Zand	id=g:111503
Kūh-e Zanbūrgāh	id=g:111504
Kūh-e Zanāqū	id=g:111505
Zanā’ī	id=g:111506
Zān	id=g:111508
Zamzerch	id=g:111509
Kūh-e Zam Zamān	id=g:111510
