Darreh-ye Morgh Khān	id=g:123271
Morgh-e Kūchak	id=g:123272
Morgh-e Bozorg	id=g:123273
Kūh-e Morghbān	id=g:123274
Morghān Sorūg	id=g:123275
Morghānū	id=g:123276
Kūh-e Āb Morghān	id=g:123277
Morghak-e ‘Olyā	id=g:123278
Morghābād	id=g:123279
Rūdkhāneh-ye Morghāb	id=g:123280
Morghāb	id=g:123281
Morghāb	id=g:123282
Morghāb	id=g:123283
Qahveh Khāneh-ye Marq	id=g:123284
Morgh	id=g:123285
Tappeh-ye Mar Gārīs	id=g:123286
Rūdkhāneh-ye Mo‘rez	id=g:123287
Kūh-e Mordod	id=g:123288
Kūh-e Mowr Derāz	id=g:123289
Mard Ābshūrī	id=g:123290
Mardī Chāy	id=g:123291
Mordaq	id=g:123292
Morbāgh	id=g:123293
Morāskhūn-e ‘Olyā	id=g:123294
Marāveh Tappeh	id=g:123295
Moraşşa‘	id=g:123296
Kūh-e Mor Andūn	id=g:123297
Nakhlestān-e Marākī	id=g:123298
Morād Tappeh	id=g:123299
Morād Tappeh	id=g:123300
Morādlū-ye Vasaţī	id=g:123301
Morādlū-ye Pā”īn	id=g:123302
Morādlū-ye ‘Olyā	id=g:123303
Morādlū	id=g:123304
Morādlū	id=g:123305
Morād Jān	id=g:123306
Morād Bolāghī	id=g:123307
Morād Peglū	id=g:123308
Morād Beygī	id=g:123309
Morādābād	id=g:123310
Morādābād	id=g:123311
Morādābād	id=g:123312
Morādābād	id=g:123313
Morādābād	id=g:123314
Morādābād	id=g:123315
Morādābād	id=g:123316
Morādābād	id=g:123317
Morādābād	id=g:123318
Morādābād	id=g:123319
Morādābād	id=g:123320
Morādābād	id=g:123321
Morādābād	id=g:123322
Morādābād	id=g:123323
Morādābād-e Chegūrī	id=g:123324
Morādābād	id=g:123325
Morādābād	id=g:123326
Morādābād	id=g:123327
Moqūm	id=g:123328
Moqolī	id=g:123329
Meqīţālū	id=g:123330
Moqīseh	id=g:123331
Moqīlān	id=g:123332
Mogheyţīyeh	id=g:123333
Moqbetīyeh	id=g:123334
Moqdar	id=g:123335
Moghdān	id=g:123336
Moqbelābād	id=g:123337
Moqarreb-e	id=g:123338
Kalāteh-ye Moghāndar	id=g:123339
Moghānak	id=g:123340
Moghānak	id=g:123341
Rūdkhāneh-ye Moqām	id=g:123342
Kūh-e Moqābel Gīr	id=g:123343
Monyūḩī	id=g:123344
Reshteh-ye Monsharaf	id=g:123345
Monond	id=g:123346
Tall-e Manjoqlī	id=g:123347
Tang-e Monj	id=g:123348
Monj-e Nesā’	id=g:123349
Monj	id=g:123350
Mūnj	id=g:123351
Monīkh	id=g:123352
Mongezhdī	id=g:123353
Rūdkhāneh-ye Dokhtar Borjī	id=g:123354
Mongasht	id=g:123355
Mo’nes	id=g:123356
Mondū’ī	id=g:123357
Mendovān	id=g:123358
Mendovān	id=g:123359
Mondān	id=g:123360
Mūnd Āb	id=g:123361
Kūh-e Mand	id=g:123362
Mombīn	id=g:123363
Fīrūzābād	id=g:123364
Kūh-e Monvarī	id=g:123365
Monavvarī	id=g:123366
Monavvar	id=g:123367
Monārjān	id=g:123368
Kūh-e Monārat	id=g:123369
Kūh-e Monār	id=g:123370
Kūh-e Menār	id=g:123371
Mo’men Zamīn	id=g:123372
Mow’menān	id=g:123373
Kūh-e Mow’menābād	id=g:123374
Mow’menābād	id=g:123375
Mowʼmen	id=g:123376
Mo’menābād	id=g:123377
Mombīn	id=g:123378
Molverdū	id=g:123379
Kūh-e Molūk	id=g:123380
Bandar-e Mollū	id=g:123381
Maleshkahū	id=g:123382
Mollā Zamān	id=g:123383
Mollā Yūsof	id=g:123384
Mollā-ye Tam	id=g:123385
Mollā Arreh	id=g:123386
Mollā Ţāleb	id=g:123387
Mollā Sharīfī	id=g:123388
Rāmīn	id=g:123389
Mollā Sālemī	id=g:123390
Mollā Qorbānī	id=g:123391
Mollā Pīrī	id=g:123392
Mollā Natakī	id=g:123393
Mollā Moḩammad Taqī	id=g:123394
Mollā Moḩammad Ţāher	id=g:123395
Mollā Maḩalleh	id=g:123396
Mollālar	id=g:123397
Mollālar	id=g:123398
Mollā Khalīfeh	id=g:123399
Mollā Kandī	id=g:123400
Kūh-e Mowlā’ī	id=g:123401
Mollā Ḩūnī	id=g:123402
Mollā Ḩoseyn	id=g:123403
Chāh-e Mollā Ḩeydar	id=g:123404
Mollā Ḩasan	id=g:123405
Kalāteh-ye Mollā Ḩājjī	id=g:123407
Kūh-e Mollā Hādī	id=g:123408
