Kal Gāh	id=g:129197
Kāl-e Yūlan	id=g:129199
Kaاeh Vīnjeh	id=g:129200
Kaleybar	id=g:129201
Golestān	id=g:129202
Goleshtareh	id=g:129203
Kāl-e Shīr Kosh	id=g:129204
Kal-e Sefīd	id=g:129205
Gol Sang	id=g:129206
Kāl-e Soflá	id=g:129207
Kalen	id=g:129208
Kūh-e Kal Kūhī	id=g:129209
Kālījān	id=g:129210
Kaleh-ye Pīr	id=g:129211
Kalehsar	id=g:129212
Kaleh	id=g:129213
Kalkān	id=g:129214
Koleh Jūb	id=g:129215
Kalleh Gāvī	id=g:129216
Kaleh Chendār	id=g:129217
Kūh-e Kalāgh	id=g:129218
Kāleh	id=g:129219
Kalleh Gāv Rāh	id=g:129220
Kelak	id=g:129221
Kāl-e Bālā	id=g:129222
Kal-e Bādī	id=g:129223
Kal Dūzakh	id=g:129224
Kal Dūghī	id=g:129225
Kāl Chūqūkī	id=g:129226
Rūdkhāneh-ye Kalchāk	id=g:129227
Gol Chāh	id=g:129228
Kalbījānī	id=g:129229
Kalbībag	id=g:129230
Kalbīā	id=g:129231
Kalbī	id=g:129232
Kūh-e Kalbeyow	id=g:129233
Kalbar	id=g:129234
Kal Bādī Khānī	id=g:129235
Kūh-e Kalbādām	id=g:129236
Kalāyen	id=g:129237
Kalāyeh	id=g:129238
Kalāyeh	id=g:129239
Talāvī	id=g:129240
Kalābī	id=g:129241
Kalāvashk	id=g:129242
Kalāveh	id=g:129243
Kalāvengā	id=g:129244
Kalleh Bān	id=g:129245
Kūh-e Kalāt Zangī	id=g:129246
Kūh-e Kalāt Zanbūrī	id=g:129247
Kalātūtīyeh	id=g:129248
Kalātū	id=g:129249
Qalātū’īyeh	id=g:129250
Kalāt-e Shīb-e Dastgerd	id=g:129251
Kalātī	id=g:129252
Kūh-e Kalāt-e Sūrū	id=g:129253
Qalāt-e Pā’īn	id=g:129254
Kalāt-e Marvarī	id=g:129255
Kalāt-e Malek	id=g:129256
Kalāt-e Jangal	id=g:129257
Dahaneh-ye Zehān	id=g:129258
Zamān Şūfī	id=g:129259
Kalāteh-ye Zamānābād	id=g:129260
Kalāteh-ye Zamān	id=g:129261
Kalāteh-ye Zamān	id=g:129262
Kalāteh-ye Tūtī	id=g:129263
Kalāt-e Tūt	id=g:129264
Kalāteh-ye Torkhā	id=g:129265
Kalāteh-ye Sorkh	id=g:129266
Kalāt-e Sorkh	id=g:129267
Kalāteh-ye Solţān	id=g:129268
Kalāteh-ye Soleymān	id=g:129269
Kalāteh-ye Sohrāb	id=g:129270
Sīāh Dasht	id=g:129271
Kalāteh-ye Shūkhrī	id=g:129272
Kalāteh-ye Shoqānīhā	id=g:129273
Kalāteh-ye Sheykhhā	id=g:129274
Kalāt-e Sheykh	id=g:129275
Kal Sheykh	id=g:129276
Kalāt-e Shams	id=g:129277
Kalāteh-ye Shāh Moḩammad	id=g:129278
Kalāteh-ye Shāhmīr	id=g:129279
Kalāteh-ye Sarī	id=g:129280
Kalāteh-ye Sarā'em Sākhlū	id=g:129281
Kalāteh-ye Sanjar	id=g:129282
Kalāteh-ye Şādū	id=g:129283
Kalāteh-ye Sādāt	id=g:129284
Kalāteh-ye Rūd-e Ger	id=g:129285
Kalāt-e Rūd	id=g:129286
Zaraq	id=g:129287
Kalāteh-ye Reẕā Khān	id=g:129288
Qal‘eh-ye Rezā	id=g:129289
Kalāteh-ye Rey	id=g:129290
Kalāt-e Ra’īs	id=g:129291
Kalāteh-ye Qezel Alāq	id=g:129292
Kalāteh-ye Qaşşāb	id=g:129293
Kalāteh-ye Qāsemābād	id=g:129294
Kalāteh-ye Qāsem	id=g:129295
Kalāteh-ye Qanbar ‘Alī	id=g:129296
Kalāteh-ye Qamū	id=g:129297
Kalāteh-ye Pā'īn Godār	id=g:129298
Kalāteh-ye Nūrollāh	id=g:129299
Kalāteh-ye Nūrī	id=g:129300
Nowrūzī	id=g:129301
Kalāteh-ye Now	id=g:129302
Kalāteh-ye Now	id=g:129303
Kalāteh-ye Now	id=g:129304
Kalāteh-ye Now	id=g:129305
Kalāt-e Now	id=g:129306
Kalāteh-ye Now	id=g:129307
Kalāt-e Nīm Farsang	id=g:129308
Naz̧ar Moḩammad	id=g:129309
Naz̧ar ‘Alī	id=g:129310
Kalāt-e Nāyeb Rajab	id=g:129311
Kalāteh-ye Nakhlīdeh	id=g:129312
Kalāteh-ye Mūrī	id=g:129313
Kalāteh-ye Teymūrī	id=g:129314
Kalāteh-ye Moşţafá	id=g:129315
Kalāteh-ye Morteẕá	id=g:129316
Kalāteh-ye Mollā Veys	id=g:129317
Kalāteh-ye Mollā Moḩammad Qolī	id=g:129318
Kalāteh-ye Mollā Moḩammad	id=g:129319
Kalāteh-ye Mollā	id=g:129320
Kalāteh-ye Mollā	id=g:129321
Kalāteh-ye Mollā	id=g:129322
Kalāt-e Mollā	id=g:129323
Kalāteh-ye Moḩammad Khān	id=g:129324
Kalāt-e Moḩammad Ḩoseyn Khān	id=g:129325
Kalāteh-ye Moḩammad Beyk	id=g:129326
Kalāteh-ye Mīrzā Yūsof	id=g:129327
Kalāteh-ye Mīrzā Raḩīm	id=g:129328
Kalāteh-ye Mīrzā	id=g:129329
Kalāteh-ye Mīrzā	id=g:129330
Kalāt-e Mīrzā	id=g:129331
Kalāteh-ye Mīrzā	id=g:129332
Kalāteh-ye Mīr Samī`	id=g:129333
Kalāteh-ye Mīr Qāzī	id=g:129334
Qal‘eh-ye Mīrow	id=g:129335
Kalāteh-ye Mīr Ḩoseyn	id=g:129336
Kalāteh-ye Mīr ‘Alī	id=g:129337
Kalāteh-ye Mīr	id=g:129338
Kalāteh-ye Mīr	id=g:129339
Kalāteh-ye Mehdīābād	id=g:129340
Kalāteh-ye Mazīnān	id=g:129341
Kalāteh-ye Mashhadī Ḩoseyn	id=g:129343
Kalāteh-ye Balū	id=g:129344
Kalāteh-ye Malāleh	id=g:129345
Kalāteh-ye Majīd	id=g:129346
Kalāteh-ye Ḩasan	id=g:129348
Kalāteh-ye Khodādād	id=g:129349
Kalāt-e Khodādād	id=g:129350
Kalāteh Khīj	id=g:129351
Kalāteh-ye Khān	id=g:129352
Kalāteh-ye Khān	id=g:129353
Kalāteh-ye Khān	id=g:129354
Kalāteh-ye Khān	id=g:129355
Kalāteh-ye Khān	id=g:129356
Kalāteh-ye Khān	id=g:129357
Kalāteh-ye Khākī	id=g:129359
Khādemābād	id=g:129360
Kalāteh-ye Kāz̧em	id=g:129361
Kalāt-e Karbalā’ī Ḩoseyn	id=g:129362
Kalāteh-ye Karbalā'ī Ḩoseyn	id=g:129363
Kalāteh-ye Karbalā'ī Ḩājjī	id=g:129364
Kalāteh-ye Kal Bīsheh	id=g:129365
Kalāteh-ye Jān	id=g:129366
Kalāteh-ye Ja‘far	id=g:129367
Kalāt-e Jadīd	id=g:129368
Kalāteh-ye Ḩoseyn Moḩammad	id=g:129369
Kalāteh-ye Ḩoseyn `Alī Beyg	id=g:129370
Kalāteh-ye Ḩoseyn ‘Alī	id=g:129371
Ganjābād	id=g:129372
Kalāteh-ye Ḩoseyn	id=g:129373
Kalāteh-ye Ḩoseyn	id=g:129374
Kalāteh-ye Ḩasan Qolī	id=g:129375
Kalāteh-ye Ḩasan `Alī	id=g:129376
Kalāt-e Ḩoseyn‘alī Beyk	id=g:129377
Kalāteh-ye Ḩasan	id=g:129378
Kalāteh-ye Ḩoseyn	id=g:129379
Kalāteh-ye Ḩājjī Yūsof Khān	id=g:129380
Kalāteh-ye Ḩājjī Yūsef	id=g:129381
Kalāteh-ye Ḩājjī	id=g:129382
Kalāteh-ye Ḩājj Shahsavār	id=g:129383
Kalāteh-ye Mīr Ḩoseyn	id=g:129384
Kalāteh-ye Ḩājjī Gholām	id=g:129385
Kalāt-e Ḩājjtā	id=g:129386
Kalāteh-ye Ḩājjī `Alī	id=g:129387
Kalāteh-ye Gholām Rezā	id=g:129388
Kalāteh-ye Gholām Reẕā	id=g:129389
Kalāteh-ye Gholāmreẕā	id=g:129390
Kalāteh-ye Gholām Raḩmān	id=g:129391
Kalāteh-ye Gazī	id=g:129392
Kalāteh-ye Gāh	id=g:129393
Kalāteh-ye Feshāy	id=g:129394
Dowtūdar	id=g:129395
Kalāteh-ye Dokhtarak	id=g:129396
Kalāteh-ye Dīv	id=g:129397
Kalāt-e Aḩmadvārī	id=g:129398
Kūh-e Kalāteh-ye Dargāh	id=g:129399
Kalāteh-ye Dargāh	id=g:129400
Kalāteh-ye Dallāk	id=g:129401
Kalāteh-ye Chodar	id=g:129402
Chenār Khūnī	id=g:129403
Kalāteh-ye Chenār	id=g:129404
Kalāteh-ye Bāqer Khān	id=g:129405
Kalāteh-ye Bālī	id=g:129406
Kalāteh-ye Bālā	id=g:129407
Kalāteh-ye Bālā	id=g:129408
Kalāteh-ye Bālā	id=g:129409
Kalāteh-ye Bāgh	id=g:129410
Kalāteh-ye Badr	id=g:129411
