Hācheh Dāghī	id=g:6689142
Kūh-e Kūrt Dūl	id=g:6689143
Kūh-e Jābon Dāsh	id=g:6689144
Tūvīstān	id=g:6689145
Kūh-e Maleh	id=g:6689146
Rūdkhāneh-ye Qezel Owzan	id=g:6689147
Rūdkhāneh-ye Zāl	id=g:6689148
Emāmzādeh Aḩmad	id=g:6689149
Jīzvān	id=g:6689150
Darreh-ye Soleymān Qeshlāqī	id=g:6689151
Kūh-e Ţohreh	id=g:6689152
Darreh-ye Īncheh	id=g:6689153
Āqshalāqī	id=g:6689154
Tappeh-ye ‘Omar Yūqūsh	id=g:6689155
Darreh-ye Qarah Qānlū	id=g:6689156
Darreh-ye Kelī	id=g:6689157
Darreh-ye Sardaraq	id=g:6689158
Qarah Āghājlū	id=g:6689159
Yānīq	id=g:6689160
Chūn Tehrāneh	id=g:6689161
Qodrat Bāghī	id=g:6689162
Rūdkhāneh-ye Ḩammāmlū	id=g:6689163
Darreh-ye Qāflān Chāy	id=g:6689164
Tappeh-ye Qarah Dāgh	id=g:6689165
Kahrīzlū	id=g:6689166
Rūdkhāneh-ye Fīleh Khāşşeh	id=g:6689167
Tappeh-ye Qarah Aldāghī	id=g:6689168
Gūnī Qeshlāq	id=g:6689169
Tappeh-ye Qal‘eh	id=g:6689170
Zanjān Rūd	id=g:6689171
Tappeh-ye Gūr Qal‘eh	id=g:6689172
Tappeh-ye Īdehlī	id=g:6689173
Qūsheh Tappeh	id=g:6689174
Tappeh-ye Qāzān Qayah	id=g:6689175
Qāflānkūh	id=g:6689176
Cheshmeh-ye Āq Bolāgh	id=g:6689177
Darreh-ye Anj	id=g:6689178
Darreh-ye Āq Bolāgh	id=g:6689179
Pīreh Bāghī	id=g:6689180
Ākhtar Pākhlakh	id=g:6689181
Tappeh-ye Qarah Kūrk	id=g:6689182
Kūr Bolāgh	id=g:6689183
Qīndar Gāblāgh	id=g:6689184
Kūh-e Gūnī	id=g:6689185
Jājakhlī	id=g:6689186
Darreh-ye Allāho Akbar	id=g:6689187
Kūh-e Arganeh	id=g:6689188
Darreh-ye Bolāgh	id=g:6689189
Kūh-e Zakātollāh	id=g:6689190
Darreh-ye Āy Gūchān	id=g:6689191
Darreh-ye Bāgh	id=g:6689192
Īk Tappeh	id=g:6689193
Qarah Qayah	id=g:6689194
Tappeh-ye Gorgān Qal‘eh	id=g:6689195
Dāshleh Bolāgh	id=g:6689196
Qoflānkūh	id=g:6689197
Kūh-e Khol Bābā	id=g:6689198
Rūdkhāneh-ye Vāl Rūd	id=g:6689199
Emāmzādeh Ebrāhīm	id=g:6689200
Chakhmāq Kandī	id=g:6689201
Darreh-ye Sāvojbolāgh	id=g:6689202
