Kūh-e Lāmīsh	id=g:6875556
Cheshmeh-ye Maghrefeh	id=g:6875557
Cheshmeh-ye Āb-e Tūt	id=g:6875558
Maqşūd Beyk	id=g:6875559
Chāh-e Āb-e Damāgheh Sīāh	id=g:6875560
Bāgh-e Sorkh	id=g:6875561
Cheshmeh-ye Āb-e Bādī	id=g:6875562
Kūh-e Ţūl Borjī	id=g:6875563
Kūh-e Qal‘eh Sangī	id=g:6875564
Kūh-e Damāgheh Sefīd	id=g:6875565
Cheshmeh Sīb	id=g:6875566
Kūh-e Cheshmeh Senjedī	id=g:6875567
Dahāneh-ye Pābaleh	id=g:6875568
Kūh-e Ostokhūnī	id=g:6875569
Kūh-e Kalleh Yūsef	id=g:6875570
Kūh-e Yakhchālī	id=g:6875571
Kūh-e Chahār Tāy	id=g:6875572
Kūh-e Qāshoqī	id=g:6875573
Kūh-e Band Solţānī	id=g:6875574
Kūh-e Band Mārī	id=g:6875575
Pūzeh-ey Gorzī	id=g:6875576
Kūh-e Do Shākh	id=g:6875577
Kūh-e Chak Āb	id=g:6875578
Kūh-e Keshmeshī	id=g:6875579
Kūh-e ‘Eydī	id=g:6875580
Kūh-e Ḩowẕ	id=g:6875581
Darreh-ye ‘Abdow	id=g:6875582
Kūh-e Ţūl Sefīd	id=g:6875583
Ţūl-e Ḩeydar Koshteh	id=g:6875584
Emāmzādeh Shāh Qandāb	id=g:6875585
Kūh-e Qalāt	id=g:6875586
Emāmzādeh ‘Abd ol ‘Azīz	id=g:6899633
Eslāmābād	id=g:6899634
Zīāratgāh-e Sang Rās ol Ḩoseyn	id=g:6899635
Emāmzādeh Seyyed Moḩammad	id=g:6899636
Maqbareh-ye Bagvam Mehdī	id=g:6899637
Emāmzādeh Seyyed Nesā’	id=g:6899638
Emāmzādeh Seyyed Ebrāhīm	id=g:6899639
Abū Sa‘īd	id=g:6899640
Emāmzādeh Shāh Seyyed Tanhā	id=g:6899641
Kabūtarābād	id=g:6899642
Mazra‘eh-ye Shahīd Rajā’ī	id=g:6899643
Kūh-e Qalāt Gol Sorkh	id=g:6899644
Kūh-e Zangī	id=g:6899645
Gardaneh-ye Mollā Āqā Bābā	id=g:6899646
Kūh-e Chak Āb	id=g:6899647
Kūh-e Khalajī	id=g:6899648
