Migliarello	id=g:2524159
Miggiano	id=g:2524160
Migaudi	id=g:2524161
Comune di Mezzojuso	id=g:2524162
Mezzojuso	id=g:2524163
Fiumara Mezzano	id=g:2524164
Mezzana	id=g:2524165
Fiume Metramo	id=g:2524166
Stazione Messina Centrale	id=g:2524167
Stretto di Messina	id=g:2524168
Provincia di Messina	id=g:2524169
Messina	id=g:2524170
Messignadi	id=g:2524171
Mesoraca	id=g:2524172
Fiume Mesima	id=g:2524173
Meroso	id=g:2524174
Merì	id=g:2524175
Fiume Mercure	id=g:2524176
Menniti	id=g:2524177
Punta Menga	id=g:2524178
Menfi	id=g:2524179
Mendicino	id=g:2524180
Melito di Porto Salvo	id=g:2524181
Fiume Melito	id=g:2524182
Fiumara di Melito	id=g:2524183
Melissano	id=g:2524184
Melissa	id=g:2524185
Melilli	id=g:2524186
Melilla	id=g:2524187
Melicucco	id=g:2524188
Melicuccà	id=g:2524189
Melicuccà	id=g:2524190
Isola dei Meli	id=g:2524191
Torrente Mela	id=g:2524192
Monte Mela	id=g:2524193
Porto Megarese	id=g:2524194
Stazione Megara-Giannalena	id=g:2524195
Mecarillo	id=g:2524196
Meana Sardo	id=g:2524197
Mazzuca	id=g:2524198
Mazzarrà Sant'Andrea	id=g:2524199
Mazzarino	id=g:2524200
Torrente Mazzarà	id=g:2524201
Matzaccara	id=g:2524202
Mazza	id=g:2524203
Fiumara Mazaro	id=g:2524204
Mazara del Vallo	id=g:2524205
Torrente di Mavigliano	id=g:2524206
Mauro	id=g:2524207
Maracalagonis	id=g:2524208
Masullas	id=g:2524209
Punta su Mastixi	id=g:2524210
Masseria Tempa del Pertagio	id=g:2524211
Masseria Speciale	id=g:2524212
Masseria Sollima	id=g:2524213
Masseria Scilva	id=g:2524214
Masseria Santa Maria del Bosco	id=g:2524215
Masseria San Biagio	id=g:2524216
Masseria Salituri	id=g:2524217
Masseria Rossi	id=g:2524218
Masseria Niscima	id=g:2524219
Masseria Margherito Sottano	id=g:2524220
Masseria Macchiafava	id=g:2524221
Masseria Grotta Fumata	id=g:2524222
Masseria Giancio	id=g:2524223
Masseria Fovate	id=g:2524224
Masseria Filippelli	id=g:2524225
Masseria di Rusciano	id=g:2524226
Masseria di Bruca	id=g:2524227
Masseria Cunazzo	id=g:2524228
Masseria Comunelli	id=g:2524229
Masseria Comunelli	id=g:2524230
Masseria Caruso	id=g:2524231
Massama	id=g:2524232
Massadita	id=g:2524233
Massa	id=g:2524234
Cantoniera Masonedili	id=g:2524235
Mascalucia	id=g:2524236
Mascali	id=g:2524237
Masainas	id=g:2524238
Marzi	id=g:2524239
Marzamemi	id=g:2524240
Martone	id=g:2524241
Martirano Lombardo	id=g:2524242
Martirano	id=g:2524243
Fiumara di Marsala	id=g:2524244
Marsala	id=g:2524245
Marrubiu	id=g:2524246
Torrente Marro	id=g:2524247
Marri	id=g:2524248
Marraglione	id=g:2524249
Fiume Maroglio	id=g:2524250
Punta la Marmora	id=g:2524251
Fiumara Marmora	id=g:2524252
Marittima	id=g:2524253
Cala Marino	id=g:2524254
Marineo	id=g:2524255
Marinella	id=g:2524256
Marina Serra	id=g:2524257
Marina Schiavonia	id=g:2524258
Marina Porto	id=g:2524259
Ancoraggi di Marina Lunga	id=g:2524260
Marina di Sellia	id=g:2524261
Marina di San Lorenzo	id=g:2524262
Marina di Ragusa	id=g:2524263
Marina di Palma	id=g:2524264
Marina di Monasterace	id=g:2524265
Marina di Gioiosa Ionica	id=g:2524266
Marina di Gioia Tauro	id=g:2524267
Marina di Fuscaldo	id=g:2524268
Marina di Catanzaro	id=g:2524269
Marina di Camerota	id=g:2524270
Marina d’Avola	id=g:2524271
Marina	id=g:2524272
Marina	id=g:2524273
Marina	id=g:2524274
Marianopoli	id=g:2524275
Spiaggia di Marianello	id=g:2524276
Monte Maria	id=g:2524277
Isola Marettimo	id=g:2524278
Marettimo	id=g:2524279
Marchicelli	id=g:2524280
Fiume Marcellino	id=g:2524281
Marcellinara	id=g:2524282
Marcedusa	id=g:2524283
Marcazzo	id=g:2524284
Marcatobianco	id=g:2524285
Marausa	id=g:2524286
Maratea	id=g:2524287
Isolotto Maraone	id=g:2524288
Marano Principato	id=g:2524289
Marano Marchesato	id=g:2524290
Maranise	id=g:2524291
Riu Mannu Baccaidda	id=g:2524292
Riu Mannu	id=g:2524293
Riu Mannu	id=g:2524294
Riu Mannu	id=g:2524295
Monte Mannu	id=g:2524296
Flumini Mannu	id=g:2524297
Flumini Mannu	id=g:2524298
Castello Maniace	id=g:2524299
Mangone	id=g:2524300
Sorgente Mangiatorella	id=g:2524301
Mangiapane	id=g:2524302
Mandriagrande	id=g:2524303
Mandra Capreria	id=g:2524304
Mandatoriccio	id=g:2524305
Mandas	id=g:2524306
Mandaradoni	id=g:2524307
Mandaradoni	id=g:2524308
Bacu e Mandara	id=g:2524309
Mandanici	id=g:2524310
Mammola	id=g:2524311
Malvito	id=g:2524312
Malvagna	id=g:2524313
Malta Channel	id=g:2524314
Torrente Malpertugio	id=g:2524315
Malpasso	id=g:2524316
Torrente Malotempo	id=g:2524317
Malò	id=g:2524318
Malito	id=g:2524319
Capo Malfatano	id=g:2524320
Malfa	id=g:2524321
Maletto	id=g:2524322
Ìsola di Mal di Ventre	id=g:2524323
Timpone Malazza	id=g:2524324
Maladera	id=g:2524325
Punta Maimoni	id=g:2524326
Punta Maimoi	id=g:2524327
Maierato	id=g:2524328
Maierà	id=g:2524329
Maida Marina	id=g:2524330
Maida	id=g:2524331
Magorano	id=g:2524332
Penisola Magnisi	id=g:2524333
Magliacane	id=g:2524334
Magisano	id=g:2524335
Punta Maggiore	id=g:2524336
Fiume Magazzolo	id=g:2524337
Magazzini	id=g:2524338
Stagno di Maestrale	id=g:2524339
Portella Madonnuzza	id=g:2524340
Madonna Vergadoro	id=g:2524341
Madonna di Mare	id=g:2524342
Madonna della Catena	id=g:2524343
Madia	id=g:2524344
Maddalenedda	id=g:2524345
Penisola della Maddalena	id=g:2524346
Macri	id=g:2524347
Punta del Macolone	id=g:2524348
Macchiareddu	id=g:2524349
Macchia	id=g:2524350
Macari	id=g:2524351
Luzzi	id=g:2524352
Luposa	id=g:2524353
Luogo Grande	id=g:2524354
Luoghicello	id=g:2524355
Lungro	id=g:2524356
Lunamatrona	id=g:2524357
Riu su Ludu	id=g:2524358
Genna su Ludu	id=g:2524359
Lucugnano	id=g:2524360
Lucca Sicula	id=g:2524361
