Oslávia	id=g:3171846
Stazione di Osimo	id=g:3171847
Osimo	id=g:3171848
Osilo	id=g:3171849
Osigo	id=g:3171850
Osiglia	id=g:3171851
Stazione di Osidda	id=g:3171852
Osidda	id=g:3171853
Osera	id=g:3171854
Torrente Osento	id=g:3171855
Fiume Osento	id=g:3171856
Canale dell’ Osellino	id=g:3171857
Monte Oseli	id=g:3171858
Oseacco	id=g:3171859
Riu di Oschiri	id=g:3171860
Oschiri	id=g:3171861
Osarella	id=g:3171862
Caletta di Osalla	id=g:3171863
Osacca	id=g:3171864
Fosso dell’ Osa	id=g:3171865
Fiume Osa	id=g:3171866
Osa	id=g:3171867
Orzivecchi	id=g:3171868
Orzinuovi	id=g:3171869
Orzano	id=g:3171870
Orzale	id=g:3171871
Orvinio	id=g:3171872
Punta Orvili	id=g:3171873
Orvieto	id=g:3171874
Orvegno	id=g:3171875
Orvano	id=g:3171876
Punta Oruvera	id=g:3171877
Orune	id=g:3171878
Monte Orulò	id=g:3171879
Riu d’ Ortueri	id=g:3171880
Ortueri	id=g:3171881
Ortucchio	id=g:3171882
Ortovero	id=g:3171883
Ortonovo	id=g:3171884
Ortona dei Marsi	id=g:3171885
Ortona	id=g:3171886
Ortodonico	id=g:3171887
Monte Ortobene	id=g:3171888
Ortles	id=g:3171889
Ortles	id=g:3171890
Ortisei - St. Ulrich	id=g:3171891
Ortignano Raggiolo	id=g:3171892
Monte Ortigiu	id=g:3171893
Orticelli	id=g:3171894
Ortezzano	id=g:3171895
Ortelle	id=g:3171896
Fiume Orte	id=g:3171897
Orte	id=g:3171898
Orta San Giulio	id=g:3171899
Orta Nova	id=g:3171900
Isolotto d' Ortano	id=g:3171901
Capo Ortano	id=g:3171902
Lago d' Orta	id=g:3171903
Orsoleo	id=g:3171904
Orsogna	id=g:3171905
Torre dell' Orso	id=g:3171906
Monte Orso	id=g:3171907
Colle dell’ Orso	id=g:3171908
Capo d’ Orso	id=g:3171909
Capo d'Orso	id=g:3171910
Monte Orsetti	id=g:3171911
Orsenigo	id=g:3171912
Monte Orsello	id=g:3171913
Orsara di Puglia	id=g:3171914
Orsano	id=g:3171915
Monte Orria	id=g:3171916
Orria	id=g:3171917
Serra d’ Orotelli	id=g:3171918
Orotelli	id=g:3171919
Golfo di Orosei	id=g:3171920
Orosei	id=g:3171921
Santuario d’ Oropa	id=g:3171922
Alpi Orobie	id=g:3171923
Poggio all’ Oro	id=g:3171924
Monte d’ Oro	id=g:3171925
Monte d' Oro	id=g:3171926
Monte d’Oro	id=g:3171927
Monte d’ Oro	id=g:3171928
Monte Oro	id=g:3171929
Oro	id=g:3171930
Oro	id=g:3171931
Monte Ornito	id=g:3171932
Ornica	id=g:3171933
Orneta	id=g:3171934
Ornavasso	id=g:3171935
Ornaro	id=g:3171936
Ornano Piccolo	id=g:3171937
Ornano Grande	id=g:3171938
Ornago	id=g:3171939
Fosso Ormeto	id=g:3171940
Monte Ormelune	id=g:3171941
Ormea	id=g:3171942
Torrente Orme	id=g:3171943
Ormanico	id=g:3171944
Capo d’ Orlando	id=g:3171945
Oris	id=g:3171946
Oriolo Romano	id=g:3171947
Oriolo	id=g:3171948
Oriolo	id=g:3171949
Oriolo	id=g:3171950
Orio Litta	id=g:3171951
