Heimbühel	id=g:6938133
Berglerferner Kopf	id=g:6938137
Saggrat	id=g:6938149
Rauher Kopf	id=g:6938152
Schiesshorn	id=g:6938154
Gorfenspitze	id=g:6938165
Höllenspitze	id=g:6938168
Gargäller Chöpf	id=g:6938173
Breiter Spitz	id=g:6938177
Breitspitze /Breiter Spitz	id=g:6938178
Schwarze Wand	id=g:6938180
Birkhahnkopf	id=g:6938183
Madrisella	id=g:6938186
Mittags Spitze	id=g:6938190
Heimspitze	id=g:6938199
Berglerkopf	id=g:6938205
Schwarzkogel	id=g:6938206
Muttenkopf	id=g:6938213
Rotkogel	id=g:6938223
Schmalzberg	id=g:6938226
Stubennock	id=g:6938228
Schwarzkopf	id=g:6938234
Lange Wand	id=g:6938244
Alpkogel	id=g:6938245
Alphogel	id=g:6938252
Burg	id=g:6938253
Ochsenkogel	id=g:6938259
Schmalzköpfl	id=g:6938264
In der Keil	id=g:6938271
Gampapinger Berg	id=g:6938274
Gamsspitzl	id=g:6938276
Muttelberg	id=g:6938277
Gösleswand	id=g:6938282
Rauher Kogel	id=g:6938296
Rotspitz	id=g:6938297
Stubaier Wildspitze	id=g:6938298
Grieskopf	id=g:6938299
Vieregger	id=g:6938310
Borschtkopf	id=g:6938318
Fluh	id=g:6938320
Gundalatscher Berg	id=g:6938321
Frudigerkopf	id=g:6938324
Röbispitzen	id=g:6938325
Westliche Fluhspitze	id=g:6938326
Rauher Kopf	id=g:6938327
Tafamunter Augstenberg	id=g:6938328
Gantakopf	id=g:6938329
Mittlere Fluhspitze	id=g:6938335
Pardatscher Grat	id=g:6938342
Tschadinhorn	id=g:6938345
Schrottenkopf	id=g:6938349
Niederl	id=g:6938351
Großer Trögler	id=g:6938359
Schaftaler	id=g:6938364
Zöhrerkogel	id=g:6938371
Tschamatschkopf	id=g:6938376
Grüner Grat	id=g:6938383
Vertineskopf	id=g:6938384
Gmeinnock	id=g:6938394
Vertinesberg	id=g:6938401
Jöchligrat	id=g:6938409
Innerer Gweilkopf	id=g:6938418
Westlicher Valschavielberg	id=g:6938419
Matonkopf	id=g:6938420
Feldernock	id=g:6938424
Reutehorn (Rüthihorn)	id=g:6938431
Ochsebnekopf	id=g:6938435
Valschavielberge	id=g:6938440
Innerer Platinakopf	id=g:6938442
Grauer Kopf	id=g:6938450
Martinskopf	id=g:6938452
Riererkopf	id=g:6938453
Masnerkopf	id=g:6938460
Gmairerkopf	id=g:6938463
Grappeskopf	id=g:6938467
Stritkopf	id=g:6938468
Vorderer Geißl­kopf	id=g:6938470
Nuamongrat	id=g:6938471
Mooskopf	id=g:6938474
Großglockner	id=g:6938482
Predigtstuhl	id=g:6938484
Fasulzwillinge	id=g:6938485
Tschaudinock	id=g:6938488
Schlanderkogel	id=g:6938490
Madleinkopf	id=g:6938492
Wirtsnock	id=g:6938496
Matnalkopf	id=g:6938501
Lattenkopf	id=g:6938503
Roßgrubenkofel	id=g:6938508
Montedona	id=g:6938510
Padauner Berg	id=g:6938511
Schönbichl	id=g:6938517
Mitter Spitze	id=g:6938520
Albonakopf	id=g:6938522
Tilisuna-Seehorn	id=g:6938524
Äußerer Gweilkopf	id=g:6938525
Hühnerbergkopf	id=g:6938529
Schönverwall Kopf	id=g:6938530
Gweilspitze	id=g:6938540
Giampkopf	id=g:6938541
Verspala	id=g:6938547
Talliger	id=g:6938550
Tälispitze	id=g:6938555
Zirmesköpfle	id=g:6938556
Südlicher Schönpleis Kopf	id=g:6938559
Alpilakopf	id=g:6938560
Knollkopf	id=g:6938561
Torkopf	id=g:6938563
Schafpleiskopf	id=g:6938564
Giampspitze	id=g:6938567
Motadenser Kopf	id=g:6938568
Hühnerleitennock	id=g:6938569
Valschavieler Plattenspitze	id=g:6938570
Östlicher Fanesklakopf	id=g:6938575
Seirlöcherkogel	id=g:6938576
Fanesklakopf	id=g:6938577
Schermsteeberg	id=g:6938579
Schwarze Wand	id=g:6938580
Luterseeberg	id=g:6938584
Muttlerkopf	id=g:6938588
Fasulspitze	id=g:6938593
Ofenkopf	id=g:6938594
Dürre Kopf	id=g:6938595
Rosannagrat	id=g:6938597
Fraschkopf	id=g:6938606
Peterer Riegel	id=g:6938607
Bergliskopf	id=g:6938612
Vorderer Sulzkogel	id=g:6938617
Dreier	id=g:6938619
Kessikopf	id=g:6938623
Lahngangkopf	id=g:6938624
Hochegg	id=g:6938625
Scheimersch (Geisterspitze)	id=g:6938627
Horn	id=g:6938628
Leitnerberg	id=g:6938630
Hora	id=g:6938632
Scheimersch	id=g:6938636
Zerneuerkopf	id=g:6938637
Rautekopf	id=g:6938638
Seeköpfe	id=g:6938644
Tschaggunser Mittagspitze	id=g:6938649
Mittagskopf	id=g:6938651
Wilden Mann	id=g:6938653
Roßberg	id=g:6938656
Zonpleiskopf	id=g:6938658
Fredakopf	id=g:6938659
Köpfle	id=g:6938660
Oberplatt Kopf	id=g:6938662
Montabella	id=g:6938670
Alschnerspitze	id=g:6938672
Augstenberg	id=g:6938674
Saumspitze	id=g:6938676
Roßkopf	id=g:6938679
Mittagkopf	id=g:6938681
Augstenberg	id=g:6938683
Zaluandakopf	id=g:6938685
Ochsenkopf	id=g:6938686
Felsenkopf	id=g:6938690
Kuchenjöchli	id=g:6938691
Ultenspitze	id=g:6938692
Schafköpfe	id=g:6938694
Rosenkranzhöhe	id=g:6938699
Kreuzjoch	id=g:6938701
Laubkopf	id=g:6938704
Seekopf	id=g:6938706
Freschluakopf	id=g:6938711
Scheibler	id=g:6938713
Kartell Kopf	id=g:6938716
Schafberg	id=g:6938718
Platziser Joch	id=g:6938719
Kreuzjoch	id=g:6938723
Kappler Kopf	id=g:6938724
Breiter Kopf	id=g:6938725
Pfannseekopf	id=g:6938727
Salaruelkopf	id=g:6938729
Rugglespitze	id=g:6938736
Faselfad Spitze	id=g:6938737
Gaflunakopf	id=g:6938738
Golm	id=g:6938739
Grüneck	id=g:6938741
Lohnfreschen	id=g:6938742
Schafgafall	id=g:6938743
Hauerkogel	id=g:6938747
Panüeler Kopf	id=g:6938751
Felimännle	id=g:6938752
Wildberg	id=g:6938754
Nördlicher Schafgafall	id=g:6938756
Steinböden	id=g:6938763
Gipsköpfle	id=g:6938767
Sessladspitze	id=g:6938769
Mittagsjoch	id=g:6938771
Strahleck	id=g:6938773
Lobschild	id=g:6938774
Schwarzkogel	id=g:6938775
Padasterkogel	id=g:6938777
Rauher Kopf = Schmirn	id=g:6938781
Reutlinger Turm	id=g:6938785
Auf der Platte	id=g:6938786
Gaiserkopf	id=g:6938789
Hahnentrittkopf	id=g:6938794
Schönjöchl	id=g:6938795
Sauerbleis	id=g:6938796
Gorfion	id=g:6938798
Kreuzjoch Spitze	id=g:6938800
Oberzalimkopf	id=g:6938801
Silbertaler Loobspitze	id=g:6938802
Galamant	id=g:6938806
Pflunspitze	id=g:6938807
Ohlitzen	id=g:6938808
Beilstein	id=g:6938815
Elferspitze	id=g:6938816
Hochburtscha Kopf	id=g:6938817
Brennerspitze	id=g:6938818
Rappoldkogel	id=g:6938819
Gr. Sulzbergkopf	id=g:6938823
Hochburtscha	id=g:6938824
Brandkogel	id=g:6938828
Pfannenknechte	id=g:6938830
Otterkirchle	id=g:6938832
Kämmerlischrofen	id=g:6938833
Mottakopf	id=g:6938834
Alblitköpfe	id=g:6938836
Riffel Spitze	id=g:6938837
Gstanskopf	id=g:6938838
Stallkogel	id=g:6938840
Hochkopf	id=g:6938844
Eisenkopf	id=g:6938846
Brandner Mittagsspitz	id=g:6938848
Gänsekragen	id=g:6938849
Hohe Spitze	id=g:6938854
Plattingrat	id=g:6938857
Rifflakopf	id=g:6938858
Satteinser Spitze	id=g:6938860
Wildebene	id=g:6938861
Ameisenspitze	id=g:6938863
Sattelgrat	id=g:6938864
Sarotla-Wildberg	id=g:6938865
Krachenspitze	id=g:6938867
Wildberg	id=g:6938869
Mutjöchle	id=g:6938873
Torkogel	id=g:6938874
Windeckerspitze	id=g:6938875
Sarotlahörner	id=g:6938876
Gamsspitzl	id=g:6938877
Tischkogel	id=g:6938878
Kappler Joch Spitze	id=g:6938880
Großes Woazköpfl	id=g:6938881
Kesselspitze	id=g:6938884
Eisernes Törle	id=g:6938885
Schafgrübler	id=g:6938886
Kapfkopf	id=g:6938888
Kleingfallkopf	id=g:6938889
Krachelgrat	id=g:6938890
Peilspitze	id=g:6938893
Grossgfallkopf	id=g:6938894
Lenzekopf	id=g:6938895
Scharkopf	id=g:6938896
Gottvaterspitze	id=g:6938897
Bentlstein	id=g:6938898
Gampernunspitze	id=g:6938899
Thialkopf	id=g:6938900
Hohe Aifner Spitze	id=g:6938901
Stubener Albonakopf	id=g:6938904
Am Stein	id=g:6938907
Mühlsteinboden	id=g:6938910
Börst	id=g:6938911
Schafgufel	id=g:6938913
Langegg	id=g:6938914
Monteneu	id=g:6938916
Sattelkopf	id=g:6938918
Maroispitze	id=g:6938919
Brandner Golm	id=g:6938921
Oberer Rauher Kopf	id=g:6938922
Gampberg	id=g:6938923
Sattelkopf	id=g:6938924
Wannaköpfle	id=g:6938926
Zwölferkopf	id=g:6938927
Alpenkopf	id=g:6938928
Roßkopf	id=g:6938929
Östlicher Maroikopf	id=g:6938930
Mittagspitz	id=g:6938931
Schwarzhorn	id=g:6938932
Steinwandeck	id=g:6938935
Gamskar Spitze	id=g:6938936
Zwölferkopf	id=g:6938939
Kl. Fundl	id=g:6938940
Weiße Wand	id=g:6938942
Scheibenkopf	id=g:6938946
Knödelkopf	id=g:6938947
Wirt	id=g:6938948
Tantermauses	id=g:6938949
Albonagrat	id=g:6938950
Kleiner Fundelkopf	id=g:6938952
Valbonakopf	id=g:6938953
Sonntagskopf	id=g:6938954
Gauderkopf	id=g:6938957
Kogl	id=g:6938958
Spitzguf	id=g:6938959
Brand	id=g:6938962
Garnilakopf	id=g:6938963
Taleu	id=g:6938964
Zwölferkopf	id=g:6938966
Grippkopf	id=g:6938967
Köpfle	id=g:6938968
Davennakopf	id=g:6938972
Hoher Gemeindekopf	id=g:6938977
Filzenkogel	id=g:6938979
Innerer Älpelekopf	id=g:6938985
Zwölferkopf	id=g:6938986
Loischkopf	id=g:6938987
Dörfler Höhe	id=g:6938989
Waldraster Jöchl	id=g:6938995
Baumgartlkopf	id=g:6939000
Schnauzlberg (Blisadonele)	id=g:6939003
