Aneri Soak	id=g:2077736
Anerinna Hills	id=g:2077737
Lake Anec	id=g:2077738
Lake Androdumpa	id=g:2077739
Andrew Young Hills	id=g:2077740
Andrews Point	id=g:2077741
Andrew Island	id=g:2077742
Andrews Hill	id=g:2077743
Mount Andrews	id=g:2077744
Andrews	id=g:2077745
Andrewilla Waterhole	id=g:2077746
Andrew Hill	id=g:2077747
Mount Andrew	id=g:2077748
Lake Andree	id=g:2077749
Mount Andre	id=g:2077750
Andranangoo Creek	id=g:2077751
Andover	id=g:2077752
Anderson Waterhole	id=g:2077753
Andersons Range	id=g:2077754
Anderson Rocks	id=g:2077755
Anderson Point	id=g:2077756
Anderson Lagoon	id=g:2077757
Anderson Lagoon	id=g:2077758
Anderson Creek	id=g:2077759
Point Anderson	id=g:2077760
Mount Anderson	id=g:2077761
Mount Anderson	id=g:2077762
Mount Anderson	id=g:2077763
Mount Anderson	id=g:2077764
Anderinda Soak	id=g:2077765
Anderdon Islands	id=g:2077766
Mount Anderdon	id=g:2077767
Andaranna Waterhole	id=g:2077768
Andamooka Ranges	id=g:2077769
Andamooka Island	id=g:2077770
Andamooka	id=g:2077771
Andado Swamp	id=g:2077772
Andado	id=g:2077773
Anchor Waterhole	id=g:2077774
Anchor Shoal	id=g:2077775
Anchor Island	id=g:2077776
Anchor Hill	id=g:2077777
Anchor Hill	id=g:2077778
Anchor Creek	id=g:2077779
Ancatna Hill	id=g:2077780
Anburta Creek	id=g:2077781
Analilla Soak	id=g:2077782
Anacoora Bore	id=g:2077783
Mount Anacoora	id=g:2077784
Amyton	id=g:2077785
Amy Rocks	id=g:2077786
Amy Ridge	id=g:2077787
Amy Giles Rocks	id=g:2077788
Amy Giles Hill	id=g:2077789
Mount Amy	id=g:2077790
Mount Amy	id=g:2077791
Mount Amy	id=g:2077792
Amur Reef	id=g:2077793
Amuri Creek	id=g:2077794
Amungee Mungee Waterhole	id=g:2077795
Amphion	id=g:2077796
Amphinome Shoals	id=g:2077797
Amperoodinna Well	id=g:2077798
Ampeinna Hills	id=g:2077799
Amos Knob	id=g:2077800
Amos Creek	id=g:2077801
Amoorinyinna Hill	id=g:2077802
Ammaroodinna Hill	id=g:2077803
Ammaroodinna Creek	id=g:2077804
Ammaroo	id=g:2077805
Amherst Point	id=g:2077806
Mount Amherst	id=g:2077807
Amery	id=g:2077808
Amery	id=g:2077809
American River	id=g:2077810
Ambutchera Creek	id=g:2077811
Ambleside	id=g:2077812
Ambania	id=g:2077813
Ambalindum	id=g:2077814
Amatangoora Point	id=g:2077815
Amata	id=g:2077816
Lake Amaroo	id=g:2077817
Lake Amadeus	id=g:2077818
Alyukurlpykurlpy	id=g:2077819
Alungra Waterhole	id=g:2077820
Alungalugi Hill	id=g:2077821
Alton Downs	id=g:2077822
Altona	id=g:2077823
Altona	id=g:2077824
Althorpe Peaks	id=g:2077825
Althorpe Islands	id=g:2077826
Altandee Hill	id=g:2077827
Alston Well	id=g:2077828
Alsace	id=g:2077829
Alroy Downs	id=g:2077830
Alpha Creek	id=g:2077831
Alpara Hill	id=g:2077832
Mount Aloysius	id=g:2077833
Alouette Hill	id=g:2077834
Aloorina Creek	id=g:2077835
Almora	id=g:2077836
Alma Vale	id=g:2077837
Alma River	id=g:2077838
Alma Island	id=g:2077839
Alma Bore	id=g:2077840
Lake Alma	id=g:2077841
Alma	id=g:2077842
Allura Spring	id=g:2077843
Allucartininna Hill	id=g:2077844
All Saints Well	id=g:2077845
Mount Allott	id=g:2077846
Allora Island	id=g:2077847
Allingham	id=g:2077848
Alligator Waterhole	id=g:2077849
Alligator Waterhole	id=g:2077850
Alligator Spring	id=g:2077851
Alligator Pass	id=g:2077852
Alligator Lagoon	id=g:2077853
Alligator Hill	id=g:2077854
Alligator Heads	id=g:2077855
Alligator Creek	id=g:2077856
Alligator Creek	id=g:2077857
Alligator Creek	id=g:2077858
Alligator Creek	id=g:2077859
Alligator Bluff	id=g:2077860
Alligator Billabong	id=g:2077861
Allia Creek	id=g:2077862
Allerton Well	id=g:2077863
Alleroona Creek	id=g:2077864
Allens Well	id=g:2077865
Allens Well	id=g:2077866
Allens Station	id=g:2077867
Allen Soak	id=g:2077868
Allen Island	id=g:2077869
Allendale North	id=g:2077870
Allen Creek	id=g:2077871
Allen Creek	id=g:2077872
Mount Allen	id=g:2077873
Allaru Island	id=g:2077874
Allapalilla Creek	id=g:2077875
Allan Well	id=g:2077876
Allans Well	id=g:2077877
Allanson	id=g:2077878
Allan Rise	id=g:2077879
Allandyne Well	id=g:2077880
Allandale	id=g:2077881
Allanahs Hill	id=g:2077882
Mount Allan	id=g:2077883
Allamber Spring	id=g:2077884
Mount Allalone	id=g:2077885
Mount Allalone	id=g:2077886
Lake Allallinna	id=g:2077887
Alla Allanna Swamp	id=g:2077888
Alla Allanna Creek	id=g:2077889
Alison Point	id=g:2077890
Mount Alinerta	id=g:2077891
Alindee	id=g:2077892
Alice Well	id=g:2077893
Alice Springs Waterhole	id=g:2077894
Alice Springs	id=g:2077895
Alice Rock	id=g:2077896
Alice Falls	id=g:2077897
Alice Downs	id=g:2077898
Alice Creek	id=g:2077899
Alice Creek	id=g:2077900
Mount Alice	id=g:2077901
Mount Alice	id=g:2077902
Mount Alice	id=g:2077903
Aliboy Knob	id=g:2077904
Mount Algoochinna	id=g:2077905
Alger Island	id=g:2077906
Algebullcullia Creek	id=g:2077907
Algebuckina Station	id=g:2077908
Algebuckina Hill	id=g:2077909
Alfs Well	id=g:2077910
Alfred and Marie Range	id=g:2077911
Port Alfred	id=g:2077912
Mount Alfred	id=g:2077913
Mount Alford	id=g:2077914
Alford	id=g:2077915
Lake Alexandrina	id=g:2077916
Alexandria	id=g:2077917
Alexandra River	id=g:2077918
Mount Alexandra	id=g:2077919
Alexander Spring	id=g:2077920
Alexander River	id=g:2077921
Alexander Island	id=g:2077922
Alexander Hill	id=g:2077923
Alexander Creek	id=g:2077924
Point Alexander	id=g:2077925
Mount Alexander	id=g:2077926
Mount Alexander	id=g:2077927
Mount Alexander	id=g:2077928
Mount Alexander	id=g:2077929
Mount Alexander	id=g:2077930
Alert Rock	id=g:2077931
Alecs Well	id=g:2077932
Mount Aleck	id=g:2077933
Aldinga Bay	id=g:2077934
Aldinga	id=g:2077935
Aldgate Creek	id=g:2077936
Aldgate	id=g:2077937
Aldersyde	id=g:2077938
Aldermans Reservoir	id=g:2077939
Alderley	id=g:2077940
Alcurra Creek	id=g:2077941
Alcupcaddikilcoodana Creek	id=g:2077942
Alcoota	id=g:2077943
Alcoora Spring	id=g:2077944
Alco	id=g:2077945
Albino Island	id=g:2077946
Alberts Bore	id=g:2077947
Albert River	id=g:2077948
Albert Reef	id=g:2077949
Albert Reef	id=g:2077950
Albert Passage	id=g:2077951
Albert Lake	id=g:2077952
Albert Islands	id=g:2077953
Albert Edward Range	id=g:2077954
Mount Albert	id=g:2077955
Alberrie Creek Station	id=g:2077956
Alberrie Creek	id=g:2077957
The Alberga	id=g:2077958
Mount Alberga	id=g:2077959
Alberga	id=g:2077960
Albatross Island	id=g:2077961
Mount Albany	id=g:2077962
Albany	id=g:2077963
Albala Karoo Bore	id=g:2077964
Alarm Shoal	id=g:2077965
Alarmbinga Soak	id=g:2077966
Mount Alaric	id=g:2077967
Alanajeer Waterhole	id=g:2077968
Alamilda Hill	id=g:2077969
Mount Akoolatunna	id=g:2077970
Akoalyerilla Hill	id=g:2077971
Akhurst Hill	id=g:2077972
Ajax Well	id=g:2077973
Ajax Well	id=g:2077974
Ajax Bore	id=g:2077975
Mount Ajax	id=g:2077976
Ajana	id=g:2077977
Aiton Bay	id=g:2077978
Mount Airy	id=g:2077979
Airlie Island	id=g:2077980
Airey Hill	id=g:2077981
Ainslie Hill	id=g:2077982
Ainslie Gorge	id=g:2077983
Ainslie Creek	id=g:2077984
Aimee Creek	id=g:2077985
Aileron	id=g:2077986
Ah Fats Well	id=g:2077987
Agony Rock	id=g:2077988
Agony Crossing	id=g:2077989
Agnew Point	id=g:2077990
Agnew	id=g:2077991
Agnes Creek	id=g:2077992
Mount Agnes	id=g:2077993
Mount Agnes	id=g:2077994
Mount Agnes	id=g:2077995
Mount Aggie	id=g:2077996
Agery	id=g:2077997
Age Creek	id=g:2077998
Mount Agamemnon	id=g:2077999
African Reef	id=g:2078000
Afghan Rock	id=g:2078001
Afgan Shoal	id=g:2078002
Aeroplane Well	id=g:2078003
Aeroplane Well	id=g:2078004
Aerodrome Well	id=g:2078005
Adolphus Island	id=g:2078006
Adnunka Hill	id=g:2078007
Adnera Gap	id=g:2078008
Adnanta Water	id=g:2078009
Adnalgowara Creek	id=g:2078010
Mount Adnalgowara	id=g:2078011
Admiralty Gulf	id=g:2078012
Admiral Island	id=g:2078013
Admiral Bay	id=g:2078014
Admiral	id=g:2078015
Adlams Well	id=g:2078016
Adla Hill	id=g:2078017
Adinna Hill	id=g:2078018
Adieu Point	id=g:2078019
Cape Adieu	id=g:2078020
Adèle Island Shoal	id=g:2078021
Adèle Island	id=g:2078022
Adelaide River	id=g:2078023
Adelaide River	id=g:2078024
Adelaide	id=g:2078025
Adder Waterhole	id=g:2078026
Adder Waterhole	id=g:2078027
Adder Bore	id=g:2078028
Adcock River	id=g:2078029
Ada Spring	id=g:2078030
Ada Spring	id=g:2078031
Mount Adams	id=g:2078032
Mount Adams	id=g:2078033
Adam Rock	id=g:2078034
Adam Bay	id=g:2078035
Ada Creek	id=g:2078036
Mount Ada	id=g:2078037
Lake Ada	id=g:2078038
Lake Acraman	id=g:2078039
Lake Ace	id=g:2078040
Accident Creek	id=g:2078041
Accident Creek	id=g:2078042
Accalana Wells	id=g:2078043
Acacia Well	id=g:2078044
Abydos Well	id=g:2078045
Abydos	id=g:2078046
Abutilon Island	id=g:2078047
Abraham Billabong	id=g:2078048
Abortion Creek	id=g:2078049
The Abminga	id=g:2078050
Abminga	id=g:2078051
Abercromby Well	id=g:2078052
Aberavon	id=g:2078053
Pass of the Abencerrages	id=g:2078054
Abednego Hill	id=g:2078055
Abbotts Well	id=g:2078056
Abbott Shoal	id=g:2078057
Abbotts	id=g:2078058
Abbott Island	id=g:2078059
Mount Abbott	id=g:2078060
The Abbey	id=g:2078061
Abbeville	id=g:2078062
Abba River	id=g:2078063
Holothuria Banks	id=g:2078184
Warriup Point	id=g:2078249
Manypeaks	id=g:2078250
North Sister	id=g:2078251
South Sister	id=g:2078252
Boulder Hill	id=g:2078253
North Point	id=g:2078254
South Point	id=g:2078255
False Island	id=g:2078256
Rock Dunder	id=g:2078257
Reservoir Hill	id=g:2078258
Hassell Beach	id=g:2078259
Black Rock	id=g:2078260
Inner Island	id=g:2078261
Mount Martin	id=g:2078262
Vancouver Peninsula	id=g:2078263
Collier Peak	id=g:2078264
Castle Rock	id=g:2078265
Stony Hill	id=g:2078266
South West Island	id=g:2078267
North West Rock	id=g:2078268
Overton Hill	id=g:2078269
Madfish Bay	id=g:2078270
Edward Point	id=g:2078271
Lights Beach	id=g:2078272
Poison Point	id=g:2078273
Porpoise Rock	id=g:2078274
Rock Cliff Point	id=g:2078275
Rabbit Island	id=g:2078276
Pelican Island	id=g:2078277
Bennett Range	id=g:2078278
Scotsdale Brook	id=g:2078279
Quickup River	id=g:2078280
Mitchell River	id=g:2078281
Lowlands Beach	id=g:2078282
Seagull Island	id=g:2078283
Torbay	id=g:2078284
Albany Aerodrome	id=g:2078285
Windy Harbour	id=g:2078286
Meerup Dunes	id=g:2078287
Yeagerup Dunes	id=g:2078288
South West Breaker	id=g:2078289
Bessie Reef	id=g:2078290
Geographe Reef	id=g:2078291
Knobby Head	id=g:2078292
Hamelin Bay	id=g:2078293
North Point	id=g:2078294
Borahup Hill	id=g:2078295
Isaacs Rock	id=g:2078296
Cow Rock	id=g:2078297
Cowaramup Reef	id=g:2078298
Winjee Sam Rock	id=g:2078299
Wright Bank	id=g:2078300
Rocky Point	id=g:2078301
Eagle Bay	id=g:2078302
Gannet Rock	id=g:2078303
Dunsborough	id=g:2078304
Point Dalling	id=g:2078305
Castle Rock	id=g:2078306
Toby Inlet	id=g:2078307
Bayanup River	id=g:2078308
Vasse River	id=g:2078309
Capel River	id=g:2078310
Mount Leonard	id=g:2078311
Ferguson River	id=g:2078312
Eaton	id=g:2078313
Point Casuarina	id=g:2078314
Leschenault Estuary	id=g:2078315
Brunswick River	id=g:2078316
Binningup	id=g:2078317
Sheep Hill	id=g:2078318
Judith Shoal	id=g:2078319
Secret Rock	id=g:2078320
Quilty Rock	id=g:2078321
Mount Knott	id=g:2078322
Point Warna	id=g:2078323
Partney Island	id=g:2078324
Marum Island	id=g:2078325
Kirkby Island	id=g:2078326
Lusby Island	id=g:2078327
Dalby Island	id=g:2078328
Berlin Rock	id=g:2078329
Davidson Rock	id=g:2078330
Nowland Shoal	id=g:2078331
Kangaroo Reef	id=g:2078332
Donington Reef	id=g:2078333
Jane Shoal	id=g:2078334
Nicolette Shoal	id=g:2078335
Helen Shoal	id=g:2078336
Bridget Shoal	id=g:2078337
Dangerous Reef	id=g:2078338
Karen Shoal	id=g:2078339
Smith Rock	id=g:2078340
Langton Island	id=g:2078341
Blyth Island	id=g:2078342
Hareby Island	id=g:2078343
Horse Rock	id=g:2078344
Howard Rock	id=g:2078345
Simms Rock	id=g:2078346
Porter Rock	id=g:2078347
Black Rock	id=g:2078348
Shag Point	id=g:2078349
Duffield Island	id=g:2078350
South Rock	id=g:2078351
North West Snare	id=g:2078352
Douglas Rock	id=g:2078353
Weirs Cove	id=g:2078354
South East Snare	id=g:2078355
Osmanli Reef	id=g:2078356
Carter Knoll	id=g:2078357
Fenris Bank	id=g:2078358
Threshold Bank	id=g:2078359
Marion Reef	id=g:2078360
Quia Rock	id=g:2078361
North Page	id=g:2078362
South Page	id=g:2078363
MacDonnell Peninsula	id=g:2078364
Myponga Hill	id=g:2078365
Black Bullock Hill	id=g:2078366
Tapanappa Hill	id=g:2078367
Lands End	id=g:2078368
Tree Hill	id=g:2078369
Tent Hill	id=g:2078370
Mount Rapid	id=g:2078371
Tunkalilla Beach	id=g:2078372
Tunk Head	id=g:2078373
Porpoise Head	id=g:2078374
Waitpinga Beach	id=g:2078375
Carrickalinga Head	id=g:2078376
Yankalilla Bay	id=g:2078377
Yankalilla Hill	id=g:2078378
Landing Shoal	id=g:2078379
Hardstaff Shoals	id=g:2078380
Port Stanvac	id=g:2078381
Onkaparinga Head	id=g:2078382
Sellicks Beach	id=g:2078383
Horseshoe Reef	id=g:2078384
Seal Islands	id=g:2078385
Haystack Island	id=g:2078386
Packman Shoal	id=g:2078387
Iron Whyalla Shoal	id=g:2078388
Chinamans Hat Island	id=g:2078389
Seal Island	id=g:2078390
Orcades Bank	id=g:2078391
Lake Macquarie Bank	id=g:2078392
Harveys Return	id=g:2078393
Brook Shoal	id=g:2078394
Lawrey Shoal	id=g:2078395
Waller Shoal	id=g:2078396
Suzanne Shoal	id=g:2078397
Louise Shoal	id=g:2078398
Rosalind Shoal	id=g:2078399
Buffalo Reef	id=g:2078400
Rosemary Shoal	id=g:2078401
Low Rocks	id=g:2078402
North North East Rocks	id=g:2078403
Middle Rock	id=g:2078404
West Rock	id=g:2078405
South West Rock	id=g:2078406
Peaked Rocks	id=g:2078407
Harrison Shoal	id=g:2078408
Doolan Shoal	id=g:2078409
Shag Cove	id=g:2078410
Memory Cove	id=g:2078411
Kirton Point	id=g:2078412
Le Hunte Shoal	id=g:2078413
Bass Shoal	id=g:2078414
Hawkers Devil Reef	id=g:2078415
Berry Bay	id=g:2078416
Webb Rock	id=g:2078417
Browns Beach	id=g:2078418
Penguin Point	id=g:2078419
Stenhouse Bay	id=g:2078420
Rhino Head	id=g:2078421
Inneston	id=g:2078422
Cable Hut Bay	id=g:2078423
Orontes Bank	id=g:2078424
Louth Island	id=g:2078425
Carrington Point	id=g:2078426
Seal Rock	id=g:2078427
Stamford Hill	id=g:2078428
Point Margaret	id=g:2078429
Port Julia	id=g:2078430
North Spit	id=g:2078431
Middle Spit	id=g:2078432
Port Vincent	id=g:2078433
Beach Point	id=g:2078434
South Spit	id=g:2078435
Klein Point	id=g:2078436
Wool Bay	id=g:2078437
Tapley Shoal	id=g:2078438
McIntosh Bank	id=g:2078439
Wonga Shoal	id=g:2078440
Wattle Point	id=g:2078441
Point Malcolm	id=g:2078442
Semaphore Anchorage	id=g:2078443
Lefevre Peninsula	id=g:2078444
Second Valley	id=g:2078445
Ross Rock	id=g:2078446
Parham	id=g:2078447
Great Sandy Point	id=g:2078448
Long Spit	id=g:2078449
Port Wakefield	id=g:2078450
Seacliff	id=g:2078451
Hog Point	id=g:2078452
Moncrieff Bay	id=g:2078453
The Scraper	id=g:2078454
Cape Coutts	id=g:2078455
Snapper Point	id=g:2078456
Kingscote Point	id=g:2078457
Cape Rouge	id=g:2078458
Strawbridge Point	id=g:2078459
Bear Point	id=g:2078460
Kingscote Harbour	id=g:2078461
Port Whyalla	id=g:2078462
Fairway Bank	id=g:2078463
Port Bonython	id=g:2078464
Stony Point	id=g:2078465
Point Lowly Shoal	id=g:2078466
Crag Point	id=g:2078467
Cockle Spit	id=g:2078468
Ward Spit	id=g:2078469
Fisherman Creek	id=g:2078470
Mangrove Point	id=g:2078471
Shag Creek	id=g:2078472
Magazine Creek	id=g:2078473
Black Point	id=g:2078474
Port Gibbon	id=g:2078475
Riley Shoal	id=g:2078476
Moonta Shoal	id=g:2078477
Point Warrenne	id=g:2078478
Beatrice Rock	id=g:2078479
Pearce Point	id=g:2078480
Cormorant Island	id=g:2078481
Goose Island	id=g:2078482
White Rock	id=g:2078483
Seal Rocks	id=g:2078484
Entrance Island	id=g:2078485
Searle Hill	id=g:2078486
Dillon Shoals	id=g:2078487
Green Island	id=g:2078488
Clan Macdougall Shoal	id=g:2078489
Observation Point	id=g:2078490
Port Gawler	id=g:2078491
Point Grey	id=g:2078492
Middle Beach	id=g:2078493
Port Prime	id=g:2078494
Rogues Point	id=g:2078495
Perara	id=g:2078496
Bald Spit	id=g:2078497
Bald Hill	id=g:2078498
Will Creek	id=g:2078499
Port Arthur	id=g:2078500
Pimpala	id=g:2078501
Reynella	id=g:2078502
Eden Hills	id=g:2078503
Ascot Park	id=g:2078504
Clapham	id=g:2078505
Torrens Park	id=g:2078506
Brown Creek	id=g:2078507
Brown Hill	id=g:2078508
Mount Osmond	id=g:2078509
Hawthorn	id=g:2078510
Clarence Park	id=g:2078511
Goodwood	id=g:2078512
Hindmarsh	id=g:2078513
Ovingham	id=g:2078514
Highbury	id=g:2078515
Croydon	id=g:2078516
Kilkenny	id=g:2078517
Albert Park	id=g:2078518
Rosewater	id=g:2078519
Old Port Reach	id=g:2078520
Glanville	id=g:2078521
Peterhead	id=g:2078522
Draper	id=g:2078523
Taperoo	id=g:2078524
Barker Inlet	id=g:2078525
Ardrossan Harbour	id=g:2078526
Saint Alouarn Islands	id=g:2078527
Doggerup Dunes	id=g:2078528
Madeleine Shoals	id=g:2078529
Cape Legendre	id=g:2078530
Legendre Island	id=g:2078531
Keast Island	id=g:2078532
Cohen Island	id=g:2078533
Collier Rocks	id=g:2078534
Hammersley Shoal	id=g:2078535
Wilcox Island	id=g:2078536
Tozer Island	id=g:2078537
Boat Passage	id=g:2078538
Conzinc Island	id=g:2078539
Burrup Peninsula	id=g:2078540
Withnell Bay	id=g:2078541
Parker Point	id=g:2078542
Kangaroo Hill	id=g:2078543
Harbour Mound	id=g:2078544
Conflict Reef	id=g:2078545
Foul Point	id=g:2078546
Ledge Point	id=g:2078547
Marks Point	id=g:2078548
Karratha Bay	id=g:2078549
Whalers Bay	id=g:2078550
Mawby Island	id=g:2078551
Marney Bay	id=g:2078552
Lady Nora Island	id=g:2078553
Boomer Passage	id=g:2078554
Nelson Rocks	id=g:2078555
Courtenay Shoal	id=g:2078556
Mount Burrup	id=g:2078557
Withnell Bay Terminal	id=g:2078558
Miller Rocks	id=g:2078559
Nancy Peak	id=g:2078560
Riddell Point	id=g:2078561
Dampier Creek	id=g:2078562
Red Point	id=g:2078563
False Saddle Hill	id=g:2078564
Red Bluff	id=g:2078565
Mystery Landing	id=g:2078566
Cooke Point	id=g:2078567
Downes Island	id=g:2078568
Oyster Inlet	id=g:2078569
Boodarrie Landing	id=g:2078570
Weerdee Island	id=g:2078571
Coxon Shoal	id=g:2078572
Cornelisse Shoal	id=g:2078573
Stingray Creek	id=g:2078574
South West Creek	id=g:2078575
West Creek	id=g:2078576
Stanley Point	id=g:2078577
Harriet Point	id=g:2078578
Goldsworthy Pier	id=g:2078579
Flat Rock	id=g:2078580
Mount Newman Wharf	id=g:2078581
Airey Point	id=g:2078582
Laurentius Point	id=g:2078583
Owen Point	id=g:2078584
South Meda Shoal	id=g:2078585
Trent River	id=g:2078586
Ferret Reef	id=g:2078587
Helby Bank	id=g:2078588
Popes Nose	id=g:2078589
Butcher Inlet	id=g:2078590
Reader Head	id=g:2078591
John Point	id=g:2078592
Hügel Passage	id=g:2078593
Straggler Reefs	id=g:2078594
Straggler Rocks	id=g:2078595
Straggler Channel	id=g:2078596
Success Bank	id=g:2078597
Scott Ledge	id=g:2078598
Gage Roads	id=g:2078599
Fish Rocks	id=g:2078600
Beagle Rocks	id=g:2078601
Minden Reefs	id=g:2078602
Arthur Head	id=g:2078603
South Mole	id=g:2078604
North Mole	id=g:2078605
Entrance Rocks	id=g:2078606
Victoria Quay	id=g:2078607
Catherine Point	id=g:2078608
Robbs Jetty	id=g:2078609
South Fremantle Power Station	id=g:2078610
Beagle Anchorage	id=g:2078611
Middle Ground	id=g:2078612
Woodman Spit	id=g:2078613
Jervoise Bay	id=g:2078614
Woodman Channel	id=g:2078615
Jervoise Channel	id=g:2078616
Jervoise Bank	id=g:2078617
Parmelia Bank	id=g:2078618
Rowboat Rock	id=g:2078619
Seal Rock	id=g:2078620
Seaward Reef	id=g:2078621
Casuarina Shoal	id=g:2078622
Hawley Shoal	id=g:2078623
