Santo Stefano d'Aveto	id=g:6542010
Dubino	id=g:6542011
Bareggio	id=g:6542012
Zinasco	id=g:6542013
Serle	id=g:6542014
Rabbi	id=g:6542015
Trovo	id=g:6542016
San Zeno di Montagna	id=g:6542017
Acquanegra Cremonese	id=g:6542018
Porto Tolle	id=g:6542019
Basiliano	id=g:6542020
San Giovanni Ilarione	id=g:6542021
Farra d'Alpago	id=g:6542022
Limana	id=g:6542023
Cassacco	id=g:6542024
Piacenza	id=g:6542025
Tavagnacco	id=g:6542026
Castel Focognano	id=g:6542027
Ortignano Raggiolo	id=g:6542028
La Magdeleine	id=g:6542029
Quart	id=g:6542030
Serra Riccò	id=g:6542031
Caianello	id=g:6542032
Valfurva	id=g:6542033
San Pietro di Feletto	id=g:6542034
Pescosansonesco	id=g:6542035
Poggioreale	id=g:6542036
Paderno Dugnano	id=g:6542037
Comun Nuovo	id=g:6542038
Castel Mella	id=g:6542039
Canneto sull'Oglio	id=g:6542040
Capannori	id=g:6542041
Nocera Umbra	id=g:6542042
Giove	id=g:6542043
Nettuno	id=g:6542044
Riano	id=g:6542045
Valmontone	id=g:6542046
Pignataro Interamna	id=g:6542047
Sant'Apollinare	id=g:6542048
Diano Castello	id=g:6542049
Diano San Pietro	id=g:6542050
Taggia	id=g:6542051
Besano	id=g:6542052
Golasecca	id=g:6542053
Novate Mezzola	id=g:6542054
Como	id=g:6542055
Poggiridenti	id=g:6542056
Gambarana	id=g:6542057
Casalduni	id=g:6542058
Bacoli	id=g:6542059
Boscoreale	id=g:6542060
Piano di Sorrento	id=g:6542061
San Gennaro Vesuviano	id=g:6542062
Melito Irpino	id=g:6542063
Albanella	id=g:6542064
Roccaspinalveti	id=g:6542065
San Donato di Lecce	id=g:6542066
San Paolo Albanese	id=g:6542067
Oppido Lucano	id=g:6542068
Salaparuta	id=g:6542069
Mascalucia	id=g:6542070
Belmonte del Sannio	id=g:6542071
Gemmano	id=g:6542072
Misano Adriatico	id=g:6542073
Pomaretto	id=g:6542074
Villafranca Piemonte	id=g:6542075
Transacqua	id=g:6542076
Zambana	id=g:6542077
Crespano del Grappa	id=g:6542078
Montegrotto Terme	id=g:6542079
Torreglia	id=g:6542080
Vigonza	id=g:6542081
Artegna	id=g:6542082
Lignano Sabbiadoro	id=g:6542083
Pianoro	id=g:6542084
Montefiore dell'Aso	id=g:6542085
Ponzano di Fermo	id=g:6542086
Carrara	id=g:6542087
Lamporecchio	id=g:6542088
Scandicci	id=g:6542089
Cascina	id=g:6542090
San Miniato	id=g:6542091
Anzio	id=g:6542092
Ardea	id=g:6542093
Gaeta	id=g:6542094
Capodrise	id=g:6542095
Valle dell'Angelo	id=g:6542096
Capistrello	id=g:6542097
Campomaggiore	id=g:6542098
Carini	id=g:6542099
Torretta	id=g:6542100
Trabia	id=g:6542101
Capo d'Orlando	id=g:6542102
Sciacca	id=g:6542103
Misterbianco	id=g:6542104
Acate	id=g:6542105
San Martino al Tagliamento	id=g:6542106
Introbio	id=g:6542107
Nardodipace	id=g:6542108
Mignano Monte Lungo	id=g:6542109
Aprica	id=g:6542110
Brembate	id=g:6542111
Varese	id=g:6542112
Brescia	id=g:6542113
Terni	id=g:6542114
Latina	id=g:6542115
Bergamo	id=g:6542116
Salerno	id=g:6542117
Chieti	id=g:6542118
Novara	id=g:6542119
Ferrara	id=g:6542120
Lucca	id=g:6542121
Pisa	id=g:6542122
Benevento	id=g:6542123
Lecce	id=g:6542124
Perugia	id=g:6542125
Ancona	id=g:6542126
Palermo	id=g:6542127
Massa	id=g:6542128
Racconigi	id=g:6542129
San Colombano Certenoli	id=g:6542130
Livigno	id=g:6542131
Sporminore	id=g:6542132
San Pietro in Gu	id=g:6542133
Romans d'Isonzo	id=g:6542134
Gibellina	id=g:6542135
Fiesso Umbertiano	id=g:6542136
Camaiore	id=g:6542137
Chatillon	id=g:6542138
Lurago d'Erba	id=g:6542139
Castri di Lecce	id=g:6542140
Quartu Sant'Elena	id=g:6542141
Gerocarne	id=g:6542142
Ciriè	id=g:6542143
Castions di Strada	id=g:6542144
Teor	id=g:6542145
Auditore	id=g:6542146
Castelnuovo di Val di Cecina	id=g:6542147
Marsala	id=g:6542148
Onanì	id=g:6542149
Cergnago	id=g:6542150
Molina di Ledro	id=g:6542151
Ascoli Piceno	id=g:6542152
Arezzo	id=g:6542153
Taranto	id=g:6542154
Trapani	id=g:6542155
