Murgusiat	id=g:185559
Murgor Camp	id=g:185560
Murgomul	id=g:185561
Murgiyeny	id=g:185562
Mureru Farm	id=g:185563
Murera Road	id=g:185564
Murera Estate	id=g:185565
Murera	id=g:185566
Murera	id=g:185567
Murengeti	id=g:185568
Murelem	id=g:185569
Mureko	id=g:185570
Muregu	id=g:185571
Murathara	id=g:185572
Muraria	id=g:185573
Murarandia Two	id=g:185574
Murarandia Two	id=g:185575
Murarandia One	id=g:185576
Murany	id=g:185577
Murang’a District	id=g:185578
Murang’a	id=g:185579
Muran	id=g:185580
Murambu	id=g:185581
Muramba	id=g:185582
Muramati	id=g:185583
Muragara	id=g:185584
Lak Mura	id=g:185585
Muooni	id=g:185586
Muooni	id=g:185587
Muoni	id=g:185588
Munzojo	id=g:185589
Munzatsi	id=g:185590
Munyuuntil	id=g:185591
Munyutha	id=g:185592
Munyuni Sub-Location	id=g:185593
Ziwa la Munyuni	id=g:185594
Munyuni	id=g:185595
Munyuni	id=g:185596
Munyuni	id=g:185597
Munyuni	id=g:185598
Munyune	id=g:185599
Munyumweu	id=g:185600
Munyuli	id=g:185601
Munyu Estate	id=g:185602
Munyu Estate	id=g:185603
Ziwa la Munyu	id=g:185604
Ziwa la Munyu	id=g:185605
Munyu	id=g:185606
Munyu	id=g:185607
Munyoso	id=g:185608
Munyori	id=g:185609
Munyore	id=g:185610
Munyoni	id=g:185611
Munyoni	id=g:185612
Munyoni	id=g:185613
Munyomweru	id=g:185614
Munyi wa Murogi	id=g:185615
Munyi wa Kiria	id=g:185616
Munyii	id=g:185617
Munyenye	id=g:185618
Munyen	id=g:185619
Munyeki	id=g:185620
Marti Munyei	id=g:185621
Munyani	id=g:185622
Munyange Two	id=g:185623
Munyange Sub-Location	id=g:185624
Munyange One	id=g:185625
Munyange	id=g:185626
Munvuned	id=g:185627
Munvooni	id=g:185628
Munuthwa	id=g:185629
Munungi	id=g:185630
Mununga Track	id=g:185631
Mununga-ini	id=g:185632
Mununga Forest Guard Post	id=g:185633
Mununga	id=g:185634
Mununga	id=g:185635
Mununga	id=g:185636
Mununga	id=g:185637
Munukathi	id=g:185638
Munuji	id=g:185639
Munterabi	id=g:185640
Munoywa	id=g:185641
Munongo	id=g:185642
Munjiti	id=g:185643
Munje	id=g:185644
Munivooni	id=g:185645
Munithu Sub-Location	id=g:185646
Munithu	id=g:185647
Munguvini	id=g:185648
Munguvini	id=g:185649
Munguni Forest	id=g:185650
Munguini Sub-Location	id=g:185651
Munguini	id=g:185652
Munguini	id=g:185653
Mungoye	id=g:185654
Mungoya	id=g:185655
Mungethia	id=g:185656
Mungeri Bay	id=g:185657
Munge	id=g:185658
Munge	id=g:185659
Mungavo	id=g:185660
Mungatsi	id=g:185661
Mungatsi	id=g:185662
Mungatheni Dam	id=g:185663
Mungaria Sub-Location	id=g:185664
Mungaria	id=g:185665
Mungaria	id=g:185666
Munganga Sub-Location	id=g:185667
Munganga	id=g:185668
Mungala Sub-Location	id=g:185669
Mungala	id=g:185670
Mungakha	id=g:185671
Mungajini Forest	id=g:185672
Mungabo	id=g:185673
Munga	id=g:185674
Mundoro Sub-Location	id=g:185675
Mundoro	id=g:185676
Mundoli	id=g:185677
Mundobera	id=g:185678
Mundobelwa Sub-Location	id=g:185679
Mundiri	id=g:185680
Ras Mundini	id=g:185681
Mundika Sub-Location	id=g:185682
Mundika	id=g:185683
Mundi	id=g:185684
Mundere	id=g:185685
Mundeku Sub-Location	id=g:185686
Mundeku	id=g:185687
Mundane Range	id=g:185688
Mundaha	id=g:185689
Munathi	id=g:185690
Munami	id=g:185691
Munaini	id=g:185692
Munago wa Dola	id=g:185693
Munagoni Sub-Location	id=g:185694
Mumwe	id=g:185695
Mumusio	id=g:185696
Mumuoyot Section	id=g:185697
Mumonzwe	id=g:185698
Mumoni Forest	id=g:185699
Mumoni	id=g:185700
Mumoni	id=g:185701
Mumias	id=g:185702
Mumela Sub-Location	id=g:185703
Mumela	id=g:185704
Mumek	id=g:185705
Mumbwani	id=g:185706
Mumbuni wa Mundu Sub-Location	id=g:185707
Mumbuni Sub-Location	id=g:185708
Mumbuni Sub-Location	id=g:185709
Mumbuni	id=g:185710
Mumbuni	id=g:185711
Mumbuni	id=g:185712
Mumbuni	id=g:185713
Mumbuni	id=g:185714
Mumbuini	id=g:185715
Mumbuchi	id=g:185716
Mumbole	id=g:185717
Mumboha	id=g:185718
Mumbo	id=g:185719
Mumbo	id=g:185720
Mumbetsa	id=g:185721
Got Muma	id=g:185722
Muma	id=g:185723
Muma	id=g:185724
Mulwanda	id=g:185725
Mulwanda	id=g:185726
Mulwanda	id=g:185727
Mulutui	id=g:185728
Mulutu	id=g:185729
Mulutu	id=g:185730
Mulungu wa Mawe	id=g:185731
Mulunguni Sub-Location	id=g:185732
Mulunguni	id=g:185733
Mulunguni	id=g:185734
Mulunguni	id=g:185735
Mulunguni	id=g:185736
Mulundu	id=g:185737
Mulundu	id=g:185738
Mulumya	id=g:185739
Mulumini	id=g:185740
Mulumba	id=g:185741
Mululu	id=g:185742
Muluku Dam	id=g:185743
Mulukhu	id=g:185744
Mulot	id=g:185745
Mulot	id=g:185746
Muloko	id=g:185747
Mulo	id=g:185748
Mulingwa	id=g:185749
Mulima	id=g:185750
Muliluni	id=g:185751
Muliluni	id=g:185752
Muliluni	id=g:185753
Mulilu	id=g:185754
Mulilonyi	id=g:185755
Muliloni	id=g:185756
Muliloni	id=g:185757
Mulilii	id=g:185758
Mulilii	id=g:185759
Mulilani	id=g:185760
Mulika	id=g:185761
Mulgoi	id=g:185762
Mulesi Sub-Location	id=g:185763
Mulemwa	id=g:185764
Mulemwa	id=g:185765
Mulelekwe	id=g:185766
Mulbe	id=g:185767
Mulatya	id=g:185768
Mulatiwa	id=g:185769
Mulathankari Sub-Location	id=g:185770
Mulangoni	id=g:185771
Mulango Location	id=g:185772
Mulango	id=g:185773
Mulanganga	id=g:185774
Mulandi Dam	id=g:185775
Mulala	id=g:185776
Mulala	id=g:185777
Mula Hills	id=g:185778
Mulaha	id=g:185779
Mulaha	id=g:185780
Mulaani	id=g:185781
Mulaa	id=g:185782
Mula	id=g:185783
Mukuyuni Sub-Location	id=g:185784
Mukuyuni Sub-Location	id=g:185785
Mukuyuni	id=g:185786
Mukuyuni	id=g:185787
Mukuyuni	id=g:185788
Mukuyuni	id=g:185789
Mukuyuni	id=g:185790
Mukuyuni	id=g:185791
Mukuyuni	id=g:185792
Mukuyuni	id=g:185793
Mukuyu	id=g:185794
Mukuyu	id=g:185795
Mukuyu	id=g:185796
Mukuyu	id=g:185797
Mukuyu	id=g:185798
Mukuyu	id=g:185799
Mukuyu	id=g:185800
Mukuyu	id=g:185801
Mukuuri Sub-Location	id=g:185802
Mukuuri	id=g:185803
Mukuuni Sub-Location	id=g:185804
Mukuuni	id=g:185805
Mukuthu Grazing Area	id=g:185806
Mukuthu	id=g:185807
Mukutan Sub-Location	id=g:185808
Mukutan	id=g:185809
Mukutan	id=g:185810
Mukutan	id=g:185811
Mukusya	id=g:185812
Mukus	id=g:185813
Mukus	id=g:185814
Mukuruweini	id=g:185815
Mukuruweini	id=g:185816
Mukuruwe	id=g:185817
Mukurune Estate	id=g:185818
Mukurue Sub-Location	id=g:185819
Mukurue	id=g:185820
Mukuro	id=g:185821
Mukuro	id=g:185822
Mukuria	id=g:185823
Mukure Sub-Location	id=g:185824
Mukuni	id=g:185825
Lake Mukunguya	id=g:185826
Mukunguni	id=g:185827
Mukungani	id=g:185828
Mukungai	id=g:185829
Mukunga	id=g:185830
Mukundu	id=g:185831
Mukumoi	id=g:185832
Mukumba	id=g:185833
Mukulusi Sub-Location	id=g:185834
Mukulusi	id=g:185835
Mukululu	id=g:185836
Mukuloldo	id=g:185837
Mukulenta	id=g:185838
Mukulelta	id=g:185839
Mukui	id=g:185840
Mukui	id=g:185841
Mukui	id=g:185842
Mukui	id=g:185843
Mukuani	id=g:185844
Mukou	id=g:185845
Mukorori	id=g:185846
Mukore	id=g:185847
Mukoo	id=g:185848
Mukononi	id=g:185849
Mukono	id=g:185850
Mukongoro	id=g:185851
Mukondzo	id=g:185852
Mukomwe	id=g:185853
Mukomwe	id=g:185854
Mukomari Sub-Location	id=g:185855
Mukoiru	id=g:185856
Mukogu	id=g:185857
Mukogodo Trust Land	id=g:185858
Mukogodo Location	id=g:185859
Mukogodo Forest	id=g:185860
Mukogodo	id=g:185861
Mukogodo	id=g:185862
Mukobe Range	id=g:185863
Mukobe Forest	id=g:185864
Mukio	id=g:185865
Mukinye	id=g:185866
Mukingi	id=g:185867
Mukinduri	id=g:185868
Mukinduri	id=g:185869
Mukindu	id=g:185870
Mukimwani Sub-Location	id=g:185871
Mukimwani	id=g:185872
Mukimwani	id=g:185873
Mukiaio	id=g:185874
Mukhweya	id=g:185875
Mukhonje Sub-Location	id=g:185876
Mukhonje	id=g:185877
Mukhonje	id=g:185878
Mukhombe	id=g:185879
Mukhe	id=g:185880
Mukerenju	id=g:185881
Mukeo	id=g:185882
Mukenya	id=g:185883
Mukengesya	id=g:185884
Mukengeria	id=g:185885
Mukawa	id=g:185886
Mukawa	id=g:185887
Mukarara Sub-Location	id=g:185888
Mukarara	id=g:185889
Mukarara	id=g:185890
Mukarara	id=g:185891
Mukanyeni	id=g:185892
Mukangu Sub-Location	id=g:185893
Mukangu	id=g:185894
Mukangu	id=g:185895
Mukangu	id=g:185896
Mukangu	id=g:185897
Mukanga	id=g:185898
Mukame wa Mbeu	id=g:185899
Mukameni Dam	id=g:185900
Mukameni	id=g:185901
Mukale	id=g:185902
Kubi Muka Gaad	id=g:185903
Mukaba	id=g:185904
