Republic of Kenya	id=g:192950
Kenungu Road	id=g:192951
Kenungu	id=g:192952
Kenplains Estate	id=g:192953
Kenplains	id=g:192954
Kenoru	id=g:192955
Keno	id=g:192956
Kennel Club	id=g:192957
Engare Kenja	id=g:192958
Keniroi	id=g:192959
Kenini	id=g:192960
Kenguso	id=g:192961
Kengoo	id=g:192962
Kenenei Sub-Location	id=g:192963
Kenenei	id=g:192964
Kenegut	id=g:192965
Kenegut	id=g:192966
Kendu Bay	id=g:192967
Kendu Bay	id=g:192968
Kendili	id=g:192969
Kenchoyiet	id=g:192970
Kenani Estates	id=g:192971
Kenani	id=g:192972
Kenani	id=g:192973
Kenailmet	id=g:192974
Kenai	id=g:192975
Kemwa	id=g:192976
Kemwa	id=g:192977
Kemuka	id=g:192978
Kemuaa	id=g:192979
Kemuaa	id=g:192980
Kemuaa	id=g:192981
Kemotenga	id=g:192982
Kemioso	id=g:192983
Kemeto Forest	id=g:192984
Kemera	id=g:192985
Kemera	id=g:192986
Kemeloi Location	id=g:192987
Kemeloi	id=g:192988
Kemeiywa	id=g:192989
Kembo	id=g:192990
Kemanut	id=g:192991
Kemaguriat	id=g:192992
Kelunet	id=g:192993
Kelumbi	id=g:192994
Kelui	id=g:192995
Keltichek Dam	id=g:192996
Kelenzu	id=g:192997
Lake Kelele	id=g:192998
Kelele	id=g:192999
Kelele	id=g:193000
Kekonyukie Section	id=g:193001
Kekonyokie	id=g:193002
Kekele	id=g:193003
Keizetu	id=g:193004
Keizetu	id=g:193005
Keiyo Valley	id=g:193006
Keiyani	id=g:193007
Keiyani	id=g:193008
Keini East Farms	id=g:193009
Keilewa	id=g:193010
Keihuru	id=g:193011
Keiamonolanyang	id=g:193012
Kehari	id=g:193013
Kegwa	id=g:193014
Kegoye Sub-Location	id=g:193015
Kegoye	id=g:193016
Kegori	id=g:193017
Kegoochi	id=g:193018
Kegonorr	id=g:193019
Kegonge	id=g:193020
Kegonga	id=g:193021
Kegondi	id=g:193022
Kegati	id=g:193023
Kegaa	id=g:193024
Keera	id=g:193025
Keenginda	id=g:193026
Keelah Farm	id=g:193027
Keekorok	id=g:193028
Keekonyukie Section	id=g:193029
Kee	id=g:193030
Kedowa Pill	id=g:193031
Kedowa	id=g:193032
Kedowa	id=g:193033
Kedowa	id=g:193034
Kedowa	id=g:193035
Kedowa	id=g:193036
Kedong Ranch	id=g:193037
Ewaso Kedong	id=g:193038
Kedong	id=g:193039
Kedoli Sub-Location	id=g:193040
Kedeta	id=g:193041
Kedai Sisal Estate	id=g:193042
Kedai	id=g:193043
Kechilu	id=g:193044
Kechii Sub-Location	id=g:193045
Kecheriet	id=g:193046
Kebwea Sub-Location	id=g:193047
Kebwea	id=g:193048
Kebuye	id=g:193049
Kebulonik	id=g:193050
Kebude	id=g:193051
Kebubo	id=g:193052
Kebololet	id=g:193053
Kebololet	id=g:193054
Kebololet	id=g:193055
Kebirigo	id=g:193056
Kebirichi	id=g:193057
Kebin	id=g:193058
Kebimbir	id=g:193059
Kebere	id=g:193060
Kebenet Sub-Location	id=g:193061
Kebenet	id=g:193062
Kebabe	id=g:193063
Kebabe	id=g:193064
Keamwea	id=g:193065
Ke Aingok	id=g:193066
Kea	id=g:193067
Kea	id=g:193068
Kazoli	id=g:193069
Kazita West	id=g:193070
Kazita East	id=g:193071
Kazita	id=g:193072
Kazindani	id=g:193073
Kazakini	id=g:193074
Kazaheni	id=g:193075
Kayuka	id=g:193076
Kayole Estate	id=g:193077
Kayekongai	id=g:193078
Kayata Estate	id=g:193079
Kayata	id=g:193080
Kaya Sub-Location	id=g:193081
Kaya Pungu	id=g:193082
Kayanza	id=g:193083
Kayani Sub-Location	id=g:193084
Kayambo Sub-Location	id=g:193085
Kayale	id=g:193086
Kayaket	id=g:193087
Kaya Kauma	id=g:193088
Kayahwe	id=g:193089
Kayafungo Location	id=g:193090
Kayafungo	id=g:193091
Kayafungo	id=g:193092
Kayafungo	id=g:193093
Kaya Bombo	id=g:193094
Kawuor Sub-Location	id=g:193095
Kawuoda	id=g:193096
Kawu	id=g:193097
Kawituuo	id=g:193098
Kawinyamothin	id=g:193099
Kawino Sub-Location	id=g:193100
Kawianguli	id=g:193101
Kawetur Number Two	id=g:193102
Kawetur Number One	id=g:193103
Kawetur Borehole	id=g:193104
Kawetuo	id=g:193105
Kawetuo	id=g:193106
Kawethei Sub-Location	id=g:193107
Kawethei	id=g:193108
Kawethei	id=g:193109
Kaweru	id=g:193110
Kaweru	id=g:193111
Kawere Karateng Sub-Location	id=g:193112
Kawere Karanvi Sub-Location	id=g:193113
Kawe Plain	id=g:193114
Kawelu Sub-Location	id=g:193115
Kawelu Sub-Location	id=g:193116
Kawelu Dam	id=g:193117
Kawelu	id=g:193118
Kawelu	id=g:193119
Kawelia	id=g:193120
Kawanjaro	id=g:193121
Kawangware	id=g:193122
Kawan	id=g:193123
Kawan	id=g:193124
Kawambu	id=g:193125
Kawalathi	id=g:193126
Kawalathi	id=g:193127
Kawalathe	id=g:193128
Kawala Sub-Location	id=g:193129
Kawala Sub-Location	id=g:193130
Kawala	id=g:193131
Kawala	id=g:193132
Kawala	id=g:193133
Kawala	id=g:193134
Kawakongiro	id=g:193135
Kawaharura	id=g:193136
Kavyuni	id=g:193137
Kavyongo	id=g:193138
Kavvadhigone Sub-Location	id=g:193139
Kavuvoni	id=g:193140
Kavuti	id=g:193141
Kavutei	id=g:193142
Kavuta Sub-Location	id=g:193143
Kavuoni	id=g:193144
Kavunyalalo	id=g:193145
Kavumbu Sub-Location	id=g:193146
Kavumbu Dam	id=g:193147
Kavumbu Dam	id=g:193148
Kavumbu	id=g:193149
Kavumbu	id=g:193150
Kavuluni	id=g:193151
Kavuluni	id=g:193152
Kavuku Dam	id=g:193153
Kavuko	id=g:193154
Kavuka Sub-Location	id=g:193155
Kavujai	id=g:193156
Kavujai	id=g:193157
Kavu	id=g:193158
Kavoo Dam	id=g:193159
Kaviuni	id=g:193160
Kavisuni	id=g:193161
Kavisuni	id=g:193162
Kavisiuni Sub-Location	id=g:193163
Kavishoi	id=g:193164
Kavisago	id=g:193165
Kavingo Sub-Location	id=g:193166
Kavingoni	id=g:193167
Kavingoni	id=g:193168
Kavingo	id=g:193169
Kavingo	id=g:193170
Kavingasi	id=g:193171
Kavideo	id=g:193172
Kaviani	id=g:193173
Kaviani	id=g:193174
Kavetereng	id=g:193175
Kavete	id=g:193176
Kavete	id=g:193177
Kaveta Dam	id=g:193178
Kaveta Dam	id=g:193179
Kaveta	id=g:193180
Kaveta	id=g:193181
Kavathuki	id=g:193182
Kavata Nzou	id=g:193183
Kavata	id=g:193184
Kavani	id=g:193185
Kavaini Sub-Location	id=g:193186
Kavaini Grazing Area	id=g:193187
Kavaini Dam	id=g:193188
Kavaini	id=g:193189
Kavaini	id=g:193190
Kauwa Il Boji	id=g:193191
Kauwaa	id=g:193192
Kauti Sub-Location	id=g:193193
Kauti	id=g:193194
Kauti	id=g:193195
Kauti	id=g:193196
Kauthrui	id=g:193197
Kauthrui	id=g:193198
Kautha	id=g:193199
Kauso	id=g:193200
Kausia	id=g:193201
Kauro	id=g:193202
Kauro	id=g:193203
Kauro	id=g:193204
Kauriung	id=g:193205
Kauriong’	id=g:193206
Kauriong’	id=g:193207
Kaurine	id=g:193208
Kaureta Authrui	id=g:193209
Kaura	id=g:193210
Kaunguni	id=g:193211
Kaunguni	id=g:193212
Kaungu	id=g:193213
Kaundu	id=g:193214
Kaumuthoi	id=g:193215
Kaumoni Sub-Location	id=g:193216
Kaumoni School	id=g:193217
Kaumoni	id=g:193218
Kaumoni	id=g:193219
Kaumoni	id=g:193220
Kauma Well	id=g:193221
Kauma Location	id=g:193222
Kauma	id=g:193223
Kauma	id=g:193224
Kaule	id=g:193225
Kaukia	id=g:193226
Kaui Sub-Location	id=g:193227
Kaui	id=g:193228
Kaui	id=g:193229
Kaugilap	id=g:193230
Kaugagi Sub-Location	id=g:193231
Kaufumbani	id=g:193232
Kaudha Sub-Location	id=g:193233
Kaudha	id=g:193234
Kau Ade	id=g:193235
Kau	id=g:193236
Katyethoka	id=g:193237
Katwenye	id=g:193238
Katwara	id=g:193239
Katwaisyo Sub-Surface Dam	id=g:193240
Katutu Dam	id=g:193241
Katuruk	id=g:193242
Katupe	id=g:193243
Katungwi Number Three Dam	id=g:193244
Katungi Sub-Location	id=g:193245
Katundani Sub-Location	id=g:193246
Katundani Dam Number Two	id=g:193247
Katundani Dam Number One	id=g:193248
Katunda Estate	id=g:193249
Katumo	id=g:193250
Katumbua Hill	id=g:193251
Katumbi Wells	id=g:193252
Katumbi Sub-Location	id=g:193253
Katumbi	id=g:193254
Katumbi	id=g:193255
Katumba	id=g:193256
Katumati	id=g:193257
Katumani Experimental Farm	id=g:193258
Katumakale	id=g:193259
Katuma	id=g:193260
Katulye	id=g:193261
Katuluni	id=g:193262
Katuluni	id=g:193263
Katulianyang	id=g:193264
Katulenyang Hills	id=g:193265
Katulani Dam	id=g:193266
Katulani	id=g:193267
Katulani	id=g:193268
Katulani	id=g:193269
Katulani	id=g:193270
Katulani	id=g:193271
Katuka	id=g:193272
Katui	id=g:193273
Katuba	id=g:193274
Katuaa Market	id=g:193275
Katuaa Dam	id=g:193276
Katta	id=g:193277
Katsombero	id=g:193278
Katsokani	id=g:193279
