Phumĭ Sĕm Lŭn	id=g:1824910
Phumĭ Sĕla	id=g:1824911
Phumĭ Sék Yum	id=g:1824912
Phumĭ Sei Smán	id=g:1824913
Phumĭ Seiha	id=g:1824914
Phumĭ Séh Slăb	id=g:1824915
Phumĭ Séh Slăb	id=g:1824916
Phumĭ Sédthei	id=g:1824917
Phumĭ Sdŏk (1)	id=g:1824918
Phumĭ Sdŏk Vêng	id=g:1824919
Phumĭ Sdŏk Trâbêk	id=g:1824920
Phumĭ Sdŏk Thlŏk	id=g:1824921
Phumĭ Sdŏk Svay	id=g:1824922
Phumĭ Sdŏk Srat	id=g:1824923
Phumĭ Sdŏk Sdâmph	id=g:1824924
Phumĭ Sdŏk Prey	id=g:1824925
Phumĭ Sdŏk Lĕch	id=g:1824926
Phumĭ Sdŏk Kraôl	id=g:1824927
Phumĭ Sdŏk Krâbas	id=g:1824928
Phumĭ Sdŏk Khloŭk	id=g:1824929
Phumĭ Sdŏk Khla	id=g:1824930
Phumĭ Sdŏk Chrey	id=g:1824931
Phumĭ Sdŏk Ăt	id=g:1824932
Phumĭ Sdŏk	id=g:1824933
Phumĭ Sdŏk	id=g:1824934
Phumĭ Sdŏk	id=g:1824935
Phumĭ Sdŏk	id=g:1824936
Phumĭ Sdŏk	id=g:1824937
Phumĭ Sdŏk	id=g:1824938
Phumĭ Sdei Kaông	id=g:1824939
Phumĭ Sdei Kântu	id=g:1824940
Phumĭ Sdei Bĕt Méas	id=g:1824941
Phumĭ Sdei	id=g:1824942
Phumĭ Sdei	id=g:1824943
Phumĭ Sdéch Nón	id=g:1824944
Phumĭ Sdau (1)	id=g:1824945
Phumĭ Sdau (1)	id=g:1824946
Phumĭ Sdau Pôk	id=g:1824947
Phumĭ Sdau Êm	id=g:1824948
Phumĭ Sdau	id=g:1824949
Phumĭ Sdau	id=g:1824950
Phumĭ Sdau	id=g:1824951
Phumĭ Sdau	id=g:1824952
Phumĭ Sdau	id=g:1824953
Phumĭ Sdâm	id=g:1824954
Phumĭ Sdaeung Chey	id=g:1824955
Phumĭ Sbov Rĭk	id=g:1824956
Phumĭ Sbĕnh Char	id=g:1824957
Phumĭ Sbêng	id=g:1824958
Phumĭ Sbêk Tœ̆	id=g:1824959
Phumĭ Sbêk Préal	id=g:1824960
Phumĭ Sbang	id=g:1824961
Phumĭ Sayav	id=g:1824962
Phumĭ Say	id=g:1824963
Phumĭ Saveăng	id=g:1824964
Phumĭ Savănbav	id=g:1824965
Phumĭ Savăn	id=g:1824966
Phumĭ Sâtv Pông	id=g:1824967
Phumĭ Satum	id=g:1824968
Phumĭ Satrav	id=g:1824969
Phumĭ Sa Thum	id=g:1824970
Phumĭ Sathéar	id=g:1824971
Phumĭ S’at	id=g:1824972
Phumĭ Sâsâr Khmor	id=g:1824973
Phumĭ Sâsai Pông	id=g:1824974
Phumĭ Sârsâr Sdâm	id=g:1824975
Phumĭ Sâr Sâr Pôk	id=g:1824976
Phumĭ Sâ Rômeăng	id=g:1824977
Phumĭ Sarêk	id=g:1824978
Phumĭ Sâpv Bâng	id=g:1824979
Phumĭ Sapeăng	id=g:1824980
Phumĭ Saôy	id=g:1824981
Phumĭ Saôy	id=g:1824982
Phumĭ S’aôt	id=g:1824983
Phumĭ Saôm	id=g:1824984
Phumĭ Saôkmaôk	id=g:1824985
Phumĭ Saô Hŭy	id=g:1824986
Phumĭ Saôb Leu	id=g:1824987
Phumĭ Saôb Kraôm	id=g:1824988
Phumĭ Sântung	id=g:1824989
Phumĭ Sântŭk Krau	id=g:1824990
Phumĭ Sântŭk	id=g:1824991
Phumĭ Sânthĭk	id=g:1824992
Phumĭ Sântey	id=g:1824993
Phumĭ Sântey	id=g:1824994
Phumĭ Sântey	id=g:1824995
Phumĭ Sântéam	id=g:1824996
Phumĭ Sânsâr	id=g:1824997
Phumĭ Sanparai	id=g:1824998
Phumĭ Sânlŭng (1)	id=g:1824999
Phumĭ Sânlŭng	id=g:1825000
Phumĭ Sânlŭng	id=g:1825001
Phumĭ Sânlŭng	id=g:1825002
Phumĭ Sânlŭng	id=g:1825003
Phumĭ Sânlŭng	id=g:1825004
Phumĭ Sânloŭng	id=g:1825005
Phumĭ Sânlóng	id=g:1825006
Phumĭ Sânlóng	id=g:1825007
Phumĭ Sânláb Pôpôk	id=g:1825008
Phumĭ S’ang (1)	id=g:1825009
Phumĭ Sângviĕn Moăn	id=g:1825010
Phumĭ Sângvat	id=g:1825011
Phumĭ Sângvăn	id=g:1825012
Phumĭ Săng Reăng Knŏng	id=g:1825013
Phumĭ Sang Rang	id=g:1825014
Phumĭ Sáng Ngiĕk	id=g:1825015
Phumĭ Sângkréam Bor	id=g:1825016
Phumĭ Sângkôm Méanchey	id=g:1825017
Phumĭ Sângkôm Méanchey	id=g:1825018
Phumĭ Sâng Khoŭ	id=g:1825019
Phumĭ Sâng Khav (2)	id=g:1825020
Phumĭ Sâng Khav (1)	id=g:1825021
Phumĭ Sângkêr (2)	id=g:1825022
Phumĭ Sângkêr (1)	id=g:1825023
Phumĭ Sângkêr Véal	id=g:1825024
Phumĭ Sângkê Roŭng	id=g:1825025
Phumĭ Sângkêr Duŏch	id=g:1825026
Phumĭ Sângkêr Chŏng	id=g:1825027
Phumĭ Sângkêr Bângvêr	id=g:1825028
Phumĭ Sângkê Pông	id=g:1825029
Phumĭ Sângkê Leăk	id=g:1825030
Phumĭ Sângkê Kaông	id=g:1825031
Phumĭ Sângkê Dăch	id=g:1825032
Phumĭ Sângkĕb	id=g:1825033
Phumĭ Sângkê	id=g:1825034
Phumĭ Sângkê	id=g:1825035
Phumĭ Sângkê	id=g:1825036
Phumĭ Sângkê	id=g:1825037
Phumĭ Sângkê	id=g:1825038
Phumĭ Sângkê	id=g:1825039
Phumĭ Sângkê	id=g:1825040
Phumĭ Sângkê	id=g:1825041
Phumĭ Sâng Kdei	id=g:1825042
Phumĭ Sângkaeub (2)	id=g:1825043
Phumĭ Sângkaeub (1)	id=g:1825044
Phumĭ S’ang	id=g:1825045
Phumĭ Sang	id=g:1825046
Phumĭ Sândŏl	id=g:1825047
Phumĭ Sândar Leu	id=g:1825048
Phumĭ Sândăn	id=g:1825049
Phumĭ Sândăn	id=g:1825050
