O Chăk Dang	id=g:1831711
O Chăk Ângkráng	id=g:1831712
Trâpeăng Châk	id=g:1831713
Stœ̆ng Châk	id=g:1831714
Prêk Châk	id=g:1831715
O Châk	id=g:1831716
Bœ̆ng Châk	id=g:1831717
Phnum Chahâng	id=g:1831718
Phnum Chab Lung	id=g:1831719
O Chab	id=g:1831720
Kaôh Chab	id=g:1831721
Kingdom of Cambodia	id=g:1831722
Bŭy Phlôk	id=g:1831723
Bœ̆ng Buŏn Mŭm	id=g:1831724
O Bu	id=g:1831725
Roche du Branle-bas	id=g:1831726
Bŏs Môn Leu	id=g:1831727
Bŏs Chék Prey	id=g:1831728
Phnum Bŏs Ândong	id=g:1831729
Phnum Bônh	id=g:1831730
O Bŏngtu	id=g:1831731
Bông Lông	id=g:1831732
Phnum Bong	id=g:1831733
Phnum Bom Khuŏy	id=g:1831734
Phnum Bŏk Po	id=g:1831735
Phnum Bok Koŭ	id=g:1831736
Bok Koŭ	id=g:1831737
Bok Koŭ	id=g:1831738
O Bokei	id=g:1831739
Phnum Bo Kântuŏt	id=g:1831740
Phnum Bok	id=g:1831741
Phnum Bœ̆s	id=g:1831742
Prêk Bœ̆ng Vêng	id=g:1831743
O Bœ̆ng Sâmraông	id=g:1831744
O Bœ̆ng Sala	id=g:1831745
Prêk Bœ̆ng Rŭn	id=g:1831746
Prêk Bœ̆ng Réang	id=g:1831747
O Bœ̆ng Preăh	id=g:1831748
O Bœ̆ng Prâhut	id=g:1831749
Prêk Bœ̆ng Peăk Kândal	id=g:1831750
Srŏk Bœ̆ng Méaléa	id=g:1831751
Bœ̆ng Lvéa	id=g:1831752
O Bœ̆ng Léach	id=g:1831753
Prêk Bœ̆ng Krâsaôb	id=g:1831754
O Bœ̆ng Krâsai	id=g:1831755
O Bœ̆ng Krăng	id=g:1831756
Prêk Bœ̆ng Khvang	id=g:1831757
Vôtt Bœ̆ng Khnay	id=g:1831758
Kaôh Bœ̆ng Khla	id=g:1831759
Kaôh Bœ̆ng Kêv	id=g:1831760
O Bœ̆ng Chumnit	id=g:1831761
Prêk Bœ̆ng Chhuk	id=g:1831762
Bœ̆ng Char	id=g:1831763
Prêk Bœ̆ng	id=g:1831764
O Bœ̆ng	id=g:1831765
Phnum Blô Nâng	id=g:1831766
Phnum Bloké	id=g:1831767
Phnum Blang Tu	id=g:1831768
Rocher Blanc	id=g:1831769
Phnum Bĕt Pabéng	id=g:1831770
O Béng Hôy	id=g:1831771
Phnum Béng	id=g:1831772
Phnum Bĕnchum	id=g:1831773
Phnŭm Bên Bŭn	id=g:1831774
O Bĕn	id=g:1831775
