Sŏmp’an	id=g:1925928
Chawŏn-dong	id=g:1925929
Towŏn-dong	id=g:1926220
Tongu-dong	id=g:1926221
Tonggoji	id=g:1926222
Mak-kol	id=g:1926223
Sŏngsu-ri	id=g:1926224
Sŏnjam-dong	id=g:1926225
Sindŏk-tong	id=g:1926226
Chaebong-gol	id=g:1926227
Saemal	id=g:1926228
Mangjang-gol	id=g:1926229
Sangch’ŏn-dong	id=g:1926230
Sinjang-dong	id=g:1926231
Togung-ni	id=g:1926232
Hong-gol	id=g:1926233
Pangch’uk-kol	id=g:1926234
Kwandae-ri	id=g:1926235
Undesaemal	id=g:1926236
Hasaemal	id=g:1926237
Kach’ang-dong	id=g:1926238
Ch’ŏndŏng-ni	id=g:1926239
Pongwang-dong	id=g:1926240
Sun-dong	id=g:1926241
Chungham-dong	id=g:1926242
Sunyŏng-dong	id=g:1926243
Namjŏng-dong	id=g:1926244
Sindae-dong	id=g:1926245
Hamnŭng-ni	id=g:1926246
Kuam-ni	id=g:1926247
Hasu-dong	id=g:1926248
Sangsu-dong	id=g:1926249
Ch’ŏngnyong-ni	id=g:1926250
Sangbi-dong	id=g:1926251
Mujŏng-dong	id=g:1926252
Nont’ŭl-tong	id=g:1926253
Haham-dong	id=g:1926254
Ma-san	id=g:1926255
Kach’ŏl-li	id=g:1926256
Andae-gol	id=g:1926257
Tolgoji	id=g:1926258
Hach’a-dong	id=g:1926259
Tae-bong	id=g:1926260
Yul-li	id=g:1926261
Saenmal	id=g:1926262
Turume	id=g:1926263
Oppau	id=g:1926264
T’apch’ŏl-li	id=g:1926265
Hakch’ŏn-dong	id=g:1926266
Ku-san	id=g:1926267
Sŏngju-gol	id=g:1926268
Hwagal-li	id=g:1926269
Anjaegae	id=g:1926270
Pakkatchaege	id=g:1926271
Songjŏng-ni	id=g:1926272
Ch’ang-dong	id=g:1926273
Hu-dong	id=g:1926274
Kuryong-ni	id=g:1926275
Hagŭm-dong	id=g:1926276
Odu-san	id=g:1926277
Saem-gol	id=g:1926278
Chae-gol	id=g:1926279
Changsu-dong	id=g:1926280
Hoesan	id=g:1926281
Pongyang-ni	id=g:1926282
Un-gol	id=g:1926283
Tae-gol	id=g:1926284
Chŏl-gol	id=g:1926285
Hanjŏng-dong	id=g:1926286
Ch’ungjam	id=g:1926287
Ch’ŏngnyong-ni	id=g:1926288
Twira-hyŏn	id=g:1926289
Yang-san	id=g:1926290
Simo-dong	id=g:1926291
Taegu-ri	id=g:1926292
Nakch’on	id=g:1926293
Pongyang-san	id=g:1926294
Nakch’on	id=g:1926295
