Mŏri-jae	id=g:6795235
Morimi-gol	id=g:6795236
Morul-li	id=g:6795237
Morye	id=g:6795238
Morye-mot	id=g:6795239
Mosae-gol	id=g:6795240
Mosan	id=g:6795241
Mosan-gongdongmyoji	id=g:6795242
Mose-gidowŏn	id=g:6795243
Mosi-gol	id=g:6795244
Mosol	id=g:6795245
Mot-chae	id=g:6795246
Mottoe-jŏsuji	id=g:6795247
Mottuduk	id=g:6795248
Mottu-ri	id=g:6795249
Muam-gol	id=g:6795250
Muamjeil-chŏsuji	id=g:6795251
Muam-sa	id=g:6795252
Mubong-san	id=g:6795253
Mudŏmch’i	id=g:6795254
Mudŏm-jae	id=g:6795255
Mudŏmsil	id=g:6795256
Mu-dong	id=g:6795257
Mudong-san	id=g:6795258
Mudongsil	id=g:6795259
Muduch’i	id=g:6795260
Mudŭng-san	id=g:6795261
Mudu-ri	id=g:6795262
Mujang-jŏsuji	id=g:6795263
Mujang-ni	id=g:6795264
Mujo-gol	id=g:6795265
Mujogol-soryuji	id=g:6795266
Muk-kol	id=g:6795267
Mukkol-chi	id=g:6795268
Mukpong-san	id=g:6795269
Muksan	id=g:6795270
Mulga	id=g:6795271
Mulgan-mal	id=g:6795272
Mul-gol	id=g:6795273
Mul-gol	id=g:6795274
Mul-gol	id=g:6795275
Mulgubi	id=g:6795276
Mulgu-ri	id=g:6795277
Mulmi	id=g:6795278
Mulmok	id=g:6795279
Multo-ri	id=g:6795280
Multtaegi-san	id=g:6795281
Mumyŏng-gul	id=g:6795282
Munae	id=g:6795283
Munae-ri	id=g:6795284
Munam-ni	id=g:6795285
Munam-sa	id=g:6795286
Munang-gol	id=g:6795287
Munbawi	id=g:6795288
Munbawi	id=g:6795289
Munbawi	id=g:6795290
Mun-ch’i	id=g:6795291
Mundu-ch’i	id=g:6795292
Mundŭk-kol	id=g:6795293
Mundun	id=g:6795294
Mun’gaesil	id=g:6795295
Mun’gaesil-gul	id=g:6795296
Mun’gan-jae	id=g:6795297
Mun’gok	id=g:6795298
Mun’gok	id=g:6795299
Mun’gok-ch’odŭnghakkyo	id=g:6795300
Mun’gok-tong	id=g:6795301
Mun’gong-ni	id=g:6795302
Mun’gong-ni	id=g:6795303
Mun’gong-ni	id=g:6795304
Mun’gong-ni	id=g:6795305
Mun-jae	id=g:6795306
Munjae-gol	id=g:6795307
Munji	id=g:6795308
Munmag-ŭp	id=g:6795309
Munmak-ch’odŭnghakkyo	id=g:6795310
Munmak-kyo	id=g:6795311
Munmak-sijang	id=g:6795312
Munŏmi	id=g:6795313
Munp’il-bong	id=g:6795314
Munp’il-bong	id=g:6795315
Munsal-li	id=g:6795316
Munsu-bong	id=g:6795317
Munsubong-gol	id=g:6795318
Munsu-sa	id=g:6795319
Munt’an	id=g:6795320
Munwang-gol	id=g:6795321
Muraeul	id=g:6795322
Muram-gol	id=g:6795323
Muran-dong	id=g:6795324
Murani	id=g:6795325
Murani	id=g:6795326
Murhan	id=g:6795327
Murhang-gol	id=g:6795328
Murhani-gol	id=g:6795329
Murisil	id=g:6795330
Murŭng-ch’i	id=g:6795331
Murŭng-ch’odŭnghakkyo	id=g:6795332
Murŭngdam	id=g:6795333
Murŭngdam	id=g:6795334
Murŭng-donggul	id=g:6795335
Murŭng-ni	id=g:6795336
Murŭptae	id=g:6795337
Murye	id=g:6795338
Musa-dong	id=g:6795339
Musil-soryuji	id=g:6795340
Musil-tong	id=g:6795341
Musil-tong	id=g:6795342
Musiltong-samuso	id=g:6795343
Musoe-bong	id=g:6795344
Musoejŏm	id=g:6795345
Musoejŏm	id=g:6795346
Musoejŏm	id=g:6795347
Musoejŏm-gogae	id=g:6795348
Musumak	id=g:6795349
Musut’ŏ-soryuji	id=g:6795350
Muttu	id=g:6795351
Myodunji	id=g:6795352
Myo-gol	id=g:6795353
Myojae	id=g:6795354
Myŏnaegol-chae	id=g:6795355
Myŏngam	id=g:6795356
Myŏngam-gidowŏn	id=g:6795357
Myŏngami-gyo	id=g:6795358
Myŏngamil-gyo	id=g:6795359
Myŏngam-jŏsuji	id=g:6795360
Myŏngam-ni	id=g:6795361
Myŏngamsam-gyo	id=g:6795362
Myŏngbong-san	id=g:6795363
Myŏngdoi-gyo	id=g:6795364
Myŏngdoil-gyo	id=g:6795365
Myŏngdol	id=g:6795366
Myŏngdo-ri	id=g:6795367
Myŏngji-dong	id=g:6795368
Myŏngji-dong	id=g:6795369
Myŏngjimok	id=g:6795370
Myŏngjŏn	id=g:6795371
Myŏngjumogi	id=g:6795372
Myŏngju-sa	id=g:6795373
Myŏngma-dong	id=g:6795374
Myŏngma-gul	id=g:6795375
Myŏngnyun-ch’odŭnghakkyo	id=g:6795376
Myŏngnyuni-dong	id=g:6795377
Myŏngnyunil-tong	id=g:6795378
Myŏngot	id=g:6795379
Myŏngsaeng-dong	id=g:6795380
Myŏngsŏ-dong	id=g:6795381
Myŏngsŏdong-samuso	id=g:6795382
Myŏngsŏ-ri	id=g:6795383
Myŏngsu-sa	id=g:6795384
Myŏnsan	id=g:6795385
Myŏnwisil	id=g:6795386
Myosim-sa	id=g:6795387
Nabaengigol-soryuji	id=g:6795388
Nabal-gul	id=g:6795389
