Tŭngjigŏri	id=g:6802563
Tal-gol	id=g:6802564
Kadulgi	id=g:6802565
Koch’ang-mal	id=g:6802566
Pangch’ukkye	id=g:6802567
Chung-mal	id=g:6802568
Chŏngji-mal	id=g:6802569
Sajau	id=g:6802570
An-gol	id=g:6802571
Chip’um	id=g:6802572
Sangjae	id=g:6802573
Sillae	id=g:6802574
Sadaktari	id=g:6802575
Yŏkchŏn-mal	id=g:6802576
Mal-gol	id=g:6802577
Kakkil	id=g:6802578
Taesŏn-dong	id=g:6802579
Sosŏn-dong	id=g:6802580
Kŏmun’gan	id=g:6802581
Kŏnnŏ-mal	id=g:6802582
Saegogae	id=g:6802583
Kuam-dong	id=g:6802584
Chaech’wi-dong	id=g:6802585
Yangmu-gol	id=g:6802586
Han’golsamgŏri	id=g:6802587
Sangch’on	id=g:6802588
Hach’on	id=g:6802589
Kol-mal	id=g:6802590
Hanamjong	id=g:6802591
Pŏlmyŏk-kol	id=g:6802592
Sahyŏn	id=g:6802593
Sŏnghwangdang	id=g:6802594
Moktong-ni	id=g:6802595
Pŏmbawi	id=g:6802596
Tŭngmudae	id=g:6802597
Kaktam-mal	id=g:6802598
Nŭngu	id=g:6802599
Tangmukkae	id=g:6802600
Naech’on	id=g:6802601
Ka-gol	id=g:6802602
Kail	id=g:6802603
Yulmich’on	id=g:6802604
Samsŏndae-ri	id=g:6802605
Pambŏl	id=g:6802606
Chuŭlgil	id=g:6802607
Ponap-kol	id=g:6802608
Maeunt’ang-gol	id=g:6802609
Pŏltun	id=g:6802610
Pat’ari-gol	id=g:6802611
Yŏk-kol	id=g:6802612
Chŏul-gol	id=g:6802613
Arisan	id=g:6802614
Araen-mal	id=g:6802615
Chunggan-mal	id=g:6802616
Samsŏn	id=g:6802617
Magŭn-gol	id=g:6802618
Sŏkkat	id=g:6802619
Pogat’ŏ	id=g:6802620
Samgŏri	id=g:6802621
Sari-mal	id=g:6802622
Omi	id=g:6802623
Pansong	id=g:6802624
Sujŏng	id=g:6802625
T’ap-kol	id=g:6802626
Changmunan	id=g:6802627
Sŏji	id=g:6802628
Hong-gol	id=g:6802629
Tangmi	id=g:6802630
Ŭmdal-mal	id=g:6802631
Saem-gol	id=g:6802632
Pamja-gol	id=g:6802633
Yangji-mal	id=g:6802634
Kaltun	id=g:6802635
Nunnŭp	id=g:6802636
Chŏngch’ak-tong	id=g:6802637
Ŭn-gol	id=g:6802638
Moemit	id=g:6802639
Uyang	id=g:6802640
Chungdo-dong	id=g:6802641
Sinch’on	id=g:6802642
Chisiul	id=g:6802643
Pŏdŭnae	id=g:6802644
Tudukppuri	id=g:6802645
Hahyŏnam	id=g:6802646
Kamwa-ri	id=g:6802647
Chumakkŏri	id=g:6802648
Mudŏng-gol	id=g:6802649
Pamkkasibŏdŭng	id=g:6802650
Soemegi	id=g:6802651
Sinyŏn’gang	id=g:6802652
Tolgogae	id=g:6802653
Kumani	id=g:6802654
Masamnae	id=g:6802655
Sŏndŭl	id=g:6802656
Onŭi-dong	id=g:6802657
Modan	id=g:6802658
Moppakk	id=g:6802659
Koendol	id=g:6802660
Soppa-ri	id=g:6802661
Charau	id=g:6802662
Saem-gol	id=g:6802663
Wŏndang-ni	id=g:6802664
Widoppawi	id=g:6802665
Araech’angnae	id=g:6802666
K’ŭn-gol	id=g:6802667
Moo-ri	id=g:6802668
Sint’ŏrang	id=g:6802669
Kŏnnŏ-mal	id=g:6802670
P’ulmu-gol	id=g:6802671
Ch’ang-mal	id=g:6802672
Sae-mal	id=g:6802673
Pinghamit	id=g:6802674
Sukkama-gol	id=g:6802675
Toch’i-gol	id=g:6802676
Chŏkkil	id=g:6802677
Waryong	id=g:6802678
Saye	id=g:6802679
Kŏmŭn-dong	id=g:6802680
Nagaji	id=g:6802681
Han-gol	id=g:6802682
Obong	id=g:6802683
Sŏl-gol	id=g:6802684
Ponget’ŏ-gol	id=g:6802685
T’omok-kol	id=g:6802686
Hanch’i-gol	id=g:6802687
T’ap-kol	id=g:6802688
Tŏngman	id=g:6802689
Tumu-gol	id=g:6802690
Chongja-dong	id=g:6802691
Moraejae	id=g:6802692
Tongmak-kol	id=g:6802693
Sabangu	id=g:6802694
Sŏktong-gol	id=g:6802695
Paeksang-gol	id=g:6802696
Yangji-mal	id=g:6802697
Sŏngsan-mokchang	id=g:6802698
Ch’owŏn-mokchang	id=g:6802699
Ŭiam-yŏk	id=g:6802700
Sinmae-jŏsuji	id=g:6802701
Chŏlgol-chŏsuji	id=g:6802702
T’anbu-jŏsuji	id=g:6802703
Sin’gok-chŏsuji	id=g:6802704
Pangdong-jŏsuji	id=g:6802705
Kajumŏri-jŏsuji	id=g:6802706
Songam-jŏsuji	id=g:6802707
Sinmae-jŏsuji	id=g:6802708
Wŏnch’ang-jŏsuji	id=g:6802709
Yongsan-jŏsuji	id=g:6802710
Chinaeri-jŏsuji	id=g:6802711
Udu-jŏsuji	id=g:6802712
Saja-jŏsuji	id=g:6802713
Pansong-jŏsuji	id=g:6802714
Chŏkkol-chŏsuji	id=g:6802715
Choyŏn-jŏsuji	id=g:6802716
Norumok-chŏsuji	id=g:6802717
Kangwŏndo-jonghapkyoyugwŏn	id=g:6802718
Kangwŏn-godŭnghakkyo	id=g:6802719
Kangwŏnch’eyuk-kodŭnghakkyo	id=g:6802720
Pongŭi-godŭnghakkyo	id=g:6802721
Sŏngsuyŏjajŏngbosanŏp-kodŭnghakkyo	id=g:6802722
Ch’unch’ŏn’-godŭnghakkyo	id=g:6802723
Ch’unch’ŏnyŏja-godŭnghakkyo	id=g:6802724
Yubongyŏja-godŭnghakkyo	id=g:6802725
Kap’yŏng-ch’odŭnghakkyo	id=g:6802726
Moktong-ch’odŭnghakkyo	id=g:6802727
Sŏchŏn-ch’odŭnghakkyo	id=g:6802728
Tangnim-ch’odŭnghakkyo	id=g:6802729
Ch’unch’ŏnnamsan-ch’odŭnghakkyo	id=g:6802730
Kŭmsan-ch’odŭnghakkyo	id=g:6802731
Kangsŏ-junghakkyo	id=g:6802732
Songhwa-ch’odŭnghakkyo	id=g:6802733
Sŏsang-ch’odŭnghakkyo	id=g:6802734
Sinnam-ch’odŭnghakkyo	id=g:6802735
Kŭmbyŏng-ch’odŭnghakkyo	id=g:6802736
Ch’unch’ŏn-junghakkyo	id=g:6802737
Namch’unch’ŏnyŏja-junghakkyo	id=g:6802738
Kŭnhwa-ch’odŭnghakkyo	id=g:6802739
Namch’unchŏn-junghakkyo	id=g:6802740
Ch’unch’ŏn-ch’odŭnghakkyo	id=g:6802741
Ch’unch’ŏnsindong-ch’odŭnghakkyo	id=g:6802742
Nambu-ch’odŭnghakkyo	id=g:6802743
Pongŭi-ch’odŭnghakkyo	id=g:6802744
Ch’unch’ŏngyodong-ch’odŭnghakkyo	id=g:6802745
Soyang-ch’odŭnghakkyo	id=g:6802746
Ch’unch’ŏnsamyuk-ch’odŭnghakkyo	id=g:6802747
Hup’yŏng-ch’odŭnghakkyo	id=g:6802748
Pongŭiyŏja-junghakkyo	id=g:6802749
Hup’yŏng-junghakkyo	id=g:6802750
Sŏksa-ch’odŭnghakkyo	id=g:6802751
Usŏk-ch’odŭnghakkyo	id=g:6802752
Puan-ch’odŭnghakkyo	id=g:6802753
Manchŏn-ch’odŭnghakkyo	id=g:6802754
Odong-ch’odŭnghakkyo	id=g:6802755
Hoban-ch’odŭnghakkyo	id=g:6802756
Tongnae-ch’odŭnghakkyo	id=g:6802757
Kasan-ch’odŭnghakkyo	id=g:6802758
Sangchŏn-ch’odŭnghakkyo	id=g:6802759
Kyesŏng-nongahakkyo	id=g:6802760
Ch’unch’ŏn’gyoyuk-taehakkyo	id=g:6802761
Hallim-daehakkyo	id=g:6802762
Kangwŏn-daehakkyo	id=g:6802763
