Sŏjam	id=g:6879723
Samsal-li	id=g:6879724
Oejam	id=g:6879725
Pamul	id=g:6879726
Sonburi-jae	id=g:6879727
Suk-kol	id=g:6879728
K’ŭn-gol	id=g:6879729
Hanbat	id=g:6879730
Hangsil	id=g:6879731
Haiul	id=g:6879732
Sangiul	id=g:6879733
Sinhŭng-ni	id=g:6879734
Wŏnnam-myŏn	id=g:6879735
Sagok	id=g:6879736
Puksu-dong	id=g:6879737
Ko-ri	id=g:6879738
Hu-ri	id=g:6879739
Ch’osan	id=g:6879740
Chinmimal-tŭngdae	id=g:6879741
Osal-li	id=g:6879742
Taejam	id=g:6879743
Iksan-jae	id=g:6879744
Onggijŏm	id=g:6879745
Paegok-tong	id=g:6879746
Murŭng	id=g:6879747
Maehwa-ri	id=g:6879748
T’oil	id=g:6879749
Chungt’o	id=g:6879750
Sangt’o	id=g:6879751
Orisil	id=g:6879752
Ponghwa-sa	id=g:6879753
Tongnim-sa	id=g:6879754
Kongsŏk	id=g:6879755
Hyŏnnae	id=g:6879756
Yŏnho-jŏng	id=g:6879757
Naebong	id=g:6879758
Oebong	id=g:6879759
Kuman	id=g:6879760
Kyŏngbugulchin-gyoyukch’ŏng	id=g:6879761
Maehwajonghap-kodŭnghakkyo	id=g:6879762
Ulchin-godŭnghakkyo	id=g:6879763
Kisŏng-sijang	id=g:6879764
Maehwa-sijang	id=g:6879765
Ulchin-sijang	id=g:6879766
Chedong-junghakkyo	id=g:6879767
Kisŏng-ch’odŭnghakkyo	id=g:6879768
Kisŏng-junghakkyo	id=g:6879769
Sadong-ch’odŭnghakkyo	id=g:6879770
Maehwa-ch’odŭnghakkyo	id=g:6879771
Noŭm-ch’odŭnghakkyo	id=g:6879772
Ulchin-ch’odŭnghakkyo	id=g:6879773
Ulchinnambu-ch’odŭnghakkyo	id=g:6879774
Sambong-san	id=g:6879775
Sŏngnyu-san	id=g:6879776
Paembakkol-san	id=g:6879777
Oejam-san	id=g:6879778
Wŏlchŭng-san	id=g:6879779
Changsu-bawi	id=g:6879780
Ch’ottae-bawi	id=g:6879781
