Hwanghae-dong	id=g:6904591
Norisil	id=g:6904592
Paksil-tong	id=g:6904593
Sin-ch’on	id=g:6904594
Chungdam	id=g:6904595
Chŏm-ch’on	id=g:6904596
Yangji-dong	id=g:6904597
P’alsan-jae	id=g:6904598
Sŭngbi-san	id=g:6904599
Taemong-ni	id=g:6904600
Yangsal-li	id=g:6904601
Ach’ŏl-li	id=g:6904602
Mugong-ni	id=g:6904603
Kusi-gol	id=g:6904604
Kŭmp’yŏng	id=g:6904605
Igok	id=g:6904606
Igye	id=g:6904607
Majŏng	id=g:6904608
Kak-kol	id=g:6904609
Sin’gŏ-ri	id=g:6904610
Hanwŏn	id=g:6904611
Oksanjŏng	id=g:6904612
Taeyang	id=g:6904613
Paemi-dong	id=g:6904614
Mugok	id=g:6904615
Namam-dong	id=g:6904616
Wŏndang-ni	id=g:6904617
Sangdae-ri	id=g:6904618
T’aebaek-san	id=g:6904619
Muwŏl-bong	id=g:6904620
Ahopsari-jae	id=g:6904621
Sangmu	id=g:6904622
Changja-gol	id=g:6904623
Kusa-dong	id=g:6904624
Murŭng	id=g:6904625
Pyŏngbae	id=g:6904626
Yaksu-am	id=g:6904627
Tosan	id=g:6904628
Chisal-li	id=g:6904629
Songnim-ni	id=g:6904630
Nagach’ŏn	id=g:6904631
Tusanjiŭm-gol	id=g:6904632
Pultang	id=g:6904633
Wikkye	id=g:6904634
Sin’gi-dong	id=g:6904635
Hahoe-dong	id=g:6904636
Pakkol-chae	id=g:6904637
Yŏngjŏl-li	id=g:6904638
T’aeng-ni	id=g:6904639
Yŏngjŏn	id=g:6904640
T’aeng-ni	id=g:6904641
Pakkok	id=g:6904642
Kakkok	id=g:6904643
Sae-mal	id=g:6904644
Yugye	id=g:6904645
Nopŭnjŏng	id=g:6904646
Songt’ŏ	id=g:6904647
Ch’ogye-myŏn	id=g:6904648
Ansŏng	id=g:6904649
Pullo-gol	id=g:6904650
Panmunjom	id=g:6942135
Church In Seoul - meeting hall	id=g:6942607
Church in Seoul - Itaewon	id=g:6942608
Church in Seoul	id=g:6942609
Ajou University	id=g:6948574
Songhak-kol	id=g:6957912
Ch’ŏnggŭm	id=g:6969230
HVDC Haenam-Jeju - Haenam Static Inverter Plant	id=g:7282514
HVDC Haenam-Jeju - Jeju Static Inverter Plant	id=g:7282515
bricx office	id=g:7284996
Seoul Train Station	id=g:7290416
학회관	id=g:7290498
운동장	id=g:7290499
테크노	id=g:7290502
디지털	id=g:7290503
글로벌	id=g:7290520
한울관	id=g:7290521
누리관	id=g:7290522
생활관	id=g:7290523
다솜관	id=g:7290524
나래관	id=g:7290525
오름관	id=g:7290526
테니스	id=g:7290527
족구장	id=g:7290528
본관	id=g:7290529
Gumi Ubiquitous Experience	id=g:7302289
도서관	id=g:7302325
이오스	id=g:7302326
체육관	id=g:7302327
Saet’ŏ	id=g:7502373
P’yŏngch’on	id=g:7502374
Sŏdong	id=g:7502375
Sinch’on	id=g:7502376
Koran	id=g:7502377
Hajodae-haesuyokjang	id=g:7520557
Palgan-dong	id=g:7520558
Kisamun-hang	id=g:7520559
Hajodae-dŭngdae	id=g:7520560
Solchŏngji	id=g:7520561
Sanggwangjŏng-ni	id=g:7520562
Kolmal	id=g:7520563
Kwangjŏng-ch’ŏn	id=g:7520564
Toksongjŏng	id=g:7520568
Engineering College, Yonsei University	id=g:7535950
Khawr Shaţānah	id=g:91052
Ḑulay‘ Zunayf	id=g:285361
Ra’s az Zawr	id=g:285362
Jāl az Zawr	id=g:285363
Dawḩat az Zawr	id=g:285364
Banīyat az Zawr	id=g:285365
Ḩisū az̧ Z̧aby	id=g:285366
Qulbān Yāsīn	id=g:285367
Ra’s al Yaḩī	id=g:285368
Mushāsh Wāwī	id=g:285369
Warbah Spit	id=g:285370
Jazīrat Warbah	id=g:285371
Tall Wārah	id=g:285372
Wārah	id=g:285373
Makhfar al Wafrah	id=g:285374
‘Ushaysh al Jahrā’	id=g:285375
Ra’s ‘Ushayrij	id=g:285376
Qiţ‘atayn ‘Ushayrij	id=g:285377
‘Ushayrij	id=g:285378
‘Ushayrij	id=g:285379
Qiţ‘at ‘Urayfijān	id=g:285380
Makhfar ‘Urayfijān	id=g:285381
Banāyā ‘Urayfijān	id=g:285382
‘Urayfijān	id=g:285383
‘Urayfijān	id=g:285384
‘Urayfijān	id=g:285385
Umm Tuwaynij	id=g:285386
Thamīlat Umm Şafq	id=g:285387
Markaz Umm Şafq	id=g:285388
Umm Şafaq	id=g:285389
Umm Ruqaybah	id=g:285390
Umm Rujm	id=g:285391
Umm Rujm	id=g:285392
Umm Qudayr 1	id=g:285393
Thamīlat Umm Qudayr	id=g:285394
Umm Qudayr	id=g:285395
Umm Qudayr	id=g:285396
Umm Qaşabah	id=g:285397
Umm Qaşbah	id=g:285398
Umm Niqqā	id=g:285399
Umm Niqqā	id=g:285400
Umm Niqqā	id=g:285401
Umm Khurjayn	id=g:285402
Khabrat Umm Irţah	id=g:285403
Umm Arţah	id=g:285404
Khabrat Umm ‘Imārat Mahzūl	id=g:285405
Umm ‘Imārat ash Shaqq	id=g:285406
Umm ‘Imārat ar Ruq‘ī	id=g:285407
Umm Ḩujūl	id=g:285408
Umm at Tanak	id=g:285409
Khabrat Umm Arţā ad Dikākah	id=g:285410
Khabrat Umm ar Ruwaysāt	id=g:285411
Umm ar Ruwaysāt	id=g:285412
Umm ar Ruwaysāt	id=g:285413
Khabrat Umm ar Rūs	id=g:285414
Umm ar Rūs	id=g:285415
Umm ar Rimam	id=g:285416
Jazīrat Umm an Naml	id=g:285417
Umm al Qawāţī	id=g:285418
Umm al Qashīsh	id=g:285419
Jazīrat Umm al Marādim	id=g:285420
Khabrat Umm al Madāfi‘	id=g:285421
Umm al Madāfi‘	id=g:285422
Umm al Lihūd	id=g:285423
Khabrat Umm al Jathāthīl	id=g:285424
Umm al Jathāthīl	id=g:285425
Khabrat Umm al Ḩīrān	id=g:285426
Umm al Falā	id=g:285427
Khabrat Umm al ‘Aysh	id=g:285428
Umm al ‘Aysh	id=g:285429
Umgharah	id=g:285430
Khashm al ‘Udhaybah	id=g:285431
Khabrat al Khillah	id=g:285432
Udayri‘ al Ḩişn	id=g:285433
Udayri‘ al Ḩamḑ	id=g:285434
Thamīlat Turkī	id=g:285435
Ţiyān	id=g:285436
Thamīlat ath Thawīlah	id=g:285437
Khabrat ath Thamīlah	id=g:285438
Thamāmīyah	id=g:285439
Umm al `Aysh	id=g:285440
Tall Suwayrah	id=g:285441
Markaz as Sūr	id=g:285442
Ḑulay‘at as Sūr	id=g:285443
Shiqqat aş Şuqayhīyah	id=g:285444
Şūlah	id=g:285445
Şukhaybirīyāt	id=g:285446
Makhfar aş Şubayḩīyah	id=g:285447
Şubayḩ	id=g:285448
Şubayb	id=g:285449
Khabrat Sidrah	id=g:285450
