Ile Aūdany	id=g:1524128
Iliyskaya Vpadina	id=g:1524129
Iliysk	id=g:1524130
Il’inskoye	id=g:1524131
Īl’īnka	id=g:1524132
Il’inka	id=g:1524133
Īl’īnka	id=g:1524134
Il’inka	id=g:1524135
Mogila Iliker	id=g:1524136
Il'ichevskiy Rayon	id=g:1524137
Īl’īch	id=g:1524138
Stantsiya Ili	id=g:1524139
Il’geribas	id=g:1524140
Ozero Ilektykol’	id=g:1524141
Zimovka Ilaman	id=g:1524142
Kolodets Ike-Kulach	id=g:1524143
Ikansu	id=g:1524144
Iir	id=g:1524145
Ozero Igyz-Kul’	id=g:1524146
Ozero Igyzbay	id=g:1524147
Iglik	id=g:1524148
Yeginsay	id=g:1524149
Idris	id=g:1524150
Ichlek	id=g:1524151
Ichkele	id=g:1524152
Ibrayevskiy	id=g:1524153
Ibray	id=g:1524154
Ibata	id=g:1524155
Gvardīya Aūdany	id=g:1524156
Gvardeyskiy	id=g:1524157
Sovkhoz Gvardeyets	id=g:1524158
Gūsarka	id=g:1524159
Gusakovka	id=g:1524160
Gur’yevskoye	id=g:1524161
Gulyaypole	id=g:1524162
Gulyayevka	id=g:1524163
Gulyayevka	id=g:1524164
Gülshat	id=g:1524165
Kolodets Gul’mrat	id=g:1524166
Gubernatorovka	id=g:1524167
Gryaznovka	id=g:1524168
Grozd’	id=g:1524169
Gromovka	id=g:1524170
Gromotukha	id=g:1524171
Gromotukha	id=g:1524172
Grodikovo	id=g:1524173
Grodīkovo	id=g:1524174
Grishkanlyk	id=g:1524175
Grishinskiy	id=g:1524176
Znamenskoye	id=g:1524177
Grigor’yevka	id=g:1524178
Grigor’yevka	id=g:1524179
Grigor’yevka	id=g:1524180
Grigor’yevka	id=g:1524181
Granītogorsk	id=g:1524182
Granikovka	id=g:1524183
Granichnoye	id=g:1524184
Grachī	id=g:1524185
Grachevka	id=g:1524186
Grabovo	id=g:1524187
Gostevskiy	id=g:1524188
Gosbank	id=g:1524189
Goroshinskoye	id=g:1524190
Gorodetskoe	id=g:1524191
Krasnoye Pole	id=g:1524192
Gornyy Gigant	id=g:1524193
Gornyy Gigant	id=g:1524194
Semënovka	id=g:1524195
Gornyy	id=g:1524196
Gornoe	id=g:1524197
Gornoye	id=g:1524198
Gorno-Ul’binka	id=g:1524199
Koktobe	id=g:1524200
Gorno-Klyuchevoye	id=g:1524201
Ozero Gor’koye	id=g:1524202
Ozero Gor’koye	id=g:1524203
Ozero Gor’koye	id=g:1524204
