Jnaïdiyé	id=g:6278594
Mghabriyé	id=g:6278595
Bahsâs	id=g:6278596
Aababir	id=g:6278597
Ed Dilb	id=g:6278598
Qalaouiyé	id=g:6278599
Ej Jorn	id=g:6278600
Kouachine	id=g:6278601
Hammâm	id=g:6278602
Kaïdakiyé	id=g:6278603
Qassabbsoubé	id=g:6278604
El Hammachiyé	id=g:6278605
Ej Joubb	id=g:6278606
Martab	id=g:6278607
Haddadiyé	id=g:6278608
Hammoudiyé	id=g:6278609
Karkoutiyé	id=g:6278610
Chorm el Aaabd	id=g:6278611
Marha	id=g:6278612
El Lajini	id=g:6278613
Qabbani	id=g:6278614
Ksaret Jamous	id=g:6278615
Ghouar Housseïn	id=g:6278616
Sbaïaa	id=g:6278617
El Aabbara	id=g:6278618
El Homr	id=g:6278619
El Hosn	id=g:6278620
Aabbouchiyé	id=g:6278621
Baïtariyé	id=g:6278622
Abou Hachich	id=g:6278623
Mazraa	id=g:6278624
Aarîda	id=g:6278625
Bqaïaâ	id=g:6278626
El Ghouar	id=g:6278627
Oum en Nidi	id=g:6278628
Oléoduc Souterrain	id=g:6278629
El Qataa	id=g:6278630
Dahr Oûbar	id=g:6278631
Ej Jabal	id=g:6278632
Dabboûssa	id=g:6278633
Aïn Enchihîyé	id=g:6278634
Marj Emeïha	id=g:6278635
El Maghâri	id=g:6278636
Aard Simsom	id=g:6278637
El Bouêdrî	id=g:6278638
Ez Zaïm	id=g:6278639
Ej Jdaïdé	id=g:6278640
Mellilé	id=g:6278641
Khallet el Elaoussâne	id=g:6278642
Er Rejem	id=g:6278643
Sâqié	id=g:6278644
Ouza	id=g:6278645
Karm ez Zeïtoûn	id=g:6278646
Nabaa el Hamâm	id=g:6278647
Bîr el Hamâm	id=g:6278648
Rejem Chehoûr	id=g:6278649
El Khallé	id=g:6278650
Kfaïfêt	id=g:6278651
Boustâne Hâbâ	id=g:6278652
Es Sahlât	id=g:6278653
Karm el Aïn	id=g:6278654
Ed Daouâouîr	id=g:6278655
Jilâl el Michti	id=g:6278656
Beni er Roûs	id=g:6278657
Boûqtât	id=g:6278658
Sabboughîyé	id=g:6278659
Ed Darjé	id=g:6278660
Aarîd el Kharroûb	id=g:6278661
Es Sidr	id=g:6278662
Errâdi	id=g:6278663
El Maghâra	id=g:6278664
Mrabâa	id=g:6278665
Ez Zaouié	id=g:6278666
El Haous	id=g:6278667
Khallet ed Dqeïqé	id=g:6278668
Karm el Qotene	id=g:6278669
Ouâdi Râj	id=g:6278670
El Khirbé	id=g:6278671
Ej Jeddoûaa	id=g:6278672
Semmeâh	id=g:6278673
Mrâh el Hamâm	id=g:6278674
Darb es Saadi	id=g:6278675
Soûkkarâ	id=g:6278676
Ej Jezîré	id=g:6278677
Ard el Maghâïr	id=g:6278678
Baïdar el Qarn	id=g:6278679
Sarboûkh	id=g:6278680
Bîssâri	id=g:6278681
Jall ej Jêmaa	id=g:6278682
Chekaîr	id=g:6278683
Ed Douhoûr	id=g:6278684
Melloûl	id=g:6278685
Kraïn Moulin	id=g:6278686
Assaâ	id=g:6278687
Bouraïki	id=g:6278688
Khallet en Naml	id=g:6278689
El Krîm	id=g:6278690
El Marj	id=g:6278691
El Khechâch	id=g:6278692
El Aarîd	id=g:6278693
El Ksîf	id=g:6278694
Khallet el Melloûl	id=g:6278695
El Ouâdi	id=g:6278697
Karm Makki	id=g:6278698
El Bayyâd	id=g:6278699
Khallet el Aïn	id=g:6278700
Rouaïssi	id=g:6278701
Khallet Deir Siriane	id=g:6278702
Ouâdi Braïk	id=g:6278703
El Marj	id=g:6278704
Es Sinslé	id=g:6278705
Ouâdi el Qalaouâni	id=g:6278706
