Kalalella	id=g:1242308
Kalalampukira Kulam	id=g:1242309
Kalalagama	id=g:1242310
Kalakalappen Kulam	id=g:1242311
Kalaiyapperumalkulam	id=g:1242312
Kalahugoda	id=g:1242313
Kalahugoda	id=g:1242314
Kalanugama	id=g:1242315
Kalahugahawila	id=g:1242316
Kalahogedara	id=g:1242317
Kalahegegoda	id=g:1242318
Kalahe South	id=g:1242319
Kalahapokuna	id=g:1242320
Kalahapitiya	id=g:1242321
Kalahagala Wewa	id=g:1242322
Kalahagalawewa	id=g:1242323
Kalahagala	id=g:1242324
Kalagolla Oya	id=g:1242325
Kalagolla	id=g:1242326
Kalagedihena	id=g:1242327
Kalagediara	id=g:1242328
Kalaganwatta	id=g:1242329
Kalaganur Tank	id=g:1242330
Kalaganahena	id=g:1242331
Kalagamu Oya	id=g:1242332
Kalagahawaka	id=g:1242333
Kalagahaulla	id=g:1242334
Kalagahakivula	id=g:1242335
Kalagahagoda	id=g:1242336
Kalagaha	id=g:1242337
Kalaeliya	id=g:1242338
Kaladuria	id=g:1242339
Kaladtunehena	id=g:1242340
Kekupadiyawa	id=g:1242341
Kakuluwamulla	id=g:1242342
Kakulbendidigiliya	id=g:1242343
Kakulagoda Kandura	id=g:1242344
Kakulagodakandiya	id=g:1242345
Kakoni Rocks	id=g:1242346
Kakkini Villu	id=g:1242347
Kakkativu	id=g:1242348
Kakkarayan Kulam	id=g:1242349
Kakkappanikkan Kulam	id=g:1242350
Kakkapalliya	id=g:1242351
Kakkapalliya	id=g:1242352
Kakkaiyan Kulam	id=g:1242353
Kakkaiyankulam	id=g:1242354
Kakkachchippittidal	id=g:1242355
Kakerativu	id=g:1242356
Kakerativu	id=g:1242357
Kakativu	id=g:1242358
Kakativu	id=g:1242359
Kakareni Kulam	id=g:1242360
Kakaran Kulam	id=g:1242361
Kakanankull	id=g:1242362
Kakamunai Number Two	id=g:1242363
Kakal Kulam	id=g:1242364
Kakaliwatte Oya	id=g:1242365
Kajulanda	id=g:1242366
Kajulanda	id=g:1242367
Kajugahalanda	id=g:1242368
Kaiveli Villu	id=g:1242369
Kaiveli Kulam	id=g:1242370
Kaithadi Nunavil	id=g:1242371
Kaithady Navatkuli	id=g:1242372
Kaitadi	id=g:1242373
Kairatnagama	id=g:1242374
Kairaggama	id=g:1242375
Kaipoogalla	id=g:1242376
Kaineke	id=g:1242377
Kainapataha	id=g:1242378
Kaimara Kulam	id=g:1242379
Kaimadu	id=g:1242380
Kailayer	id=g:1242381
Kaikawela	id=g:1242382
Kaikawalagala Point	id=g:1242383
Kaikawala	id=g:1242384
Kaikawala	id=g:1242385
Kaikawala	id=g:1242386
Kaikawala	id=g:1242387
Kaikawela	id=g:1242388
Kairuppan Kulam	id=g:1242389
Kahlana	id=g:1242390
Kahikeliya	id=g:1242391
Kahawitiya	id=g:1242392
Kahawela	id=g:1242393
Kahawegammedda	id=g:1242394
Kahawatugoda	id=g:1242395
Kahawattegoda	id=g:1242396
Kahawatta	id=g:1242397
Kahawatta	id=g:1242398
Kahawatta	id=g:1242399
Kahawatta	id=g:1242400
Kahawatta	id=g:1242401
Kahawatta	id=g:1242402
Kahawatta	id=g:1242403
Kahawatta	id=g:1242404
Kahawandala	id=g:1242405
Kahawela	id=g:1242406
Kahawala	id=g:1242407
Kahawa	id=g:1242408
Kahatuduwa	id=g:1242409
Kahattewela	id=g:1242410
Kahattepokuna	id=g:1242411
Kahatiwemulla	id=g:1242412
Kahatilagama	id=g:1242413
Kahatawilagedara	id=g:1242414
Kahatawila	id=g:1242415
Kahatawila	id=g:1242416
Kahatawila	id=g:1242417
Kahatawala	id=g:1242418
Kahataruppa	id=g:1242419
Kahatapitiya	id=g:1242420
Kahatapitiya	id=g:1242421
Kahatapitiya	id=g:1242422
Kahatapitiya	id=g:1242423
Kahatapitiya	id=g:1242424
Kahatapitiya	id=g:1242425
Kahatapitiya	id=g:1242426
Kahatapitiya	id=g:1242427
Kahataowita	id=g:1242428
Kahatana	id=g:1242429
Kahatamba	id=g:1242430
Kahatamaditta	id=g:1242431
Kahatagollewa	id=g:1242432
Kahatagollewa	id=g:1242433
Kahatagasyaya	id=g:1242434
Kahatagas Wewa	id=g:1242435
Kahatagaswewa	id=g:1242436
Kahatagaswewa	id=g:1242437
Kahatagawela	id=g:1242438
Kahatagastenna	id=g:1242439
Kahatagasdigiliya	id=g:1242440
Kahatagaha Wewa	id=g:1242441
Kahatagahawewa	id=g:1242442
Kahatagahapitiye Wewa	id=g:1242443
Kahatagahapitiya	id=g:1242444
Kahatagahamade	id=g:1242445
Kahatagahalanda	id=g:1242446
Kahatagaha Aswedduma	id=g:1242447
Kahatagaha	id=g:1242448
Kahatadanda	id=g:1242449
Kahapola	id=g:1242450
Kahapola	id=g:1242451
Kahapokuna	id=g:1242452
Kahapelessegoda	id=g:1242453
Kahapatwila Wewa	id=g:1242454
Kahapatwilagama	id=g:1242455
Kahapatwala	id=g:1242456
Kahapattalagama Wewa	id=g:1242457
Karangama	id=g:1242458
Kahanegala	id=g:1242459
Kahanduwa	id=g:1242460
Kahandawelipota	id=g:1242461
Kahandawa	id=g:1242462
Kahandawa	id=g:1242463
Kahandaduwa	id=g:1242464
Kahandamodera	id=g:1242465
Kahanda Kalapuwa	id=g:1242466
Kahandagala Dagoba	id=g:1242467
Kahandaduwa	id=g:1242468
Kahanda	id=g:1242469
Kahanawita	id=g:1242470
Kahambiliya Wewa	id=g:1242471
Kahambiliyawatawana	id=g:1242472
Kahambiliyawala	id=g:1242473
Kahambiliya Oya	id=g:1242474
Kahambiliyahena	id=g:1242475
Kahampiliyagoda	id=g:1242476
Kahambiliyagoda	id=g:1242477
Kahambana	id=g:1242478
Kahallegama	id=g:1242479
Kahalla Forest Reserve	id=g:1242480
Kahalla	id=g:1242481
Kahalla	id=g:1242482
Kahaliane Ara	id=g:1242483
Kahakurullanpelessa	id=g:1242484
Kahakumbukgaha Wewa	id=g:1242485
Kaha Kema	id=g:1242486
Kahengama	id=g:1242487
Kahengama	id=g:1242488
Kahahena	id=g:1242489
Kahahena	id=g:1242490
Kahagolle Wewa	id=g:1242491
Kahagolle Wewa	id=g:1242492
Kahagollewa	id=g:1242493
Kahagolla	id=g:1242494
Kanagolla	id=g:1242495
Kahagolla	id=g:1242496
Kahagamuwa Wewa	id=g:1242497
Kahagalwiharagoda	id=g:1242498
Kahagallegama	id=g:1242499
Kahagalla Dagoba	id=g:1242500
Kahagolla	id=g:1242501
Kahagalla	id=g:1242502
Kahagalla	id=g:1242503
Kahagalla	id=g:1242504
Kahagala	id=g:1242505
Kahagala	id=g:1242506
Kahaduwa	id=g:1242507
Kahadenigama	id=g:1242508
Kaduwela	id=g:1242509
Kaduwela	id=g:1242510
Kaduwela	id=g:1242511
Kaduwela	id=g:1242512
Kaduru Wewa	id=g:1242513
Kaduru Wewa	id=g:1242514
Kaduru Wewa	id=g:1242515
Kaduruwewa	id=g:1242516
Kaduruwewa	id=g:1242517
Kaduruwewa	id=g:1242518
Kaduruwewa	id=g:1242519
Kaduruwella	id=g:1242520
Kaduruwella	id=g:1242521
Kaduruwegama	id=g:1242522
Kaduruwana	id=g:1242523
Kaduruwala	id=g:1242524
Kaduruwa	id=g:1242525
Kadurupolayagama	id=g:1242526
Kadurupolayagama	id=g:1242527
Kadurupokuna	id=g:1242528
Kadurupokuna	id=g:1242529
Kadurupokuna	id=g:1242530
Kadurupitiye Wewa	id=g:1242531
Kadurupitiya	id=g:1242532
Kadurupitiya	id=g:1242533
Kadurupe	id=g:1242534
Kadurumune	id=g:1242535
Kaduruliyadda	id=g:1242536
Kadurugoda Wewa	id=g:1242537
