Bollatawa	id=g:1249682
Bollagalla	id=g:1249683
Bolinda Wewa	id=g:1249684
Bolhindigala New	id=g:1249685
Bolgoda Lake	id=g:1249686
Bolgoda Ganga	id=g:1249687
Bolgoda	id=g:1249688
Bolgalla	id=g:1249689
Bolepe	id=g:1249690
Bolawatta	id=g:1249691
Bolawalana	id=g:1249692
Bolana	id=g:1249693
Bolana	id=g:1249694
Bolana	id=g:1249695
Bolagandawela	id=g:1249696
Bolagama	id=g:1249697
Bolagama	id=g:1249698
Bolagama	id=g:1249699
Bolagala	id=g:1249700
Bolabotuwa	id=g:1249701
Bokutuwe Kandura	id=g:1249702
Bokutupelessa	id=g:1249703
Bokundara	id=g:1249704
Bokolamulla	id=g:1249705
Bokkeyaya	id=g:1249706
Bokkebedda	id=g:1249707
Bokkawala	id=g:1249708
Bokkawala	id=g:1249709
Bokanoruwa	id=g:1249710
Bokala Wewa	id=g:1249711
Bokalawala	id=g:1249712
Bokalagama Pelapitigama	id=g:1249713
Bokalagama Panawallanda	id=g:1249714
Bokalagama Ihalagama	id=g:1249715
Bokalagama Dolehena	id=g:1249716
Bokalagama Ambalanwatta	id=g:1249717
Bokagonna	id=g:1249718
Bohara	id=g:1249719
Bohitiya	id=g:1249720
Bohingamuwa	id=g:1249721
Bohettiya	id=g:1249722
Bahara Oya	id=g:1249723
Bohandiya	id=g:1249724
Bogumulla	id=g:1249725
Bogomuwa	id=g:1249726
Bogomuwa	id=g:1249727
Bogamuwa	id=g:1249728
Bogomuwa	id=g:1249729
Bogolla Wewa	id=g:1249730
Bogollagama	id=g:1249731
Bogolla	id=g:1249732
Bogolla	id=g:1249733
Bogodayawela	id=g:1249734
Bogodayagama	id=g:1249735
Bogoda Wewa	id=g:1249736
Bogodagedara	id=g:1249737
Bogoda-aramba	id=g:1249738
Bogoda	id=g:1249739
Bogoda	id=g:1249740
Bogoda	id=g:1249741
Bogoda	id=g:1249742
Bogoda	id=g:1249743
Bogoda	id=g:1249744
Bogoda	id=g:1249745
Bogawela	id=g:1249746
Bogawantalawa Oya	id=g:1249747
Bogawantalawa	id=g:1249748
Bogawantalawa	id=g:1249749
Bogawana	id=g:1249750
Bogath Wewa	id=g:1249751
Bogas Wewa	id=g:1249752
Bogas Wewa	id=g:1249753
Bogaswewa	id=g:1249754
Bogaswewa	id=g:1249755
Bogasheina	id=g:1249756
Bogandena	id=g:1249757
Bogamuwa Maha Wewa	id=g:1249758
Bogamuwa	id=g:1249759
Boagamuwa	id=g:1249760
Bogamuwa	id=g:1249761
Bogamuwa	id=g:1249762
Bogamuwa	id=g:1249763
Bogamuwa	id=g:1249764
Bogammana	id=g:1249765
Bogambara	id=g:1249766
Bogama Oya	id=g:1249767
Bogalla	id=g:1249768
Bogalawatta	id=g:1249769
Bogala	id=g:1249770
Bogahayaya Wewa	id=g:1249771
Bogahawila	id=g:1249772
Bogahawewa Ela	id=g:1249773
Bogaha Wewa	id=g:1249774
Bogaha Wewa	id=g:1249775
Bogaha Wewa	id=g:1249776
Bogaha Wewa	id=g:1249777
Bogaha Wewa	id=g:1249778
Bogaha Wewa	id=g:1249779
Bogaha Wewa	id=g:1249780
Bogaha Wewa	id=g:1249781
Bogaha Wewa	id=g:1249782
Bogaha Wewa	id=g:1249783
Bogaha Wewa	id=g:1249784
Bogahawewa	id=g:1249785
Bogahawewa	id=g:1249786
Bogahawewa	id=g:1249787
Bogahawewa	id=g:1249788
Bogahawetiya	id=g:1249789
Bogahawela	id=g:1249790
Bogahawela	id=g:1249791
Bogahawatte	id=g:1249792
Bogahawatta	id=g:1249793
Bogahapitiya	id=g:1249794
Bogahapitiya	id=g:1249795
Bogahapitiya	id=g:1249796
Bogahapelessa	id=g:1249797
Bogahapelessa	id=g:1249798
Bogahapelessa	id=g:1249799
Bogahapattuwa	id=g:1249800
Bogahapathana	id=g:1249801
Bogahamulla Wewa	id=g:1249802
Bogahamulla	id=g:1249803
Bogahamula Wewa	id=g:1249804
Bogahalande Wewa	id=g:1249805
Bogahalanda	id=g:1249806
Bogahakumburuwela	id=g:1249807
Bogahakumbura	id=g:1249808
Bogahakumbura	id=g:1249809
Bogahakumbura	id=g:1249810
Bogahakumbura	id=g:1249811
Bogahakotuwa	id=g:1249812
Bogahakivula	id=g:1249813
Bogahaindiwewa	id=g:1249814
Bogahahela	id=g:1249815
Bogahagoda	id=g:1249816
Bogahadalupotha	id=g:1249817
Bodinagoda	id=g:1249818
Bodimulla	id=g:1249819
Bodimulla	id=g:1249820
Bodimaluwa	id=g:1249821
Bodimaluwa	id=g:1249822
Bodimaluwa	id=g:1249823
Bodimalgoda	id=g:1249824
Bodiliyanne Wewa	id=g:1249825
