Ratnapura Town	id=g:7436709
Ihala Hakamuwa	id=g:7436710
Pahala Karawita	id=g:7436711
Uda Karawita	id=g:7436712
Samanpura	id=g:7436713
Pelenda West	id=g:7436714
Ilukpatha	id=g:7436715
Paragahadeniya	id=g:7436716
Iddagoda West	id=g:7436718
Horana North	id=g:7436719
Horana Division	id=g:7436720
Ingiriya Division	id=g:7436721
Kiriella Division	id=g:7436722
Elapatha Division	id=g:7436723
Ayagama Division	id=g:7436724
Kananvila South	id=g:7436725
Midellamulahena	id=g:7436726
Munagama East	id=g:7436727
Gal Edandugoda	id=g:7436728
Dickhenagama	id=g:7436729
Halketiyawatta	id=g:7436730
Horana East	id=g:7436731
Wewala East	id=g:7436732
Kandana North	id=g:7436733
Kandana South	id=g:7436734
Elawella	id=g:7436735
Tibobotugoda	id=g:7436736
Bellapitiya West	id=g:7436737
Bellapitiya East	id=g:7436738
Pethigamuwa North	id=g:7436739
Weliketella	id=g:7436740
Peramunugama	id=g:7436741
Mahayala East	id=g:7436742
Mahayala West	id=g:7436743
Pethigamuwa South	id=g:7436744
Hallankanda	id=g:7436745
Mulkadakanda	id=g:7436746
Adhikarigoda	id=g:7436747
Kudaella	id=g:7436748
Madurawala East	id=g:7436749
Madurawala West	id=g:7436750
Keselhenawa	id=g:7436751
Uduwara North	id=g:7436752
Uduwara East	id=g:7436753
Anguruwathota	id=g:7436754
Uduwara West	id=g:7436755
Pelapitiyagoda North	id=g:7436756
Warakagoda West	id=g:7436757
Mahadurupitiya	id=g:7436758
Thebuwana East	id=g:7436759
Neboda West	id=g:7436760
Thembuwana West	id=g:7436761
Tudugala East	id=g:7436762
Wattahena	id=g:7436763
Madurawala Division	id=g:7436764
Rathmalgoda East	id=g:7436765
Rathmalgoda West	id=g:7436766
Maputugala	id=g:7436767
Poruwedanda East	id=g:7436768
Poruwedanda West	id=g:7436769
Ihala Naragala South	id=g:7436770
Govinna North	id=g:7436771
Govinna South	id=g:7436772
Galahena	id=g:7436773
Warakagoda North	id=g:7436775
Diyakaduwa West	id=g:7436776
Warakagoda East	id=g:7436777
Warakagoda South	id=g:7436778
Bogahawatta	id=g:7436779
Ihalagoda	id=g:7436780
Pahala Kudaligama	id=g:7436781
Ihala Kudaligama	id=g:7436782
Weyangalla East	id=g:7436783
Weyangalla West	id=g:7436784
Iddagoda East	id=g:7436785
Imagira	id=g:7436786
Ingiriya North	id=g:7436787
Nimalagama	id=g:7436788
Ingiriya West	id=g:7436789
Urugala West	id=g:7436790
Urugala East	id=g:7436791
Dombagaskanda	id=g:7436792
Yahalawatta	id=g:7436793
Bothale Gangoda	id=g:7436794
Meegahakumbura	id=g:7436795
Bulathsinhala North	id=g:7436796
Kobowaka South	id=g:7436797
Bulathsinhala South	id=g:7436798
Bulathsinhala East	id=g:7436799
Bulathsinhala West	id=g:7436800
Diyakaduwa East	id=g:7436801
Demodarawatta	id=g:7436802
Mahagama East	id=g:7436803
Mahagama West	id=g:7436804
Gamagewatta	id=g:7436805
Muduna	id=g:7436806
Polegoda	id=g:7436807
Tennahena	id=g:7436808
Bulathsinhala Division	id=g:7436809
Ellagawa	id=g:7436810
Kongastenna	id=g:7436811
Halwathura	id=g:7436812
Amaragedara North	id=g:7436813
Amaragedara	id=g:7436814
Bulathsinhala Central	id=g:7436815
Udugalakanda	id=g:7436816
Karaldekma	id=g:7436817
Damparadugoda	id=g:7436818
Galahitiya	id=g:7436819
Omatta East	id=g:7436820
Munasinhapura	id=g:7436821
Dethabaddarakanda	id=g:7436822
Paragoda East	id=g:7436823
Kosgulana	id=g:7436824
Kapugedara	id=g:7436825
Walakada	id=g:7436826
Kelinkanda Colony	id=g:7436827
Bampara	id=g:7436828
Dodampe West	id=g:7436829
Galathura Pahala	id=g:7436830
Withanagama	id=g:7436831
Udugala North	id=g:7436832
Kuruwita Pahala	id=g:7436833
Kahengama West	id=g:7436834
Samangama	id=g:7436835
Mepagama	id=g:7436836
Ratnapura New Town	id=g:7436837
Mudduwa East	id=g:7436838
Samagipura	id=g:7436839
Amuwala	id=g:7436840
Hangamuwa	id=g:7436841
Karawita Ganga	id=g:7436842
Amupitiya	id=g:7436843
Wagawathugoda	id=g:7436844
Hikgahakanda	id=g:7436845
Rallagoda	id=g:7436846
Uduwagama North	id=g:7436847
Egodawatta	id=g:7436848
Horeketiya	id=g:7436849
Maddhena	id=g:7436850
Mount Missina	id=g:7436851
Ratmalgoda	id=g:7436852
Madakadakanda Deeganwela	id=g:7436853
Midellamullahena	id=g:7436854
Victoria	id=g:7436855
Pantiya	id=g:7436856
Halketiyawatta	id=g:7436857
Sorana Group	id=g:7436858
Hegalia Group	id=g:7436859
Tithewelkanda	id=g:7436860
Wewalakanda	id=g:7436861
Lapugalla	id=g:7436862
Batadombaketiya	id=g:7436863
Dikhena	id=g:7436864
Ramunekanda	id=g:7436865
Bellapitiya	id=g:7436866
Kirideniya	id=g:7436867
Arambekanda	id=g:7436868
Gangoda	id=g:7436869
Halwathagoda	id=g:7436870
Boralugoda	id=g:7436871
Rathnagoda	id=g:7436872
Prabuddagama	id=g:7436873
Maddemulla	id=g:7436874
Yatagala	id=g:7436875
Keselhenawa	id=g:7436876
Dombagoda Central	id=g:7436877
Necuate Group	id=g:7436878
Uduwara West	id=g:7436879
Raddagoda	id=g:7436880
Ukkalla	id=g:7436881
Elegoda	id=g:7436882
Wahantharagoda	id=g:7436883
Rajagodagama	id=g:7436884
Putupavla	id=g:7436885
Yakwalakanda	id=g:7436886
Galkaduwa	id=g:7436887
Wilegoda	id=g:7436888
Thebuwana Batsa	id=g:7436889
Glanrhos Group	id=g:7436890
Kajugaswatta	id=g:7436891
Padigoda	id=g:7436892
Samagipulla	id=g:7436893
Kethhena	id=g:7436894
Gulanraswatta	id=g:7436895
Clyde Group	id=g:7436896
Kalugharena	id=g:7436897
