Ras Ain Rhamna	id=g:6546513
Sidi Laaroussi	id=g:6546514
Saniat Berguig	id=g:6546515
Echemmaia	id=g:6546516
Jamaat Shaim	id=g:6546517
Sebt Gzoula	id=g:6546518
Bouguedra	id=g:6546519
Elgouraani	id=g:6546520
Lahdar	id=g:6546521
Lamrasla	id=g:6546522
Hrara	id=g:6546523
Moul El Bergui	id=g:6546524
Demnate	id=g:6546525
Agoudi N Lkhair	id=g:6546526
Bni Frassen	id=g:6546527
Ghiata Al Gharbia	id=g:6546528
Rbaa El Fouki	id=g:6546529
Azlaf	id=g:6546530
Kourouna	id=g:6546532
Bouchabel	id=g:6546534
Loulja	id=g:6546535
Mkansa	id=g:6546536
Moulay Bouchta	id=g:6546537
Tafrant	id=g:6546538
Bouadel	id=g:6546539
Kalaat Bouqorra	id=g:6546540
Ksar El Kebir	id=g:6546541
Bouknadel	id=g:6546542
Ain Dorij	id=g:6546545
Msied	id=g:6546548
Ben Khlil	id=g:6546549
Akka	id=g:6546550
Allougoum	id=g:6546551
Ibn Yacoub	id=g:6546552
Tagmout	id=g:6546553
Tigzmerte	id=g:6546554
Tizaghte	id=g:6546555
Boumalne Dades	id=g:6546556
Ouarzazate	id=g:6546557
Lagouira	id=g:6546558
Aghouinite	id=g:6546559
Dakhla	id=g:6546560
Ait Ouassif	id=g:6546561
Ait Sedrate Sahl Cha	id=g:6546562
Ait Sedrate Sahl El	id=g:6546563
Ighil N Oumgoun	id=g:6546564
Ikniouen	id=g:6546565
Idelsane	id=g:6546566
Imi N Oulaoune	id=g:6546567
Skoura Ahl El Oust	id=g:6546568
Boutrouch	id=g:6546569
Sebt Ennabour	id=g:6546570
Sidi Abdallah  Ou Be	id=g:6546571
Sidi H Saine Ou Ali	id=g:6546572
Khenifra	id=g:6546573
M'Rirt	id=g:6546574
Ait Saadelli	id=g:6546575
El Kbab	id=g:6546576
Sidi Yahya Ou Saad	id=g:6546577
Meknes	id=g:6546578
Ain Karma	id=g:6546579
Ain Orma	id=g:6546580
Ait Ouallal	id=g:6546581
Ait Issafen	id=g:6546582
Tafraout El Mouloud	id=g:6546583
Tighmi	id=g:6546584
Arbaa Ait Abdellah	id=g:6546585
Mesti	id=g:6546586
Tangarfa	id=g:6546587
Ait Erkha	id=g:6546588
Anfeg	id=g:6546589
Tarsouat	id=g:6546590
Arbaa Sahel	id=g:6546591
Bounaamane	id=g:6546592
Elmaader El Kabir	id=g:6546593
Sidi Bouabdelli	id=g:6546594
Tnine Aglou	id=g:6546595
Afella N Dra	id=g:6546596
Bouzeroual	id=g:6546597
Ben Mansour	id=g:6546598
Haddada	id=g:6546599
Bahhara Oulad Ayad	id=g:6546600
Chouafaa	id=g:6546601
Moulay Bousselham	id=g:6546602
Ait Hkim Ait Yzid	id=g:6546603
Ghmate	id=g:6546604
Iguerferouane	id=g:6546605
Amghras	id=g:6546606
Amizmiz	id=g:6546607
Dar Jamaa	id=g:6546608
Tizguine	id=g:6546609
Ighil	id=g:6546610
Ijoukak	id=g:6546611
Imgdal	id=g:6546612
Talat N Yaaqoub	id=g:6546613
Moulay Brahim	id=g:6546614
Tameslohte	id=g:6546615
Chichaoua	id=g:6546616
Imintanoute	id=g:6546617
Ahdil	id=g:6546618
Ait Hadi	id=g:6546619
Lamzoudia	id=g:6546620
Oulad Moumna	id=g:6546621
Saidate	id=g:6546622
Sidi L'Mokhtar	id=g:6546623
Nfifa	id=g:6546624
Oued L Bour	id=g:6546625
Sidi Ghanem	id=g:6546626
Adassil	id=g:6546627
Assif El Mal	id=g:6546628
Gmassa	id=g:6546629
Imindounit	id=g:6546630
M Zouda	id=g:6546631
Sidi Aissa	id=g:6546632
Sidi Ettiji	id=g:6546633
Atiamim	id=g:6546634
El Gantour	id=g:6546635
Esbiaat	id=g:6546636
Ighoud	id=g:6546637
Jnane Bouih	id=g:6546638
Atouabet	id=g:6546639
Elghiate	id=g:6546640
Nagga	id=g:6546641
Oulad Salmane	id=g:6546642
Saadla	id=g:6546643
Elbeddouza	id=g:6546644
Zaouia Annahlia	id=g:6546645
Sidi Abdelmoumen	id=g:6546646
Taouloukoult	id=g:6546647
Ait Daoud	id=g:6546648
Elhanchane	id=g:6546649
Essaouira	id=g:6546650
Talmest	id=g:6546651
Tamanar	id=g:6546652
Ait Said	id=g:6546653
Aquermoud	id=g:6546654
Had Dra	id=g:6546655
Lahsinate	id=g:6546656
Mejji	id=g:6546657
Ida Ou Aazza	id=g:6546658
Ida Ou Guelloul	id=g:6546659
Ida Ou Kazzou	id=g:6546660
Sidi Ghaneme	id=g:6546661
Sidi H Mad  Ou M Bar	id=g:6546662
Smimou	id=g:6546663
Targante	id=g:6546664
Tidzi	id=g:6546665
Timizguida Ouftas	id=g:6546666
Agafay	id=g:6546667
Ait Imour	id=g:6546668
Loudaya	id=g:6546669
Sid Zouine	id=g:6546670
Ait Abbas	id=g:6546671
Ait Bou Oulli	id=g:6546672
Tabant	id=g:6546673
Ait Tamlil	id=g:6546674
Et-Taous	id=g:6546675
Ait Yahya	id=g:6546676
Laouamra	id=g:6546677
Assilah	id=g:6546678
Allyene	id=g:6546679
Skoura	id=g:6546688
Tabounte	id=g:6546689
Ait El Farsi	id=g:6546690
Ait Sedrate Jbel  El	id=g:6546691
Ahlaf	id=g:6546692
Boujniba	id=g:6546693
Hattane	id=g:6546694
Khouribga	id=g:6546695
Oulad Gouaouch	id=g:6546696
Bir Mezoui	id=g:6546697
Boulanouare	id=g:6546698
Lagfaf	id=g:6546699
Elfoqra	id=g:6546700
M Fassis	id=g:6546701
Oulad Azzouz	id=g:6546702
Bni Smir	id=g:6546703
Kasbat Troch	id=g:6546704
Berrechid	id=g:6546705
Elborouj	id=g:6546706
Loulad	id=g:6546707
Oulad M'Rah	id=g:6546708
Lahlaf M Zab	id=g:6546709
N Khila	id=g:6546710
Ras El Ain Chaouia	id=g:6546711
Sgamna	id=g:6546712
Sidi Abdelkrim	id=g:6546713
Sidi Dahbi	id=g:6546714
Sidi Hajjaj	id=g:6546715
Ben Maachou	id=g:6546716
Laghnimyine	id=g:6546717
Lahsasna	id=g:6546718
Lakhiaita	id=g:6546719
Sahel Oulad H Riz	id=g:6546720
Sidi Abdelkhaleq	id=g:6546721
Sidi El Mekki	id=g:6546722
Sidi Rahal Chatai	id=g:6546723
Ain Blal	id=g:6546724
Bni Khloug	id=g:6546725
Dar Chaffai	id=g:6546726
Laqraqra	id=g:6546727
Meskoura	id=g:6546728
Oulad Amer	id=g:6546729
Oulad Bouali Nouaja	id=g:6546730
Oulad Fares El Halla	id=g:6546731
Oulad Freiha	id=g:6546732
Kasbat Ben Mchich	id=g:6546733
Lambarkiyine	id=g:6546734
Ouled Cebbah	id=g:6546735
Ouled Zidane	id=g:6546736
Riah	id=g:6546737
Rima	id=g:6546738
Sidi El Aidi	id=g:6546739
Ait Ourir	id=g:6546740
Ait Aadel	id=g:6546741
Ait Faska	id=g:6546742
Ait Sidi Daoud	id=g:6546743
Sidi Abdallah Ghiat	id=g:6546744
El Kelaa Des Sraghna	id=g:6546745
Laattaouia	id=g:6546746
Sidi Rahhal	id=g:6546747
Tamallalt	id=g:6546748
Chtaiba	id=g:6546749
Eddachra	id=g:6546750
Elaamria	id=g:6546751
Elmarbouh	id=g:6546752
Errafiaya	id=g:6546753
Hiadna	id=g:6546754
Lounasda	id=g:6546755
Mayate	id=g:6546756
Oulad Aamer	id=g:6546757
Oulad Bouali Loued	id=g:6546758
Oulad Msabbel	id=g:6546759
Jbiel	id=g:6546760
Jouala	id=g:6546761
Ouargui	id=g:6546762
Oulad Khallouf	id=g:6546763
Sour El Aaz	id=g:6546764
Zemrane	id=g:6546765
Zemrane Charqia	id=g:6546766
Ait Hammou	id=g:6546767
Ait Taleb	id=g:6546768
Bouchane	id=g:6546769
Jaafra	id=g:6546770
Labrikiyne	id=g:6546771
Oulad Aamer  Tizmari	id=g:6546772
Sidi Abdallah	id=g:6546773
Sidi Ali Labrahla	id=g:6546774
Alouidane	id=g:6546775
Harbil	id=g:6546776
M'Nabha	id=g:6546777
Ouahat Sidi Brahim	id=g:6546778
Oulad Hassoune	id=g:6546779
Ouled Dlim	id=g:6546780
Ain Chouater	id=g:6546781
Tit Mellil	id=g:6546782
Mohammedia	id=g:6546783
Dar Bouazza	id=g:6546784
Azemmour	id=g:6546785
El-Jadida	id=g:6546786
Sidi Bennour	id=g:6546787
Zemamra	id=g:6546788
Haouzia	id=g:6546789
Lamharza Essahel	id=g:6546790
Sidi Ali Ben Hamdouc	id=g:6546791
Moulay Abdallah	id=g:6546792
Oulad Aissa	id=g:6546793
Oulad Ghanem	id=g:6546794
Boulaouane	id=g:6546795
Mettouh	id=g:6546796
Mogress	id=g:6546797
Oulad Hamdane	id=g:6546798
Oulad Sidi Ali  Ben	id=g:6546799
Zaouiat Lakouacem	id=g:6546800
Laghnadra	id=g:6546801
Tamda Noumercid	id=g:6546802
Bni Ayat	id=g:6546803
Bni Hassane	id=g:6546804
Foum Jemaa	id=g:6546805
Tabia	id=g:6546806
Tisqi	id=g:6546807
Ait Majden	id=g:6546808
Ouaoula	id=g:6546809
Tidili Fetouaka	id=g:6546810
Afourar	id=g:6546811
Ait Ouaarda	id=g:6546812
Ait Ouqabli	id=g:6546813
Anergui	id=g:6546814
Bin El Ouidane	id=g:6546815
Ouaouizeght	id=g:6546816
Tabaroucht	id=g:6546817
Tiffert N Ait Hamza	id=g:6546818
Beni Mellal	id=g:6546819
El Ksiba	id=g:6546820
Kasba Tadla	id=g:6546821
Foum Oudi	id=g:6546822
Oulad Yaich	id=g:6546823
Dar Ould Zidouh	id=g:6546824
Oulad Bourahmoune	id=g:6546825
Oulad Nacer	id=g:6546826
Oulad Zmam	id=g:6546827
Sidi Aissa Ben Ali	id=g:6546828
Foum El Anceur	id=g:6546829
Taghzirt	id=g:6546830
Alkhalfia	id=g:6546831
Bni Chegdale	id=g:6546832
Hel Merbaa	id=g:6546833
Guettaya	id=g:6546834
Er-Rich	id=g:6546835
Goulmima	id=g:6546836
Aarab Sebbah Gheris	id=g:6546837
Alnif	id=g:6546838
Es-Sifa	id=g:6546839
Ait Hani	id=g:6546840
Amellagou	id=g:6546841
Assoul	id=g:6546842
Aoufous	id=g:6546843
Er-Rteb	id=g:6546844
Gourrama	id=g:6546845
Guir	id=g:6546846
M Zizel	id=g:6546847
Bni M Hamed  Sijelma	id=g:6546848
Es-Sfalat	id=g:6546849
Aghbalou N Kerdous	id=g:6546850
Gheris Es-Soufli	id=g:6546851
Tadighoust	id=g:6546852
Amouguer	id=g:6546853
Bou Azmou	id=g:6546854
Outerbat	id=g:6546855
Agoudim	id=g:6546856
Ait Izdeg	id=g:6546857
Amersid	id=g:6546858
Mibladen	id=g:6546859
Missour	id=g:6546860
Outat El Haj	id=g:6546861
Ksabi Moulouya	id=g:6546862
Sidi Boutayeb	id=g:6546863
Laghdira	id=g:6546864
Oulad M'Barek	id=g:6546869
Sidi Ahmed	id=g:6546875
Laakarta	id=g:6546877
My Abdallah	id=g:6546880
Sidi Bouzid	id=g:6546881
