Mokotibe-Antanimavo	id=g:1058747
Moko Rivière	id=g:1058748
Mokay	id=g:1058749
Mokav	id=g:1058750
Mokarana	id=g:1058751
Mokarana	id=g:1058752
Mokaraha Rivière	id=g:1058753
Mokaraha	id=g:1058754
Mokaraha	id=g:1058755
Mokaraha	id=g:1058756
Mokara	id=g:1058757
Mokara	id=g:1058758
Mokara	id=g:1058759
Mokany	id=g:1058760
Mokala	id=g:1058761
Mokabe	id=g:1058762
Mohasoa	id=g:1058763
Mohakenda	id=g:1058764
Mofiango	id=g:1058765
Modia	id=g:1058766
Moasa	id=g:1058767
Mizilo Gara	id=g:1058768
Mizengy	id=g:1058769
Mizahamioraka	id=g:1058770
Mitsoriaka Avaratra	id=g:1058771
Mitsoriaka	id=g:1058772
Mitsitiky	id=g:1058773
Mitsitiky	id=g:1058774
Nosy Mitsio	id=g:1058775
Mont Mitsio	id=g:1058776
Mitsinjoroa	id=g:1058777
Mitsinjoriaka	id=g:1058778
Mitsinjorano	id=g:1058779
Mitsinjorano	id=g:1058780
Mitsinjorano	id=g:1058781
Mitsinjobe II	id=g:1058782
Mitsinjo	id=g:1058783
Mitsinjo	id=g:1058784
Mitsinjo	id=g:1058785
Mitsinjo	id=g:1058786
Mitsinjo	id=g:1058787
Mitsinjo	id=g:1058788
Mitsinjo	id=g:1058789
Mitsinjo	id=g:1058790
Mitsinjo	id=g:1058791
Mitsinjo	id=g:1058792
Mitsinjo	id=g:1058793
Mitsinjo	id=g:1058794
Mitsinjo	id=g:1058795
Mitsinjo	id=g:1058796
Mitsinjo	id=g:1058797
Mitsinjo	id=g:1058798
Mitsinjo	id=g:1058799
Mitsinjo	id=g:1058800
Mitsinjo	id=g:1058801
Mitsinjo	id=g:1058802
Mitsinjo	id=g:1058803
Mitsinjo	id=g:1058804
Mitsinjo	id=g:1058805
Mitsinjo	id=g:1058806
Mitsinjo	id=g:1058807
Mitsinjo	id=g:1058808
Mitsinjo	id=g:1058809
Mitsinjo	id=g:1058810
Mitsinjo	id=g:1058811
Mitsinjo	id=g:1058812
Mitsinjo	id=g:1058813
Mitsinjo	id=g:1058814
Mitsangana	id=g:1058815
Mitrieka	id=g:1058816
Mitriaky	id=g:1058817
Mitreaky	id=g:1058818
Mitreaky	id=g:1058819
Mitreaky	id=g:1058820
Mitreaky	id=g:1058821
Mitray	id=g:1058822
Mitray	id=g:1058823
Mitraiky	id=g:1058824
Mitraiky	id=g:1058825
Mitolia	id=g:1058826
Mitody	id=g:1058827
Mitia	id=g:1058828
Mitengoka	id=g:1058829
Alan’ i Mite	id=g:1058830
Mite	id=g:1058831
Pointe Mitaraka	id=g:1058832
Mitanty	id=g:1058833
Mitanonoka	id=g:1058834
Mitangoha	id=g:1058835
Torak’ i Mitaine	id=g:1058836
Mitahy	id=g:1058837
Zohin’ i Mitaho	id=g:1058838
Mita	id=g:1058839
Mita	id=g:1058840
Misorolava	id=g:1058841
Misorokely	id=g:1058842
Misorobe	id=g:1058843
Misorobe	id=g:1058844
Misorobe	id=g:1058845
Misorobe	id=g:1058846
Misorobe	id=g:1058847
Misorobe	id=g:1058848
Misorobe	id=g:1058849
Misoro	id=g:1058850
Misoriky	id=g:1058851
Misony	id=g:1058852
Misokotsa	id=g:1058853
Misikina	id=g:1058854
Nosy Misangy	id=g:1058855
Mirongona	id=g:1058856
Mirohaka	id=g:1058857
Mirodona	id=g:1058858
Baie Miroana	id=g:1058859
Mirninkofeno	id=g:1058860
Miria	id=g:1058861
Mirebeha Ruisseau	id=g:1058862
Mirebeha	id=g:1058863
Miray	id=g:1058864
Mirary	id=g:1058865
Miorimivalana	id=g:1058866
Mionjona	id=g:1058867
Miogo	id=g:1058868
Mindapanoa	id=g:1058869
Milornbo	id=g:1058870
Nosy Milomboka	id=g:1058871
Lac Milomboka	id=g:1058872
Milomboka	id=g:1058873
Milombiky	id=g:1058874
Miloloha	id=g:1058875
Miloloha	id=g:1058876
Port Militaire	id=g:1058877
Milioky	id=g:1058878
Miliokakely	id=g:1058879
Pointe Milikoka	id=g:1058880
Récif du Milieu	id=g:1058881
Passe du Milieu	id=g:1058882
Îlot du Milieu	id=g:1058883
Banc Milieu	id=g:1058884
Miliatsara	id=g:1058885
Milenaka	id=g:1058886
Milenaka	id=g:1058887
