Anjiabitira Rivière	id=g:1073626
Anjiabitika	id=g:1073627
Anjiabe Ambony	id=g:1073628
Plateau d’ Anjiabe	id=g:1073629
Lac Anjiabe	id=g:1073630
Anjiabe	id=g:1073631
Anjiabe	id=g:1073632
Anjiabe	id=g:1073633
Anjiabe	id=g:1073634
Anjiabe	id=g:1073635
Anjiabe	id=g:1073636
Anjiabe	id=g:1073637
Anjiabe	id=g:1073638
Anjiabe	id=g:1073639
Anjiabe	id=g:1073640
Anjiabe	id=g:1073641
Anjiabe	id=g:1073642
Anjiabe	id=g:1073643
Anjiabe	id=g:1073644
Anjiabe	id=g:1073645
Anjiabe	id=g:1073646
Anjiabe	id=g:1073647
Anjiabe	id=g:1073648
Anjiabe	id=g:1073649
Anjiabe	id=g:1073650
Anjiabe	id=g:1073651
Anjiabe	id=g:1073652
Anjiabe	id=g:1073653
Anjiabe	id=g:1073654
Anjiabe	id=g:1073655
Anjiabe	id=g:1073656
Anjia	id=g:1073657
Anjia	id=g:1073658
Anjia	id=g:1073659
Anjia	id=g:1073660
Anjia	id=g:1073661
Anjezika	id=g:1073662
Anjezika	id=g:1073663
Anjeva	id=g:1073664
Anjepy	id=g:1073665
Anjekorosy	id=g:1073666
Anjeje Rivière	id=g:1073667
Anjeje	id=g:1073668
Anjeje	id=g:1073669
Anjedava	id=g:1073670
Anjedava	id=g:1073671
Anjedava	id=g:1073672
Anjeba Rivière	id=g:1073673
Anjeba	id=g:1073674
Anjeba	id=g:1073675
Anjeba	id=g:1073676
Anjazobe	id=g:1073677
Anjavy	id=g:1073678
Anjavinihavana	id=g:1073679
Anjavindraombaka	id=g:1073680
Anjavina	id=g:1073681
Anjavimolay	id=g:1073682
Anjavimisakana	id=g:1073683
Anjavimilay	id=g:1073684
Anjavilava	id=g:1073685
Anjavikely	id=g:1073686
Anjavidy	id=g:1073687
Anjavidimainty	id=g:1073688
Anjavibe	id=g:1073689
Anjavibe	id=g:1073690
Anjavibe	id=g:1073691
Anjavibe	id=g:1073692
Anjavibe	id=g:1073693
Anjatsoa	id=g:1073694
Anjatsampa	id=g:1073695
Anjatovo Ambony	id=g:1073696
Anjatovo Ambany	id=g:1073697
Anjatelo	id=g:1073698
Anjatelo	id=g:1073699
Anjatelo	id=g:1073700
Anjatanimena	id=g:1073701
Anjatakary	id=g:1073702
Anjatahema	id=g:1073703
Anja Sud	id=g:1073704
Anja Sud	id=g:1073705
Anjasoatanimbary	id=g:1073706
Anjasivy	id=g:1073707
Anjaramarosio	id=g:1073708
Anjantelo	id=g:1073709
Lohatanjon’ Anjanozano	id=g:1073710
Anjanozana	id=g:1073711
Anjanojano	id=g:1073712
Anjaninarivo	id=g:1073713
Anjanina	id=g:1073714
Anjangoveratra	id=g:1073715
Anjango	id=g:1073716
Anjango	id=g:1073717
Anjandoaky	id=g:1073718
Anjandoaka	id=g:1073719
Anjando	id=g:1073720
Anjandavo	id=g:1073721
Anjandava	id=g:1073722
Anjanazana	id=g:1073723
Anjanavorona	id=g:1073724
Anjanasampana	id=g:1073725
Anjanana Rivière	id=g:1073726
Anjanana	id=g:1073727
Anjanamboro Rivière	id=g:1073728
Anjanamasina	id=g:1073729
Anjanamahazo	id=g:1073730
Anjanakanga	id=g:1073731
Anjanahary	id=g:1073732
Anjanaharibe Avaratra	id=g:1073733
Anjanaharibe Anivo	id=g:1073734
Anjanaharibe	id=g:1073735
Anjanaharibe	id=g:1073736
