Tanaunggwin	id=g:1294705
Ta-naunggon	id=g:1294706
Ta-naunggon	id=g:1294707
Ta-naunggon	id=g:1294708
Tanaunggon	id=g:1294709
Tanaunggon	id=g:1294710
Ta-naunggon	id=g:1294711
Tanaunggon	id=g:1294712
Tanaunggon	id=g:1294713
Tanaunggon	id=g:1294714
Tanaunggon	id=g:1294715
Tanaunggon	id=g:1294716
Tanaunggon	id=g:1294717
Ta-naunggaw	id=g:1294718
Tanaunggala	id=g:1294719
Ta-naunggaing	id=g:1294720
Ta-naunggaing	id=g:1294721
Ta-naunggaing	id=g:1294722
Tanaunggaing	id=g:1294723
Tanaunggaing	id=g:1294724
Tanaungdawtat	id=g:1294725
Tanaungdaw	id=g:1294726
Tanaungdaw	id=g:1294727
Tanaungdaing	id=g:1294728
Tanaungbinle	id=g:1294729
Tanaungbinhla	id=g:1294730
Tanaungbin	id=g:1294731
Tanapogyi	id=g:1294732
Tanapogale	id=g:1294733
Tanamu-nao	id=g:1294734
Tā-namkha	id=g:1294735
Tanakhi	id=g:1294736
Tanaiyāng	id=g:1294737
Tanaing	id=g:1294738
Tanaihku	id=g:1294739
Tanai Hka	id=g:1294740
Tanaibum Ga	id=g:1294741
Tanai Bum	id=g:1294742
Tanahta	id=g:1294743
Nam Tan	id=g:1294744
Tan	id=g:1294745
Tamyit Chaung	id=g:1294746
Tamyin Hkyet	id=g:1294747
Tamyinchaung	id=g:1294748
Loi Tam-ye	id=g:1294749
Tamyaung	id=g:1294750
Tamyakyun	id=g:1294751
Tamyagyaung	id=g:1294752
Tamya	id=g:1294753
Tamya	id=g:1294754
Tamwe	id=g:1294755
Tamut	id=g:1294756
Tamunja Taung	id=g:1294757
Tamun Chaung	id=g:1294758
Tā-mün	id=g:1294759
Tamu Hka	id=g:1294760
Tamu	id=g:1294761
Tāmtu	id=g:1294762
Tamseldang	id=g:1294763
Ta-mö-pwè	id=g:1294764
Ta-mö-lè	id=g:1294765
Tamoktaung	id=g:1294766
Tamokso Distributary	id=g:1294767
Tamokso	id=g:1294768
Tamok River	id=g:1294769
Tamokchon	id=g:1294770
Tamok	id=g:1294771
Tamok	id=g:1294772
Tamok	id=g:1294773
Tamohpo	id=g:1294774
Tamohku	id=g:1294775
Tamochaung	id=g:1294776
Tamo	id=g:1294777
Tamna	id=g:1294778
Taminseik	id=g:1294779
Taminmasa Taung	id=g:1294780
Taminmasa Chaung	id=g:1294781
Taminmasa Auk	id=g:1294782
Taminmasa Atet	id=g:1294783
Tamin-in Chaung	id=g:1294784
Tamingyet	id=g:1294785
Tamikhi	id=g:1294786
Tamihkat Razi	id=g:1294787
Tami Chaung	id=g:1294788
Tamhpak Reserved Forest	id=g:1294789
Tamhpak-kut	id=g:1294790
Nam Tamhpak	id=g:1294791
Tamhpak	id=g:1294792
Tamhpak	id=g:1294793
Nam Tam-hkwan	id=g:1294794
Tamhai	id=g:1294795
Tamelaw	id=g:1294796
Tameinbaung	id=g:1294797
Tame	id=g:1294798
Tamē	id=g:1294799
Tamawwa	id=g:1294800
Tamawangtong	id=g:1294801
Tamāwa	id=g:1294802
Tamaw	id=g:1294803
Tamaung	id=g:1294804
Tamat Hka	id=g:1294805
Tamat Ga	id=g:1294806
Tama-take	id=g:1294807
Tamatakaw	id=g:1294808
Tamatakaw	id=g:1294809
Tamatakaw	id=g:1294810
Tamasekan	id=g:1294811
Tamanthi	id=g:1294812
Ta Mān Nawng	id=g:1294813
Taman Kwin	id=g:1294814
Ta Mānhsum	id=g:1294815
Tamangyi Sat-in	id=g:1294816
Tamangyi	id=g:1294817
Tamangyi	id=g:1294818
Tamangyi	id=g:1294819
Tamangyi	id=g:1294820
Tamangyi	id=g:1294821
Tamangyi	id=g:1294822
Tamangyi	id=g:1294823
Tamangyi	id=g:1294824
Tamangyaung	id=g:1294825
Tamangon	id=g:1294826
Tamang Hka	id=g:1294827
Tamang Hka	id=g:1294828
Tamandu	id=g:1294829
Taman	id=g:1294830
Taman	id=g:1294831
Taman	id=g:1294832
Taman	id=g:1294833
Taman	id=g:1294834
Tamalo	id=g:1294835
Tamalanbin	id=g:1294836
Tamakyaing	id=g:1294837
Tamakuto Taung	id=g:1294838
Tamakuto Chaung	id=g:1294839
Tā Makkeng	id=g:1294840
Tamakha	id=g:1294841
Tamaing	id=g:1294842
Tamaiklon	id=g:1294843
Nam Tamai	id=g:1294844
Tama Hein	id=g:1294845
Tamagyi	id=g:1294846
Tamagyaw	id=g:1294847
Tamagyaw	id=g:1294848
Tamagyaung	id=g:1294849
Tamagon	id=g:1294850
Tamagon	id=g:1294851
Tamagon	id=g:1294852
Tamagon	id=g:1294853
Tamagon	id=g:1294854
Tamagauk	id=g:1294855
Tamagauk	id=g:1294856
Tamagauk	id=g:1294857
Tamagauk	id=g:1294858
Tamagan	id=g:1294859
Tamagan	id=g:1294860
Tamagan	id=g:1294861
Tamaga	id=g:1294862
Tamadaw	id=g:1294863
Tamadaung	id=g:1294864
Tamabin	id=g:1294865
Tamabin	id=g:1294866
Tamabin	id=g:1294867
Tamabin	id=g:1294868
Tamabin	id=g:1294869
Tama	id=g:1294870
Tama	id=g:1294871
Nam Tam	id=g:1294872
Talzang	id=g:1294873
Pulo Talut	id=g:1294874
Talushan Lu	id=g:1294875
Ta-lu-pa	id=g:1294876
Talu L’ka	id=g:1294877
Talubya	id=g:1294878
Ta-lu	id=g:1294879
Talon Taung	id=g:1294880
Talon Taung	id=g:1294881
Ta-longlao	id=g:1294882
Tā-long	id=g:1294883
Tā-long	id=g:1294884
Talokyin	id=g:1294885
Taloktaw Sakan	id=g:1294886
Taloktaw	id=g:1294887
Taloktaw	id=g:1294888
Taloksu	id=g:1294889
Talokpinywama	id=g:1294890
Talôkpinkwin	id=g:1294891
Talokpin	id=g:1294892
Talok Nipa	id=g:1294893
Talôkmyo	id=g:1294894
Taloklat	id=g:1294895
Talok Kyet Jamali	id=g:1294896
Talokkon	id=g:1294897
Talokkon	id=g:1294898
Talokkon	id=g:1294899
