Pa-ling	id=g:1302301
Palindaw	id=g:1302302
Palin Chaung	id=g:1302303
Palin	id=g:1302304
Palin	id=g:1302305
Palin	id=g:1302306
Palin	id=g:1302307
Palin	id=g:1302308
Palin	id=g:1302309
Palin	id=g:1302310
Pali Hka	id=g:1302311
Palidaung	id=g:1302312
Palibaw Tē	id=g:1302313
Paliba-aing	id=g:1302314
Pa-li	id=g:1302315
Paletwa	id=g:1302316
Paletwa	id=g:1302317
Paletko	id=g:1302318
Palet Chaung	id=g:1302319
Pale Taung	id=g:1302320
Palengu Taung	id=g:1302321
Pa-leng	id=g:1302322
Pa-leng	id=g:1302323
Palek Gui	id=g:1302324
Palein	id=g:1302325
Paleik In	id=g:1302326
Paleik Canal	id=g:1302327
Paleik	id=g:1302328
Paleik	id=g:1302329
Palegyaung	id=g:1302330
Palegwin Taungzugyi	id=g:1302331
Palegu	id=g:1302332
Paledan	id=g:1302333
Palè Chaung	id=g:1302334
Pale	id=g:1302335
Palè	id=g:1302336
Palè	id=g:1302337
Pale	id=g:1302338
Pale	id=g:1302339
Palaya	id=g:1302340
Palawng Va	id=g:1302341
Palawnglam Bum	id=g:1302342
Palawng Kawng	id=g:1302343
Palawng-gahtawng	id=g:1302344
Palawn Ga	id=g:1302345
Palawng	id=g:1302346
Palaw Kyaung	id=g:1302347
Palawgyin Cutch Reserved Forest	id=g:1302348
Palawgon	id=g:1302349
Palawgon	id=g:1302350
Palaw Chaung	id=g:1302351
Palaw Chaung	id=g:1302352
Palaw Chaung	id=g:1302353
Palawbaw-aw	id=g:1302354
Palawa	id=g:1302355
Palawa	id=g:1302356
Nam Palaw	id=g:1302357
Palaw	id=g:1302358
Palaw	id=g:1302359
Palaw	id=g:1302360
Palaw	id=g:1302361
Palaung Taung	id=g:1302362
Palaungshe	id=g:1302363
Palaungchaunggyi	id=g:1302364
Palaung Chaung	id=g:1302365
Palaungbyin	id=g:1302366
Pa Laung	id=g:1302367
Palaung	id=g:1302368
Palaung	id=g:1302369
Palaung	id=g:1302370
Palaukpya	id=g:1302371
Palauk Chaung	id=g:1302372
Palauk	id=g:1302373
Pālau	id=g:1302374
Palata Sakan	id=g:1302375
Palata Chaung	id=g:1302376
Palata	id=g:1302377
Palat	id=g:1302378
Palapataung	id=g:1302379
Palap	id=g:1302380
Hwè Pa-lao-long	id=g:1302381
Hwè Pa-lao-awm	id=g:1302382
Nam Palao	id=g:1302383
Hwè Pā-lao	id=g:1302384
Pa-lao	id=g:1302385
Palanyon	id=g:1302386
Palantha Chaung	id=g:1302387
Palantha	id=g:1302388
Palanpetaya	id=g:1302389
Palan-o	id=g:1302390
Palanma Chaung	id=g:1302391
Palangyin	id=g:1302392
Palangyin	id=g:1302393
Palangyin	id=g:1302394
Palangyaing	id=g:1302395
Palangyaing	id=g:1302396
Palangon	id=g:1302397
Palangon	id=g:1302398
Palangan	id=g:1302399
Palangan	id=g:1302400
Palandaw	id=g:1302401
Palandaw	id=g:1302402
Palandaing	id=g:1302403
Palan Chaung	id=g:1302404
Palanbin Sakan	id=g:1302405
Palanbin	id=g:1302406
Palanbin	id=g:1302407
Palanbin	id=g:1302408
Nam Palan	id=g:1302409
Loi Pa-lan	id=g:1302410
Palan	id=g:1302411
Palambo	id=g:1302412
Nam Palam	id=g:1302413
Hwè Pa-lam	id=g:1302414
Nam Palak	id=g:1302415
Palaingmu	id=g:1302416
Palaingki	id=g:1302417
Palaing	id=g:1302418
Pā-lai	id=g:1302419
Pā-lai	id=g:1302420
Pala Hpaitau	id=g:1302421
Palabin Ywathit	id=g:1302422
Pa-la	id=g:1302423
Pala	id=g:1302424
Pakyiko	id=g:1302425
Nam Pa-hkè	id=g:1302426
Pa-kyè	id=g:1302427
Pakwe	id=g:1302428
Pakwe	id=g:1302429
Pa-kwe	id=g:1302430
Pakun Chaung	id=g:1302431
Nam Pakun	id=g:1302432
Pakun	id=g:1302433
Loi Pakulin	id=g:1302434
Paktan	id=g:1302435
Pa-kö-mo	id=g:1302436
Pakokkugyun	id=g:1302437
Pakokku District	id=g:1302438
Pakokku	id=g:1302439
Paknoi-prang	id=g:1302440
Paknoi Hka	id=g:1302441
Nam Paknoi	id=g:1302442
Paknoi	id=g:1302443
Paknam	id=g:1302444
Pak Lit	id=g:1302445
Pakkum	id=g:1302446
Pakkum	id=g:1302447
Pakklōhng	id=g:1302448
Loi Pakka	id=g:1302449
Paki Taung	id=g:1302450
Pakin	id=g:1302451
