Kya-aik	id=g:1317508
Kwun-whut	id=g:1317509
Kwunsaung	id=g:1317510
Kwon-khyan-gon	id=g:1317511
Loi Kwom	id=g:1317512
Kwokko	id=g:1317513
Kwiwa Taung	id=g:1317514
Kwitu	id=g:1317515
Kwitha	id=g:1317516
Kwitanya	id=g:1317517
Kwitalaw	id=g:1317518
Kwisoakkhi	id=g:1317519
Kwinywa	id=g:1317520
Kwinyashe Chaung	id=g:1317521
Kwinyashe	id=g:1317522
Kwinyashe	id=g:1317523
Kwinyagyi	id=g:1317524
Kwi-nya-a	id=g:1317525
Kwinwaing	id=g:1317526
Kwin-waing	id=g:1317527
Kwintha	id=g:1317528
Kwintha	id=g:1317529
Kwinsakan	id=g:1317530
Kwinma	id=g:1317531
Kwinle	id=g:1317532
Kwinkalein	id=g:1317533
Kwinhla	id=g:1317534
Kwinhla	id=g:1317535
Kwinhe	id=g:1317536
Kwingyo	id=g:1317537
Kwingyi	id=g:1317538
Kwingyi	id=g:1317539
Kwingyi	id=g:1317540
Kwingyi	id=g:1317541
Kwingyi	id=g:1317542
Kwingyi	id=g:1317543
Kwingyi	id=g:1317544
Kwingyi	id=g:1317545
Kwingyi	id=g:1317546
Kwingyi	id=g:1317547
Kwingyi	id=g:1317548
Kwingyi	id=g:1317549
Kwingyi	id=g:1317550
Kwingyi	id=g:1317551
Kwingyi	id=g:1317552
Kwingyaung	id=g:1317553
Kwingyaung	id=g:1317554
Kwingyaung	id=g:1317555
Kwinguyuppa	id=g:1317556
Kwingauk Taung	id=g:1317557
Kwingauk Myauk	id=g:1317558
Kwingauk Chaung	id=g:1317559
Kwingauk	id=g:1317560
Kwingale	id=g:1317561
Kwingale	id=g:1317562
Kwingale	id=g:1317563
Kwingale	id=g:1317564
Kwindala	id=g:1317565
Kwindaing	id=g:1317566
Kwinbet	id=g:1317567
Kwinbaung	id=g:1317568
Kwinbauk	id=g:1317569
Kwinbauk	id=g:1317570
Kwinbauk	id=g:1317571
Kwinawhta	id=g:1317572
Kwimangan	id=g:1317573
Kwilwe	id=g:1317574
Kwile	id=g:1317575
Kwile	id=g:1317576
Kwilawplaw	id=g:1317577
Kwila	id=g:1317578
Kwikyawla	id=g:1317579
Kwikler	id=g:1317580
Loi Kwi	id=g:1317581
Kweyok	id=g:1317582
Kweyè	id=g:1317583
Kwetu Chaung	id=g:1317584
Kwetpyin	id=g:1317585
Kwetpyin	id=g:1317586
Kwetnge	id=g:1317587
Kwetma	id=g:1317588
Kwetkwin	id=g:1317589
Kwetkwāgyi Chaung	id=g:1317590
Kwetkwāgale	id=g:1317591
Kwethowzeik	id=g:1317592
Kwethe Reserved Forest	id=g:1317593
Kwethe In	id=g:1317594
Kwethe	id=g:1317595
Kwethaukkan	id=g:1317596
Kwetchaung	id=g:1317597
Kwetalok	id=g:1317598
Kweshi	id=g:1317599
Kwe-ngapyumyaung	id=g:1317600
Kwenet Chaung	id=g:1317601
Kwenbo	id=g:1317602
Kwenan	id=g:1317603
Kwenam	id=g:1317604
Kwemi	id=g:1317605
Kwe-maw	id=g:1317606
Kwemaung	id=g:1317607
Kwemapaw	id=g:1317608
Kwemalaung	id=g:1317609
Kwema Chaung	id=g:1317610
Kwema	id=g:1317611
Kwe Lui	id=g:1317612
Kwelon	id=g:1317613
Kweleyat	id=g:1317614
Kwele Chaung	id=g:1317615
Kwele	id=g:1317616
Kwe Kyun	id=g:1317617
Kwekon	id=g:1317618
Kwekaw Chaung	id=g:1317619
Kwekarit	id=g:1317620
Kwekani Chaung	id=g:1317621
Kwe-kan Chaung	id=g:1317622
Kwè-hsawdaw	id=g:1317623
Kwehmyok	id=g:1317624
Kwehaungdon	id=g:1317625
Kwegyadwin	id=g:1317626
Kwedwe	id=g:1317627
Kwedugyi	id=g:1317628
Kwedaung	id=g:1317629
Nam Kwedaing	id=g:1317630
Kwedaik	id=g:1317631
Kwebyok	id=g:1317632
Kwebya	id=g:1317633
Loi Kwe	id=g:1317634
Kwazon	id=g:1317635
Kwazon	id=g:1317636
Kwason	id=g:1317637
Kwason	id=g:1317638
Nam Kwao	id=g:1317639
Kwanyaik	id=g:1317640
Kwanteikta	id=g:1317641
Kwanta	id=g:1317642
Kwanta	id=g:1317643
Kwanta	id=g:1317644
Kwanngan	id=g:1317645
Kwanmawk	id=g:1317646
Kwan-ma	id=g:1317647
Kwanlamaing	id=g:1317648
Kwan Hso	id=g:1317649
Kwanhpo	id=g:1317650
Nam Kwanhpawng	id=g:1317651
Kwanhla Chaung	id=g:1317652
Kwanhla	id=g:1317653
Kwanhla	id=g:1317654
Kwanhio	id=g:1317655
Kwangyaung	id=g:1317656
Kwangtong	id=g:1317657
Kwangteng	id=g:1317658
Kwanglong	id=g:1317659
Kwang-höng	id=g:1317660
Kwanbi	id=g:1317661
Nam Kwan	id=g:1317662
Loi Kwai	id=g:1317663
Kwahtang	id=g:1317664
Kwa-hsansai	id=g:1317665
Kwachi	id=g:1317666
Ku-zu	id=g:1317667
Kuzeik	id=g:1317668
Kuzeik	id=g:1317669
Kuzeik	id=g:1317670
Kuzahkao	id=g:1317671
Kuywa	id=g:1317672
Kuywa	id=g:1317673
Kuywa	id=g:1317674
Kuwa Taung	id=g:1317675
Kuwa	id=g:1317676
Kutywa	id=g:1317677
Kut-yom	id=g:1317678
Kutwa	id=g:1317679
Kuttēng	id=g:1317680
Kutsailing	id=g:1317681
Kutkai	id=g:1317682
Kut Hpakkôm	id=g:1317683
Kutawn	id=g:1317684
Küt-awn	id=g:1317685
Nam Kut	id=g:1317686
Nam Kut	id=g:1317687
Kushe	id=g:1317688
Kuseik	id=g:1317689
Kupo	id=g:1317690
Loi Kupma	id=g:1317691
Kupaikhi	id=g:1317692
Loi Kup	id=g:1317693
Kunzingyi	id=g:1317694
Kunzeik	id=g:1317695
Kunzeik	id=g:1317696
Kunze Chaung	id=g:1317697
Kunze Canal	id=g:1317698
Kunze	id=g:1317699
Kunzè	id=g:1317700
Kunzan	id=g:1317701
Kunzaik	id=g:1317702
Kunywa	id=g:1317703
Kunywa	id=g:1317704
Kunyon	id=g:1317705
Kun-weng	id=g:1317706
Kunwa	id=g:1317707
Kunti	id=g:1317708
Kunti	id=g:1317709
Kunti	id=g:1317710
Kunti	id=g:1317711
Kunthun	id=g:1317712
Kunthi Kyun	id=g:1317713
Kunthigyaunggale	id=g:1317714
Kunthigyaung	id=g:1317715
Kunthigan	id=g:1317716
Kunthidaw	id=g:1317717
Kunthidaw	id=g:1317718
Kunthichaungwa	id=g:1317719
Kunthibin	id=g:1317720
Kunthibin	id=g:1317721
Kunthaung Taung	id=g:1317722
Kuntha	id=g:1317723
Kuntha	id=g:1317724
Kuntawng	id=g:1317725
Kuntawng	id=g:1317726
Kuntaw	id=g:1317727
Kuntaung Kyun	id=g:1317728
Kuntaung	id=g:1317729
Kuntaung	id=g:1317730
Kuntan	id=g:1317731
Kuntabin	id=g:1317732
Kunsu	id=g:1317733
Kunshin	id=g:1317734
Kunsha	id=g:1317735
Kunsang	id=g:1317736
Kunpan	id=g:1317737
Kunpalaing River	id=g:1317738
Kunpalaing	id=g:1317739
Kunpalaing	id=g:1317740
Kun-on	id=g:1317741
Kunon	id=g:1317742
Kunon	id=g:1317743
Kunon	id=g:1317744
Kun-on	id=g:1317745
Kunnyawng	id=g:1317746
Kunniu	id=g:1317747
Kunngo	id=g:1317748
Kunnem	id=g:1317749
Loi Kunnang	id=g:1317750
Kunna	id=g:1317751
Kunna	id=g:1317752
Kunna	id=g:1317753
Kunna	id=g:1317754
Kunna	id=g:1317755
Kunna	id=g:1317756
Kunna	id=g:1317757
Kunna	id=g:1317758
Kunna	id=g:1317759
Kunna	id=g:1317760
Kunnā	id=g:1317761
Kunna	id=g:1317762
Kunna	id=g:1317763
Kunnā	id=g:1317764
Kun-Na	id=g:1317765
Kunna	id=g:1317766
Kunmyaung Reserved Forest	id=g:1317767
Kunmyaunggyi	id=g:1317768
Kunmunmyaung In	id=g:1317769
Kunmun	id=g:1317770
Kunmöng	id=g:1317771
Kunmin	id=g:1317772
Kunmawn	id=g:1317773
Kunmaw	id=g:1317774
Nangun He	id=g:1317775
Kunlong	id=g:1317776
Kunlong	id=g:1317777
Kunlong	id=g:1317778
Kunlong	id=g:1317779
Kunlon	id=g:1317780
Kunlon	id=g:1317781
Kun-loi	id=g:1317782
Kun-lein	id=g:1317783
Kunlaung	id=g:1317784
Kunlaung	id=g:1317785
Kunlau	id=g:1317786
Kunlat	id=g:1317787
Kunkyaung	id=g:1317788
Kunkin	id=g:1317789
Kunkhin	id=g:1317790
Kunkha	id=g:1317791
Kunkèng	id=g:1317792
Kunkeng	id=g:1317793
Kunkeng	id=g:1317794
Kyawng-keng	id=g:1317795
Kunkawk	id=g:1317796
Kunkawk	id=g:1317797
Kunkawk	id=g:1317798
Kunkaw	id=g:1317799
Kunkao	id=g:1317800
Kunkang	id=g:1317801
Kunkala	id=g:1317802
Kuni	id=g:1317803
Kuni	id=g:1317804
Kuni	id=g:1317805
Kunhsem	id=g:1317806
Kunhsang	id=g:1317807
Kun-hsan	id=g:1317808
Kunhpe Chaung	id=g:1317809
Kunhpe	id=g:1317810
Kunhong	id=g:1317811
Kunhong	id=g:1317812
Kunhong	id=g:1317813
Kunhong	id=g:1317814
Kunhni	id=g:1317815
Kunhnaywa	id=g:1317816
Kunhnakyaik	id=g:1317817
