Kungauma	id=g:928123
Kunga River	id=g:928124
Kunendekude	id=g:928125
Kundwe Stream	id=g:928126
Kundwe	id=g:928127
Kundembo	id=g:928128
Kunchakama	id=g:928129
Kumwenda	id=g:928130
Kumtumanji	id=g:928131
Kumpika	id=g:928132
Kumpatola	id=g:928133
Kumlira	id=g:928134
Kumisu	id=g:928135
Kumela	id=g:928136
Kumbi	id=g:928137
Kumbawa	id=g:928138
Kumbande	id=g:928139
Kumbanchenga Hill	id=g:928140
Kumba	id=g:928141
Kuluwina	id=g:928142
Kuluwe	id=g:928143
Kulupsya	id=g:928144
Kulizamimba	id=g:928145
Kulemeka	id=g:928146
Kulanga	id=g:928147
Kula	id=g:928148
Kukulanga	id=g:928149
Kukanga	id=g:928150
Kui	id=g:928151
Kudzula	id=g:928152
Kudzoe	id=g:928153
Kude	id=g:928154
Kudana	id=g:928155
Kubonda	id=g:928156
Ktalala	id=g:928157
Koyowe Hill	id=g:928158
Koti	id=g:928159
Kosam	id=g:928160
Kopa Kopa	id=g:928161
Kontho	id=g:928162
Konka	id=g:928163
Konjiwa	id=g:928164
Konjeni Hill	id=g:928165
Kongwe Mission	id=g:928166
Kongwe Hill	id=g:928167
Kongwe Hill	id=g:928168
Kongwe Forest Reserve	id=g:928169
Kongoni	id=g:928170
Kongomwa Stream	id=g:928171
Konga	id=g:928172
Kombwe Stream	id=g:928173
Kombi	id=g:928174
Kombedza	id=g:928175
Koma	id=g:928176
Kolumbe	id=g:928177
Kolowilo School	id=g:928178
Kolowika	id=g:928179
Koloweko	id=g:928180
Kolopele	id=g:928181
Kolopa	id=g:928182
Koloka	id=g:928183
Koleni	id=g:928184
Kola	id=g:928185
Kokoti	id=g:928186
Kokolo Hill	id=g:928187
Kokolo	id=g:928188
Koko Bay	id=g:928189
Kokanguwo	id=g:928190
Kogodzi	id=g:928191
Kog	id=g:928192
Kodikila	id=g:928193
Kochiwe	id=g:928194
Kochira Leprosarium	id=g:928195
Kmtsoka	id=g:928196
Kliwawa	id=g:928197
Kisyombe	id=g:928198
Kisoso	id=g:928199
Kiriwiri Hill	id=g:928200
Kiringuzi	id=g:928201
Kirambu Point	id=g:928202
Kinsigala	id=g:928203
Kindwe	id=g:928204
Kilindini Rocks	id=g:928205
Khwere	id=g:928206
Khuzumba	id=g:928207
Khuzi	id=g:928208
Khuza Hill	id=g:928209
Khuyu	id=g:928210
Khuwi	id=g:928211
Khuto	id=g:928212
Khungwa	id=g:928213
Khumi	id=g:928214
Khuluvi	id=g:928215
Khulumuniyu	id=g:928216
Khulume	id=g:928217
Khule Hill	id=g:928218
Khozapi Mtonga	id=g:928219
Khoza Lisali	id=g:928220
Khoza	id=g:928221
Khoza	id=g:928222
Khowa Hill	id=g:928223
Khosolo Jere	id=g:928224
Khonjeni Station	id=g:928225
Khonjeni	id=g:928226
Khonje	id=g:928227
Khongoni	id=g:928228
Khongoni	id=g:928229
Khongoloni	id=g:928230
Khomora	id=g:928231
Khomoni	id=g:928232
Khomera	id=g:928233
Khomera	id=g:928234
Khombwe School	id=g:928235
Khombe	id=g:928236
Khombe	id=g:928237
Khombe	id=g:928238
Khombe	id=g:928239
Khomani	id=g:928240
Kholowani	id=g:928241
Khole Hill	id=g:928242
Khola Mission	id=g:928243
Khola	id=g:928244
Khokoli	id=g:928245
Khofi	id=g:928246
Khaziko	id=g:928247
Khazi	id=g:928248
Khasu Estate	id=g:928249
Khara Pamuhanya Gondwe	id=g:928250
Khanda	id=g:928251
Khanaja School	id=g:928252
Khamisa	id=g:928253
Khamakhala	id=g:928254
Khako	id=g:928255
Kesale Nyanguru	id=g:928256
Kenan Ngomba	id=g:928257
Kenan Muzigha	id=g:928258
Kembewe Hill	id=g:928259
Kelula	id=g:928260
Kazyozyo	id=g:928261
Kazuzu	id=g:928262
Kazuni School	id=g:928263
Lake Kazuni	id=g:928264
Kazumba	id=g:928265
Kazule Hill	id=g:928266
Kazonga	id=g:928267
Kazombo	id=g:928268
Kazomba	id=g:928269
Kaziwiziwi	id=g:928270
Kaziwa River	id=g:928271
Kazithule Ziwa	id=g:928272
Kazira	id=g:928273
Kazimkota	id=g:928274
Kazimbe	id=g:928275
Kazilila Dambo	id=g:928276
Kazembe	id=g:928277
Kazembe	id=g:928278
Kazando	id=g:928279
Kayuwi Hill	id=g:928280
Kayuni Luhanga	id=g:928281
Kayuni Hill	id=g:928282
Kayuni Hill	id=g:928283
Kayuni	id=g:928284
Kayozi Hill	id=g:928285
Kayowoyero	id=g:928286
Kayora	id=g:928287
Kayora	id=g:928288
Kayidu Purani	id=g:928289
Kayidoke Luhanga	id=g:928290
Kayeya	id=g:928291
Kayesa	id=g:928292
Kayesa	id=g:928293
Kayesa	id=g:928294
Kayembe	id=g:928295
Kayembe	id=g:928296
Kayembe	id=g:928297
Kayembe	id=g:928298
Kayeleka Hill	id=g:928299
Kawuru	id=g:928300
Kawungu	id=g:928301
Kawulira Hills	id=g:928302
Kawozya Peaks	id=g:928303
Kaworatsitsi Hills	id=g:928304
Kawonekera Stream	id=g:928305
Kawoli	id=g:928306
Kawiya Tea Estate	id=g:928307
Kawiya Stream	id=g:928308
Kawiya River	id=g:928309
Kawiya	id=g:928310
Kawiruwiru Stream	id=g:928311
Kawinga	id=g:928312
Kawinga	id=g:928313
Kawiliza	id=g:928314
Kawiliwita Hill	id=g:928315
Kawilawila	id=g:928316
Kaweteka	id=g:928317
Kaweta	id=g:928318
Kawere	id=g:928319
Kawera Hill	id=g:928320
Kawendama Hill	id=g:928321
Kawenda	id=g:928322
Kawenda	id=g:928323
Kawenda	id=g:928324
Kawelawela	id=g:928325
Kawelama	id=g:928326
Kaweche	id=g:928327
Kawaza	id=g:928328
Kawaye	id=g:928329
Kawanga Stream	id=g:928330
Kawanga	id=g:928331
Kawanga	id=g:928332
Kawanga	id=g:928333
Kawanga	id=g:928334
Kawanga	id=g:928335
Kawanga	id=g:928336
Kawandama Hill	id=g:928337
Kawanda	id=g:928338
Kawanda	id=g:928339
Kawamba Mwale Court	id=g:928340
Kawamba Misozi	id=g:928341
Kawalika	id=g:928342
Kawali	id=g:928343
Kawale	id=g:928344
Kawale	id=g:928345
Kawalazi	id=g:928346
Kawala Hill	id=g:928347
Kawaka	id=g:928348
Kawa	id=g:928349
Kavyele	id=g:928350
Kavuzi River	id=g:928351
Kavuwa Stream	id=g:928352
Kavunguti Stream	id=g:928353
Kavunguti Stream	id=g:928354
Kavunguti Stream	id=g:928355
Kavunguti Hill	id=g:928356
Kavungti Dambo	id=g:928357
Kavulamphapa	id=g:928358
Kavula Hill	id=g:928359
Kavukura Stream	id=g:928360
Kavukura	id=g:928361
Kaviyombo	id=g:928362
Kavitongololo	id=g:928363
Kaviruri	id=g:928364
Kavikawa	id=g:928365
Kavikaliri River	id=g:928366
Kavalo	id=g:928367
Kavalho	id=g:928368
Kavala	id=g:928369
Kauzagaru	id=g:928370
Kauwa Hill	id=g:928371
Kauta	id=g:928372
Kausiwa	id=g:928373
Kausiku	id=g:928374
Kausiku	id=g:928375
Kaungozi	id=g:928376
Kaungo	id=g:928377
Kaunga	id=g:928378
Kaundo	id=g:928379
Kaundi Stream	id=g:928380
Kaunda	id=g:928381
Kaunda	id=g:928382
Kaunda	id=g:928383
Kauma	id=g:928384
Kauma	id=g:928385
Kauma	id=g:928386
Lake Kaulwe	id=g:928387
Kaulila Hill	id=g:928388
Kaulatsitsi	id=g:928389
Kaulanda	id=g:928390
Kaulamwene	id=g:928391
Kauia	id=g:928392
Kaugule	id=g:928393
Katzenga	id=g:928394
Katyuka	id=g:928395
Katwe Stream	id=g:928396
Katweru Hill	id=g:928397
Katuwa Stream	id=g:928398
Katuwa	id=g:928399
Katuwa	id=g:928400
Katutula	id=g:928401
Katutuka	id=g:928402
Katuta	id=g:928403
Katuru	id=g:928404
Katura Hills	id=g:928405
Katunula	id=g:928406
Katunguwili	id=g:928407
Katungu	id=g:928408
Katungo	id=g:928409
Katunga Cotton Market	id=g:928410
Katunga	id=g:928411
Katundu School	id=g:928412
Katundulu	id=g:928413
Katundu Hill	id=g:928414
Katundu	id=g:928415
Katumbudzu	id=g:928416
Katumbi	id=g:928417
Katumba	id=g:928418
Katumba	id=g:928419
Katumba	id=g:928420
Katumba	id=g:928421
Katumba	id=g:928422
Katulika School	id=g:928423
Katswatswata	id=g:928424
Katsukunya	id=g:928425
Katsukunya	id=g:928426
Katsilizika	id=g:928427
Katsika	id=g:928428
Katsici	id=g:928429
Katoyi Hill	id=g:928430
Katowo	id=g:928431
Katowili	id=g:928432
Katoto Stream	id=g:928433
Katoto	id=g:928434
Katorora Mfwuni	id=g:928435
Katope	id=g:928436
Katope	id=g:928437
Katonthowolo	id=g:928438
Katongomara Zimba	id=g:928439
Katondo Estate	id=g:928440
Katondo	id=g:928441
Katonda	id=g:928442
Katonda	id=g:928443
Katolokoso	id=g:928444
Katole	id=g:928445
Katola	id=g:928446
Katobwa	id=g:928447
Katimbira School	id=g:928448
Katimbira	id=g:928449
Katimbila	id=g:928450
Katimba	id=g:928451
Katikwiri	id=g:928452
Kathundu	id=g:928453
Kathontha	id=g:928454
Kathontha	id=g:928455
Kathonje	id=g:928456
Kathewela	id=g:928457
Kathale	id=g:928458
Kateze	id=g:928459
Kateya	id=g:928460
Katewe Court	id=g:928461
Katewe	id=g:928462
Katete Stream	id=g:928463
Katete River	id=g:928464
Katete River	id=g:928465
Katete Dambo	id=g:928466
Katete	id=g:928467
Katete	id=g:928468
Katete	id=g:928469
Katete	id=g:928470
Katete	id=g:928471
Katete	id=g:928472
Katete	id=g:928473
Katete	id=g:928474
Katera	id=g:928475
Katenthere	id=g:928476
Katenthe	id=g:928477
Katenji	id=g:928478
Katengeza	id=g:928479
Katengeza	id=g:928480
Katendeza Stream	id=g:928481
Katembo	id=g:928482
Katembe	id=g:928483
Katema	id=g:928484
Katema	id=g:928485
Katema	id=g:928486
Katema	id=g:928487
Katema	id=g:928488
Katema	id=g:928489
Katayene	id=g:928490
Katawa Stream	id=g:928491
Katawa Stream	id=g:928492
Katawara	id=g:928493
Katawa	id=g:928494
Katawa	id=g:928495
Katawa	id=g:928496
Katawa	id=g:928497
Katawa	id=g:928498
Katawa	id=g:928499
Katantha	id=g:928500
Katanta	id=g:928501
Katangara	id=g:928502
Katanda	id=g:928503
Katambo	id=g:928504
Katambo	id=g:928505
Katambo	id=g:928506
Katambara Stream	id=g:928507
Katambalala	id=g:928508
Katamba	id=g:928509
Katama	id=g:928510
Katalima	id=g:928511
Katalima	id=g:928512
Katalima	id=g:928513
Katalima	id=g:928514
Katakwi	id=g:928515
Katakwa Dambo	id=g:928516
Katakungwa	id=g:928517
Katakula	id=g:928518
Kasyeleka	id=g:928519
Kasweswe	id=g:928520
Kaswaya	id=g:928521
Kaswandongo	id=g:928522
Kaswanda	id=g:928523
Kasuzu Dambo	id=g:928524
Kasusumira Hill	id=g:928525
Kasuruwa Stream	id=g:928526
Kasupe	id=g:928527
Kasuntha	id=g:928528
Kasungu Hill	id=g:928529
Kasungu Game Reserve	id=g:928530
Kasungu District	id=g:928531
Kasungu Cholo Estate	id=g:928532
Kasungu Chipala Hill	id=g:928533
Kasungu	id=g:928534
Kasumbu Stream	id=g:928535
Kasumbu Court	id=g:928536
Kasumbu	id=g:928537
Kasumbi Hill	id=g:928538
Kasumba Hill	id=g:928539
Kasumba	id=g:928540
Kasumba	id=g:928541
Kasuma	id=g:928542
Kasukusuku Hill	id=g:928543
Kasuku River	id=g:928544
Kasuku	id=g:928545
Kasuka Dambo	id=g:928546
Kasu Hill	id=g:928547
Kasu Hill	id=g:928548
Kasugulu	id=g:928549
Kastomo	id=g:928550
Kassoche	id=g:928551
Kasowa Stream	id=g:928552
Kasoti Phiri	id=g:928553
Kasosole	id=g:928554
Kasonga	id=g:928555
Kasonda	id=g:928556
Kasonda	id=g:928557
Kasompe	id=g:928558
Kasoloska Hills	id=g:928559
Kasolo Dambo	id=g:928560
Kasolanti	id=g:928561
Kasokera Kaunda	id=g:928562
Kaso	id=g:928563
Kasizu Hill	id=g:928564
Kasizika	id=g:928565
Kasiyadanga	id=g:928566
Kasiya	id=g:928567
Kasiya	id=g:928568
Kasiya	id=g:928569
Kasiya	id=g:928570
Kasitu Rock	id=g:928571
Kasitu River	id=g:928572
Kasitu Local Court	id=g:928573
Kasitu Hill	id=g:928574
Kasito Stream	id=g:928575
Kasito River	id=g:928576
Kasisi	id=g:928577
Kasiputa	id=g:928578
Kasinje	id=g:928579
Kasinja	id=g:928580
Kasinja	id=g:928581
Kasindwe	id=g:928582
Kasindura	id=g:928583
Kasinda	id=g:928584
Kasina Mission	id=g:928585
Kasina	id=g:928586
Kasimu II	id=g:928587
Kasimu	id=g:928588
Kasimba	id=g:928589
Kasikizi Dambo	id=g:928590
Kasikidzi	id=g:928591
Kasichi	id=g:928592
Kasichi	id=g:928593
Kashele	id=g:928594
Kasguli	id=g:928595
Kasese Estate	id=g:928596
Kasese I	id=g:928597
Kasese	id=g:928598
Kasese	id=g:928599
Kasere Stream	id=g:928600
Kasera	id=g:928601
Kasenza	id=g:928602
Kasengwa	id=g:928603
Kasengamara Dambo	id=g:928604
Kasenga	id=g:928605
Kasendeka	id=g:928606
Kasembe	id=g:928607
Kasema	id=g:928608
Kaseka	id=g:928609
Kasasanya	id=g:928610
Kasaramba Hill	id=g:928611
Kasanza	id=g:928612
Kasanka	id=g:928613
Kasanka	id=g:928614
Kasangazi Stream	id=g:928615
Kasanga Hill	id=g:928616
Kasangadzi River	id=g:928617
Kasangadzi	id=g:928618
Kasangadzi	id=g:928619
Kasangadzi	id=g:928620
Kasanga Bay	id=g:928621
Kasande	id=g:928622
Kasanda	id=g:928623
Kasanama	id=g:928624
Kasambe	id=g:928625
Kasamba School	id=g:928626
Kasamba Cotton Market	id=g:928627
Kasamba	id=g:928628
Kasamba	id=g:928629
Kasamba	id=g:928630
Kasamba	id=g:928631
Kasamalara Stream	id=g:928632
Kasalika	id=g:928633
Kasalika	id=g:928634
Kasalika	id=g:928635
Kasaliga	id=g:928636
Kasakura	id=g:928637
Kasakumania	id=g:928638
Kasakula Woyera	id=g:928639
Kasakula	id=g:928640
Kasakezi Dambo	id=g:928641
Kasakanya Estate	id=g:928642
Kasakanya Dambo	id=g:928643
Kasaja	id=g:928644
Kasaha	id=g:928645
Kasagula	id=g:928646
Kasache	id=g:928647
Karzizila	id=g:928648
Karuzi	id=g:928649
Karuwela	id=g:928650
Karusi	id=g:928651
Karunguruwe Hill	id=g:928652
Karungulu Hill	id=g:928653
Karuanga	id=g:928654
Karopa	id=g:928655
Karonga Longwe	id=g:928656
Karonga District	id=g:928657
Karonga	id=g:928658
Karonga	id=g:928659
Karonga	id=g:928660
Karonga	id=g:928661
Karirisindwi Hill	id=g:928662
Karira Stream	id=g:928663
Karanguti Dambo	id=g:928664
Karambowe	id=g:928665
Karama	id=g:928666
Karama	id=g:928667
Kapyola	id=g:928668
Kapyokola	id=g:928669
Kapyepye	id=g:928670
Kapyela	id=g:928671
Kapyanga	id=g:928672
Kapwipwi Stream	id=g:928673
Kapuzama	id=g:928674
Kaputa Stream	id=g:928675
Kapusi	id=g:928676
Kapupasa	id=g:928677
Kapunula	id=g:928678
Kapunula	id=g:928679
Kapunga Mabuka Khonje	id=g:928680
Kapunduli	id=g:928681
Kapundu	id=g:928682
Kapundo	id=g:928683
Kapumbulu	id=g:928684
Kapululu	id=g:928685
Kapulukira	id=g:928686
Kapulanga	id=g:928687
Kapoza	id=g:928688
Kapopo	id=g:928689
Kapopo	id=g:928690
Kaponya	id=g:928691
Kaponya	id=g:928692
Kapongolo Stream	id=g:928693
Kapondasoka	id=g:928694
Kaponda	id=g:928695
Kaponda	id=g:928696
Kapoloza	id=g:928697
Kapoloza	id=g:928698
Kapoloma	id=g:928699
Kapolo	id=g:928700
Kapitapita	id=g:928701
Kapiritendele Hills	id=g:928702
Kapirisambo Hill	id=g:928703
Kapirintiya	id=g:928704
Kapirimwana Hill	id=g:928705
Kapirimbewe Hill	id=g:928706
Kapirimaji Hill	id=g:928707
Kapiridzuka Hill	id=g:928708
Kapiridimba	id=g:928709
Kapiri	id=g:928710
Kapiri	id=g:928711
Kapiri	id=g:928712
Kapiri	id=g:928713
Kapinya	id=g:928714
Kapinya	id=g:928715
Kapinga	id=g:928716
Kapindula	id=g:928717
Kapilinthiwa	id=g:928718
Kapika	id=g:928719
Kapida	id=g:928720
Kapicilati	id=g:928721
Kapicila	id=g:928722
Kapicila	id=g:928723
Kapicila	id=g:928724
Kapichira	id=g:928725
Kapichila	id=g:928726
Kapichi	id=g:928727
Kaphya	id=g:928728
Kaphuka	id=g:928729
Kaphiza	id=g:928730
Kaphisi	id=g:928731
Kaphirikadonte Hill	id=g:928732
Kaphiri	id=g:928733
Kaphilijonjo	id=g:928734
Kapheni	id=g:928735
Kaphathenga	id=g:928736
Kaphamtengo	id=g:928737
Kaphaizi	id=g:928738
Kapezi	id=g:928739
Kapezi	id=g:928740
Kapeya School	id=g:928741
Kapeya	id=g:928742
Kapeta	id=g:928743
Kapeska	id=g:928744
Kapesi	id=g:928745
Kapesa Hill	id=g:928746
Kapenuka	id=g:928747
Kapeni Stream	id=g:928748
Kapeni-Mbosanje Court	id=g:928749
Kapeni	id=g:928750
Kapendi Market	id=g:928751
Kapembere Stream	id=g:928752
Kapembelwa School	id=g:928753
Kapembelwa Hills	id=g:928754
Kapelula	id=g:928755
Kapelula	id=g:928756
Kapelula	id=g:928757
Kapaza	id=g:928758
Kapawala	id=g:928759
Kapatuka	id=g:928760
Kapatika	id=g:928761
Kapata Hill	id=g:928762
Kapata Bay	id=g:928763
Kapara	id=g:928764
Kapanula Estate	id=g:928765
Kapanjo Stream	id=g:928766
Kapanje	id=g:928767
Kapanira	id=g:928768
Kapanglika	id=g:928769
Kapangama	id=g:928770
Kapanga	id=g:928771
Kapandula	id=g:928772
Kapandu	id=g:928773
Kapando School	id=g:928774
Kapando	id=g:928775
Kapandama	id=g:928776
Kapampika	id=g:928777
Kapalapata	id=g:928778
Kapalankhwali	id=g:928779
Kapalamula	id=g:928780
Kapalamula	id=g:928781
Kapala Hill	id=g:928782
Kapala Hill	id=g:928783
Kapala	id=g:928784
Kapako	id=g:928785
Kapakasa Swamp	id=g:928786
Kapakasa	id=g:928787
Kapaiza	id=g:928788
Kapaika Hill	id=g:928789
Kapaika	id=g:928790
Kapachi	id=g:928791
Kaongo	id=g:928792
Kaondo	id=g:928793
Kaombe Stream	id=g:928794
Kaombe River	id=g:928795
Kaombe	id=g:928796
Kaombe	id=g:928797
Kaombachidzenje	id=g:928798
Kaomba	id=g:928799
Kaole	id=g:928800
Kaola	id=g:928801
Kaodzela	id=g:928802
Kanzimbi	id=g:928803
Kanzele	id=g:928804
Kanzedu	id=g:928805
Kanzati	id=g:928806
Kanyunya	id=g:928807
Kanyungu Hill	id=g:928808
Kanyungu Dambo	id=g:928809
Kanyungu	id=g:928810
Kanyundo	id=g:928811
Kanyumbaka	id=g:928812
Kanyumba	id=g:928813
Kanyulu	id=g:928814
Kanyuka	id=g:928815
Kanyoto	id=g:928816
Kanyoni	id=g:928817
Kanyole	id=g:928818
Kanyinji	id=g:928819
Kanyinji	id=g:928820
Kanyinji	id=g:928821
Kanyinamwana Hill	id=g:928822
Kanyimbo	id=g:928823
Kanyimbiri	id=g:928824
Kanyimbi	id=g:928825
Kanyika	id=g:928826
Kanyezi	id=g:928827
Kanyerere	id=g:928828
Kanyerere	id=g:928829
Kanyenje	id=g:928830
Kanyenga Hill	id=g:928831
Kanyenduli	id=g:928832
Kanyenda Bondo	id=g:928833
Kanyenda	id=g:928834
Kanyenda	id=g:928835
Kanyenda	id=g:928836
Kanyenda	id=g:928837
Kanyenda	id=g:928838
Kanyenda	id=g:928839
Kanyaza	id=g:928840
Kanyawazi Stream	id=g:928841
Kanyauzi Stream	id=g:928842
Kanyausu	id=g:928843
Kanyanyezi Hill	id=g:928844
Kanyanyesa	id=g:928845
Kanyankhunde School	id=g:928846
Kanyankhari Hill	id=g:928847
Kanyanje	id=g:928848
Kanyangama	id=g:928849
Kanyangala	id=g:928850
Kanyanda	id=g:928851
Kanyamula	id=g:928852
Kanyamngondo	id=g:928853
Kanyambo	id=g:928854
Kanyamatuli Hills	id=g:928855
Kanyama	id=g:928856
Kanyama	id=g:928857
Kanyama	id=g:928858
Kanyakatifa	id=g:928859
Kanunkha	id=g:928860
Kanukura Stream	id=g:928861
Kantungu	id=g:928862
Kantukule	id=g:928863
Kantibulira	id=g:928864
Kanthusi	id=g:928865
Kanthole	id=g:928866
Kantenga Hill	id=g:928867
Kantakalao Hill	id=g:928868
Kansukwa	id=g:928869
Kansilikiza	id=g:928870
Kansile	id=g:928871
Kansala	id=g:928872
Kanongola	id=g:928873
Kanongo Estate	id=g:928874
Kanolo	id=g:928875
Kannene	id=g:928876
Kankwatekuti	id=g:928877
Kankomwa	id=g:928878
Kankomba	id=g:928879
Kankhumbwa	id=g:928880
Kankhomba	id=g:928881
Kankhomba	id=g:928882
Kankhoma	id=g:928883
Kankhande	id=g:928884
Kankhande	id=g:928885
Kanke	id=g:928886
Kanjuli	id=g:928887
Kanjoka Stream	id=g:928888
Kanjobvu School	id=g:928889
Kanjobvu	id=g:928890
Kanjesa	id=g:928891
Kanjesa	id=g:928892
Kanjerengwa	id=g:928893
Kanjengo Moyo	id=g:928894
Kanjedza Stream	id=g:928895
Kanjedza Forest Reserve	id=g:928896
Kanjedza	id=g:928897
Kanjazi Hill	id=g:928898
Kanjawala	id=g:928899
Kanjaruni	id=g:928900
Kanjamwano	id=g:928901
Kanjamwami	id=g:928902
Kanitute	id=g:928903
Kanini Hill	id=g:928904
Kaningina Mountains	id=g:928905
Kaningina Forest Reserve	id=g:928906
Kaninga Stream	id=g:928907
Mount Kaninga	id=g:928908
Kaninga	id=g:928909
Kangwere	id=g:928910
Kangwa	id=g:928911
Kangunje	id=g:928912
Kangunda	id=g:928913
Kangume	id=g:928914
Kangulu	id=g:928915
Kangulu	id=g:928916
Kangula	id=g:928917
Kangoza	id=g:928918
Kan’gonga Hills	id=g:928919
Kangona Stream	id=g:928920
Kangoma Dambo	id=g:928921
Kangoma	id=g:928922
Kangolwa	id=g:928923
Kangolwa	id=g:928924
Kangolwa	id=g:928925
Kangoli Hill	id=g:928926
Kango	id=g:928927
Kango	id=g:928928
Kango	id=g:928929
Kangimbe	id=g:928930
Kangawa	id=g:928931
Kangankunde	id=g:928932
Kangandwe	id=g:928933
Kanga	id=g:928934
Kanfa Dambo	id=g:928935
Kanete Bridge	id=g:928936
Kanengwe	id=g:928937
Kane	id=g:928938
Kandzu	id=g:928939
Kandusu	id=g:928940
Kandusiwa	id=g:928941
Kandulu	id=g:928942
Kandulu	id=g:928943
Kandulo	id=g:928944
