Sungai Mujan	id=g:1736034
Sungai Telanyai	id=g:1736035
Sungai Machan	id=g:1736036
Sungai Menuan	id=g:1736037
Sungai Menangoh	id=g:1736038
Sungai Ngemah	id=g:1736039
Hulu Sungai Ngemah	id=g:1736040
Sungai Poi Kanan	id=g:1736041
Sungai Poi Kiti	id=g:1736042
Sungai Poi	id=g:1736043
Sungai Igan	id=g:1736044
Sungai Igan	id=g:1736045
Sungai Katibas	id=g:1736046
Kampung Wai Besar	id=g:1736047
Nasi Sa Bungas	id=g:1736048
Kampung Tebing Tinggi	id=g:1736049
Alor Lanchang	id=g:1736050
Kampung Ulu Pauh	id=g:1736051
Kampung Sena	id=g:1736052
Kampung Behor Gelam	id=g:1736053
Kampung Behor	id=g:1736054
Kampung Behor Pisang	id=g:1736055
Kampung Behor Chinchar	id=g:1736056
Kampung Behor Inai	id=g:1736057
Kampung Baroh	id=g:1736058
Kampung Baharu	id=g:1736059
Kampung Batu Hampar	id=g:1736060
Kampung Belanga Pudak	id=g:1736061
Kampung Bintong	id=g:1736062
Kampung Bukit	id=g:1736063
Kampung Banat Syed Harun	id=g:1736064
Kampung Guar Ipoh	id=g:1736065
Kampung Guar Gajah	id=g:1736066
Kampung Guar Paya	id=g:1736067
Kampung Guar Sanji	id=g:1736068
Kampung Guar Syed Alwi	id=g:1736069
Kampung Guring	id=g:1736070
Kampung Kebun	id=g:1736071
Kampung Keriang Dan	id=g:1736072
Kampung Kok Kelang	id=g:1736073
Kampung Kota Keran	id=g:1736074
Kampung Jejawi	id=g:1736075
Kampung Hutan Palas	id=g:1736076
Kampung Hujong Bukit	id=g:1736077
Kampung Kechor	id=g:1736078
Kampung Kerangi	id=g:1736079
Kampung Gial	id=g:1736080
Kampung Kubang Paya	id=g:1736081
Kampung Kubang Gajah	id=g:1736082
Kampung Kubang Merenung	id=g:1736083
Kampung Kurong Batang	id=g:1736084
Kampung Padang Behor	id=g:1736085
Kampung Padang Laut	id=g:1736086
Kampung Padang Siding	id=g:1736087
Kampung Padang Telela	id=g:1736088
Kampung Padang Tok Kuning	id=g:1736089
Kampung Padang Pauh	id=g:1736090
Kampung Panggau	id=g:1736091
Kampung Pauh	id=g:1736092
Kampung Kuala Tunggang	id=g:1736093
Kampung Nisam	id=g:1736094
Kampung Masjid	id=g:1736095
Kampung Santan	id=g:1736096
Kampung Oran	id=g:1736097
Kampung Perawah	id=g:1736098
Kampung Peret	id=g:1736099
Kampung Salang	id=g:1736100
Kampung Rambai	id=g:1736101
Balek Bukit	id=g:1736102
Kampung Alor Pulai	id=g:1736103
Kampung Alor Tok Terang	id=g:1736104
Kampung Wang Kelian	id=g:1736105
Kampung Wang Tenggo	id=g:1736106
Kampung Tasoh	id=g:1736107
Kampung Titi Tinggi	id=g:1736108
Kampung Titi Tinggi Hilir	id=g:1736109
Kampung Pelarit	id=g:1736110
Kampung Mata Ayer	id=g:1736111
Kampung Padang Mawa	id=g:1736112
Kampung Sena	id=g:1736113
Kampung Kok Mak	id=g:1736114
Kampung Padang Malau	id=g:1736115
Kampung Padang Lati	id=g:1736116
Kampung Panggas Besar	id=g:1736117
Kampung Paya	id=g:1736118
Kampung Paya	id=g:1736119
Kampung Sungai Abi	id=g:1736120
Kampung Beseri	id=g:1736121
Kampung Belukar	id=g:1736122
Kampung Chuping	id=g:1736123
Kampung Chuping Balek Bukit	id=g:1736124
Kampung Darat	id=g:1736125
Kampung Jelutong	id=g:1736126
Kampung Guar Musang	id=g:1736127
Beseri	id=g:1736128
Kampung Tebing	id=g:1736129
Kampung Dato Kaya Man	id=g:1736130
Kampung Alor Sena	id=g:1736131
Kampung Wang Besar	id=g:1736132
Permatang Bongor	id=g:1736133
Kampung Sungai Pedati	id=g:1736134
Kampung Sungai Padang	id=g:1736135
Kampung Simpang Sanglang	id=g:1736136
Kampung Rama	id=g:1736137
Kampung Permatang Limau Manis	id=g:1736138
Kampung Kepala Batas Pauh	id=g:1736139
Kampung Tok Pulau	id=g:1736140
Kampung Bongor Kudong	id=g:1736141
Kampung Behor Gandin	id=g:1736142
Kampung Behor Latch	id=g:1736143
Kampung Sentua	id=g:1736144
Kampung Sentang	id=g:1736145
Kampung Tambun	id=g:1736146
Padang Benta	id=g:1736147
Kampung Telaga Idi	id=g:1736148
Kampung Telok	id=g:1736149
Kampung Titi Serong	id=g:1736150
Kampung Surau	id=g:1736151
Kampung Sungai Baharu	id=g:1736152
Kampung Hujong Tanjong	id=g:1736153
Kampung Tebok Jin	id=g:1736154
Kampung Tambun Tulang	id=g:1736155
Kampung Ulu	id=g:1736156
Kampung Padang Besar	id=g:1736157
Kampung Padang Besar	id=g:1736158
Kampung Padang Biak	id=g:1736159
Kampung Pulau	id=g:1736160
Kampung Hutan Chelong	id=g:1736161
Kampung Hutan Ibus	id=g:1736162
Kampung Hilir	id=g:1736163
Kampung Guar Ujang Batu	id=g:1736164
Kampung Tanjong Buloh	id=g:1736165
Kampung Besar	id=g:1736166
Kampung Behor Masjid	id=g:1736167
Kampung Binjal	id=g:1736168
Kampung Behor Mempelam	id=g:1736169
Kampung Banat	id=g:1736170
Kampung Banat Bawah	id=g:1736171
Kampung Cheremai	id=g:1736172
Kampung Kayang	id=g:1736173
Kampung Menkuang Layar	id=g:1736174
Sungai Mata Ayer	id=g:1736175
Bukit Mata Ayer	id=g:1736176
Sungai Jarum	id=g:1736177
Sungai Chuchoh	id=g:1736178
Bukit Chabang	id=g:1736179
Padang Padin	id=g:1736180
Sungai Jerneh	id=g:1736181
Sungai Abi	id=g:1736182
Sungai Ramera	id=g:1736183
Sungai Besar	id=g:1736184
Sungai Santan	id=g:1736185
Sungai Chuping	id=g:1736186
Sungai Korok	id=g:1736187
Sungai Kayang	id=g:1736188
Sungai Padang	id=g:1736189
Sungai Baharu	id=g:1736190
Sungai Bugis	id=g:1736191
Sungai Lempiak	id=g:1736192
Sungai Kurong Tengar	id=g:1736193
Sungai Kurong Batang	id=g:1736194
Sungai Tok Pulau	id=g:1736195
Sungai Seriap	id=g:1736196
Sungai Kenchor	id=g:1736197
