Örarna	id=g:3336663
Bergholmen	id=g:3336664
Slåttholmen	id=g:3336665
Västerbergen	id=g:3336666
Hästö	id=g:3336667
Bovik	id=g:3336668
Ramsdalsbergen	id=g:3336669
Lillfjärden	id=g:3336670
Ässkär	id=g:3336671
Husfjärden	id=g:3336672
Berghamn	id=g:3336673
Stenskär	id=g:3336674
Holm	id=g:3336675
Vårdberg	id=g:3336676
Ivarskärsfjärden	id=g:3336677
Näset	id=g:3336678
Svartnö	id=g:3336679
Korrvik	id=g:3336680
Söderskog	id=g:3336681
Sandviksfjärden	id=g:3336682
Björkö	id=g:3336683
Västerfjärden	id=g:3336684
Fasjö	id=g:3336685
Klobbabergen	id=g:3336686
Lerviken	id=g:3336687
Klobba	id=g:3336688
Rörgrund	id=g:3336689
Barskär	id=g:3336690
Skarpnåtö	id=g:3336691
Södra Skabbskär	id=g:3336692
Norra Skabbskär	id=g:3336693
Sommarön	id=g:3336694
Västerfjärden	id=g:3336695
Söderskatan	id=g:3336696
Närmastgrund	id=g:3336697
Baksten	id=g:3336698
Flyttan	id=g:3336699
Lerklobb	id=g:3336700
Mörskär	id=g:3336701
Skråbjörköfjärden	id=g:3336702
Lerviksfjärden	id=g:3336703
Jomalö	id=g:3336704
Korsnäs	id=g:3336705
Flyttan	id=g:3336706
Näsgrynnan	id=g:3336707
Nässkatan	id=g:3336708
Juddskär	id=g:3336709
Haxgrundet	id=g:3336710
Södra Haxen	id=g:3336711
Nässkatan	id=g:3336712
Nässkatören	id=g:3336713
Torskgrund	id=g:3336714
Mellangrund	id=g:3336715
Storgrund	id=g:3336716
Reven	id=g:3336717
Stockgrund	id=g:3336718
Långören	id=g:3336719
Södra Björkskär	id=g:3336720
Norra Björkskär	id=g:3336721
Bakskär	id=g:3336722
Fisköra	id=g:3336723
Långnäs	id=g:3336724
Klobba	id=g:3336725
Svartnö	id=g:3336726
Svatnöfjärden	id=g:3336727
Ekbolsskatan	id=g:3336728
Bläckskär	id=g:3336729
Lassaholmen	id=g:3336730
Inre Fjärden	id=g:3336731
Udden	id=g:3336732
Örträsket	id=g:3336733
Kråkskärsfjärden	id=g:3336734
Fladan	id=g:3336735
Skag	id=g:3336736
Råttgrunden	id=g:3336737
Fadsjöviken	id=g:3336738
Holmviken	id=g:3336739
Träsket	id=g:3336740
Nabbfjärden	id=g:3336741
Flintorna	id=g:3336742
Nabbskatan	id=g:3336743
Holmskatan	id=g:3336744
Sandviken	id=g:3336745
Nabbflyttan	id=g:3336746
Gräsflyttan	id=g:3336747
Koskär	id=g:3336748
Öra	id=g:3336749
Kaja	id=g:3336750
Högskärsörarna	id=g:3336751
Högskärsbådan	id=g:3336752
Orrskär	id=g:3336753
Bådan	id=g:3336754
Smörklobb	id=g:3336755
Ådskärsbådan	id=g:3336756
Stenskär	id=g:3336757
Hamnskär	id=g:3336758
Hällarna	id=g:3336759
