Rio Niputo	id=g:1037642
Minicane	id=g:1037643
Minhoto	id=g:1037644
Rio Minhonhane	id=g:1037645
Monte Minhombe	id=g:1037646
Rio Minhexe	id=g:1037647
Minhêsa	id=g:1037648
Minhaza	id=g:1037649
Minhauíne	id=g:1037650
Minhauene	id=g:1037651
Minhanha	id=g:1037652
Rio Minhanha	id=g:1037653
Minhanga	id=g:1037654
Minhanga	id=g:1037655
Minhamar	id=g:1037656
Lago Minhalichava	id=g:1037657
Minhaleque	id=g:1037658
Minguene	id=g:1037659
Mingorine	id=g:1037660
Mingonha	id=g:1037661
Rio Mingonha	id=g:1037662
Rio Mingonha	id=g:1037663
Monte Mingica	id=g:1037664
Mingano	id=g:1037665
Rio Marrana	id=g:1037666
Mingaca	id=g:1037667
Rio Minga	id=g:1037668
Minga	id=g:1037669
Minete	id=g:1037670
Planície Mine	id=g:1037671
Rio Mindune	id=g:1037672
Chefe Mindu	id=g:1037673
Mindjôbeva	id=g:1037674
Mindje	id=g:1037675
Serra Mindjare	id=g:1037676
Rio Mindimo	id=g:1037677
Mindau	id=g:1037678
Mindai	id=g:1037679
Mincoolo	id=g:1037680
Minato	id=g:1037681
Minato	id=g:1037682
Minaniua	id=g:1037683
Minane	id=g:1037684
Minane	id=g:1037685
Minandoé	id=g:1037686
Chefe Mina	id=g:1037687
Mimbirre	id=g:1037688
Monte Mimbo	id=g:1037689
Muliquela	id=g:1037690
Mimama	id=g:1037691
Rio Miluvi	id=g:1037692
Brejo Miluma	id=g:1037693
Monte Milulo	id=g:1037694
Monte Milove	id=g:1037695
Lago Milongué	id=g:1037696
Rio Milongi	id=g:1037697
Milonga	id=g:1037698
Milola	id=g:1037699
Monte Milocué	id=g:1037700
Milo	id=g:1037701
Ponta Milixa	id=g:1037702
Monte Milite	id=g:1037703
Milione	id=g:1037704
Milione	id=g:1037705
Rio Milicuto	id=g:1037706
Milice	id=g:1037707
Milice	id=g:1037708
Milice	id=g:1037709
Induna Milisse	id=g:1037710
Ponta Milibangalala	id=g:1037711
Aldeia Milepa	id=g:1037712
Milelene	id=g:1037713
Milele	id=g:1037714
Melato	id=g:1037715
Milato	id=g:1037716
Rio Milassa	id=g:1037717
Milapa	id=g:1037718
Milanguivane	id=g:1037719
Milange	id=g:1037720
Milange	id=g:1037721
Rio Milambe	id=g:1037722
Barra Milambe	id=g:1037723
Ponta Milambasima	id=g:1037724
Ponta Milamba	id=g:1037725
Ponta Milamba	id=g:1037726
Mecalene	id=g:1037727
Milalande	id=g:1037728
Milagre	id=g:1037729
Rio Milage	id=g:1037730
Milado	id=g:1037731
Milado	id=g:1037732
Mijubeque	id=g:1037733
Mihoio	id=g:1037734
Rio Mihuvo	id=g:1037735
Rio Miézi	id=g:1037736
Miha	id=g:1037737
Baixo Miguel	id=g:1037738
Miguel	id=g:1037739
Miguel	id=g:1037740
Miguel	id=g:1037741
Miguel	id=g:1037742
Miguel	id=g:1037743
Migue	id=g:1037744
Migosa	id=g:1037745
Migosa	id=g:1037746
Migonha	id=g:1037747
Rio Migonha	id=g:1037748
Migoia	id=g:1037749
Migói	id=g:1037750
Miganga	id=g:1037751
Myezi	id=g:1037752
Mieva	id=g:1037753
Lago Miere	id=g:1037754
Rio Micó	id=g:1037755
Monte Mielenge	id=g:1037756
Rio Mieje	id=g:1037757
Rio Mieane	id=g:1037758
Mehécuè	id=g:1037759
Midumbe	id=g:1037760
Midove	id=g:1037761
Midoco	id=g:1037762
Midalene	id=g:1037763
Mida	id=g:1037764
Micuto	id=g:1037765
Rio Micute	id=g:1037766
Chefe Micuta	id=g:1037767
Micuta	id=g:1037768
Ilha Micungune	id=g:1037769
Ilha Micune	id=g:1037770
Micunde	id=g:1037771
Micunda	id=g:1037772
Micuna	id=g:1037773
Miculungo	id=g:1037774
Micunimo	id=g:1037775
Mauluma	id=g:1037776
Micuhame	id=g:1037777
Monte Niculo	id=g:1037778
Miculane	id=g:1037779
Monte Micuia	id=g:1037780
Micugune	id=g:1037781
Micuco	id=g:1037782
Micuco	id=g:1037783
Micuanguane	id=g:1037784
Micuaéne	id=g:1037785
Monte Micua	id=g:1037786
Micua	id=g:1037787
Lagoa Micóva	id=g:1037788
Micotchi	id=g:1037789
Monte Micotani	id=g:1037790
Micongo	id=g:1037791
Micolene	id=g:1037792
Micôco	id=g:1037793
Monte Micoche	id=g:1037794
Rio Micoca	id=g:1037795
Chefe Mucarro	id=g:1037796
Serra Michuro	id=g:1037797
Michone	id=g:1037798
Monte Michocho	id=g:1037799
Michiria	id=g:1037800
Monte Michine	id=g:1037801
Micheu	id=g:1037802
Michesa	id=g:1037803
Michengege	id=g:1037804
Micevene	id=g:1037805
Miceve	id=g:1037806
Miceti	id=g:1037807
Micaune	id=g:1037808
Micaúne	id=g:1037809
Micauene	id=g:1037810
Monte Micangene	id=g:1037811
Micanga	id=g:1037812
Rio Micani	id=g:1037813
Micanda	id=g:1037814
Micalame	id=g:1037815
Mica	id=g:1037816
Mica	id=g:1037817
Mica	id=g:1037818
Mica	id=g:1037819
Mica	id=g:1037820
Mica	id=g:1037821
Monte Mebupiane	id=g:1037822
Rio Miava	id=g:1037823
Rio Miaua	id=g:1037824
Rio Miava	id=g:1037825
Praia Miási	id=g:1037826
Ponta Miási	id=g:1037827
Monte Miare	id=g:1037828
Rio Mehàpui	id=g:1037829
Miaóla	id=g:1037830
Miandica	id=g:1037831
Rio Miamo	id=g:1037832
Miali	id=g:1037833
Mialene	id=g:1037834
Niala	id=g:1037835
Miala	id=g:1037836
Miai	id=g:1037837
Rio Mieane	id=g:1037838
Miácua	id=g:1037839
Monte Miacone	id=g:1037840
Rio Miacone	id=g:1037841
Mgunha	id=g:1037843
Mgunha	id=g:1037844
Loguaja	id=g:1037845
Mgoani	id=g:1037846
Chefe Mungazi	id=g:1037847
M’garula	id=g:1037848
Mfussi	id=g:1037849
M’fócué	id=g:1037850
M’fio	id=g:1037851
Mezunguza	id=g:1037852
Mezungulume	id=g:1037853
Mezunda	id=g:1037854
Mezui	id=g:1037855
