Lazau	id=g:1100719
Joina	id=g:1100720
Matoco	id=g:1100721
Vudeje	id=g:1100722
Santa Maria	id=g:1100723
Santa Ana	id=g:1100724
Santa Tereza	id=g:1100725
Tonela	id=g:1100726
Merca	id=g:1100727
Chefe Macachula	id=g:1100728
Uiane	id=g:1100729
Chivale	id=g:1100730
Salomone	id=g:1100731
Gonnamo	id=g:1100732
Lago Lingua	id=g:1100733
Lago Mabalane	id=g:1100734
Baleluane	id=g:1100735
Chicambane	id=g:1100736
Lago Muptsa	id=g:1100737
Lago Mavedjengue	id=g:1100738
Nhauchico	id=g:1100739
Chanuamba	id=g:1100740
Cabe	id=g:1100741
Lago Xipatsa	id=g:1100742
Andela	id=g:1100743
Chefe Tiane	id=g:1100745
Gonmane	id=g:1100746
Chefe Quebo	id=g:1100747
Chefe Marrambana	id=g:1100748
Lago Matsanzanhe	id=g:1100749
Chefe Nhatsitsi	id=g:1100750
Simanco	id=g:1100751
Chefe Mubangoene	id=g:1100752
Lago Docoveia	id=g:1100753
Santo Ambrósio	id=g:1100754
Santa Isabel	id=g:1100755
Sinava	id=g:1100756
Lago Nhapopo	id=g:1100757
Lago Cassative	id=g:1100758
Nossa Senhora do Rosário	id=g:1100759
Fulau	id=g:1100760
Nova Lousã	id=g:1100761
Chefe Pai	id=g:1100762
Chefe Sainda	id=g:1100763
Fernando	id=g:1100764
Chefe Tsatsane	id=g:1100765
Chefe Catine	id=g:1100766
Santo António	id=g:1100767
Chefe Magacimbe	id=g:1100768
Beato Nuno de Santa Maria	id=g:1100769
São Pedro e São Paulo	id=g:1100770
Sílvia Filimão	id=g:1100771
Mudanua	id=g:1100772
Abel	id=g:1100773
Chefe Chibangue	id=g:1100774
São Luís	id=g:1100775
Setela	id=g:1100776
Nonga	id=g:1100777
Naife	id=g:1100778
Uanicela	id=g:1100779
Chibangue	id=g:1100780
Cat. Metodista	id=g:1100781
São Leonardo	id=g:1100782
Malando	id=g:1100783
Silva	id=g:1100784
Manuel	id=g:1100785
Chefe Massace	id=g:1100786
Davi	id=g:1100787
João	id=g:1100788
Bento	id=g:1100789
Passe	id=g:1100790
Cabo Malamba	id=g:1100791
Passe	id=g:1100792
Lago Magueuane	id=g:1100793
Lago Nhamateu	id=g:1100794
Lago Nhamaquinguele	id=g:1100795
São Cecilia	id=g:1100796
Guilande	id=g:1100797
Ducane	id=g:1100798
Hamela	id=g:1100799
Laíta	id=g:1100800
