Lake Ji	id=g:2336149
Jewoese	id=g:2336150
Jevel	id=g:2336151
Jeunkunnu	id=g:2336152
Jeunkunnu	id=g:2336153
Jeunkunnu	id=g:2336154
Jessu	id=g:2336155
Jerhe	id=g:2336156
Jerwa	id=g:2336157
Jero	id=g:2336158
Mayo Jerngel	id=g:2336159
Jerkoya	id=g:2336160
Jerkam	id=g:2336161
River Jerimi	id=g:2336162
Jerimi	id=g:2336163
Jerikom	id=g:2336164
Jericho Oluna	id=g:2336165
Jericho Odaubialagu	id=g:2336166
Jeri	id=g:2336167
Jeri	id=g:2336168
Jere Peak	id=g:2336169
Jere Forest Reserve	id=g:2336170
Jeree	id=g:2336171
Jere	id=g:2336172
Jere	id=g:2336173
Jere	id=g:2336174
Jere	id=g:2336175
Jerdedi	id=g:2336176
Jerdadi	id=g:2336177
Jerau	id=g:2336178
Jerani	id=g:2336179
Jer	id=g:2336180
Jepal	id=g:2336181
Jenyawe	id=g:2336182
Jenyau	id=g:2336183
Jenue	id=g:2336184
Jentulu Hill	id=g:2336185
Jenta	id=g:2336186
Jen Mere	id=g:2336187
Jenkpa	id=g:2336188
Jen Kaigama	id=g:2336189
Jengre	id=g:2336190
Jengefe	id=g:2336191
Jenge	id=g:2336192
Jengba	id=g:2336193
Jenda	id=g:2336194
Jenda	id=g:2336195
Jenbambu	id=g:2336196
Lake Fena	id=g:2336197
Jen	id=g:2336198
Jen	id=g:2336199
Jemyeri	id=g:2336200
Jemyeri	id=g:2336201
Jemuri	id=g:2336202
Jem Petel	id=g:2336203
Jemidudu	id=g:2336204
Jema Hill	id=g:2336205
Jemaan Gayam	id=g:2336206
Jemaa River	id=g:2336207
Jemaa	id=g:2336208
Jemaa	id=g:2336209
Fema	id=g:2336210
Jelvani	id=g:2336211
Jele-Jele Island	id=g:2336212
Fajaldu	id=g:2336213
Jelawa	id=g:2336214
Jelauko	id=g:2336215
Jela	id=g:2336216
Jekuka	id=g:2336217
Jekogi	id=g:2336218
Jeki	id=g:2336219
Jeki	id=g:2336220
Jekel	id=g:2336221
Jeke	id=g:2336222
Jekareda	id=g:2336223
Jekana	id=g:2336224
Jekafada Hill	id=g:2336225
Ajigenna	id=g:2336226
Jejin Kudu	id=g:2336227
Jeje	id=g:2336228
Jeje	id=g:2336229
Jeje	id=g:2336230
Jegede	id=g:2336231
Jegede	id=g:2336232
Jegede	id=g:2336233
Jege	id=g:2336234
Jegara Waji	id=g:2336235
Jegan Maunde	id=g:2336236
Jega	id=g:2336237
Jefe	id=g:2336238
River Jednadalaso	id=g:2336239
River Jedna	id=g:2336240
Jedna	id=g:2336241
Jedi	id=g:2336242
Jeddo	id=g:2336243
River Jebjeb	id=g:2336244
Jebjeb	id=g:2336245
Jebjeb	id=g:2336246
Jebga	id=g:2336247
Jebeni	id=g:2336248
Jebba Hills	id=g:2336249
Jebba Forest Reserve	id=g:2336250
Jebba	id=g:2336251
Je	id=g:2336252
Jazu	id=g:2336253
Jazaka	id=g:2336254
Jayi	id=g:2336255
River Jaydna	id=g:2336256
Jaydna	id=g:2336257
Jaya	id=g:2336258
Jawur	id=g:2336259
Jawo	id=g:2336260
Jawi	id=g:2336261
River Jaware	id=g:2336262
Jawa	id=g:2336263
Jawa	id=g:2336264
Javela	id=g:2336265
Jauro Zinki	id=g:2336266
Jauro Yinu	id=g:2336267
Jauro Yaji	id=g:2336268
Jauro Yahaya	id=g:2336269
Jauro Wundingo	id=g:2336270
Jauro Wangu	id=g:2336271
Jauro Wala	id=g:2336272
Jauro Voti	id=g:2336273
Jauro Umaru	id=g:2336274
Jauro Umaru	id=g:2336275
Jauro Tuku	id=g:2336276
Jauro Tapare	id=g:2336277
Jauro Sule	id=g:2336278
Jauro Sidi	id=g:2336279
Jauro Shomwa	id=g:2336280
Jauro Shofo	id=g:2336281
Jauro Sheudo	id=g:2336282
Jauro Shebu	id=g:2336283
Jauro Sent	id=g:2336284
Jauro Saweli	id=g:2336285
Jauro Sanda	id=g:2336286
Jauro Sale	id=g:2336287
Jauro Papa	id=g:2336288
Jauro Nyama	id=g:2336289
Jauro Nubin	id=g:2336290
Jauro Noko	id=g:2336291
Jauro Miya	id=g:2336292
Jauro Misa	id=g:2336293
Jauro Mashi	id=g:2336294
Jauro Mani Nzebe	id=g:2336295
Jauro Mallam	id=g:2336296
Jauro Majo	id=g:2336297
Jauro Maje	id=g:2336298
Jauro Magu	id=g:2336299
Jauro Luman	id=g:2336300
Jauro Kurungu	id=g:2336301
Jauro Kubura	id=g:2336302
Jauro Kedu	id=g:2336303
Jauro Karlahi	id=g:2336304
Jauro Jaudi	id=g:2336305
Jauro Jalo	id=g:2336306
Jauro Jalo	id=g:2336307
Jauro Joda	id=g:2336308
Jauro Joda	id=g:2336309
Jauro Joda	id=g:2336310
Jauro Iya	id=g:2336311
Jauro Hamma Tukar	id=g:2336312
Jauro Hamawa	id=g:2336313
Jauro Haman	id=g:2336314
Jauro Hamajoda	id=g:2336315
Jauro Gotel	id=g:2336316
Jauro Gotel	id=g:2336317
Jauro Gomki	id=g:2336318
Jauro Gombi	id=g:2336319
Jauro Girji	id=g:2336320
Jauro Gelado	id=g:2336321
Jauro Gatani	id=g:2336322
Jauro Garmaho	id=g:2336323
Jauro Garba	id=g:2336324
Garaba	id=g:2336325
Jauro Ganau	id=g:2336326
Jauro Gabdo	id=g:2336327
Jauro Fuen	id=g:2336328
Jauro Duvo	id=g:2336329
Jauro Dogo	id=g:2336330
Jauro Dewa	id=g:2336331
Jauro Danwei	id=g:2336332
Jauro Buba	id=g:2336333
Jauro Buba	id=g:2336334
Jauro Buba	id=g:2336335
Jauro Boli	id=g:2336336
Jauro Bello	id=g:2336337
Jauro Belleri	id=g:2336338
Jauro Belel	id=g:2336339
Jauro Ba Nasarawo	id=g:2336340
Jauro Bamvo	id=g:2336341
Jauro Babale	id=g:2336342
Jauro Baba	id=g:2336343
Jauro Baba	id=g:2336344
Jauro Awa	id=g:2336345
Jauro Amadu	id=g:2336346
Jauro Amadu	id=g:2336347
Jauro Alim	id=g:2336348
Jauro Ali	id=g:2336349
Jauro Alhaji	id=g:2336350
Jauro Adamu Yampina	id=g:2336351
Jauro Adamu Jiri	id=g:2336352
Jauro Adamu	id=g:2336353
Jauro Adamu	id=g:2336354
