Brendeåsen	id=g:3160070
Bremsteinen	id=g:3160071
Bremsnesfjorden	id=g:3160073
Bremsnes	id=g:3160074
Bremsa	id=g:3160075
Storbrimøya	id=g:3160076
Bremneset	id=g:3160078
Bremnes	id=g:3160079
Bremnes	id=g:3160080
Bremnes	id=g:3160081
Svortland	id=g:3160082
Bremnes	id=g:3160083
Bremnes	id=g:3160084
Brembusætra	id=g:3160085
Brembu	id=g:3160086
Bremangerpollen	id=g:3160087
Bremangerpollen	id=g:3160088
Bremangerlandet	id=g:3160089
Bremanger	id=g:3160090
Bremanger	id=g:3160091
Brelandsvatn	id=g:3160092
Breland	id=g:3160093
Breland	id=g:3160094
Breksæter	id=g:3160095
Brekosen	id=g:3160096
Brekkvatnet	id=g:3160097
Brekkvasselv	id=g:3160098
Brekkum	id=g:3160099
Brekstad	id=g:3160100
Brekksillan	id=g:3160101
Brekko	id=g:3160102
Brekkhus	id=g:3160103
Brekkestøl	id=g:3160104
Brekkestøl	id=g:3160105
Brekkestø	id=g:3160106
Brekkesætra	id=g:3160107
Brekken	id=g:3160109
Brekken	id=g:3160110
Brekkehytta	id=g:3160111
Brekkebygda	id=g:3160113
Brekke	id=g:3160114
Brekke	id=g:3160115
Brekke	id=g:3160116
Brekke	id=g:3160117
Brekke	id=g:3160118
Brekke	id=g:3160119
Brekke	id=g:3160120
Brekke	id=g:3160121
Brekke	id=g:3160122
Brekke	id=g:3160123
Brekke	id=g:3160124
Brekke	id=g:3160125
Brekke	id=g:3160126
Brekke	id=g:3160127
Brekke	id=g:3160128
Brekke	id=g:3160129
Brekke	id=g:3160130
Brekke	id=g:3160131
Brekkan	id=g:3160132
Brekka	id=g:3160133
Brekka	id=g:3160134
Brekka	id=g:3160135
Brekka	id=g:3160136
Brekka	id=g:3160137
Brekka	id=g:3160138
Brekka	id=g:3160139
Brekka	id=g:3160140
Brekka	id=g:3160141
Brekka	id=g:3160142
Brekka	id=g:3160143
Brekka	id=g:3160144
Brekk	id=g:3160145
Brekk	id=g:3160146
Breive	id=g:3160147
Breivad	id=g:3160148
Breidtinden	id=g:3160149
Breiskallen	id=g:3160150
Breisåsen	id=g:3160151
Beinsnes	id=g:3160152
Breimsvatnet	id=g:3160153
Breim	id=g:3160155
Breifossmoen	id=g:3160156
Breifonn	id=g:3160157
Breidvoll	id=g:3160158
Breidvikvatnet	id=g:3160159
Breidvikskjer	id=g:3160160
Breidviknes	id=g:3160161
Breidvika	id=g:3160162
Breidvika	id=g:3160163
Breidvika	id=g:3160164
Breidvika	id=g:3160165
Breidvika	id=g:3160166
Breidvika	id=g:3160167
Breidvika	id=g:3160168
Breidvik	id=g:3160169
Breidvika	id=g:3160170
Breidvik	id=g:3160171
Breidvika	id=g:3160172
Breidvik	id=g:3160173
Breidvika	id=g:3160174
Breidvik	id=g:3160175
Breidvik	id=g:3160176
Breidvik	id=g:3160177
Breidvik	id=g:3160178
Breidvik	id=g:3160179
Breidvik	id=g:3160180
Breidvik	id=g:3160181
