Gjeskevikvatnet	id=g:3223947
Giskevik	id=g:3223948
Gjeskevika	id=g:3223949
Lysgrunnen	id=g:3223950
Urdneset	id=g:3223951
Storvika	id=g:3223952
Selvågneset	id=g:3223953
Rødberget	id=g:3223954
Løksefjorden	id=g:3223957
Løksegrunnen	id=g:3223958
Slettebukta	id=g:3223959
Kleivgrunnen	id=g:3223960
Haugneset	id=g:3223961
Vikholt	id=g:3223962
Medby	id=g:3223963
Teisteberget	id=g:3223964
Trollvika	id=g:3223965
Trollvikneset	id=g:3223966
Rotvikvatnet	id=g:3223967
Tenneset	id=g:3223968
Håkavikvatnet	id=g:3223969
Lauvikneset	id=g:3223970
Ikarneset	id=g:3223971
Storneset	id=g:3223972
Ikarvika	id=g:3223973
Salangslian	id=g:3223974
Lysgrunnen	id=g:3223975
Trineset	id=g:3223977
Kjelkevika	id=g:3223978
Urneset	id=g:3223979
Lavangsneset	id=g:3223980
Skjelsteinan	id=g:3223981
Kvanntovika	id=g:3223982
Gjeskenesodden	id=g:3223983
Årbosnova	id=g:3223984
Årbostinden	id=g:3223985
Bottolvikklubben	id=g:3223986
Storevla	id=g:3223987
Rødberg	id=g:3223989
Larsevika	id=g:3223990
Vindhammaren	id=g:3223991
Finntilneset	id=g:3223992
Storvik	id=g:3223993
Bjørnvik	id=g:3223994
Hellarvikgrunnen	id=g:3223995
Mjøsundholmen	id=g:3223996
Danielberget	id=g:3223997
Kvalvika	id=g:3223998
Langneset	id=g:3223999
Sørvika	id=g:3224000
Storsteinneset	id=g:3224001
Hestneset	id=g:3224003
Storevla	id=g:3224005
Hamnelva	id=g:3224006
Viknes	id=g:3224007
Langlitinden	id=g:3224008
Krausevatnet	id=g:3224009
Jektevikvatnet	id=g:3224010
Storelvvatnet	id=g:3224011
Storelva	id=g:3224012
Mørkevatnet	id=g:3224013
Vasskardvatnet	id=g:3224014
Vasskardtinden	id=g:3224015
Trollvikneset	id=g:3224016
Bronkeberg	id=g:3224017
Skjelelva	id=g:3224018
Ytre Laberget	id=g:3224019
Indre Laberget	id=g:3224020
Juliusvatnet	id=g:3224021
Restinden	id=g:3224022
Rundtinden	id=g:3224023
Skjervik	id=g:3224024
Finnevikneset	id=g:3224025
Klåpneset	id=g:3224026
Tykkeneset	id=g:3224027
Straumen	id=g:3224028
Skjervik	id=g:3224029
Klubben	id=g:3224030
Sandneset	id=g:3224031
Vasskardelva	id=g:3224032
Nymo	id=g:3224033
Straumbotn	id=g:3224034
Storsteinneset	id=g:3224035
Kobbeskjer	id=g:3224036
Kråtinden	id=g:3224037
Kveldro	id=g:3224038
Årsand	id=g:3224039
Årneset	id=g:3224040
Flatholmen	id=g:3224041
Småseigrunnen	id=g:3224042
Tyvholmen	id=g:3224043
Sørvika	id=g:3224044
Aspelia	id=g:3224045
Hamran	id=g:3224046
Breidvika	id=g:3224047
Ørstein	id=g:3224048
Ytterkleiva	id=g:3224049
Innerkleiva	id=g:3224050
Vindhammaren	id=g:3224051
Gregusvika	id=g:3224052
Ånstadbekken	id=g:3224053
Svarthammaren	id=g:3224054
Skjelnes	id=g:3224055
Skjelnesplassen	id=g:3224056
Plasselva	id=g:3224057
Reinland	id=g:3224058
Megamberget	id=g:3224059
Elveneset	id=g:3224060
Reite	id=g:3224061
Ringsås	id=g:3224062
Revholmen	id=g:3224063
Lammøya	id=g:3224064
Nakkevatnet	id=g:3224065
Slumpeneset	id=g:3224066
Rissegrunnen	id=g:3224067
Finnøya	id=g:3224068
Kantarholmen	id=g:3224069
Kantargrunnen	id=g:3224070
Medbyholmen	id=g:3224071
Stilkeneset	id=g:3224072
Storøya	id=g:3224073
Ollervika	id=g:3224074
Demma	id=g:3224075
Yttergården	id=g:3224076
Innergården	id=g:3224077
Skårvikelva	id=g:3224078
Mælen	id=g:3224079
Skårvika	id=g:3224080
Storkaravika	id=g:3224081
Otterågrunnen	id=g:3224082
Garsnes	id=g:3224083
Saghamna	id=g:3224084
Laberget	id=g:3224085
Andgamvik	id=g:3224086
Otteråa	id=g:3224087
Vika	id=g:3224101
Botnelva	id=g:3224103
Øvre Botn	id=g:3224104
Nedre Botn	id=g:3224105
Steinbergneset	id=g:3224126
Osneset	id=g:3224127
Bøfølingen	id=g:3224130
Griptarene	id=g:3224132
Gallbergneset	id=g:3224141
Nordklakken	id=g:3224142
Kilagrunnen	id=g:3224143
Nordkleppen	id=g:3224145
Kilaholmen	id=g:3224146
Breidvika	id=g:3224148
Oldra	id=g:3224149
Kilbotn	id=g:3224151
Vindheim	id=g:3224152
Nygrunn	id=g:3224156
Vestkleppen	id=g:3224158
Langtaren	id=g:3224159
Barnvika	id=g:3224160
Aspaker	id=g:3224164
Finnhammargrunnen	id=g:3224165
Valøyodden	id=g:3224166
Kilhamna	id=g:3224167
Holtet	id=g:3224168
Mekile	id=g:3224169
Kleiva	id=g:3224170
Finvika	id=g:3224171
Småholman	id=g:3224172
Småholmgrunnen	id=g:3224173
Steingrunnen	id=g:3224174
Lysbotn	id=g:3224175
Klubbholmgrunnen	id=g:3224176
Klubbholmen	id=g:3224178
Blåfjellet	id=g:3224195
Bottelvatnet	id=g:3224196
Steinbåen	id=g:3224197
Oddehølen	id=g:3224198
Tennvatnet	id=g:3224201
Finnslettheia	id=g:3224202
Silsingodden	id=g:3224203
Nattmålsnuten	id=g:3224204
Rusboen	id=g:3224205
Ramnflogåsen	id=g:3224206
Fuglneset	id=g:3224208
Rebbåfallet	id=g:3224209
Oddebelgen	id=g:3224210
Lysbotn	id=g:3224211
Hamnholmen	id=g:3224213
Holberg	id=g:3224214
Vika	id=g:3224215
Skyholmen	id=g:3224216
Brattværsfallet	id=g:3224217
Einholmen	id=g:3224218
Brattværstarene	id=g:3224219
Kalvegrunnen	id=g:3224221
Fuglskjergrunnen	id=g:3224222
Husøya	id=g:3224224
Hestøya	id=g:3224225
Kråknesskallen	id=g:3224226
Hammargrunnen	id=g:3224228
Hælnakkneset	id=g:3224229
Kjøpmannsgrunnen	id=g:3224230
Alskjeret	id=g:3224231
Langgrunnen	id=g:3224232
Einholmgrunnen	id=g:3224233
Konten	id=g:3224235
Flaksbåen	id=g:3224236
Litleforneset	id=g:3224237
Nordvika	id=g:3224238
Storbåen	id=g:3224239
Lilleforsundet	id=g:3224240
Nordre Kjempeskjergrunnen	id=g:3224241
Søre Kjempeskjergrunnen	id=g:3224242
Remman	id=g:3224243
Storvika	id=g:3224244
Hilverskjeret	id=g:3224245
Skansflua	id=g:3224247
Kjempeskjerhaug	id=g:3224248
Litleholtet	id=g:3224250
Foravatnet	id=g:3224251
Litlefora	id=g:3224252
Storfora	id=g:3224253
Nordvikelva	id=g:3224255
Nordvikosen	id=g:3224256
Gabet	id=g:3224257
Mulen	id=g:3224258
Melvikvatnet	id=g:3224259
Andholmen	id=g:3224264
Leiskjera	id=g:3224267
Håskjera	id=g:3224271
Melvikøya	id=g:3224281
Melvika	id=g:3224282
Steingrunnen	id=g:3224283
Gjerdneset	id=g:3224284
Kjørholmgrunnen	id=g:3224285
Kjørholmen	id=g:3224286
Vardgrunnen	id=g:3224287
Kvaløya	id=g:3224288
Selavågen	id=g:3224289
Halsebøneset	id=g:3224290
Kvanneset	id=g:3224291
Brokvika	id=g:3224292
Halsebø	id=g:3224293
Halsebøhågen	id=g:3224294
Vikevatnet	id=g:3224295
Valen	id=g:3224296
Oksebåsen	id=g:3224297
Notlaget	id=g:3224298
Steglholmen	id=g:3224299
Tåkebåen	id=g:3224300
Klakkavågen	id=g:3224301
Nordskallen	id=g:3224302
Hesjevika	id=g:3224304
Langskjeret	id=g:3224305
Brenna	id=g:3224308
Svartvika	id=g:3224309
Svartskjeret	id=g:3224310
Kvitnesveten	id=g:3224311
Langkvitneset	id=g:3224312
Steinlandsstraumen	id=g:3224313
Leikvika	id=g:3224330
Leikvikfjellet	id=g:3224331
Vollstadheia	id=g:3224339
Leikvikhamna	id=g:3224340
Mjølkerågrunnen	id=g:3224341
Hoyåskollen	id=g:3224342
Gausvikvatnet	id=g:3224343
Storelva	id=g:3224344
Snipholmen	id=g:3224345
Djuphamnsneset	id=g:3224346
Djuphamn	id=g:3224347
Pilneset	id=g:3224348
Haukebøgalten	id=g:3224349
Lille Skånland	id=g:3224350
Kollan	id=g:3224352
Langvatnan	id=g:3224353
Breineset	id=g:3224355
Årbogvatnet	id=g:3224356
Haukebøvatnet	id=g:3224357
Haukebøtinden	id=g:3224358
Aurvatnet	id=g:3224359
Botnfjellet	id=g:3224364
Storvatnet	id=g:3224365
Kvitskredfjellet	id=g:3224367
Finngamman	id=g:3224368
Storelva	id=g:3224370
Litleholmen	id=g:3224373
Stakksvollholmen	id=g:3224375
Kongsvika	id=g:3224376
Stortindvatnan	id=g:3224378
Taraldviktinden	id=g:3224379
Forskolten	id=g:3224380
Mellomgrunnen	id=g:3224381
Klubbskjeret	id=g:3224382
Salttønna	id=g:3224383
Gråsteingrunnen	id=g:3224384
Sveholmen	id=g:3224385
Langosen	id=g:3224386
Langosen	id=g:3224387
Litleskallen	id=g:3224388
Gregusskallen	id=g:3224389
Taraldvikgrunnen	id=g:3224390
Skjelberg	id=g:3224391
Buskjeret	id=g:3224393
Stengvatnet	id=g:3224394
Klubben	id=g:3224395
Grasholmvalen	id=g:3224397
Litlegrunnen	id=g:3224399
Skaggrunnen	id=g:3224400
Kistholmen	id=g:3224401
Fiskøybukta	id=g:3224402
Djupvalen	id=g:3224403
Båtvika	id=g:3224405
Gullskjeret	id=g:3224406
Lineset	id=g:3224407
Mulneset	id=g:3224408
Slåttøya	id=g:3224410
Kobbeskjeret	id=g:3224412
Kobbeneset	id=g:3224413
Kongensvann	id=g:3224416
Munkskjeret	id=g:3224422
Djupfest	id=g:3224423
Djupfestskallen	id=g:3224424
Hestvik	id=g:3224425
Digermulen	id=g:3224426
Straumselva	id=g:3224427
Jotindvatnan	id=g:3224428
Rambøvika	id=g:3224429
Sandsvatnet	id=g:3224431
Måbergtua	id=g:3224432
Trollfjellet	id=g:3224437
Glåmen	id=g:3224438
Gregusvatnan	id=g:3224439
Finnstøa	id=g:3224443
Sandsskjeret	id=g:3224445
Lysbotn	id=g:3224446
Ballstadåsen	id=g:3224447
Klungneset	id=g:3224448
Ulvika	id=g:3224450
Ulvikfjellet	id=g:3224451
Ballstad	id=g:3224452
Ballstadstraumen	id=g:3224453
Steinsvika	id=g:3224454
Hovsneset	id=g:3224455
Sæterklåren	id=g:3224456
Hårviksstranda	id=g:3224458
Hårvikskallen	id=g:3224459
Hol	id=g:3224460
Hårberget	id=g:3224461
Stornesgrunnen	id=g:3224462
Meklakken	id=g:3224467
Grunnflua	id=g:3224468
Storskjeret	id=g:3224484
Store Skånland	id=g:3224485
Trøsheim	id=g:3224486
Bøneset	id=g:3224487
Hansosen	id=g:3224488
Okseberget	id=g:3224489
Lavangsholman	id=g:3224490
Nygård	id=g:3224491
Otterå	id=g:3224492
Bakkland	id=g:3224493
Landsholmen	id=g:3224494
Liabukta	id=g:3224495
Tøgrunnen	id=g:3224496
Hammaren	id=g:3224497
Fosflua	id=g:3224498
