Veten	id=g:3241165
Tellvik	id=g:3241166
Tellvikelvi	id=g:3241167
Tellviki	id=g:3241168
Hordvikneset	id=g:3241169
Steinstøi	id=g:3241170
Hordvikhamnen	id=g:3241171
Sørfjordskallen	id=g:3241172
Hamarsflui	id=g:3241173
Nepstad	id=g:3241174
Grottveit	id=g:3241175
Gladihaug	id=g:3241176
Vestre Ramsøygrunnen	id=g:3241180
Søre Ramsøygrunnen	id=g:3241181
Hillesøyni	id=g:3241182
Store Lauvøyni	id=g:3241183
Nordre Ramsøygrunnen	id=g:3241184
Lauvøyflua	id=g:3241185
Småværa	id=g:3241187
Hauglandsøy	id=g:3241188
Vardøyni	id=g:3241189
Vardøyflua	id=g:3241191
Jektavik	id=g:3241194
Nipa	id=g:3241196
Boti	id=g:3241197
Hanøyklubben	id=g:3241198
Gulskjeret	id=g:3241199
Bollholmane	id=g:3241201
Hanøytangen	id=g:3241203
Steinsundskjeri	id=g:3241205
Steinsundet	id=g:3241207
Utfarvika	id=g:3241210
Ytre Storaviki	id=g:3241211
Indre Storaviki	id=g:3241212
Langøyni	id=g:3241213
Vardaneset	id=g:3241215
Eide	id=g:3241216
Krossneset	id=g:3241217
Tveitevågskolten	id=g:3241218
Musvær	id=g:3241219
Laksholmen	id=g:3241220
Landholmen	id=g:3241221
Tveitevågen	id=g:3241222
Tveitevåg	id=g:3241223
Storavatnet	id=g:3241224
Hauglandsosen	id=g:3241225
Rotholmbåen	id=g:3241226
Grønavik	id=g:3241227
Rotholmen	id=g:3241228
Hauglandshella	id=g:3241230
Hillaren	id=g:3241232
Vestertaren	id=g:3241233
Tømmerviki	id=g:3241235
Knappen	id=g:3241236
Risholmen	id=g:3241237
Håholmen	id=g:3241239
Gullskjeret	id=g:3241240
Knivholmen	id=g:3241242
Pollen	id=g:3241243
Ersholmen	id=g:3241244
Juviki	id=g:3241245
Lavik	id=g:3241247
Pøylelvi	id=g:3241248
Ingersvatnet	id=g:3241250
Storåsen	id=g:3241252
Dalamoen	id=g:3241259
Horsøyni	id=g:3241261
Storgrunnen	id=g:3241264
Kråkåsvågen	id=g:3241285
Solberg	id=g:3241287
Storevågen	id=g:3241288
Hølen	id=g:3241292
Veidvågen	id=g:3241294
Eide	id=g:3241297
Mefjordskjeran	id=g:3241298
Vengsøygrunnen	id=g:3241302
Kråkåsvatnet	id=g:3241303
Mefjordskallen	id=g:3241305
Myrsletta	id=g:3241307
Myreng	id=g:3241308
Naustbukta	id=g:3241311
Puskevik	id=g:3241312
Toften	id=g:3241317
Litlesundgrunnen	id=g:3241319
Jektvik	id=g:3241323
Vengsvik	id=g:3241324
Vengsøytinden	id=g:3241346
Ytre Sotnesskolten	id=g:3241347
Kvitberggrunnen	id=g:3241351
Hundneset	id=g:3241352
Haugan	id=g:3241355
Nedre Kleppe	id=g:3241370
Øvre Kleppe	id=g:3241371
Damskjeret	id=g:3241374
Folleseåsen	id=g:3241375
Strusshamnvatnet	id=g:3241376
Straumberget	id=g:3241377
Marikovneset	id=g:3241379
Skiftesvika	id=g:3241380
Hjeltaneset	id=g:3241381
Småskjeret	id=g:3241382
Vågen	id=g:3241383
Storebuneset	id=g:3241384
Småseigrunnen	id=g:3241385
Kjeøya	id=g:3241386
