Te Karara Bush	id=g:6203144
Waiau Caves	id=g:6203145
Braida Crags	id=g:6203146
Valhalla	id=g:6203147
Montevue	id=g:6203148
Aparima	id=g:6203149
Te Waewae Bay	id=g:6203150
Hut Creek	id=g:6203151
Boundary Creek	id=g:6203152
Keenan Creek	id=g:6203153
Grindstone Creek	id=g:6203154
Deep Creek	id=g:6203155
Bull Creek	id=g:6203156
Deep Stream	id=g:6203157
Paddys Creek	id=g:6203158
Coal Stream	id=g:6203159
Taunoa Stream	id=g:6203160
Fryer Creek	id=g:6203161
Aparima River	id=g:6203162
Kenny Creek	id=g:6203163
Orepuki Creek	id=g:6203164
East Jubilee Stream	id=g:6203165
Granity Stream	id=g:6203166
Pourakino River	id=g:6203167
Centre Ridge	id=g:6203168
Opouriki Stream	id=g:6203169
Cascade Stream	id=g:6203170
Gorge Stream	id=g:6203171
Mag Creek	id=g:6203172
Pourakino River	id=g:6203173
The Narrows	id=g:6203174
Jacobs River Estuary	id=g:6203175
North Beach	id=g:6203176
Cosy Nook	id=g:6203177
Pouahiri Creek	id=g:6203178
Ourawera Stream	id=g:6203179
Hendersons Bay	id=g:6203180
Howells Point/Taramea	id=g:6203181
Old Man Rock	id=g:6203182
Ruahine	id=g:6203183
Pahia	id=g:6203184
Round Hill	id=g:6203185
Wakapatu	id=g:6203186
Tihaka	id=g:6203187
Mitchells Bay	id=g:6203188
The Rocks	id=g:6203189
Taramea Bay	id=g:6203190
Taramea Bay	id=g:6203191
Talls Point	id=g:6203192
New Windsor	id=g:6203193
Longwood	id=g:6203194
Otaitai Bush	id=g:6203195
Waipango	id=g:6203196
Gummies Bush	id=g:6203197
Orepuki	id=g:6203198
Stucks Hill	id=g:6203199
Waihoaka	id=g:6203200
Gropers Bush	id=g:6203201
Ermedale	id=g:6203202
Fairfax	id=g:6203203
Ringway	id=g:6203204
LONGWOOD FOREST	id=g:6203205
Pourakino Valley	id=g:6203206
Bald Hill	id=g:6203207
Te Tua	id=g:6203208
Saddle Creek	id=g:6203209
Te Waewae	id=g:6203210
Papatotara	id=g:6203211
Martins Creek	id=g:6203212
Scott Burn	id=g:6203213
Duck Creek	id=g:6203214
Tolson River	id=g:6203215
Ogles Creek	id=g:6203216
Big Bight	id=g:6203217
North West Bay	id=g:6203218
Roderiques Anchorage	id=g:6203219
South Bay	id=g:6203220
Waituna Bay	id=g:6203221
Smoky Beach	id=g:6203222
Ruggedy Stream	id=g:6203223
Smoky Creek	id=g:6203224
Yankee River	id=g:6203225
Double Lakes	id=g:6203226
Lake Sheila	id=g:6203227
Lake Calder	id=g:6203228
Lake Alexander	id=g:6203229
Forked Creek	id=g:6203230
Freshwater River	id=g:6203231
Christmas Village Bay	id=g:6203232
Foveaux Strait	id=g:6203233
Little River	id=g:6203234
Bishop and Clerks Islands	id=g:6203235
Topeheti Creek	id=g:6203236
Kaiporohu Bay	id=g:6203237
Harry West Bay	id=g:6203238
Euchre Creek	id=g:6203239
Hapuatuna Bay	id=g:6203240
Long Harry Bay	id=g:6203241
Long Harry Hut	id=g:6203242
Dodgers Bay	id=g:6203243
Dundas Harbour	id=g:6203244
Jacky Lee Bay	id=g:6203245
Eastern Bay	id=g:6203246
Torias Corner	id=g:6203247
Mill Creek	id=g:6203248
Kidney Fern Arm	id=g:6203249
East Ruggedy Hut	id=g:6203250
Little Kaipipi Bay	id=g:6203251
McArthurs Head	id=g:6203252
Magnetic Beach	id=g:6203253
Port William/Potirepo	id=g:6203254
Whale Corner	id=g:6203255
Mason Head	id=g:6203256
Little Hellfire Beach	id=g:6203257
Shark Island	id=g:6203258
Big Hellfire Beach	id=g:6203259
Hellfire Pass Hut	id=g:6203260
Ruggedy Passage	id=g:6203261
The Knobbies	id=g:6203262
Roger Head	id=g:6203263
East Ruggedy Beach	id=g:6203264
High Rock	id=g:6203265
Benson Peak	id=g:6203266
Ruggedy Flat	id=g:6203267
Inner Passage	id=g:6203268
West Ruggedy Beach	id=g:6203269
North Red Head	id=g:6203270
Mason Bay Hut	id=g:6203271
Big Sandhill	id=g:6203272
Island Hill Homestead	id=g:6203273
Lower Island Hill	id=g:6203274
Mount Rakeahua	id=g:6203275
Red Head Peak	id=g:6203276
Upper Island Hill	id=g:6203277
Moonlight Point	id=g:6203278
North West Circuit Track	id=g:6203279
North West Circuit Track	id=g:6203280
North West Circuit Track	id=g:6203281
East Smoky Beach	id=g:6203282
Rocky Mountain	id=g:6203283
Yankee River Hut	id=g:6203284
Lucky Beach	id=g:6203285
Lucky Point	id=g:6203286
Christmas Village Hut	id=g:6203287
Rollers Beach	id=g:6203288
Little Mount Anglem	id=g:6203289
Van Leeuwen Landing	id=g:6203290
Garden Point	id=g:6203291
Murray Beach	id=g:6203292
Golden Beach	id=g:6203293
Gull Rock Point	id=g:6203294
Bungaree Hut	id=g:6203295
Big Bungaree Beach	id=g:6203296
Little Bungaree Beach	id=g:6203297
Newton Beach	id=g:6203298
Silvertown	id=g:6203299
Sawyers Beach	id=g:6203300
Port William Hut	id=g:6203301
Whalers Base	id=g:6203302
Othello	id=g:6203303
Blue Gum Island	id=g:6203304
Peters Point	id=g:6203305
Maori Beach	id=g:6203306
Bobs Point	id=g:6203307
Newton Rock	id=g:6203308
Freds Camp Hut	id=g:6203309
Freds Camp	id=g:6203310
Pryse Peak	id=g:6203311
Harry West Point	id=g:6203312
Ogles Point	id=g:6203313
Trumpeter Point	id=g:6203314
Burnt Point	id=g:6203315
Bull Point	id=g:6203316
Gentian Cove	id=g:6203317
Refuge Island	id=g:6203318
Crayfish Island	id=g:6203319
Mudflat Island	id=g:6203320
Sawdust Bay	id=g:6203321
North Arm Point	id=g:6203322
Roys Beach	id=g:6203323
Swains Beach	id=g:6203324
Prices Inlet	id=g:6203325
Whitestone Beach	id=g:6203326
Millars Beach	id=g:6203327
Allans Point	id=g:6203328
Kaipipi Point	id=g:6203329
Ryans Creek	id=g:6203330
Dirty Island	id=g:6203331
Fuchsia Bay	id=g:6203332
Burial Island	id=g:6203333
Dynamite Point	id=g:6203334
North Arm Hut	id=g:6203335
Cow and Calf Point	id=g:6203336
Thule Bay	id=g:6203337
Faith Hope and Charity Group	id=g:6203338
Watercress Beach	id=g:6203339
