Tohunga Peak	id=g:6210844
Mount Rangatira	id=g:6210845
Roderick Peak	id=g:6210846
Wilczek Peak	id=g:6210847
Mount Park	id=g:6210848
Neophyte Peak	id=g:6210849
Junction Peak	id=g:6210850
McFetrick Peak	id=g:6210851
Mount Downe	id=g:6210852
Mount Cloher	id=g:6210853
Gunn Peak	id=g:6210854
Fardowner Peak	id=g:6210855
Growler Hut	id=g:6210856
Finlay Face Hut	id=g:6210857
Finlay Hill	id=g:6210858
Murphys Bivouac	id=g:6210859
Mistake Flats Hut	id=g:6210860
Mistake Flats	id=g:6210861
Murphy Spur	id=g:6210862
Little Spur	id=g:6210863
Carneys Bivouac	id=g:6210864
Forbes Bivouac	id=g:6210865
Easy Col	id=g:6210866
East Sentinel	id=g:6210867
CLOUDY PEAK RANGE	id=g:6210868
TWO THUMB RANGE	id=g:6210869
TWO THUMB RANGE	id=g:6210870
Mount Forbes	id=g:6210871
SIBBALD RANGE	id=g:6210872
Murphy Glacier	id=g:6210873
Mount Earle	id=g:6210874
Mount Coates	id=g:6210875
Separation Glacier	id=g:6210876
Separation Col	id=g:6210877
Revelation Col	id=g:6210878
The Onlooker	id=g:6210879
Mount D'Archiac	id=g:6210880
The Commander	id=g:6210881
Mount McMillan	id=g:6210882
Curtis Memorial Hut	id=g:6210883
Darkey Jims Bush	id=g:6210884
Freezing Point	id=g:6210885
Oklahoma	id=g:6210886
Pyramus Peak	id=g:6210887
Terra Nova Pass	id=g:6210888
Saint Winifred Col	id=g:6210889
McClure Peak	id=g:6210890
Watchdog Peak	id=g:6210891
Fan Col	id=g:6210892
Veil Col	id=g:6210893
McCoy Hut	id=g:6210894
Rollover Glacier	id=g:6210895
Tauroa Peak	id=g:6210896
Helmet Peak	id=g:6210897
Veil Peak	id=g:6210898
Orb Col	id=g:6210899
Trireme Peak	id=g:6210900
Disappointment Saddle	id=g:6210901
Outram Peak	id=g:6210902
Schrund Peak	id=g:6210903
Quoin Peak	id=g:6210904
Sceptre Peak	id=g:6210905
Havelock Col	id=g:6210906
Perth Col	id=g:6210907
Baker Peak	id=g:6210908
Rankin Peak	id=g:6210909
Mount Edison	id=g:6210910
Sword Peak	id=g:6210911
Milne Peak	id=g:6210912
Veil Bivouac	id=g:6210913
Agony Island Bivouac	id=g:6210914
Saint Winifred Hut	id=g:6210915
Eric Twins	id=g:6210916
Dolphin Peak	id=g:6210917
Gunn Pass	id=g:6210918
Dummy Col	id=g:6210919
Eric Glacier	id=g:6210920
Mount Odell	id=g:6210921
Hidden Col	id=g:6210922
Stewart Saddle	id=g:6210923
Dennistoun Peak	id=g:6210924
Malthus Peak	id=g:6210925
Mount Shyness	id=g:6210926
Mount Petermann	id=g:6210927
FitzGerald Stream	id=g:6210928
Godley Hut	id=g:6210929
Pukewhero Peak	id=g:6210930
Eade Memorial Hut	id=g:6210931
Panorama	id=g:6210932
Elizabeth Glacier	id=g:6210933
Bruce Murray	id=g:6210934
Mawson Glacier	id=g:6210935
Jacqueline Col	id=g:6210936
Mount Sutton-Turner	id=g:6210937
Maud Pass	id=g:6210938
Mount Walton	id=g:6210939
White Pyramid	id=g:6210940
Mount Victoire	id=g:6210941
McKinnon Peak	id=g:6210942
Gorrie Peak	id=g:6210943
Cumine Peak	id=g:6210944
Mount Ariki	id=g:6210945
BUTLER RANGE	id=g:6210946
Seymour Peak	id=g:6210947
Grey Pass	id=g:6210948
Mount Loughnan	id=g:6210949
Nansen Glacier	id=g:6210950
Takrouna Peak	id=g:6210951
Alamein Peak	id=g:6210952
Mount Acland	id=g:6210953
Mount Sydney King	id=g:6210954
Mount Phyllis	id=g:6210955
Mount Mannering	id=g:6210956
Whataroa Saddle	id=g:6210957
Brodrick Peak	id=g:6210958
Graceful Peak	id=g:6210959
Mount Aylmer	id=g:6210960
Tasman Saddle Hut	id=g:6210961
Tasman Saddle	id=g:6210962
Hochstetter Dome	id=g:6210963
Lendenfeld Saddle	id=g:6210964
Minarets	id=g:6210965
Mount Gold Smith	id=g:6210966
Corry Glacier	id=g:6210967
Mount Vic	id=g:6210968
Mount Meeson	id=g:6210969
Coronet	id=g:6210970
Stevenson Glacier	id=g:6210971
Mount Green	id=g:6210972
Climbers Col	id=g:6210973
Divers Col	id=g:6210974
Anna Glacier	id=g:6210975
Mount Walter	id=g:6210976
Mount Elie De Beaumont	id=g:6210977
Burton Ridge	id=g:6210978
Mount Alec	id=g:6210979
Mount Peter	id=g:6210980
MAXIMILIAN RANGE	id=g:6210981
Whymper Hut	id=g:6210982
Callery Saddle	id=g:6210983
TATARE RANGE	id=g:6210984
Gunn Ridge	id=g:6210985
Tatare Saddle	id=g:6210986
Barrowman Flat	id=g:6210987
Ted Creek	id=g:6210988
Scotties Beach	id=g:6210989
Reynolds Beach	id=g:6210990
Mount Price	id=g:6210991
Ralfes Knob	id=g:6210992
Nolans Hut	id=g:6210993
Escape Glacier	id=g:6210994
Mount Adams	id=g:6210995
Escape Col	id=g:6210996
Mount Barlow	id=g:6210997
Adverse Glacier	id=g:6210998
The Great Unknown	id=g:6210999
Mount Moreton	id=g:6211000
Devils Backbone	id=g:6211001
Little Unknown	id=g:6211002
Vertebrae Col	id=g:6211003
Eves Rib	id=g:6211004
Mount Farrar	id=g:6211005
Guardian Peak	id=g:6211006
Angel Col	id=g:6211007
Garden Of Eden Ice Plateau	id=g:6211008
Adams Col	id=g:6211009
Icefall Outlook	id=g:6211010
Newton Peak	id=g:6211011
Mount Tyndall	id=g:6211012
Snowy Peak	id=g:6211013
