HUNUA RANGES	id=g:6233936
Whakatiwai Ridge Track	id=g:6233937
Turangamiromiro Stream	id=g:6233938
Whakatiwai Track	id=g:6233939
Upper Mangatawhiri Reservoir	id=g:6233940
The Jews Clearing	id=g:6233941
Upper Mangatawhiri Dam	id=g:6233942
Pukapuka	id=g:6233943
Horne Stream	id=g:6233944
Mangatangi Trig Track	id=g:6233945
Upper Mangatawhiri Track	id=g:6233946
Mangatawhiri	id=g:6233947
Mangatangi	id=g:6233948
Mangatangi	id=g:6233949
Mangatangi Fork	id=g:6233950
Tawa Stream	id=g:6233951
Goss Track	id=g:6233952
Mangatawhiri Tunnel	id=g:6233953
Workman Track	id=g:6233954
Milnes Stream	id=g:6233955
No. 1 Tunnel	id=g:6233956
Acheson Stream	id=g:6233957
No. 2 Tunnel	id=g:6233958
Acheson Crossing	id=g:6233959
Swamp Crossing	id=g:6233960
Horne Crossing	id=g:6233961
Scanlen Stream	id=g:6233962
Milnes Crossing	id=g:6233963
No. 4 Tunnel	id=g:6233964
Rataroa	id=g:6233965
Miranda Hot Springs	id=g:6233966
Waitakaruru	id=g:6233967
Otumaika	id=g:6233968
Mangatarata	id=g:6233969
Mangatawhiri Crossing	id=g:6233970
No. 3 Tunnel	id=g:6233971
Kauri Stream	id=g:6233972
Waikato River	id=g:6233973
Whangamarino River	id=g:6233974
Pungarehu Stream	id=g:6233975
Te Kaka Stream	id=g:6233976
Waikeke Stream	id=g:6233977
Reao Stream	id=g:6233978
Waipapa Stream	id=g:6233979
Ngariohe Stream	id=g:6233980
Whangape Stream	id=g:6233981
Rotongaro Canal	id=g:6233982
Lake Te Kapa	id=g:6233983
Lake Waiwhata	id=g:6233984
Lake Rotongaroiti	id=g:6233985
Lake Rotongaro	id=g:6233986
Lake Okowhao	id=g:6233987
Lake Waahi	id=g:6233988
Lake Rotokawau	id=g:6233989
Te Onetea Stream	id=g:6233990
Rangiriri Stream	id=g:6233991
Lake Kopuera	id=g:6233992
Onekura Stream	id=g:6233993
Matahuru Stream	id=g:6233994
Waerenga Stream	id=g:6233995
Junction Stream	id=g:6233996
Matahuru Stream	id=g:6233997
Pukaha Stream	id=g:6233998
Kaihere Canal	id=g:6233999
Maukoro Canal	id=g:6234000
Waikumete Stream	id=g:6234001
Mangatarata Stream	id=g:6234002
Waitakaruru River	id=g:6234003
Torehape Stream	id=g:6234004
Ngarua Stream	id=g:6234005
Taniwha Stream	id=g:6234006
Kaihere Stream	id=g:6234007
Waiwhata Stream	id=g:6234008
Waikaka Stream	id=g:6234009
Aroronga Stream	id=g:6234010
Paiaka Stream	id=g:6234011
Mangatea Stream	id=g:6234012
Sludge Creek	id=g:6234013
Orini Canal	id=g:6234014
Tauhei Stream	id=g:6234015
Mangawara Outlet	id=g:6234016
Mangakawaru Stream	id=g:6234017
Mangawara Stream	id=g:6234018
Murchie Drain	id=g:6234019
Mangawara Stream	id=g:6234020
Mangawara Stream	id=g:6234021
Paranui Drain	id=g:6234022
Northern Outlet	id=g:6234023
Mangatea Stream	id=g:6234024
Waiti Stream	id=g:6234025
Waitawa Stream	id=g:6234026
Mangakahika Stream	id=g:6234027
Awaroa Stream	id=g:6234028
Riuohauraki Stream	id=g:6234029
Tahuna Stream	id=g:6234030
Ohinekaua Stream	id=g:6234031
Pouruiri Stream	id=g:6234032
Waikato River	id=g:6234033
Mangapiko Stream	id=g:6234034
Waerenga Stream	id=g:6234035
Meremere	id=g:6234036
Meremere Redoubt	id=g:6234037
Meremere Drag Raceway	id=g:6234038
Whangamarino	id=g:6234039
Okaeria	id=g:6234040
Orton	id=g:6234041
Te Kopura Island	id=g:6234042
Karihoa Island	id=g:6234043
Tarahanga Island	id=g:6234044
Churchill	id=g:6234045
