Happy Valley Saddle	id=g:6241632
Kiwi Creek	id=g:6241633
Kiwi Saddle	id=g:6241634
Matakota Creek	id=g:6241635
Fletcher Creek	id=g:6241636
Flowers Creek	id=g:6241637
Onetaua Creek	id=g:6241638
Lagoon Creek	id=g:6241639
Kaihoka Point	id=g:6241640
Oyster Point	id=g:6241641
Pecks Point	id=g:6241642
Nguroa Bay	id=g:6241643
Curious Cliff	id=g:6241644
Mount Lunar	id=g:6241645
Te Rae	id=g:6241646
Wharariki Beach	id=g:6241647
Archway Islands	id=g:6241648
Cape Farewell	id=g:6241649
Puponga	id=g:6241650
Golden Bay	id=g:6241651
Mullet Creek	id=g:6241652
Port Puponga	id=g:6241653
Triangle Flat	id=g:6241654
Stockyard Point	id=g:6241655
Farewell Spit	id=g:6241656
The Shellbanks	id=g:6241657
Enid Stream	id=g:6241658
Turimawiwi River	id=g:6241659
Te Rata Creek	id=g:6241660
South Branch Anatori Stream	id=g:6241661
North Branch Anatori Stream	id=g:6241662
Walsh Creek	id=g:6241663
Webb Stream	id=g:6241664
Friday Creek	id=g:6241665
Shot Creek	id=g:6241666
Soldier Creek	id=g:6241667
Dutchman Creek	id=g:6241668
Malone Creek	id=g:6241669
Little Slaty Creek	id=g:6241670
Jimmy Creek	id=g:6241671
Dam Creek	id=g:6241672
Sandhills Creek	id=g:6241673
Toe Rag Creek	id=g:6241674
Paturau River	id=g:6241675
Camp Creek	id=g:6241676
Rocky Creek	id=g:6241677
Simmiss Creek	id=g:6241678
Paturau River	id=g:6241679
Big River	id=g:6241680
Anaweka River	id=g:6241681
17 Mile Creek	id=g:6241682
Basin Creek	id=g:6241683
15 Mile Creek	id=g:6241684
Aorere River	id=g:6241685
Aorere River	id=g:6241686
Little Doctor Creek	id=g:6241687
Gardiner Gully	id=g:6241688
Graham Creek	id=g:6241689
Little Boulder River	id=g:6241690
Bert Creek	id=g:6241691
Forrester Creek	id=g:6241692
Bains Gully	id=g:6241693
Slate River	id=g:6241694
Little Slate River	id=g:6241695
Deadman Creek	id=g:6241696
Wakefield Gully	id=g:6241697
Bedstead Gully	id=g:6241698
Cole Creek	id=g:6241699
McGregor Gully	id=g:6241700
Coppermine Creek	id=g:6241701
Graham Creek	id=g:6241702
Lightband Gully	id=g:6241703
Appos Creek	id=g:6241704
Dorothy Creek	id=g:6241705
Ward Creek	id=g:6241706
Raby Riley Gully	id=g:6241707
Dam Creek	id=g:6241708
Parapara River	id=g:6241709
Mulligan Creek	id=g:6241710
Onekaka River	id=g:6241711
Blue Creek	id=g:6241712
Grueby Creek	id=g:6241713
Ironstone Creek	id=g:6241714
Dogan Creek	id=g:6241715
Camp Creek	id=g:6241716
Turnbull Creek	id=g:6241717
Diorite Creek	id=g:6241718
Carbonate Creek	id=g:6241719
Copperstain Creek	id=g:6241720
Mineral Creek	id=g:6241721
Flowers Creek	id=g:6241722
Break-me-up Creek	id=g:6241723
Serpentine Creek	id=g:6241724
Dunlop Creek	id=g:6241725
Travers Creek	id=g:6241726
Surprise Creek	id=g:6241727
Bainham Creek	id=g:6241728
Clay Creek	id=g:6241729
Swamp Creek	id=g:6241730
MacKay Pass Stream	id=g:6241731
Patterson Creek	id=g:6241732
Scott Creek	id=g:6241733
King Creek	id=g:6241734
MacKay Creek	id=g:6241735
Kaituna River	id=g:6241736
Little Granity Creek	id=g:6241737
Granity Creek	id=g:6241738
Coal Creek	id=g:6241739
Otimataura Creek	id=g:6241740
Dolomite Creek	id=g:6241741
Gorge Creek	id=g:6241742
Burton Ale Creek	id=g:6241743
Elusive Stream	id=g:6241744
Confirmation Creek	id=g:6241745
Bluff Creek	id=g:6241746
Plumbago Creek	id=g:6241747
Taimatea Creek	id=g:6241748
White Pine Creek	id=g:6241749
Bone Creek	id=g:6241750
Banjo Creek	id=g:6241751
Island Creek	id=g:6241752
Coal Creek	id=g:6241753
Ongawanga Creek	id=g:6241754
Gibbs Gully	id=g:6241755
Sailor Gully	id=g:6241756
Bare Hill	id=g:6241757
Centre Peak	id=g:6241758
Mount Stevens	id=g:6241759
Fosters Lookout	id=g:6241760
Cooks Creek	id=g:6241761
Mount Higgins	id=g:6241762
WAKAMARAMA RANGE	id=g:6241763
Bainham	id=g:6241764
Black Cow	id=g:6241765
Lookout Knob	id=g:6241766
Bushy Cone	id=g:6241767
Peter Knob	id=g:6241768
Mount Treblow	id=g:6241769
Parapara River	id=g:6241770
Parapara Peak	id=g:6241771
Boulder Lake Track	id=g:6241772
The Castles	id=g:6241773
Greenwood Creek	id=g:6241774
Richmond Hill	id=g:6241775
Doctor Creek	id=g:6241776
Aorere Caves	id=g:6241777
Glen Gyle Creek	id=g:6241778
Red Hill	id=g:6241779
Sluice Creek	id=g:6241780
Druggans Dam	id=g:6241781
Devils Hill	id=g:6241782
Brandy Point	id=g:6241783
Moonlight Flat	id=g:6241784
Appos Flat	id=g:6241785
Rockville	id=g:6241786
Te Anaroa Caves	id=g:6241787
