La Colpa	id=g:3695937
Altos La Colorada	id=g:3695938
La Colorada	id=g:3695939
La Colorada	id=g:3695940
La Colorada	id=g:3695941
La Cofradia	id=g:3695942
Lacofradia	id=g:3695943
La Cocha	id=g:3695944
La Coca	id=g:3695945
La Ciénaga	id=g:3695946
Cerro Churrusca	id=g:3695947
Cerro La Cuchilla	id=g:3695948
La Chuchilla	id=g:3695949
La Choza	id=g:3695950
Cerro La Chorrera	id=g:3695951
La Chorrera	id=g:3695952
La Chorrera	id=g:3695953
La Chorrera	id=g:3695954
Jaguay Lachira	id=g:3695955
Lachiguas	id=g:3695956
La Cebada	id=g:3695957
Laccha	id=g:3695958
Cerro Lácata	id=g:3695959
La Casita	id=g:3695960
Cerro La Casa Quemada	id=g:3695961
Quebrada Lacas	id=g:3695962
Lacas	id=g:3695963
Lacas	id=g:3695964
La Carpa	id=g:3695965
La Carolina	id=g:3695966
Cerro La Carmela	id=g:3695967
La Caridad	id=g:3695968
Cerros La Capitana	id=g:3695969
Capitana	id=g:3695970
La Capilla	id=g:3695971
Quebrada La Capilla	id=g:3695972
La Capilla	id=g:3695973
La Capilla	id=g:3695974
La Capilla	id=g:3695975
La Capilla	id=g:3695976
La Capilla	id=g:3695977
La Capilla Central	id=g:3695978
La Capilla	id=g:3695979
La Capilla	id=g:3695980
La Capilla	id=g:3695981
La Cantera	id=g:3695982
Quebrada La Cancha	id=g:3695983
La Cancha	id=g:3695984
La Campiña	id=g:3695985
La Campanita	id=g:3695986
La Calzada	id=g:3695987
La Calzada	id=g:3695988
Cerros de La Calera	id=g:3695989
Cerro La Calera	id=g:3695990
La Calera	id=g:3695991
La Calera	id=g:3695992
La Calera	id=g:3695993
Cerros de La Calavera	id=g:3695994
Quebrada La Cabrerla	id=g:3695995
Lacabamba	id=g:3695996
Cerro La Buitrera	id=g:3695997
La Buitrera	id=g:3695998
Altos De La Bruja	id=g:3695999
Quebrada La Brea	id=g:3696000
Pampa La Brea	id=g:3696001
Cerros de La Brea	id=g:3696002
Pampa La Botija	id=g:3696003
La Botija	id=g:3696004
Labor	id=g:3696005
La Bomba	id=g:3696006
La Bomba	id=g:3696007
La Bomba	id=g:3696008
La Bocana	id=g:3696009
La Bocana Vieja	id=g:3696010
La Bocana	id=g:3696011
Cerro La Bocana	id=g:3696012
La Bocana	id=g:3696013
La Bocana	id=g:3696014
La Bocana	id=g:3696015
La Bocana	id=g:3696016
La Bocana	id=g:3696017
La Bocana	id=g:3696018
La Boca del Río	id=g:3696019
La Beatita	id=g:3696020
La Barranca	id=g:3696021
La Banderita	id=g:3696022
La Arenita	id=g:3696023
La Arenita	id=g:3696024
La Arenita	id=g:3696025
La Arena Chiquita	id=g:3696026
La Arena	id=g:3696027
La Ardilla	id=g:3696028
La Alita	id=g:3696029
Cerro de La Aguada	id=g:3696030
La Aguada	id=g:3696031
Kilómetro Treinta	id=g:3696032
Kerguer	id=g:3696033
Cerro Kellerrupa	id=g:3696034
Quebrada Katuay	id=g:3696035
Kanzel	id=g:3696036
Kamish	id=g:3696037
Paso Kahuis	id=g:3696038
Quebrada Juzgara	id=g:3696039
Juzgara	id=g:3696040
Cerro de Juyacul	id=g:3696041
Juque	id=g:3696042
Las Juntas	id=g:3696043
Quebrada Junco	id=g:3696044
Cerros Junco	id=g:3696045
Junco	id=g:3696046
Jumbilla	id=g:3696047
Mina Julio Cesar	id=g:3696048
Duna Julian Grande	id=g:3696049
Duna Julian Chico	id=g:3696050
Julcán	id=g:3696051
Jucusbamba	id=g:3696052
Juscusbamba	id=g:3696053
Jucal de Roso	id=g:3696054
Jucal de la Puerta	id=g:3696055
Jube	id=g:3696056
Juanjuí	id=g:3696057
Estero Juanita	id=g:3696058
Juan Guerra	id=g:3696059
Juan Flores	id=g:3696060
Juan del Monte	id=g:3696061
Juancito	id=g:3696062
Juana Ríos	id=g:3696063
Quebrada José Pardo	id=g:3696064
José Pardo	id=g:3696065
José Olaya	id=g:3696066
Josefita	id=g:3696067
Quebrada Jorupe	id=g:3696068
Cerro Jorupe	id=g:3696069
Río Jorge	id=g:3696070
Joras	id=g:3696071
Jocos	id=g:3696072
Jocope	id=g:3696073
Jivia	id=g:3696074
Jircan	id=g:3696075
Río Jinguime	id=g:3696076
Jinchayo	id=g:3696077
Jiménez Banda	id=g:3696078
Río Jimbe	id=g:3696079
Jimbe	id=g:3696080
Cerro Jimaca	id=g:3696081
Jilili	id=g:3696082
Jicate	id=g:3696083
Jibito	id=g:3696084
Cerro Jesús María	id=g:3696085
Jesús del Valle	id=g:3696086
Jesús del Monte	id=g:3696087
Jesús	id=g:3696088
Quebrada Jesjena	id=g:3696089
Jerusalem	id=g:3696090
Jericó	id=g:3696091
Jerguitas	id=g:3696092
Hacienda Jerez	id=g:3696093
Río Jequetepeque	id=g:3696094
Jequetepeque	id=g:3696095
Jepelacio	id=g:3696096
Río Jepelache	id=g:3696097
Punta Jeli	id=g:3696098
Jecanga	id=g:3696099
Jeberos	id=g:3696100
Cerros Jayhua	id=g:3696101
Jayanquillo	id=g:3696102
Río Jayanca	id=g:3696103
Jayanca	id=g:3696104
Cerro Jawey Negro	id=g:3696105
Cerro Jauri	id=g:3696106
Río Jaupar	id=g:3696107
Jaupar	id=g:3696108
Jaulabamba	id=g:3696109
Jatun Patay	id=g:3696110
Jatun Copal	id=g:3696111
Jatanca	id=g:3696112
Quebrada Jardín	id=g:3696113
Cerro Jardín	id=g:3696114
Jardín	id=g:3696115
Río Jarahuasi	id=g:3696116
Japaz	id=g:3696117
Pampa de Janupe	id=g:3696118
Río Jangosa	id=g:3696119
Jangas	id=g:3696120
Jancala	id=g:3696121
Cerro Jambur	id=g:3696122
Hambul	id=g:3696123
Jambur	id=g:3696124
Cerro Jamanga	id=g:3696125
Jamanga	id=g:3696126
Jamalca	id=g:3696127
Río Jalpar	id=g:3696128
Cerro Jaján	id=g:3696129
Jaján	id=g:3696130
Pampa de Jaime	id=g:3696131
Cerro Jaime	id=g:3696132
Jaigua Baja	id=g:3696133
Jai Alay	id=g:3696134
Quebrada Jahuay	id=g:3696135
Pampas Jahuay Negro	id=g:3696136
Jaguay Negro	id=g:3696137
Jaguay Negro	id=g:3696138
Jahuay Negro	id=g:3696139
Quebrada Jaguay Grande	id=g:3696140
Cerro Jaguay Grande	id=g:3696141
Jaguay Grande	id=g:3696142
Jaguay de Ternique	id=g:3696143
Quebrada Jaguay de Pavas	id=g:3696144
Jaguay de Pavas	id=g:3696145
Quebrada El Jaguay de La Cuña	id=g:3696146
Quebrada del Jaguay	id=g:3696147
Quebrada Jaguay	id=g:3696148
Provincia de Jaén	id=g:3696149
Jaén	id=g:3696150
Jacos	id=g:3696151
Quebrada Jacocha	id=g:3696152
Jacocha	id=g:3696153
Monte Jacinto	id=g:3696154
Cerro Jacinto	id=g:3696155
Jacas Grande	id=g:3696156
Jacas Chico	id=g:3696157
Quebrada Jacanacas	id=g:3696158
Jacanacas	id=g:3696159
Quebrada Jabonillos	id=g:3696160
Quebrada Jabonillos	id=g:3696161
Cerro Jabonillos	id=g:3696162
Jabonillos	id=g:3696163
Vega Jabonillo	id=g:3696164
Pampa del Jabonillo	id=g:3696165
Jabonillal	id=g:3696166
Cerro Ite	id=g:3696167
Río Itaya	id=g:3696168
Itanamá	id=g:3696169
Quebrada Isula	id=g:3696170
Isletas	id=g:3696171
Isla Noblecilla	id=g:3696172
Islandia	id=g:3696173
Islandia	id=g:3696174
Quebrada la Isla	id=g:3696175
Ishcap	id=g:3696176
Irruya	id=g:3696177
Irhua	id=g:3696178
Ircahuay	id=g:3696179
