Tejamolino	id=g:6309353
Cerro Huaupau	id=g:6309354
Cerro Punccayoc	id=g:6309355
Cerro Sacharca	id=g:6309356
Cotos	id=g:6309357
Cerro Sacsahuamán	id=g:6309358
Oca	id=g:6309359
Huasipara	id=g:6309360
Pecpe	id=g:6309361
Cerro Putero	id=g:6309362
Quebrada Jashlla	id=g:6309363
Mutca	id=g:6309364
Juta	id=g:6309365
Huancarpuquio	id=g:6309366
Laguna Pampahuasi	id=g:6309367
Lagunas Suracocha	id=g:6309368
Cerro Huayllayoc	id=g:6309369
Cerro Atoghuachanan	id=g:6309370
Cerro José Layme	id=g:6309371
Cerro Centinela	id=g:6309372
Suramachay	id=g:6309373
Uluylumi	id=g:6309374
Laguna Peruano	id=g:6309375
Cavira	id=g:6309376
Cerro Huancane	id=g:6309377
Quebrada Terpa	id=g:6309378
Señal Conchaturio	id=g:6309379
Cerro Olivio	id=g:6309380
Corralpata	id=g:6309381
Quebrada Patahuasi	id=g:6309382
Layan	id=g:6309383
Tancarpata	id=g:6309384
Río Apurimac	id=g:6309385
Río Pampaconas	id=g:6309386
Manchipiriyoc	id=g:6309387
Usambre	id=g:6309388
Platanuyoc	id=g:6309389
Chupón	id=g:6309390
Oronjoy	id=g:6309391
Huancas	id=g:6309392
Río Cocas	id=g:6309393
Río Socoscumbar	id=g:6309394
Cerro Huañac	id=g:6309395
Umaca	id=g:6309396
Quebrada Pulluri	id=g:6309397
Cerro Peluche	id=g:6309398
Santa Rosa	id=g:6309399
Cerro Sirarcay	id=g:6309400
Choquejasa	id=g:6309401
Uruchayoc	id=g:6309402
Ninabamba	id=g:6309403
Maranchayoc	id=g:6309404
Jarco	id=g:6309405
Rayampata	id=g:6309406
Limompata	id=g:6309407
Pumachaca	id=g:6309408
Potrero	id=g:6309409
Acobamba	id=g:6309410
Lejiana	id=g:6309411
Choqueana	id=g:6309412
Huaynato	id=g:6309413
Cochapata	id=g:6309414
Aquililluyoc	id=g:6309415
Sillapata	id=g:6309416
Jatumpampa	id=g:6309417
Tarpayoc	id=g:6309418
Río Huajchay	id=g:6309419
Solocmachay	id=g:6309420
Nevado Choquezafra	id=g:6309421
Quebrada Llocllacocha	id=g:6309422
Quebrada Choquesafra	id=g:6309423
Río Lugargrande	id=g:6309424
Río Rancahuayco	id=g:6309425
Patibamba	id=g:6309426
Chancavine	id=g:6309427
Río Toroyunca	id=g:6309428
Toroyunca	id=g:6309429
Usnuyoc	id=g:6309430
Cerro Sacsarayoc	id=g:6309431
Río Sacsachingara	id=g:6309432
Quebrada Vistalegre	id=g:6309433
Vistalegre	id=g:6309434
Río Misquiunuyoc	id=g:6309435
Río Pucapuca	id=g:6309436
Río Sacsarayoc	id=g:6309437
Quebrada Sapateruyoc	id=g:6309438
Quebrada Haciendapampa	id=g:6309439
Cerro Puntarayoc	id=g:6309440
Cerro Ritorcona	id=g:6309441
Quebrada Collpajasa	id=g:6309442
Chaycha	id=g:6309443
Laguna Parcoy	id=g:6309444
Quebrada Parcoy	id=g:6309445
Río Totora	id=g:6309446
Parcoy	id=g:6309447
Quebrada Jaytapajasa	id=g:6309448
Quebrada Jatunhuayco	id=g:6309449
Cerro Chuchaujasa	id=g:6309450
Laguna Negrillacocha	id=g:6309451
Nevado Quenuaorco	id=g:6309452
Chaupihuayco	id=g:6309453
Abra Acojasa	id=g:6309454
Nevado Panta	id=g:6309455
Nevado Azulcocha	id=g:6309456
Cerro Suegrococha	id=g:6309457
Abra Huamus	id=g:6309458
Ecnayo	id=g:6309459
Salinera	id=g:6309460
Río Choquesayra	id=g:6309461
Quebrada Muñacocha	id=g:6309462
Quebrada Collacocha	id=g:6309463
Quebrada Nunahuayco	id=g:6309464
Quebrada Arma	id=g:6309465
Quebrada Quempitiari	id=g:6309496
Onconashari	id=g:6309497
Capirona	id=g:6309498
Río Sepa	id=g:6309499
Quebrada Gavilán	id=g:6309500
Puija	id=g:6309501
Nueva Unión	id=g:6309502
Río Urubamba	id=g:6309503
Quebrada Shambuyacu	id=g:6309504
Shambuyacu	id=g:6309505
Dos de Mayo	id=g:6309506
San Pedro	id=g:6309507
Santa Elena	id=g:6309508
Quebrada Cumarillo	id=g:6309509
Quebrada Puletal	id=g:6309510
Ollais	id=g:6309511
Quebrada Chaquira	id=g:6309512
Quebrada Capirona	id=g:6309513
Quebrada Cetiyacu	id=g:6309514
Río Onconashari	id=g:6309515
Quebrada Capitiri	id=g:6309516
Quebrada Sabetari	id=g:6309517
Quebrada Ashcuya	id=g:6309518
Quebrada Barrial	id=g:6309519
Quebrada Huacaruyoc	id=g:6309520
Quebrada Chiguijapa	id=g:6309521
Río Tahuaya	id=g:6309522
Quebrada Piyuya	id=g:6309523
Quebrada Mamariato	id=g:6309524
Nueva Luz	id=g:6309525
Tahuaya	id=g:6309526
Yamehua	id=g:6309527
Nuevo Mundo	id=g:6309528
Río Yali	id=g:6309529
Sensa	id=g:6309530
Quebrada Quireni	id=g:6309531
Quebrada Curiosari	id=g:6309536
Quebrada Sangarensiato	id=g:6309537
Río Urubamba	id=g:6309538
Quebrada Comaguinoroato	id=g:6309539
Puerto Pepe Pérez	id=g:6309540
Quebrada Teranquiari	id=g:6309541
Shivancoreni	id=g:6309542
Quebrada Capironshanpiari	id=g:6309543
Quebrada Quitiquiori	id=g:6309544
Quebrada Omaranea	id=g:6309545
Quebrada Pigoinpirintsi	id=g:6309546
Segaquiato	id=g:6309547
Quebrada Matianiroato	id=g:6309548
Quebrada Poronguiri	id=g:6309549
Cashiriari	id=g:6309550
Quebrada Potogashiari	id=g:6309551
Quebrada Porocari	id=g:6309552
Quebrada Vitoriacu	id=g:6309553
Quebrada Camanari	id=g:6309554
Malvinas	id=g:6309555
Quebrada Tamarushari	id=g:6309556
Quebrada Quitiquiari	id=g:6309557
Quebrada Tomarotshari	id=g:6309558
Ticumpina	id=g:6309559
Río Capanashiari	id=g:6309560
Río Quivitsiari	id=g:6309561
Chocoriari	id=g:6309562
Río Chireguiroato	id=g:6309563
Quebrada Saboroari	id=g:6309564
Quebrada Sirialo	id=g:6309565
Quebrada Potsonatani	id=g:6309566
Río Paquiria	id=g:6309567
Quebrada Rija	id=g:6309568
Río Serjali	id=g:6309569
Río Jimblijimjileri	id=g:6309570
Cashiriani	id=g:6309571
Río Tahuaya	id=g:6309572
Quebrada Aguas Negras	id=g:6309573
Río Cashantiari	id=g:6309574
Cerro La Chamita	id=g:6309575
Cerro Cajones	id=g:6309576
Islote La Lobera	id=g:6309577
Punta Sacristán	id=g:6309578
La Yesera	id=g:6309579
Flor	id=g:6309580
Quebrada Batanes	id=g:6309581
El Cocal	id=g:6309582
Playa Jardín	id=g:6309583
Punta Colorada	id=g:6309584
Barredera Grande	id=g:6309585
Barredera Chica	id=g:6309586
El Planchón	id=g:6309587
Playa Brava	id=g:6309588
Punta del Toro	id=g:6309589
Agua Dulce	id=g:6309590
Cerro Chombo	id=g:6309591
Pampa Los Gredales	id=g:6309592
Quebrada Agua Dulce	id=g:6309593
Cerro Punta Morena	id=g:6309594
Candelaria	id=g:6309595
San Antonio	id=g:6309596
San Martín de Porres	id=g:6309597
Los Olivos	id=g:6309598
San Antonio	id=g:6309599
El Chasqui	id=g:6309600
Santa Teresa	id=g:6309601
Cerro Punta Colorada	id=g:6309602
Las Peñas	id=g:6309603
Quebrada de La Cruz	id=g:6309604
Quebrada Palanca	id=g:6309605
Quebrada Los Ricardos	id=g:6309606
Churuni	id=g:6309607
Negro Muerto	id=g:6309608
Sambalay Chico	id=g:6309609
Cerro Villacoto	id=g:6309610
Quebrada Bigote de Palo	id=g:6309611
Castillo	id=g:6309612
Palanca	id=g:6309613
Río Sama	id=g:6309614
Cerro Sambalay Grande	id=g:6309615
Cerro Sambalay	id=g:6309616
Cerro Champanani	id=g:6309617
Cerro El Horno	id=g:6309618
Cerro Tinajo	id=g:6309619
Cerro Argandoñas	id=g:6309620
Canuto	id=g:6309621
Cerro Lluco	id=g:6309622
Quebrada Totorani	id=g:6309623
El Portillo	id=g:6309624
Cerro Alto Grande	id=g:6309625
Quebrada de Los Cardos	id=g:6309626
Cerro Cauñani	id=g:6309627
Quebrada Honda	id=g:6309628
Quebrada Achacune	id=g:6309629
Quebrada Botijas	id=g:6309630
Quebrada Medalleros	id=g:6309631
La Esperanza	id=g:6309632
Río Caplina	id=g:6309633
Santa María	id=g:6309634
Cerro Inti Orcco	id=g:6309635
Cerro Achacune	id=g:6309636
Pampa de Layagache	id=g:6309637
Baños Termales	id=g:6309638
Cerro Gangolar	id=g:6309639
Quebrada Cuylate	id=g:6309640
Cerro Chillincane	id=g:6309641
Quebrada Torreni	id=g:6309642
Huanara	id=g:6309643
Acirume Pampa	id=g:6309644
Huintilla	id=g:6309645
Quebrada Huintilla	id=g:6309646
Torreni	id=g:6309647
Cerro Culebras	id=g:6309648
Chero Chico	id=g:6309649
Cerro Chillincane	id=g:6309650
Cerro Cohua Huacano	id=g:6309651
Cerro Jesine	id=g:6309652
Cerro Cuesta Blanca	id=g:6309653
Cuesta Blanca	id=g:6309654
Cerros Libros	id=g:6309655
Cerro Cohuahuacano	id=g:6309656
Quebrada San Francisco	id=g:6309657
Quebrada Santo Milagro	id=g:6309658
Quebrada Cobaya	id=g:6309659
Quebrada Caquilluco	id=g:6309660
Quebrada Capatine	id=g:6309661
Pampa Cabeza de Toro	id=g:6309662
Cerro Yungane	id=g:6309663
Quebrada del Muerto	id=g:6309664
Quebrada Yungane	id=g:6309665
Quebrada Añache	id=g:6309666
Quebrada Monterune Viejo	id=g:6309667
Río Aruma	id=g:6309668
Aruma	id=g:6309669
Monterune Viejo	id=g:6309670
Quebrada Espingune	id=g:6309671
Quebrada Challavira	id=g:6309672
Quebrada Homune	id=g:6309673
Quebrada Tauja	id=g:6309674
Cajunani	id=g:6309675
Quebrada Talame	id=g:6309676
Quebrada Chinchilcumane	id=g:6309677
Quebrada Lacapujo	id=g:6309678
Cerro Airecollo	id=g:6309679
Quebrada Vilacollo	id=g:6309680
Quebrada Huacano Grande	id=g:6309681
Quebrada Teninguirre	id=g:6309682
Cerro Yarancirca	id=g:6309683
Ancosontine	id=g:6309684
Cerro Chari	id=g:6309685
Agua Milagro	id=g:6309686
Cerro Ancocalani	id=g:6309687
Quebrada Ancosontine	id=g:6309688
Portillo Corivilique	id=g:6309689
Quebrada Minas	id=g:6309690
Quebrada Chancoso	id=g:6309691
Cerros Huacano	id=g:6309692
Jatita	id=g:6309693
Quebrada Pulaca	id=g:6309694
Quebrada Chañal	id=g:6309695
Cerro Yolaco	id=g:6309696
Ojialaco	id=g:6309697
Quebrada Escalera	id=g:6309698
Cerro Gangolar	id=g:6309699
Chañal	id=g:6309700
Los Olivares	id=g:6309701
Quebrada Lluta	id=g:6309702
Cerro Palanca	id=g:6309703
Pampa San Francisco	id=g:6309704
Cerro San Francisco	id=g:6309705
Tres Cruces	id=g:6309706
Río Uchusuma	id=g:6309707
Pampa Chilcal	id=g:6309708
Cerro de La Toma	id=g:6309709
Quebrada Seca	id=g:6309710
Cerro Punta Paloma	id=g:6309711
Quebrada Viñani	id=g:6309712
Quebrada Chahuarani	id=g:6309713
Quebrada Machani	id=g:6309714
Cerro Lluta	id=g:6309715
Cerro Llojastala	id=g:6309716
Adelaida	id=g:6309717
Lluta	id=g:6309718
Tinajo	id=g:6309719
Ciudad Nueva	id=g:6309720
Santa Teresa	id=g:6309721
Cercana	id=g:6309722
Avícola Habitec	id=g:6309723
Avícola Monasterio	id=g:6309724
Cerro Cuesta de Locumba	id=g:6309725
Cerro Jachacollo	id=g:6309726
Quebrada Tembladera	id=g:6309727
Cerro Colorado	id=g:6309728
Quebrada Chaslane	id=g:6309729
Cerro Condorire	id=g:6309730
Quebrada Blanca	id=g:6309731
Cerro Paria	id=g:6309732
Cerro Maldito	id=g:6309733
Cerro Chañocala	id=g:6309734
Cerro Encanto	id=g:6309735
Cerro Campanani	id=g:6309736
Cerro Unión	id=g:6309737
Quebrada Espiritus	id=g:6309738
Quebrada Peña Chica	id=g:6309739
Cerro Huanaco	id=g:6309740
Cerro Avestruz	id=g:6309741
Quebrada Quelaquelane	id=g:6309742
Cerro Caunasuri	id=g:6309743
Quebrada Chochocane	id=g:6309744
Cerro Gala	id=g:6309745
Cerro Los Lomos	id=g:6309746
Cerro El Cuervo	id=g:6309747
Quebrada Escritos	id=g:6309748
Quebrada La Concordia	id=g:6309749
Cerro Chambicollo	id=g:6309750
Condoruya	id=g:6309791
Sanumallani	id=g:6309792
Cerro Quelacollo	id=g:6309793
Quebrada Villacorini	id=g:6309794
Cerro Callaspucara	id=g:6309795
Cerro Toronasa	id=g:6309796
Putuni	id=g:6309797
Pecañani	id=g:6309798
Chejotaamaya	id=g:6309799
Quebrada Pacolla	id=g:6309800
Ancopujo	id=g:6309801
Laguna Limancota	id=g:6309802
