Laguna Quinhuayo	id=g:6674430
Laguna Vatiacocha	id=g:6674431
Laguna Chojococha	id=g:6674432
Laguna Padriu	id=g:6674433
Lagunas Morococha	id=g:6674435
Laguna Shuirococha	id=g:6674437
Laguna Huacracocha	id=g:6674440
Laguna Millpon	id=g:6674441
Laguna Cañap	id=g:6674442
Laguna Huasicocha	id=g:6674443
Lagunas Babelmachay	id=g:6674444
Laguna Huacracochachico	id=g:6674445
Laguna Gallohuajanan	id=g:6674446
Laguna Gallohuajan	id=g:6674447
Laguna Conococha	id=g:6674448
Laguna Yanaclara	id=g:6674449
Laguna Ijira	id=g:6674450
Laguna Pucapuca	id=g:6674451
Laguna Parasho	id=g:6674452
Laguna Lastuma	id=g:6674453
Laguna Quiullacocha	id=g:6674454
Laguna Utcococha	id=g:6674455
Laguna Satococha	id=g:6674456
Laguna Cushuro	id=g:6674457
Laguna Cuchipata	id=g:6674458
Laguna Minacocha	id=g:6674459
Laguna Lulusuljuna	id=g:6674460
Laguna Pinipini	id=g:6674461
Laguna Tanshacocha	id=g:6674462
Laguna Chulluncocha	id=g:6674463
Lagunas Pinicocha	id=g:6674464
Laguna Carbón	id=g:6674466
Laguna Rachacmachay	id=g:6674468
Laguna Capishcocha	id=g:6674469
Laguna Paccha	id=g:6674470
Lagunas Marayrasha	id=g:6674471
Laguna Llantapallana	id=g:6674472
Lagunas Morococha	id=g:6674473
Laguna Suerococha	id=g:6674474
Laguna Carrizal	id=g:6674475
Lagunas Potrero	id=g:6674476
Lagunas Capish	id=g:6674477
Laguna Yanacocha	id=g:6674478
Laguna Ullcococha	id=g:6674479
Laguna Ushpamachay	id=g:6674481
Laguna Punya	id=g:6674482
Laguna Cashapuquio	id=g:6674483
Laguna Cuchimachay	id=g:6674484
Laguna Punyachico	id=g:6674485
Laguna Torohuajanan	id=g:6674486
Laguna Londres	id=g:6674487
Laguna Tipicocha	id=g:6674488
Lagunas Desmiro	id=g:6674489
Laguna Isiacocha	id=g:6674490
Laguna Morococha	id=g:6674491
Lagunas Iscaycocha	id=g:6674492
Laguna Yanapaccha	id=g:6674493
Lagunas Manarimanacocha	id=g:6674494
Laguna Yanacocha	id=g:6674495
Lagunas Chuho	id=g:6674496
Laguna Yanacocha	id=g:6674497
Laguna Pucará	id=g:6674498
Lagunas Quinsacocha	id=g:6674499
Laguna Carhuacocha	id=g:6674500
Laguna Portachuelo	id=g:6674501
Laguna Cocha Grande	id=g:6674502
Laguna Pucacocha	id=g:6674503
Laguna Pumacocha	id=g:6674504
Laguna Pongos	id=g:6674505
Laguna Llamacancha	id=g:6674506
Lagunas Chullun	id=g:6674507
Laguna Desmiro	id=g:6674508
Lagunas Machococha	id=g:6674509
Lagunas Marayocha	id=g:6674510
Laguna Lazo Huntay	id=g:6674511
Laguna Yanacocha	id=g:6674512
Laguna Chuspicocha	id=g:6674513
Laguna Ancapuachanan	id=g:6674514
Laguna Yahuarpaccha	id=g:6674515
Laguna Yanacocha	id=g:6674516
Laguna Iscaycrúz	id=g:6674517
Laguna Challhuacocha	id=g:6674518
Lagunas Lacsacocha	id=g:6674519
Laguna Taplapa	id=g:6674520
Laguna Yanacocha	id=g:6674522
Laguna Quillacocha	id=g:6674523
Laguna Jerónimo	id=g:6674524
Laguna Habasccocha	id=g:6674525
Laguna Tamiascocha	id=g:6674526
Laguna Pomacocha	id=g:6674527
Laguna Pirhuacocha	id=g:6674528
Laguna Picis	id=g:6674529
Laguna Shoracocha	id=g:6674530
Laguna Ataccocha	id=g:6674531
Laguna Palarcocha	id=g:6674532
Laguna Putcacocha	id=g:6674533
Laguna Peñacocha	id=g:6674534
Laguna Patococha	id=g:6674535
Laguna Patococha	id=g:6674536
Laguna Pacaco	id=g:6674537
Laguna Quellacocha	id=g:6674538
Laguna Punlococha	id=g:6674539
Laguna Morococha	id=g:6674541
Laguna Chaclacocha	id=g:6674542
Laguna Mamacocha	id=g:6674543
Laguna Llacsacocha	id=g:6674544
Laguna Quillacocha	id=g:6674545
Laguna Picoluyo	id=g:6674546
Laguna Ccolococha	id=g:6674547
Pacchac	id=g:6674548
Masma Chicche	id=g:6674549
Tucumachay	id=g:6674550
Sausa	id=g:6674551
Huertas	id=g:6674552
Mucllo	id=g:6674553
Mina Pata	id=g:6674554
Palo Seco	id=g:6674555
Paccha	id=g:6674556
Chucos	id=g:6674557
Cochas Chico	id=g:6674558
Anya	id=g:6674559
Chauca	id=g:6674560
San Roque	id=g:6674561
La Libertad	id=g:6674562
San Miguel de Tambo Anya	id=g:6674563
Cocha	id=g:6674564
Vicso	id=g:6674565
Huayancaya	id=g:6674566
Yuracancha	id=g:6674567
Toro Monya	id=g:6674568
Toro Monya Grande	id=g:6674569
Shiqui Corral	id=g:6674570
Marca Valle	id=g:6674571
Aramachay	id=g:6674572
Cruz Pampa	id=g:6674573
Vista Alegre	id=g:6674574
Mascas Pico	id=g:6674575
San Juán de Miraflores	id=g:6674576
Huaripata	id=g:6674577
Quicha Grande	id=g:6674578
Liclish	id=g:6674579
Vilca	id=g:6674580
Quicha Chico	id=g:6674581
San Luis de Yayco	id=g:6674582
Tulo	id=g:6674583
Paccha	id=g:6674584
Ocho de Diciembre	id=g:6674585
Lastay	id=g:6674586
Colpar	id=g:6674587
Casacancha	id=g:6674588
Llacta	id=g:6674589
Suytucancha	id=g:6674590
Yuraccasha	id=g:6674591
Matacorral	id=g:6674592
Alamachay	id=g:6674593
Sutule	id=g:6674594
Ñahuinpuquio	id=g:6674595
Rimaycancha	id=g:6674596
Espirituyoc	id=g:6674597
Pucamachay	id=g:6674598
Ancal	id=g:6674599
Ranra	id=g:6674600
Huahuanca	id=g:6674601
Suctumachay	id=g:6674602
Tunaspampa	id=g:6674603
Alto Perú	id=g:6674604
Antala	id=g:6674605
Ataquichque	id=g:6674606
Chaupimarca	id=g:6674607
Antapampa	id=g:6674608
Huaychulo	id=g:6674609
Alayo	id=g:6674610
Paracana	id=g:6674611
Masma	id=g:6674612
El Mantaro	id=g:6674613
Cullpa	id=g:6674614
Matahuasi	id=g:6674615
Hualhuas	id=g:6674616
Saño	id=g:6674617
Orcotuna	id=g:6674618
Mito	id=g:6674619
Quilcas	id=g:6674620
Quichuay	id=g:6674621
Hualianta	id=g:6674622
Santo Domingo del Prado	id=g:6674623
San Miguel de Chaupimarca	id=g:6674624
Huayhuasca	id=g:6674625
Huamanhuaca	id=g:6674626
Canto	id=g:6674627
San Martín	id=g:6674628
Dos de Mayo	id=g:6674629
Matas	id=g:6674630
Ulo	id=g:6674631
Shuytuera	id=g:6674632
Maravilca	id=g:6674633
Yanamuclo	id=g:6674634
Obrero	id=g:6674635
Chacrampa	id=g:6674636
Santa Cruz	id=g:6674637
Achuscullo	id=g:6674638
Llacuari Pampa	id=g:6674639
Villa Cana	id=g:6674640
Llacuari Pueblo	id=g:6674641
Hinostroza	id=g:6674642
Tranca	id=g:6674643
Challhua Puquio	id=g:6674644
Mata Coto	id=g:6674645
Pichapuquio	id=g:6674646
Masac Cancha	id=g:6674647
Paccha Chica	id=g:6674648
San Juán Grande	id=g:6674649
Jachar	id=g:6674650
Los Andes	id=g:6674651
Barrio Arriba	id=g:6674652
Huamanparco	id=g:6674653
Cuto Cuto	id=g:6674654
Pariahuanca	id=g:6674655
Pacamarca	id=g:6674656
San Antonio	id=g:6674657
Barrio Abajo	id=g:6674658
Carhuamacan	id=g:6674659
Barrio Nuevo	id=g:6674660
Matapuquio	id=g:6674661
Casacancha	id=g:6674662
Chichipampa	id=g:6674663
Huacho	id=g:6674664
Corpacancha	id=g:6674665
Chaupimarca	id=g:6674666
Paucar	id=g:6674667
Shinca	id=g:6674670
Huamantanga	id=g:6674671
Pinish	id=g:6674672
Miraflores	id=g:6674673
Acashalaco	id=g:6674674
Charquihuasi	id=g:6674675
Santa María	id=g:6674676
Alhuanyaco	id=g:6674677
Barrio Tercero	id=g:6674678
San Miguel	id=g:6674679
La Libertad	id=g:6674680
Quiullacocha	id=g:6674681
Hualucupata	id=g:6674682
Chicchepampa	id=g:6674683
Aliolo	id=g:6674684
Dos de Mayo	id=g:6674685
Cuchuspampa	id=g:6674686
San Pedro	id=g:6674687
Marcatuna	id=g:6674688
Antacancha	id=g:6674689
Callejónpata	id=g:6674690
Viscachayoc	id=g:6674691
Siusa	id=g:6674692
Gentilniyoc	id=g:6674693
Chia	id=g:6674694
Manco Cancha	id=g:6674695
Tunacorral	id=g:6674696
Tunsho	id=g:6674697
Ayayoc	id=g:6674698
Quisuarcancha	id=g:6674699
Anchicancha	id=g:6674700
Canlalayoc	id=g:6674701
Hualco	id=g:6674702
Auquiscancha	id=g:6674703
Marancocha	id=g:6674704
Yanahuanca	id=g:6674705
Barrio Centro	id=g:6674706
Pacaco	id=g:6674707
Muchac	id=g:6674708
Carnicero	id=g:6674709
Sacsacancha	id=g:6674710
Pacocancha	id=g:6674711
Oslo	id=g:6674712
Pucacorral	id=g:6674713
Pampacorral	id=g:6674714
Churco	id=g:6674715
Tallhuish	id=g:6674716
Chujopampa	id=g:6674717
Illaccancha	id=g:6674718
Auquicancha	id=g:6674719
Huila	id=g:6674720
Tila	id=g:6674721
Ñañanguayo	id=g:6674722
Peña Blanca	id=g:6674723
Pachauman	id=g:6674724
Lanlaspata	id=g:6674725
Sillahuacta	id=g:6674726
Ulpaypuquio	id=g:6674727
Cono	id=g:6674728
Malaytuñe	id=g:6674729
Tantalpampa	id=g:6674730
Manya Cruz	id=g:6674732
Chupa	id=g:6674733
Huaripampa	id=g:6674734
San Martín	id=g:6674735
Puricrumi	id=g:6674736
Ñañasmullo	id=g:6674737
Viscap	id=g:6674738
Tambo	id=g:6674739
Yahuarjasha	id=g:6674740
Antaera	id=g:6674741
Atucpuquio	id=g:6674742
Centro	id=g:6674743
Huasquicha	id=g:6674744
Coricocha	id=g:6674745
Pichus	id=g:6674746
Paucar	id=g:6674747
Santa Ana	id=g:6674748
Uruncancha	id=g:6674749
Huaquillan	id=g:6674750
Yacuparte	id=g:6674752
Dos de Mayo	id=g:6674753
Jatunmallqui	id=g:6674754
Chupacucho	id=g:6674755
Huayranga	id=g:6674756
Cullimalqui	id=g:6674757
Pachcana	id=g:6674758
Collpa	id=g:6674759
Pichcapuquio	id=g:6674760
Ceras	id=g:6674761
Tinco	id=g:6674762
Machay	id=g:6674763
Suytuhuju	id=g:6674764
Rurupcancha	id=g:6674765
Pirhuacocha	id=g:6674766
Puycutuyoc	id=g:6674767
Tipicoccha	id=g:6674768
Yanaucshia	id=g:6674769
Pomamanta	id=g:6674770
Cochannioc	id=g:6674771
María Moya	id=g:6674772
Yerbabuenayoc	id=g:6674773
Cochapampa	id=g:6674774
Pusacpampa	id=g:6674775
Uyacancha	id=g:6674776
Saya	id=g:6674777
Mutha	id=g:6674778
Jatunhuasi	id=g:6674779
Yanacancha	id=g:6674780
Tapara	id=g:6674781
Sacach Huanioc	id=g:6674782
Quisuarpata	id=g:6674783
Aichanlalaco	id=g:6674784
Pumacancha	id=g:6674785
Pichpe	id=g:6674786
Putac	id=g:6674787
Tilishnioc	id=g:6674788
Pachasyacu	id=g:6674789
Chuchi Mantaco	id=g:6674790
Animascancha	id=g:6674791
Huanyaspata	id=g:6674792
Chilchipata	id=g:6674793
Huaihuash	id=g:6674794
Cancha Palca	id=g:6674795
Huaribamba	id=g:6674796
Yacupachia	id=g:6674797
Isla	id=g:6674798
Illpa	id=g:6674799
Saihuacocha	id=g:6674800
Maytelgón	id=g:6674801
Chaca	id=g:6674802
Huancamanta	id=g:6674803
Tunzo	id=g:6674804
Rodiopampa	id=g:6674805
Angas	id=g:6674806
Botija	id=g:6674807
Chaupimarca	id=g:6674808
Iscutacama	id=g:6674809
Yulacorral	id=g:6674810
Ventanilla	id=g:6674811
Ijira	id=g:6674812
Quero	id=g:6674813
Huirocancha	id=g:6674814
Pacliacancha	id=g:6674815
Chucholoma	id=g:6674816
Rauca	id=g:6674817
Atucpaccha	id=g:6674818
Jatunjasa	id=g:6674819
Cercamayos	id=g:6674820
Mina Tunsho	id=g:6674821
Shocllacancha	id=g:6674822
Tambo Muyoc	id=g:6674823
Paccha	id=g:6674824
Chojococha	id=g:6674825
Chaupicocha	id=g:6674826
Balconnioc	id=g:6674827
Rodeopampa	id=g:6674828
Punto	id=g:6674829
Ayas	id=g:6674830
Palala	id=g:6674831
Millpo	id=g:6674832
Chiapampa	id=g:6674833
Cangalayo	id=g:6674834
Retama	id=g:6674835
Pilcoyama	id=g:6674836
Colpa	id=g:6674837
Chupa	id=g:6674838
Parco	id=g:6674839
Huintuyoc	id=g:6674840
Millapata	id=g:6674841
Chupapata	id=g:6674842
Verdepata	id=g:6674843
Todos Los Santos	id=g:6674844
Villa Muchca	id=g:6674845
Inglispata	id=g:6674846
Toro-Lumi	id=g:6674847
Lipa	id=g:6674848
Machaynioc	id=g:6674849
Cochapampa	id=g:6674850
Chilcapata	id=g:6674851
Picha-Ocha	id=g:6674852
Hualangayoj	id=g:6674853
Aracancha	id=g:6674854
Maraynioc	id=g:6674855
Lipapampa	id=g:6674856
Mullacayoc	id=g:6674857
Llamapuquio	id=g:6674858
Runatullo	id=g:6674859
Picuanioc	id=g:6674860
Mallupata	id=g:6674861
Yerbabuena	id=g:6674862
Munas	id=g:6674863
Tingopata	id=g:6674864
Chalas	id=g:6674865
Andas	id=g:6674866
Pucara	id=g:6674867
Pucarapampa	id=g:6674868
Telar	id=g:6674869
Macón	id=g:6674870
Callanca	id=g:6674871
Ocshamachay	id=g:6674872
Huayllacorral	id=g:6674873
Lazohuasi	id=g:6674874
Tingo	id=g:6674875
Jatun Ugo	id=g:6674876
Shuitocorral	id=g:6674877
Janchiscocha	id=g:6674878
Cuncayoc	id=g:6674879
Shayhue	id=g:6674880
Ingenio	id=g:6674881
Racralla	id=g:6674882
Repichón	id=g:6674883
Mitupata	id=g:6674884
Martinez	id=g:6674885
Quichupa	id=g:6674886
Yanacoto	id=g:6674887
Chuallac	id=g:6674888
Chicchi	id=g:6674889
Bañadero	id=g:6674890
Yananya	id=g:6674891
Lamblas	id=g:6674892
Cusipata	id=g:6674893
Cachupa	id=g:6674894
Yaurinja	id=g:6674895
Pao-Pao	id=g:6674896
Alalpata	id=g:6674897
Talhuis	id=g:6674898
Chocchón	id=g:6674899
Alapampa	id=g:6674900
Antupata	id=g:6674901
Cullpar	id=g:6674902
Amañacay	id=g:6674903
Sampoya	id=g:6674904
Puihuan	id=g:6674905
Chajlla	id=g:6674906
Tambillo	id=g:6674907
Quichuas	id=g:6674908
Chalhua	id=g:6674909
Rambras	id=g:6674910
Tuctuca	id=g:6674911
Mancará	id=g:6674912
Shayllo	id=g:6674913
San Juán de Mataula	id=g:6674914
Santa Cruz de Mayo	id=g:6674915
La Nueva Esperanza	id=g:6674916
Huala Huala	id=g:6674917
Sirpa Villena	id=g:6674918
Cumbre de Cuyochuanca	id=g:6674919
Auquis Puquio	id=g:6674920
Corpac Juaja	id=g:6674921
Chulec	id=g:6674922
Cayán	id=g:6674923
Iscaycocha	id=g:6674924
Curimarca	id=g:6674925
Contadera	id=g:6674926
Unuymarca	id=g:6674927
Ayanopata	id=g:6674928
Malaipampa	id=g:6674929
Mamac	id=g:6674930
Muchca	id=g:6674931
Rudiopampa	id=g:6674933
Morococha	id=g:6674934
Rumichaca	id=g:6674935
Acopalca	id=g:6674936
Ancalayo	id=g:6674937
Porvenir	id=g:6674938
Acachayo	id=g:6674939
Quisuar	id=g:6674940
Alameda	id=g:6674941
Chuupata	id=g:6674942
Estanioc	id=g:6674943
Manzanal	id=g:6674944
Pumatana	id=g:6674945
Cutucutu	id=g:6674946
Huanchar	id=g:6674947
Tanquish	id=g:6674948
Libertad	id=g:6674949
Huasanga	id=g:6674950
Huampon	id=g:6674951
Huaychac	id=g:6674952
Cutucuti	id=g:6674953
Huancaná	id=g:6674954
Quihuala	id=g:6674955
Chicchuy	id=g:6674956
Alameda	id=g:6674957
Florida	id=g:6674958
San Juán	id=g:6674960
Chulcan	id=g:6674961
La Unión	id=g:6674962
Iscupata	id=g:6674963
Ricrish	id=g:6674964
Tunumayo	id=g:6674965
Chicche	id=g:6674966
Culicruz	id=g:6674967
Bandera	id=g:6674968
Mituclo	id=g:6674969
Chiacata	id=g:6674970
Azabamba	id=g:6674971
Malpaso	id=g:6674972
Taptapa	id=g:6674973
Progreso	id=g:6674974
Ucapata	id=g:6674975
Chucchu	id=g:6674976
Chullas	id=g:6674977
Bolivar	id=g:6674978
Hijadero	id=g:6674979
Quichuay	id=g:6674980
Aiscorbe	id=g:6674981
Nieves	id=g:6674982
Alhuapampa	id=g:6674983
Matapuquio	id=g:6674984
Pampa	id=g:6674985
Micchaihuata	id=g:6674986
Huamanpata	id=g:6674987
Lipa	id=g:6674988
Chaupi Loma	id=g:6674989
Chuycho Chico	id=g:6674990
Huauya Loma	id=g:6674991
Yuccha Pampa	id=g:6674992
Mata Cruz	id=g:6674993
Mesa Tantal	id=g:6674994
Puquio Pata	id=g:6674995
Pacha Shaspina	id=g:6674996
Talhuis	id=g:6674997
Uruncancha	id=g:6674998
Carhuacocha	id=g:6674999
Chuico	id=g:6675000
Marcachico	id=g:6675001
Marca	id=g:6675002
Quichqui	id=g:6675003
Quishque	id=g:6675004
Perez Cancha	id=g:6675005
Mesa Corral	id=g:6675006
Purisima	id=g:6675007
Huayuri	id=g:6675008
Tierra Blanca	id=g:6675009
Ancapuachuanan	id=g:6675010
Champacoto	id=g:6675011
Rio Seco	id=g:6675012
Silla Lumi	id=g:6675013
Antoshpata	id=g:6675014
Cercatumi	id=g:6675015
Tablamachay	id=g:6675016
Muragallo	id=g:6675017
Piedra Escrita	id=g:6675018
Huachhuacocha	id=g:6675019
Llama Corral	id=g:6675020
Tabla	id=g:6675021
Julla	id=g:6675022
Pampa Alambre	id=g:6675023
Pampa Cruz	id=g:6675024
Tauricho Grande	id=g:6675025
Tauricho Chico	id=g:6675026
Sillapata	id=g:6675027
Chaupimonte	id=g:6675028
Astillero	id=g:6675029
Juripaccha	id=g:6675030
Suyo	id=g:6675031
Sura	id=g:6675032
Puente Stuart	id=g:6675033
Puente Ahuayma	id=g:6675034
Puente Tullus	id=g:6675035
Puente Mazos	id=g:6675036
Puente Ninabamba	id=g:6675037
Puente Jampato	id=g:6675038
Quebrada Yahuarcocha	id=g:6675064
Quebrada Paccharagra	id=g:6675066
Quebrada Cuta	id=g:6675067
Quebrada Jutuy	id=g:6675068
Quebrada Pasionan	id=g:6675069
Zona Arqueológica Manchay	id=g:6675070
Zona Arqueológica Mata Castillo	id=g:6675071
Zona Arqueológica Huan Castillo	id=g:6675072
