Buayan River	id=g:1723675
Buayan	id=g:1723676
Buayan	id=g:1723677
Buayan	id=g:1723678
Buayan	id=g:1723679
Buaya Island	id=g:1723680
Buayahon	id=g:1723681
Buayaen	id=g:1723682
Buayaan	id=g:1723683
Buaya	id=g:1723684
Buaya	id=g:1723685
Buaya	id=g:1723686
Buaya	id=g:1723687
Buaya	id=g:1723688
Buaya	id=g:1723689
Buaya	id=g:1723690
Buaya	id=g:1723691
Buat River	id=g:1723692
Buatpisan Creek	id=g:1723693
Buasao	id=g:1723694
Bua River	id=g:1723695
Bu-ao	id=g:1723696
Buansa Shoal	id=g:1723697
Buan River	id=g:1723698
Buan Point	id=g:1723699
Buanoy Point	id=g:1723700
Buanoy	id=g:1723701
Buan Island	id=g:1723702
Buanica River	id=g:1723703
Buangen Mahaba	id=g:1723704
Buangan	id=g:1723705
Buangan	id=g:1723706
Buang	id=g:1723707
Buang	id=g:1723708
Buang	id=g:1723709
Buan Bay	id=g:1723710
Buanao	id=g:1723711
Buanan	id=g:1723712
Buan	id=g:1723713
Buan	id=g:1723714
Bual Point	id=g:1723715
Bual Point	id=g:1723716
Bualos	id=g:1723717
Bualan River	id=g:1723718
Bualan	id=g:1723719
Bualan	id=g:1723720
Bualan	id=g:1723721
Bual	id=g:1723722
Bual	id=g:1723723
Bual	id=g:1723724
Bual	id=g:1723725
Bual	id=g:1723726
Bual	id=g:1723727
Buol	id=g:1723728
Bual	id=g:1723729
Bual	id=g:1723730
Buailin Creek	id=g:1723731
Mount Buaguan	id=g:1723732
Buagsong	id=g:1723733
Buagao River	id=g:1723734
Mount Buagan	id=g:1723735
Buag	id=g:1723736
Buaja Tupa	id=g:1723737
Buad Island	id=g:1723738
Buadiposo-Buntong	id=g:1723739
Buadiposo-Buntong	id=g:1723740
Buadi-Bayawa	id=g:1723741
Buadia-Rorao	id=g:1723742
Buadi-Angcalo	id=g:1723743
Buadi-Amaloy	id=g:1723744
Buadi-Abalo	id=g:1723745
Buaden-Suba	id=g:1723746
Buad Channel	id=g:1723747
Buad	id=g:1723748
Buacao	id=g:1723749
Buac	id=g:1723750
Buabuaya	id=g:1723751
Buabua	id=g:1723752
Bua	id=g:1723753
Brutus Reef	id=g:1723754
Bruce Point	id=g:1723755
Brow Shoulder	id=g:1723756
Butulan Rocks	id=g:1723757
Brown Bank	id=g:1723758
Brow Cone	id=g:1723759
Broughton Point	id=g:1723760
Brother Island	id=g:1723761
Brother Island	id=g:1723762
Brookes Point	id=g:1723763
Brooke’s Point	id=g:1723764
Broken Head Rock	id=g:1723765
Broken Head	id=g:1723766
Brocen Island	id=g:1723767
Broad Valley	id=g:1723768
Bretana	id=g:1723769
Breeches Shoal	id=g:1723770
Brechtel Shoal	id=g:1723771
Breast Peak	id=g:1723772
Breakwater Point	id=g:1723773
Breaker Reef	id=g:1723774
Braulan	id=g:1723775
Brar Creek	id=g:1723776
Brar	id=g:1723777
Branch Masisit River	id=g:1723778
Bral	id=g:1723779
Boyungan	id=g:1723780
Boyon River	id=g:1723781
Boyongan	id=g:1723782
Boyong	id=g:1723783
Boyog River	id=g:1723784
Boyogo River	id=g:1723785
Boyogo Point	id=g:1723786
Boyog	id=g:1723787
Boyog	id=g:1723788
Boyog	id=g:1723789
Boyog	id=g:1723790
Boyo-boyo	id=g:1723791
Boyo	id=g:1723792
Boyayawan	id=g:1723793
Boy-ay	id=g:1723794
Boyan	id=g:1723795
Boyan	id=g:1723796
Bowen Island	id=g:1723797
Bovau Point	id=g:1723798
Bountoug River	id=g:1723799
Boulaolacao	id=g:1723800
Boulan	id=g:1723801
Bouang Point	id=g:1723802
Botu Point	id=g:1723803
Botoon	id=g:1723804
Boton River	id=g:1723805
Boran Creek	id=g:1723806
Botan Point	id=g:1723807
Botong Island	id=g:1723808
Botong	id=g:1723809
Botong	id=g:1723810
Botong	id=g:1723811
Botong	id=g:1723812
Botong	id=g:1723813
Botonan River	id=g:1723814
Botan	id=g:1723815
Boton	id=g:1723816
Boton	id=g:1723817
Boton	id=g:1723818
Boton	id=g:1723819
Botolan Point	id=g:1723820
Mount Botolan	id=g:1723821
Botolan	id=g:1723822
Botolan	id=g:1723823
Botol	id=g:1723824
Botogon	id=g:1723825
Botogan Point	id=g:1723826
Botoc Oriental	id=g:1723827
Botoc Occidental	id=g:1723828
Botocbotoc River	id=g:1723829
Dalituan River	id=g:1723830
Botocan Falls	id=g:1723831
Botocan	id=g:1723832
Botoc	id=g:1723833
Botnga	id=g:1723834
Botlog Island	id=g:1723835
Botlog	id=g:1723836
Botique Island	id=g:1723837
Boting	id=g:1723838
