Guiwanon River	id=g:7493233
Binongkalan River	id=g:7493234
Macatol River	id=g:7494979
Can Unzo River	id=g:7494980
Shapon River	id=g:7494981
Gilogetan	id=g:7494982
Combado River	id=g:7496033
Silmaugui River	id=g:7496034
Tanon Strait	id=g:7496035
Somosa River	id=g:7496036
Pio River	id=g:7496037
Mabonog River	id=g:7496038
Congo River	id=g:7496039
Matagob River	id=g:7496945
Basog	id=g:7496955
So-oy River	id=g:7496956
Larey Bay	id=g:7496957
Balite River	id=g:7496958
Casa River	id=g:7496959
Tonoy River	id=g:7496960
Catolatolahan River	id=g:7496961
Natobgon River	id=g:7496962
Bagalon River	id=g:7496963
Cala Creek	id=g:7497466
Cabosao Creek	id=g:7497467
Bolongay River	id=g:7497468
Bungad Creek	id=g:7497469
Malbogan	id=g:7497470
Malabou Creek	id=g:7497471
Sabang Ilud River	id=g:7497472
San Bacion	id=g:7497473
Sapa Bolasbolas	id=g:7506676
Sapa Pagsanhan	id=g:7506677
Sapa Mayapa	id=g:7506678
Bayong River	id=g:7509390
Abijao River	id=g:7509391
Alegria River	id=g:7509392
Manay River	id=g:7509393
Tabangho River	id=g:7509655
Tubong River	id=g:7509656
Malilinao River	id=g:7509657
Benaguhan	id=g:7509658
Bosey	id=g:7509659
Pacoce	id=g:7509660
Tajad River	id=g:7510124
Putatansur	id=g:7510125
Malbago Creek	id=g:7510126
Songalia	id=g:7510127
Male River	id=g:7510128
Biasong River	id=g:7510129
Aguho Creek	id=g:7510298
Tapilon Creek	id=g:7510299
Maya Creek	id=g:7510300
Bito-on Creek	id=g:7510301
Malingin	id=g:7510302
Curtis Creek	id=g:7510303
Kamperic Point	id=g:7510304
Tangboc Point	id=g:7510305
Sojotan Point	id=g:7510306
Majauac Point	id=g:7510307
Bagay Creek	id=g:7510308
Bandilan Creek	id=g:7510309
Dalingding River	id=g:7510310
Tajad River	id=g:7510311
Nipat Point	id=g:7510346
Calape Creek	id=g:7510347
Lungun Point	id=g:7510348
Lapaan Point	id=g:7510349
Kauit River	id=g:7510350
Paghudlan	id=g:7510394
Caraycaray School	id=g:7510508
Villanueva River	id=g:7510577
Villahermosa River	id=g:7510578
Dinugdugan	id=g:7510579
Luyag	id=g:7510580
Carigara Bay	id=g:7510581
Tinago River	id=g:7511279
Butac Point	id=g:7511280
Tawis River	id=g:7511281
Arevalo River	id=g:7511282
Busay	id=g:7511283
Basud River	id=g:7511284
Banate	id=g:7511285
San Isidro River	id=g:7511286
Busay	id=g:7511287
Hanagdong	id=g:7511354
Bagacay	id=g:7511355
Badiung	id=g:7511356
Marasbaras	id=g:7511357
Basiao Guiti	id=g:7511358
Talahid	id=g:7511359
Cayabut	id=g:7511360
Cataybato Point	id=g:7511361
Panhobhoban	id=g:7511362
Samanlon Point	id=g:7511363
Sampotan Point	id=g:7511364
Lubilubi	id=g:7511365
Malobago	id=g:7511366
Mag-abo	id=g:7511367
Mactang	id=g:7511368
Narotanglad	id=g:7511369
Canipa-an	id=g:7511370
Hatay Point	id=g:7511371
Palho	id=g:7514952
Kapangrayan	id=g:7514953
Buenasuerte	id=g:7514954
Limbuhan River	id=g:7514955
Pantalan Point	id=g:7519559
Balocawe Point	id=g:7519560
Manlangi	id=g:7519561
Sogod Bay	id=g:7519562
Canason	id=g:7519563
Sogcan	id=g:7519564
Ilong Bukid	id=g:7520167
Baysag	id=g:7520168
Pinarican	id=g:7520169
Sorok	id=g:7520170
Bungah	id=g:7520171
Tabok	id=g:7520172
Bungah Point	id=g:7520173
Libas	id=g:7520174
Mohun	id=g:7520175
Tarangbang	id=g:7520176
Cagomawas	id=g:7520177
Calgomawas	id=g:7520178
Bovobagacay	id=g:7520179
Binistahan	id=g:7520180
Tagongtang Mountain	id=g:7520181
Iraya Hill	id=g:7520182
Luyo	id=g:7520183
Meolbeo	id=g:7520184
Napandong	id=g:7520185
Camaloyay	id=g:7520186
Omaga	id=g:7520187
Namatian Point	id=g:7520188
Bare-es	id=g:7520189
Quinaguitman River	id=g:7520190
Naglalahaw Creek	id=g:7520191
Lipata River	id=g:7520192
Guinaranayan River	id=g:7520193
Cabacungan River	id=g:7520194
Eraya River	id=g:7520195
Tapul River	id=g:7520196
Sabang River	id=g:7520197
Pandanco River	id=g:7520198
San Miguel River	id=g:7520199
Busay Falls	id=g:7520200
Noos River	id=g:7520201
Salhag River	id=g:7520202
Salhag	id=g:7520203
Pungan Creek	id=g:7520204
Tubig Danao River	id=g:7520205
Dau	id=g:7520206
Hinarog Hill	id=g:7520207
Puropandan Island	id=g:7520208
Liang	id=g:7520209
Pangdan Island	id=g:7520210
Little Panlibutan Island	id=g:7520211
Macapongpong Island	id=g:7520212
Gnacgnac Island	id=g:7520213
Hinablan Rock	id=g:7520214
Panrosayan Point	id=g:7520215
Moalboal	id=g:7520216
Pokdol	id=g:7520217
Cawayan	id=g:7520218
Calayuan Point	id=g:7520219
Calaya-an	id=g:7520220
Santol Hill	id=g:7520221
He-mo-og	id=g:7520222
Malong Bacong	id=g:7520223
Cagutsan Hill	id=g:7520224
Camenongaban	id=g:7520225
Pantalan Hill	id=g:7520226
Durodanlog	id=g:7520227
Puting Bato Swamp	id=g:7520228
Lawod-lawod Swamp	id=g:7520229
Little Tabiraga Island	id=g:7520230
Campirocho Swamp	id=g:7520231
Malongbakong Island	id=g:7520232
Cabicangon Point	id=g:7520233
Binaga Point	id=g:7520234
Burobalading Point	id=g:7520235
Cabongawan	id=g:7520236
Caloyahan Hill	id=g:7520237
Lo-ok	id=g:7520238
Casulgan Point	id=g:7520239
Bucala Point	id=g:7520240
Old Bucala Island	id=g:7520241
Bucala Island	id=g:7520242
Bucalan	id=g:7520243
Kinamaligan	id=g:7520244
Balocawi	id=g:7520245
Tigporo Point	id=g:7520246
Bankawan Island	id=g:7520247
Bungah Reef	id=g:7520248
Busay River	id=g:7520249
Magop Island	id=g:7520250
Busay Creek	id=g:7520251
Rosario River	id=g:7520252
Homadhad	id=g:7520253
Limaobiri Swamp	id=g:7520254
Maslog	id=g:7520255
Palaypay	id=g:7520256
Cangalos Inlet	id=g:7520257
Tinangisan Channel	id=g:7520258
Mathot Swamp	id=g:7520259
Guinuisligan Slough	id=g:7520260
Batagayon Swamp	id=g:7520261
Nayawi Elnanaerahan	id=g:7520262
Hilabaan	id=g:7520263
Bainguhay Slough	id=g:7520264
Silom Channel	id=g:7520265
Apaopay Channel	id=g:7520266
Barobodiongan	id=g:7520582
Calowehawan River	id=g:7520583
Capul Lighthouse	id=g:7520923
San Luis River	id=g:7520924
Oson	id=g:7520925
Bon-ot Saday	id=g:7521085
Poropandan	id=g:7521086
San Roque	id=g:7521087
Naburacan	id=g:7521088
Lajong	id=g:7521089
Banugao	id=g:7521090
Hidhid	id=g:7521091
Calpi	id=g:7521092
Banuang Daan	id=g:7521288
Gadgaron	id=g:7521289
