Thatti Khurd	id=g:1163500
Thatti Khudāyān	id=g:1163501
Thatti Khāwrān	id=g:1163502
Thatti Kalrāni	id=g:1163503
Thatti Kalra	id=g:1163504
Thatti Jānu	id=g:1163505
Thatti Jalāl	id=g:1163506
Thatti Hinduān	id=g:1163507
Thatti Hamza	id=g:1163508
Thatti Gul	id=g:1163509
Thatti Guirān	id=g:1163510
Thatti Gūjarān	id=g:1163511
Thatti Ghanera	id=g:1163512
Thatti Dhakwān	id=g:1163513
Thatti Baloch	id=g:1163514
Thatti Bāla Rāja	id=g:1163515
Thatti Ālam Shāh	id=g:1163516
Thatti	id=g:1163517
Thatti	id=g:1163518
Thattha	id=g:1163519
Thatta Zabāna	id=g:1163520
Thatta Umra	id=g:1163521
Thatta Sikandar	id=g:1163522
Thatta Siālān	id=g:1163523
Thatta Sher	id=g:1163524
Thatta Shāh Jamal	id=g:1163525
Thatta Saiyidān	id=g:1163526
Jhok Malia	id=g:1163527
Thatta Rajiān	id=g:1163528
Thatta Rāika	id=g:1163529
Thatta Rahmu	id=g:1163530
Thatta Rahmān	id=g:1163531
Thatta Qutba	id=g:1163532
Thatta Sādiqābād	id=g:1163533
Thatta Nūr Shāh	id=g:1163534
Thatta Nikka	id=g:1163535
Thatta Nihāl	id=g:1163536
Thatta Nau	id=g:1163537
Thatta Namān	id=g:1163538
Thatta Mūsa	id=g:1163539
Thatta Murlān	id=g:1163540
Miān Da Thatta	id=g:1163541
Thatta Mubārik	id=g:1163542
Thatta Masta Paroka	id=g:1163543
Thatta Mānak	id=g:1163544
Thatta Mānak	id=g:1163545
Thatta Māhla	id=g:1163546
Thatta Lūna	id=g:1163547
Thatta Lākhan	id=g:1163548
Thatta Kundal	id=g:1163549
Thatta Khurd	id=g:1163550
Thatta	id=g:1163551
Thatta Khalil	id=g:1163552
Thatta Kāmoka	id=g:1163553
Thatta Kamīra	id=g:1163554
Thatta Kalān	id=g:1163555
Rāja	id=g:1163556
Thatta Jhamb	id=g:1163557
Thatta Jāhid Hasanwāla	id=g:1163558
